@English@|@Thai@
@who's speaking?@|@ใครพูด ครับ/ค่ะ@
@why?@|@ทำไม@
@wide@|@กว้าง@
@wife@|@ภรรยา, ภรรยา, เมีย@
@will@|@ตั้งใจ@
@win@|@ชนะ@
@wind@|@ลม@
@window@|@หน้าต่าง@
@wine@|@ไวน์, ไวน์, เหล้า องุ่น@
@with@|@โดย@
@woman@|@ผู้หญิง@
@wonderful@|@เจ๋ง@
@wood@|@ไม้@
@word@|@คำ@
@work (n)@|@การงาน@
@work (vb)@|@ทำงาน@
@work permit@|@ใบอนุญาตทำงาน@
@world@|@โลก@
@worried@|@กังวล@
@worry@|@ห่วง@
@wrest@|@แย่ง@
@wristwatch@|@นาฬิกา ข้อมือ@
@wrong@|@ผิด, ผิด@
@year@|@ปี@
@yellow@|@เหลือง, สีเหลือง@
@yes@|@ใช่@
@yes (polite)@|@ครับ, ค่ะ@
@yes (very polite@|@ครับ ผม@
@yesterday@|@เมื่อวานนี้@
@yield@|@ยอม, ยอมรับ@
@you@|@เธอ, คุณ, พวกคุณ@
@young@|@อายุน้อย@
@young (child)@|@เด็ก@
@young (female)@|@สาว@
@young (male)@|@หนุ่ม@
@young people@|@วัยรุ่น@
@young woman@|@นาง, นางสาว@
@younger brother@|@น้องชาย@
@younger sister@|@น้องสาว@

