@English@|@Polish@
@astuteness@|@bystrosć, przebiegłość, wnikliwosć@
@asunder@|@od siebie, w oddaleniu@
@asylum@|@przytułek, schronienie@
@asymmetric(al)@|@asymetryczny@
@asymptote@|@asymptota@
@at@|@na, przy, w@
@at once@|@naraz, natychmiast@
@at the house of@|@w domu u@
@at the same time@|@w tym samym czasie@
@at the side of@|@po stronie@
@at the very@|@Na samą myśl o czymś@
@at times@|@czasami@
@atavism@|@atawizm@
@atavistic@|@atawistyczny@
@atheism@|@ateizm@
@atheist@|@ateista@
@Athenian@|@Ateńczyk, ateński@
@athlete@|@atleta@
@athletic@|@atletyczny@
@athwart@|@poprzecznie, w poprzek@
@atilt@|@ukośnie, ukośny@
@Atlantic@|@atlantycki@
@atlas@|@atlas@
@atmosphere@|@atmosfera@
@atmospheric(al)@|@atmosferyczny@
@atmospherics@|@zakłócenia atmosferyczne@
@atoll@|@atol@
@atom@|@atom@
@atom(ic) bomb@|@bomba atomowa@
@atomic@|@atomowy@
@atomization@|@atomizacja@
@atomize@|@rozpylać@
@atomizer@|@rozpylacz@
@atone@|@pokutować@
@atonement@|@pokuta@
@atonic@|@atoniczny@
@atony@|@niedowład@
@atrabilious@|@melancholijny@
@atrocious@|@ochydny, okropny@
@atrociousness@|@ohyda, okropnosć, okrucieństwo@
@atrocity@|@ohyda, okropność, okrucieństwo@
@atrophy@|@atrofia, zanik@
@atropine@|@atropina@
@attach@|@przyczepić, przymocować, przywiązać@
@attache-case@|@skórzany kuferek, walizeczka@
@attached@|@przydzielony, przywiązany@
@attachment@|@przywiązanie, uwiązanie, więź@
@attack@|@atak, atakować, napadać, napaść@
@attain@|@dojść, przybywać, zdobywać@
@attainable@|@osiagalny, osiągalny@
@attainment@|@osiągnięcie, zdobycie@
@attar@|@olejek@
@attempt@|@próba, spróbować@
@attend@|@służyć, towarzyszyć, uczęszczać@
@attendance@|@dozór, obsługa@
@attendant@|@dozorujący, towarzyszący@
@attention@|@baczność, opieka, troska, uwaga@
@attentive@|@dbały, pilny, usłużny, uważny@
@attenuate@|@osłabiać@
@attest@|@poświadczyć, zaświadczyć@
@attestation@|@świadectwo, zaświadczenie@
@attic@|@poddasze, strych@
@Attic@|@attycki@
@attire@|@strój, ubiór, ubrać, ustroić@
@attitude@|@nastawienie, stusunek@
@attitudinize@|@pozować, zachowywać sie nienaturalnie@
@attorney@|@adwokat, prawnik@
@attract@|@pociągać, przyciągać@
@attraction@|@atrakcja, powab, przyciąganie, urok@
@attractive@|@atrakcyjny, pociągający, ponętny@
@attribute@|@atrybut, przymiot, przypisywać, właściwość@
@attribution@|@kompetencja, przypisywanie, zakres@
@attributive@|@określający@
@attrition@|@ścieranie się@
@attune@|@dostroić, nastroić@
@auburn@|@kasztanowaty@
@auction@|@aukcja, licytacja, licytować@
@auctioneer@|@licytator@
@audacious@|@śmiały, zuchwały@
@audacity@|@śmiałość, zuchwalstwo@
@audibility@|@dosłyszalność, możność usłyszenia@
@audible@|@dosłyszalny@
@audibly@|@donośnym głosem, wyraźnie@
@audience@|@audiencja, publiczność, widownia@
@audit@|@rewidować księgi, rewizja ksiąg@
@audition@|@próba (głosu), słuch@
@auditor@|@rewident księgowy, słuchacz@
@auditorium@|@audytorium, sala@
@auditory@|@słuchowy@
@auger@|@świder@
@aught@|@cokolwiek, coś@
@augment@|@powiększyć@
@augmentation@|@powiększenie, wzrost@
@augmentative@|@zgrubiały@
@augur@|@augur, przepowiadać, wróżbita, wróżyć@
@augury@|@wróżba, zapowiedź@
@august@|@czcigodny, dostojny@
@August@|@czcigodny, dostojny, sierpień@
@aunt@|@ciotka@
@aural@|@słuchowy, uszny@
@aureola@|@aureola@
@auricle@|@małżowina uszna, przedsionek serca@
@auricular@|@słuchowy, uszny@
@aurist@|@otolog@
@aurochs@|@żubr@
@aurora@|@jutrzenka, zorza@
@auscultation@|@osłuchiwanie@
@auspices@|@auspicje@
@auspicious@|@dobrze wróżący, pomyślny@
@austere@|@srogi, surowy@
@austereness@|@skromność, srogość, surowość@
@austerity@|@skromność, srogość, surowość@
@Australian@|@Australijczyk, australijski@
@Austrian@|@austriacki, Austriak@
@authentic@|@autentyczny@
@authenticate@|@poświadczyć, zalegalizować@
@authentication@|@poświadczenie, zalegalizowanie@
@authenticity@|@autentycznosć@
@author@|@autor@
@authoress@|@autorka@
@authoritative@|@autorytatywny, miarodajny@
@authority@|@autorytet, powaga@
@authorization@|@autoryzacja, upoważnienie, uprawnienie@
@authorize@|@upoważnić@
@authorshop@|@autorstwo, zawód pisarza@
@autobiographic(al)@|@autobiograficzny@
@autobiography@|@autobiografia@
@autochthon@|@autochton, tubylec@
@autochthonous@|@autochtoński, tubylczy@
@autocracy@|@autokracja@
@autocrat@|@autokrata, samowładca@
@autocratic@|@autokratyczny@
@autograph@|@autograf@
@automata@|@automat@
@automatic@|@automatyczny, machinalny, mechaniczny@
@automation@|@automatyzacja@
@automaton@|@automat@
@automobile@|@auto, samochód@
@autonomous@|@autonomiczny@
@autonomy@|@autonomia, samorząd@
@autopsy@|@autopsja@
@autotype@|@fototypia, światłodruk@
@autumn@|@jesień@
@autumnal@|@jesienny@
@auxiliary@|@pomocniczy@
@avail@|@korzyść, pożytek, przynieść pożytek@
@availability@|@dostępność, możność znalezienia@
@available@|@dostępny, osiągalny@
@avalanche@|@lawina@
@avarice@|@skąpstwo@
@avaricious@|@skąpy@
@avenge@|@pomścić@
@avenger@|@mściciel@
@avenue@|@aleja, droga (np. do sławy), ulica@
@averment@|@dowód, oświadczenie, twierdzenie@
@averruncator@|@sekator@
@averse@|@przeciwny czemuś@
@averseness@|@awersja, niechęć, wstręt@
@aversion@|@awersja, niechęć, wstręt@
@avert@|@oddalić, odwrócić, uniknać@
@aviary@|@ptaszarnia@
@aviation@|@lotnictwo@
@aviator@|@lotnik@
@avid@|@chciwy@
@avidity@|@chciwość@
@avitaminosis@|@awitaminoza@
@avocation@|@hobby@
@avoid@|@uchylać się, unikać@
@avoidance@|@stronienie, uchylanie się, unikanie@
@avouch@|@ręczyć@
@avow@|@przyznawać, wyznawać@
@avowal@|@przyznanie się, wyznanie@
@avowedly@|@jawnie, otwarcie@
@await@|@czekać, oczekiwać@
@awake@|@obudzić, wzbudzić, zbudzić@
@awaken@|@obudzony, przebudzony, zbudzony@
@awakening@|@nudzący się, przebudzenie@
@award@|@nagradzać, nagroda, przyznawać@
@aware@|@powiadomiony, świadomy@
@awareness@|@świadomość@
@away@|@a dala@
@awe@|@groza, strach@
@awesome@|@przeraźliwy, straszliwy, wzbudzający grozę@
@awe-stricken@|@przejęty grozą, przerażony@
@awe-stuck@|@przejęty grozą, przerażony@
@awful@|@okropny, straszliwy, straszny@
@awfully@|@okropnie, straszliwie, strasznie@
@awhile@|@chwilę, króciutko@
@awkward@|@niezdarny, niezgrabny, niezręczny, skrępowany@
@awkwardly@|@niezdarnie, niezdranie, niezgrabnie@
@awkwardness@|@niezdarność, niezgrabność, zakłopotanie@
@awl@|@skrzydło@
@awning@|@markiza, zasłona@
@awry@|@krzywo, krzywy, opacznie, opaczny@
@axe@|@siekiera, topór@
@axial@|@osiowy@
@axiom@|@aksjomat, pewnik@
@axis@|@oś@
@axle@|@oś (koła)@
@axle-tree@|@oś (wozu)@
@ay(e)@|@tak!@
@azalea@|@azalia@
@azimuth@|@azymut@
@azote@|@azot@
@azure@|@błekitny, błękit, lazur, lazurowy@
@back@|@plecy@
@backslash@|@ukośnik wsteczny@
@bacon@|@bekon@
@badger@|@borsuk@
@bag@|@worek@
@baker@|@piekarz@
@bakery@|@piekarnia@
@balance@|@saldo@
@ball@|@bal, piłka@
@baloon@|@balon@
@Baltic@|@Bałtyk@
@banana@|@banan@
@band@|@taśma@
@bandit@|@bandyta@
@bank@|@bank@
@barbecue@|@grill@
@barber@|@fryzer@
@barman@|@barman@
@barrier@|@przeszkoda@
@barrister@|@adwokat@
@base@|@baza@
@basket@|@kosz@
@bathroom@|@łazienka@
@battle@|@bitwa@
@battle array@|@szyk bojowy@
@be@|@być@
@be afraid@|@bać się@
@be astonished@|@dziwić się, zdziwić się@
@be hungry@|@być głodnym@
@be lacking@|@brakować@
@be over@|@minąć@
@beach@|@plaża@
@beans@|@fasola@
@bear@|@nosić@
@beard@|@broda@
@beast@|@bestia@
@beat@|@bić@
@beautiful@|@piękny@
@because@|@bo, gdyż, ponieważ@
@because of@|@z powodu@
@become deaf@|@ogłuchnąć@
@bed@|@łożko, łóżko@
@beef@|@wołowina@
@beer@|@piwo@
@beetroot@|@burak@
@before@|@przed, zanim@
@beige@|@beż@
@Beirut@|@Bejrut@
@Belfast@|@Belfast@
@Belgium@|@Belgia@
@Belgrade@|@Belgrad@
@belly ache@|@ból brzucha@
@belongings@|@manatki@
@beloved@|@drogi@
@belt@|@pasek@
@bench@|@ławka@
@bend@|@zakręt@
@Bermuda@|@Bermudy@
@Bern@|@Berno@
@besides@|@oprócz, ponadto@
@best@|@najlepszy@
@big@|@duży@
@bigot@|@dewotka@
@bird@|@ptak@
@birth certificate@|@akt urodzenia@
@birthday@|@urodziny@
@bishop@|@biskup@
@bitch@|@dziwka***@
@bitter@|@gorzki@
@bitterness@|@gorycz@
@bivouac@|@biwak@
@black marketeer@|@paser@
@blackness@|@czerń@
@blank cheque@|@czek in blanco@
@blank form@|@blankiet@
@blanket@|@koc@
@blessed@|@błogosławiony@
@blessing@|@błogosławieństwo@
@blind drunk@|@pijany jak bela@
@blockade@|@blokada@
@blonde@|@blondyn, włosy blond@
@bloodless@|@bezkrwawy@
@bloom@|@kwiat, kwitnąć@
@blotting paper@|@bibuła@
@blouse@|@bluzka@
@blue@|@niebieski@
@bluff@|@blef@
@boat@|@łódka, łódź@
@bobbin@|@cewka@
@body@|@ciało@
@bodyguard@|@goryl@
@boiler@|@bojler@
@bomber@|@bombowiec@
@book@|@książka@
@bookshop@|@księgarnia@
@boorish@|@grubiański@
@border@|@granica@
@both@|@oba@
@bottle@|@butelka@
@bottom@|@dno@
@bough@|@konar@
@bow@|@łuk@
@bowl@|@waza@
@box@|@pudełko@
@boy@|@chłopiec@
@boycott@|@bojkot@
@boyfriend@|@przyjaciel@
@branch@|@gałąż, konar@
@bread@|@chleb, chłeb@
@breakdown@|@awaria@
@breakfast@|@śniadanie@
@breast@|@pierś@
@breasts@|@piersi kobiece@
@breath@|@oddech@
@brick@|@cegła@
@brickyard@|@cegielnia@
@bridge@|@most@
@briefcase@|@aktówka, teka@
@briefs@|@slipy@
@bring@|@przynosić@
@brisk@|@rześki, skoczny@
@British@|@brytyjski@
@broad bean@|@bób@
@brood@|@wyląg@
@brother@|@brat@
@brow@|@brew@
@bud@|@pączek, pąk@
@build@|@budować@
@bulb@|@cebulka@
@bull@|@byk@
@bullet-proof vest@|@kamizelka kuloodporna@
@bumpy@|@wyboisty@
@bureaucrat@|@biurokrata@
@burn@|@palić@
@bus@|@autobus@
@businessman@|@przedsiębiorca@
@busy@|@zajęty@
@but@|@ale, zaś@
@butler@|@kamerdyner@
@butter@|@masło@
@button@|@guzik, przycisk, zapinać@
@buy@|@kupuwać@
@buyer@|@kupiec@
@buzz@|@bzykać@
@by accident@|@przypadkiem@
@cabin@|@chata, kajuta@
@cable@|@kabel@
@cabman@|@dorożkarz@
@cacophony@|@kakofonia@
@cactus@|@kaktus@
@cafe/@|@kafejka@
@Cairo@|@Kair@
@cake@|@ciasto@
@calculation@|@kalkulacja@
@calculator@|@kalkulator@
@calendar@|@kalendarz@
@calendar month/year@|@rok/miesiąc kalendarzowy@
@calibre@|@kaliber@
@California@|@Kalifornia@
@calligraphy@|@kaligrafia@
@calm@|@spokojny, spokój@
@caloric@|@kaloryczny@
@calorie@|@kaloria@
@Cambodia@|@Kambodża@
@camcorder@|@kamera wideo@
@camera@|@kamera@
@Cameroon@|@Kamerun@
@camouflage@|@kamuflaż@
@camp@|@obóz@
@campfire@|@ognisko@
@campsite@|@pole biwakowe@
@Canada@|@Kanada@
@Canadian@|@Kanadyjczyk, kanadyjski@
@canary@|@kanarek@
@candidate@|@kandydat@
@canned food@|@konserwy@
@cannibal@|@kanibal@
@cannon@|@armata@
@canon law@|@prawo kanoniczne@
@canonical@|@kanoniczny@
@canyon@|@kanion@
@capacitor@|@kondensator@
@capital (Paris@|@stolica@
@car@|@auto, samochód@
@care@|@piecza@
@carry@|@roznosić@
@case@|@obudowa@
@cash shortage@|@manko@
@castle@|@zamek@
@cat@|@kot@
@catfish@|@sum@
@cathedral@|@katedra@
@cattle@|@bydło@
@cauliflower@|@kalafior@
@ceiling@|@sufit@
@cellulair@|@komórka (ż)@
@Celtic@|@celtycki@
@cent@|@cent@
@centre@|@środek@
@century@|@wiek (100 lat)@
@certainly@|@na pewno@
@Ceylon@|@Cejlon@
@chains@|@pęta@
@chalk@|@kreda@
@chamber music@|@muzyka kameralna@
@chancellor@|@kanclerz@
@chanson@|@piosenka@
@chaos@|@chaos@
@charming@|@ujmujący@
@chat@|@rozmowa@
@cheap@|@tani@
@check@|@sprawdzać@
@cheese@|@ser@
@chemist's@|@apteka@
@chest@|@kufer@
@chicken@|@kurczak, kurczę@
@chief@|@naczelnik@
@child@|@dziecko@
@chin@|@broda@
@choice@|@gatunkowy@
@cholelithiasis@|@Kamica pęcherzyka żółciowego@
@choosy@|@wybredny@
@christening@|@chrzciny@
@Christmas@|@Boże Narodzenie@
@church@|@kościół@
@cigarette@|@papieros@
@cinema@|@kino@
@circle@|@koło@
@circulation@|@obieg@
@circus@|@plac@
@city@|@miasto@
@city hall@|@ratusz@
@civil war@|@wojna domowa@
@class@|@gromada@
@classroom@|@praca klasowa@
@clean@|@czysty@
@clear@|@jasny@
@climate@|@klimat@
@cloakroom@|@szatnia@
@clock@|@zegar@
@clog@|@chodak@
@close@|@Blisko, zamykać@
@clothes@|@ubranie@
@cloud@|@chmura@
@cloudless@|@bezchmurny@
@coast@|@wybrzeże@
@cocoa@|@kakao, kakaowy@
@cocoon@|@oprzęd@
@coffee@|@kawa@
@colander@|@cedzak@
@cold@|@chłód, zimny@
@coldly@|@zimno@
@collar@|@kołnierz@
@collection@|@zbiór@
@colour@|@barwa@
@combat@|@bój@
@command@|@kazać, nakazać@
@commander-in-chief@|@naczelny wódz@
@common@|@zwykły@
@communal@|@gminny@
@compass@|@obręb@
@complain@|@narzekać@
@completion@|@ukończenie@
@composition@|@skład@
@computer graphics@|@grafika komputerowa@
@concentrate@|@koncentrat@
@concentration camp@|@obóz koncentracyjnjy@
@conception@|@koncepcja@
@concern@|@koncern@
@concrete@|@beton@
@condenser@|@kondensator@
@condolences@|@kondolencje@
@condom@|@kondom@
@condor@|@kondor@
@confederation@|@konfederacja@
@conference@|@konferencja@
@congratulatory@|@gratulacyjny@
@conjunction@|@spójnik@
@conman@|@naciągacz@
@connoisseur@|@koneser@
@conscious@|@przytomny@
@construction@|@budowa@
@contact@|@stykać się z@
@contract@|@kontrakt@
@contradict@|@przeczyć@
@converse@|@rozmawiać@
@copy@|@kopia@
@cordially@|@serdecznie@
@cork@|@korek@
@corner@|@róg@
@correct@|@prawidłowo@
@correctly@|@poprawnie@
@corrupt@|@skazić@
@cost@|@koszt@
@couch@|@kanapa@
@counsel@|@porada@
@counter@|@żeton@
@country@|@kraj@
@countryside@|@wieś@
@couple@|@para@
@courage@|@odwaga@
@course@|@kurs@
@court@|@dwór, sąd@
@covered@|@nakryty@
@cow@|@krowa@
@CPU@|@procesor@
@crank@|@korba@
@crap@|@srać***@
@cream@|@krem@
@credit card@|@karta kredytowa@
@cripple@|@kaleka@
@crippled@|@kaleki@
@crown@|@korona@
@crumb@|@okruch@
@crust@|@skórka@
@cry@|@plakać@
@cry-baby@|@beksa@
@crying@|@płacz@
@cucumber@|@ogórek@
@cup@|@filiżanka, kubek@
@cupboard@|@sklep@
@customs@|@cło@
@cute@|@ładny@
@cycle@|@cykl@
@Czech@|@czeski@
@daddy@|@tatuś@
@dagger@|@sztylet@
@daily@|@dziennik@
@damn***@|@cholera***@
@dark@|@ciemny@
@darn@|@cerować@
@date@|@data@
@daub@|@mazać@
@daughter@|@córka@
@day@|@dzień@
@dead@|@martwy@
@dean@|@dziekan@
@dean's office@|@dziekanat@
@death@|@śmierć@
@death cetificate@|@akt zgonu@
@decade@|@dziesięciolecie@
@December@|@grudzień@
@decimal@|@dziesiętny@
@deep@|@głebokie, głębokie@
@defective@|@wybrakowany@
@defend@|@bronić, obronić@
@deficiency@|@brak@
@degree@|@stopień@
@delicious@|@wyborny@
@delighted@|@zachwycony@
@demand@|@domagać się@
@dentist@|@dentysta@
@department@|@wydział@
@departure@|@odjazd@
@depend on@|@zależeć od@
@dependence@|@zależność@
@dependent@|@zależny@
@desert@|@pustka, pustynia@
@design@|@zamysł@
@desktop@|@pulpit@
@despite@|@mimo@
@despot@|@despota@
@dessert@|@deser@
@diaphragm@|@przepona@
@dictionary@|@słownik@
@different@|@inny, odrębny, różny@
@difficulty@|@trudność@
@dining room@|@pokój jadalny@
@dinner@|@obiad@
@dioxide@|@dwutlenek@
@diphtheria@|@błonica@
@dirty@|@brudny@
@disability@|@kalectwo@
@discontented@|@niezadowolny@
@discount@|@bonifikata@
@dish@|@danie@
@diskette@|@dyskietka@
@dispute@|@spór@
@distinguished@|@dystyngowany@
@divide@|@dzielić@
@division@|@dzielenie@
@division sign@|@znak dzielenia@
@do wonders@|@działać cuda@
@docker@|@doker@
@doctor@|@doktor@
@dog@|@pies@
@dog's life@|@psie życie@
@domain@|@dziedzina@
@domino@|@domino@
@doomsday@|@sądny dzień@
@door@|@drzwi@
@dough@|@forsa@
@dove of peace@|@gołąbek pokoju@
@downpour@|@ulewa@
@dozen@|@tuzin@
@dragon@|@smok@
@dragonfly@|@ważka@
@drain@|@ściek@
@drake@|@kaczor@
@dress@|@sukienka, suknia@
@drink@|@napój, pić@
@drink one's fill of@|@napić się@
@drive out@|@wygnać@
@drug abuser@|@lekoman@
@dry@|@suchy@
@duck@|@kaczka@
@dummy@|@smoczek@
@during@|@podczas@
@e.g.@|@np.@
@eagle@|@orzeł@
@ear@|@ucho@
@early@|@wczesny@
@easily@|@łatwo@
@east@|@wschód@
@easy@|@łatwy@
@eat one's fill of@|@najeść się@
@edict@|@edykt@
@edition@|@nakład@
@editor-in-chief@|@redaktor naczelny@
@edma@|@obrzęk@
@egg@|@jajko@
@egoist@|@egoista@
@eight@|@ósemka@
@either .... or@|@albo .... albo@
@elegant@|@elegancki@
@element@|@żywioł@
@elevator@|@winda@
@eloquence@|@swada@
@elsewhere@|@gdzie indziej@
@embassy@|@ambasada@
@embroider@|@oszyc@
@emphasis@|@emfaza@
@employee@|@pracownik@
@employment policy@|@polityka kadrowa@
@enemy@|@wróg@
@engine@|@silnik@
@English@|@angielski@
@Englishman@|@Anglik@
@enough@|@dosyć, dość@
@entire@|@całkowity@
@entirety@|@ogół@
@epidermis@|@naskórek@
@epilepsy@|@padaczka@
@especially@|@specjalnie, zwłaszcza@
@Europe@|@Europa@
@evasion@|@wybieg@
@even@|@nawet, parzysty, równy@
@evening@|@wieczór@
@everyone@|@każdy@
@everywhere@|@wszędzie@
@evidently@|@oczywiście@
@exactly@|@dokładnie, właśnie@
@examination@|@egzamin@
@example@|@przykład@
@except@|@z wyjątkiem@
@excess@|@wybryk@
@excusable@|@wybaczalny@
@excuse me@|@przepraszam@
@exercise@|@ćwiczenia, zadanie@
@exercise-book@|@zeszyt@
@existence@|@byt@
@expect@|@oczekiwać@
@expected@|@oczekiwany@
@expel@|@wygnać@
@explosion@|@wybuch@
@explosive@|@wybuchowy@
@extinct@|@wymarły@
@eyes@|@oczy@
@fable@|@bajka@
@fabric@|@materiał@
@face@|@twarz@
@factory@|@fabryka@
@fade@|@blaknąć@
@faeces@|@kał@
@faint@|@ulotny@
@fall@|@padać@
@false@|@fałszywy, obłudny@
@family vault@|@grobowiec rodzinny@
@famous@|@słynny@
@fan@|@wentylator@
@faovrite@|@ulubienica@
@far from@|@daleko od, z dala od@
@farewell@|@pożegnanie@
@farmer@|@chłop, rolnik@
@fashion@|@moda@
@fat@|@tłusty@
@father@|@ojciec@
@fatso@|@grubas@
@fatty@|@grubas@
@fault@|@wada@
@faultless@|@bezbłędny@
@fauna@|@fauna@
@favourite@|@ulubienica, ulubiony@
@fear@|@obawa@
@feather@|@pióro@
@feathers@|@pierze@
@February@|@luty@
@feeding@|@żywienie@
@feeling@|@uczucie@
@feezer@|@lodówka@
@female@|@(ż)@
@fertile@|@żyzny@
@few@|@kilka, mało@
@field@|@pole@
@fight@|@walka@
@file@|@rząd@
@filling station@|@stacja benzynowa@
@film@|@film@
@final@|@ostatni@
@finally@|@wreszcie@
@finances@|@finanse@
@find out@|@dowiedzieć się, odszukać@
@finished@|@skończony@
@fire@|@ogień, ognisko@
@fire-extinguisher@|@gaśnica@
@firmly@|@mocno@
@first@|@pierwszy@
@first aid@|@pierwsza pomoc@
@fish@|@ryba@
@flag@|@flaga@
@flash@|@błysnąć@
@flat@|@mieszkanie@
@flattered@|@pochlebiony@
@flaw@|@skaza@
@flexible@|@gibki@
@flight@|@lot@
@float@|@bujać@
@floor@|@podłoga@
@flower@|@kwiat@
@fly@|@latać, mucha@
@FM frequency modulation@|@UKF ultrakrótkie fale@
@food@|@jedzenie, żywność@
@food stamp@|@kartka żywnościowa@
@foot@|@stopa@
@for@|@aby, ażeby, dla, na@
@forensic@|@medycyna sądowa@
@forest@|@bory, las@
@forgiveness@|@wybaczenie@
@fork@|@widelec@
@formality@|@formalność@
@fortunately@|@na szczęście@
@fountain@|@fontanna@
@four@|@cztery@
@frame@|@kadr@
@France@|@Francja@
@frankly@|@po prostu@
@freckle@|@pieg@
@free@|@wolny@
@French@|@francuski@
@frequent@|@częsty@
@fresh@|@świeży@
@Friday@|@piątek@
@frigid@|@oziębły@
@frock@|@habit, sukienka@
@from@|@od@
@from a long way away@|@z dala@
@front@|@front@
@fruit@|@owoc@
@fruit-growing@|@sadownik@
@fuck***@|@kurwa***@
@fuel@|@paliwo@
@fugitive@|@zbieg@
@full@|@pełny@
@funeral procession@|@kondukt żałobny@
@furnished@|@umeblowany@
@fuselage@|@kadłub samolotu@
@fussy@|@wybredny@
@galley@|@kambuz@
@game@|@zabawa@
@gamme@|@gram@
@garden@|@ogród@
@garden shears@|@sekator@
@gas@|@benzyna@
@gas pipeline@|@gazociąg@
@gas-meter@|@gazomierz@
@gate@|@wrota@
@gay@|@radosny@
@genealogy@|@genealogia@
@general@|@generał@
@generally@|@na ogół@
@generation@|@generacja, pokolenie@
@generous@|@szczodry@
@gentleman@|@pan@
@Georgia@|@Gruzja (in Europe/not in USA)@
@Germany@|@Niemcy@
@ghost@|@upiór@
@gibberish@|@bełkot@
@gift@|@dar@
@girl@|@dziewczyna@
@girlfriend@|@przyjaciółka@
@girlish@|@dziewczęcy@
@give@|@dać, dawać@
@give as a gift@|@darować, podarować@
@give back@|@oddać@
@gladly@|@chętnie@
@gland@|@gruczoł@
@glare@|@blask księżyca, blask słońca@
@glass@|@szkło@
@glassy@|@szklisty@
@glazier@|@szklarz@
@glitter@|@blask klejnotów, błyszczeć@
@glorious@|@wspaniały@
@gloves@|@rękawiczki@
@go@|@chodzić@
@goalless draw@|@bezbramkowy@
@God@|@Bóg@
@gong@|@gong@
@good@|@dobre, dobry@
@good morning@|@dzień dobry@
@goodbye@|@do widzenia@
@gooseberry@|@agrest@
@gorilla (animal)@|@goryl@
@gourd@|@tykwa@
@Gouvernment Security Office@|@Biuro Ochrony Rządu@
@grain@|@zboże@
@grandma@|@babcia@
@grandmother@|@babka@
@grandpa@|@dziadek@
@granite@|@granit@
@granulated@|@ganulowany@
@graphite@|@grafit@
@graphologist@|@grafolog@
@grass@|@trawa@
@gravel@|@żwir@
@gravitation@|@grawitacja@
@gray@|@szary@
@great@|@wielki@
@Grecce@|@Grecja@
@Greek@|@grecki, Grek@
@green@|@zielony@
@green peas@|@zielony groszek@
@Greenland@|@Grenlandia@
@Greenlandic@|@grenlandzki@
@greet@|@witać@
@grey@|@siwy@
@grief@|@smutek@
@grocer@|@sklepikarz@
@ground@|@masa, plac@
@group@|@gromada@
@grow@|@rosnąć@
@guess@|@domyślac, domyślić się@
@guitar@|@gitara@
@gunpowder@|@proch@
@hair@|@włosy@
@hall of residence@|@dom akademicki@
@ham@|@szynka@
@hand@|@ręka@
@hand-cart@|@wózek@
@handcuffs@|@kajdanki, kajdany@
@handful@|@garstka@
@handicapped@|@ułomny@
@handkerchief@|@chustka@
@handle@|@uszko@
@happiness@|@szczęście@
@hard@|@twardy@
@harp@|@harfa@
@harvest@|@żniwo@
@hat@|@kapelusz@
@have@|@mieć@
@HDD@|@twardy dysk@
@he@|@on@
@he took@|@wziął@
@head@|@głowa, głowica@
@headache@|@ból głowy@
@head-office@|@centrala@
@health@|@zdrowie@
@healthy@|@zdrowy@
@hear@|@słyszeć@
@hearing@|@słuch@
@heart@|@serce@
@hearth@|@ognisko@
@heat@|@upał@
@heavy@|@ciężki@
@heavy machine gun@|@cekaem@
@height@|@wysokość@
@hell@|@piekło@
@hello@|@słucham@
@help@|@pomoc@
@helpless@|@bezbronny@
@herd@|@stado@
@here@|@tu, tutaj@
@hereditary@|@dziedziczny@
@heresy@|@herezja@
@hero@|@bohater@
@high@|@wysoki@
@high calibre person@|@człowiek wielkiego kalibru@
@highlander@|@góral@
@hill@|@pagórek, wzgórze@
@Hindu@|@Hindus@
@hiss@|@bzykać@
@historic@|@dziejowy@
@history@|@dzieje@
@holiday@|@ferie, święto, wczasy@
@holy@|@święty@
@homage@|@hołd@
@homeless@|@bezdomny@
@homework@|@praca domowa@
@honestly@|@szczerze mówiąc@
@hoop@|@obręcz@
@hope@|@nadzieja@
@horse@|@koń@
@hot@|@gorący@
@hotel manager@|@kierowniczka@
@hour@|@godzina@
@hourlong@|@godzinny@
@house@|@dom@
@housekeeper@|@gosposia@
@housework@|@prace domowe@
@how@|@jak@
@how many@|@ile@
@however@|@jednak@
@hull@|@kadłub statku@
@husband@|@mąż@
@hyena@|@hiena@
@hygiene@|@higiena@
@hymen@|@błona dziewicza@
@hypnosis@|@hipnoza@
@hypocrisy@|@obłuda@
@hypothesis@|@hipoteza@
@I@|@ja@
@I am@|@jestem@
@i don't think so@|@nie sądzę@
@I have@|@mam@
@i have a headache@|@boli mnie głowa@
@I love@|@kocham@
@i miss you@|@brak mi ciebie@
@I suppose@|@chyba@
@ice cream@|@lody@
@idyll@|@idylla@
@if@|@czy, jeśli@
@ignition@|@zapalenie@
@ill@|@chory@
@illiterate@|@analfabeta@
@illness@|@choroba@
@illusion@|@ułuda@
@imagine@|@wyobrazić sobie@
@impinge@|@rzutować@
@imploring@|@błagalny@
@improvement@|@ulepszenie@
@in@|@w@
@in a hurry@|@w pośpiechu@
@in a low@|@po cichu@
@in abundance@|@pod dostatkiem@
@in addition@|@w dodatku@
@in advance@|@z góry@
@in full armour@|@w pełnej zbroi@
@in order to@|@aby@
@in the middle of@|@w środku@
@in the nude@|@na golasa@
@inaccurate@|@niedokładny@
@incense@|@kadzidło@
@inch@|@cal@
@inclination@|@nachylenie@
@infertility@|@bezpłodność@
@inform@|@dawać znać@
@informed@|@poinformowany@
@ink-bottle@|@kałamarz@
@inside of@|@wewnątrz@
@inspect@|@oglądać@
@integral@|@całka@
@integrity@|@prawość@
@intention@|@zamiar@
@interest@|@zainteresowanie@
@interesting@|@interesujący@
@interview@|@wywiad@
@intimate@|@kameralny@
@is@|@jest@
@island@|@wyspa@
@issue@|@wypływ@
@it@|@ono@
@it goes without saying@|@To się rozumie samo przez sie@
@Italian@|@Włoch@
@Italy@|@Włochy@
@it's not worth my while@|@to mi się nie kalkuluje@
@ivy@|@bluszcz@
