@English@|@Portuguese@
@involve@|@envolver (v.)@
@inwards@|@para dentro@
@iodine@|@iodo@
@ionize@|@ionizar (v.)@
@Iran@|@Irã@
@Ireland@|@Irlanda@
@Iris@|@Íris@
@Irishman@|@irlandês@
@iron@|@férreo, ferro@
@irrigate@|@irrigar (v.)@
@irritate@|@zangar (v.)@
@island@|@console, ilha@
@isolate@|@isolar (v.)@
@isolation@|@isolação@
@Israel@|@Israel@
@issue@|@edição@
@Istanbul@|@Istambul@
@it@|@a (f.), ela, ele, isso, isto, lhe, o (art. m.)@
@Italian@|@Italiano@
@Italy@|@Itália@
@item@|@artigo@
@its@|@seu@
@itself@|@próprio@
@ivory@|@marfim@
@jack@|@jaque, macaco@
@jacket@|@jaqueta, revestimento@
@jail@|@cadeia, encarcerar (v.), prisno@
@jam@|@atolamento, compota, esmagar (v.)@
@Jamaica@|@Jamaica@
@January@|@Janeiro@
@Japan@|@Japão@
@Japanese@|@Japonês@
@jargon@|@jargão@
@jaw@|@maxila, queixada@
@jawbone@|@maxila, queixada@
@jaws@|@maxilas@
@jeer@|@zombar (v. i.)@
@jerk@|@empurrão@
@jest@|@zombar (v. i.)@
@jewel@|@jóia@
@jeweler (US)@|@joalheiro@
@jeweller (UK)@|@joalheiro@
@job@|@tarefa, trabalho@
@job-@|@trabalho@
@jog@|@movimento@
@Johannesburg@|@Joanesburgo@
@join@|@enlaçar (v.), juntar (v.), ligar (v. t.), travar (v. t.)@
@joint@|@junção@
@joke@|@gracejo@
@jolt@|@sacudida@
@Jordan@|@Jordão@
@journal@|@jornal@
@journalist@|@jornalista@
@journey@|@viagem, viajar (v.)@
@joy@|@alegria@
@joystick@|@manche@
@jubilate@|@jubilar (v.)@
@judge@|@achar (v.), judiciar (v.), juiz, julgar (v.), medir (v. t.)@
@judgment@|@julgamento@
@judicious@|@são (adj.)@
@jug@|@jarro@
@juice@|@suco, sumo@
@July@|@Julho@
@jump@|@salto@
@junction@|@junção@
@June@|@Junho@
@jungle@|@selva@
@junior@|@júnior@
@jury@|@júri@
@just@|@apenas, só, somente@
@justice@|@justiça@
@justify@|@justificar (v.)@
@juvenile@|@jovem (adj.)@
@juxtapose@|@justapor (v.)@
@kangaroo@|@canguru@
@keel@|@quilha@
@keen@|@afiado@
@keep@|@guardar (v.), manter (v.), observar (v.), poupar (v.), sustentar (v. t.), sustento, ter (v.)@
@keep away@|@afastar (v. t.)@
@keep out of the way@|@afastar-se (v. r.)@
@kernel@|@semente@
@kerosene@|@querosene@
@kettle@|@chaleira@
@key@|@chave@
@key (in)@|@teclar (v.)@
@keyboard@|@teclado@
@kick@|@chutar (v.), pontapé@
@kid@|@cabrito, miúdo@
@kidney@|@rim@
@kill@|@matança, matar (v.)@
@kilometer (US)@|@quilômetro@
@kilometre (UK)@|@quilômetro@
@kind@|@amável, espécie, género@
@kindle@|@acender (v.)@
@kindness@|@bondade@
@king@|@rei@
@kingdom@|@reino@
@kiss@|@beijar (v.), beijo@
@kitchen@|@cozinha@
@kitten@|@gatinho@
@knead@|@amassar (v.)@
@knee@|@joelho@
@kneel@|@ajoelhar (v.), genuflexão@
@knife@|@faca@
@knob@|@botão@
@knock down@|@derrubar (v.)@
@knot@|@nó@
@know@|@conhecer (v.), entender (v.), saber (v.), saiba, ver (v. t. i. r.)@
@know how@|@saber (v.)@
@knowledge@|@conhecimento@
@Korea@|@Coreia@
@label@|@etiqueta, etiquetar (v.), rotular (v. t.)@
@labor (US)@|@lidar (v. i.), lidar (v.), trabalho@
@labor union@|@trabalh-união@
@laboratory@|@laboratório@
@laborer (US)@|@obreiro@
@laborious@|@trabalhoso (adj.)@
@laboriously@|@trabalhosamente (adv.)@
@labour (UK)@|@lidar (v. i.), trabalho@
@labourer (UK)@|@obreiro@
@lace@|@enlaçar (v.), laço@
@lack@|@carecer (v.), falta, faltar (v.)@
@lacquer@|@laca@
@ladder@|@escada@
@ladle@|@colher (f.)@
@lady@|@senhora@
@lagoon@|@lagoa@
@lake@|@lago@
@lamb@|@cordeiro@
@lament@|@lamentar (v.), lastimar (v.)@
@lamp@|@lâmpada@
@land@|@país, terra@
@land on the moon@|@alunissar (v.)@
@landing@|@aterragem@
@landmark@|@marco@
@landscape@|@paisagem@
@lane@|@beco, pista@
@language@|@língua, linguagem@
@lantern@|@lanterna@
@lap@|@regaço@
@lapidary@|@lapidar (adj.)@
@lapidate@|@apedrejar (v.)@
@lapse@|@caducar (v.), lapso@
@larder@|@aparador@
@large@|@grande@
@lark@|@cotovia@
@lass@|@garota, moça, rapariga@
@last@|@durar (v.), perdurar (v.), último@
@late@|@tarde@
@lately@|@ultimamente@
@later@|@mais tarde@
@lathe@|@torno@
@laugh@|@rir (v.), riso@
@laughter@|@riso@
@launch@|@lançar (v.)@
@laundry@|@lavanderia@
@laurel@|@loureiro@
@law@|@lei@
@lawn@|@gramado@
@lawyer@|@advogado@
@lay@|@acamar (v. t. i.), configuração@
@lay a wooden floor@|@assoalhar (v.)@
@lay down@|@colocar (v.), meter (v.), por (v.)@
@layer@|@acamar (v. t. i.), camada@
@lazy@|@preguiçoso@
@lead@|@chumbo, conduzir (v.), liderar (v.), ligação@
@lead astray@|@desregrar (v. t.)@
@lead back@|@reconduzir (v.)@
@leaf@|@folha@
@league@|@liga@
@lean@|@delgado, encostar (v.), inclinar (v. t. r.)@
@lean over@|@debruçar (v.)@
@leap@|@pulo@
@learn@|@aprender (v.)@
@learned@|@instruído@
@learnt@|@aprendido@
@lease@|@aluguel, arrendar (v.)@
@least@|@menos@
@leather@|@couro@
@leave@|@abalar (v.), deixar (v.), licença, partir (v. t.), sair (v.)@
@leaven@|@fermentar (v.)@
@leaving-certificate@|@leaving-certificado@
@Lebanon@|@Líbano@
@lectern@|@atril@
@left@|@esquerdo@
@leg@|@pé, perna@
@legalize@|@formalizar (v.), legalizar (v.)@
@legend@|@legenda@
@legendary@|@legendário@
@legislate@|@legislar (v.)@
@legitimize@|@legitimar (v.)@
@lemon@|@limão@
@lemonade@|@limonada@
@lend@|@emprestar (v.), empreste@
@length@|@comprimento@
@lengthen@|@alongar (v. t.), alongue@
@lengthwise@|@longitudinalmente@
@lens@|@lente@
@lentil@|@lentilha@
@leopard@|@leopardo@
@less@|@menos@
@lessen@|@amainar (v.), diminua@
@lesson@|@lição@
@let@|@deixado@
@letter@|@carta, letra@
@lettuce@|@alface@
@level@|@aplanar (v.), nível@
@lever@|@alavanca@
@liberalize@|@liberalizar (v.)@
@liberate@|@liberar (v.)@
@library@|@biblioteca@
@Libya@|@Líbia@
@licence (UK)@|@licença@
@license (US)@|@licença@
@lick@|@lamber (v.)@
@lid@|@tampa@
@lie@|@jazer (v.), mentir (v.), mentira@
@lie down@|@deitar (v.)@
@lie in bed@|@acamar (v. t. i.)@
@lieutenant@|@tenente@
@life@|@vida@
@lift@|@alar (v.), ascensor, elevador, levantar (v. t. i. r.)@
@light@|@acender (v.), débil, fraco, luz@
@lighter@|@mais claro@
@lighthouse@|@farol@
@lightly@|@levemente@
@lightning@|@relâmpago@
@light-switch@|@comutador, luz-interruptor@
@like@|@amar (v.), como, gostar (v.), quão@
@like this@|@assim, tais, tal, tão@
@likely@|@provavelmente@
@lily@|@lírio@
@limb@|@membro@
@lime@|@cal@
@lime tree@|@tília@
@limit@|@definir (v.), limitar (v.), limite (m.)@
@limp@|@mancar (v.)@
@linden tree@|@tília@
@line@|@fila, fio, forrar (v.), linha@
@line up@|@alinhar (v.)@
@linen@|@linho@
@linguist@|@linguista@
@linguistic@|@linguístico@
@lining@|@forro@
@link@|@anel (m.), enlaçar (v.), ligação@
@link (ideas)@|@ligar (v. t.)@
@lion@|@leão@
@lip@|@bordo, lábio@
@liquid@|@líquido@
@liquidate@|@matar (v.), saldar (v.)@
@liquor@|@licor@
@Lisbon@|@Lisboa@
@lisp@|@cicie@
@list@|@lista@
@listen@|@escutar (v.), escute@
@listen to@|@ouvir (v.)@
@listener@|@ouvinte@
@liter (US)@|@litro@
@literal@|@exacto, literal@
@literary@|@literário@
@literature@|@literatura@
@litigate@|@litigue@
@litre (UK)@|@litro@
@little@|@pequeno, pouco@
@live@|@morar (v.), viver (v.), vivo (adj.)@
@lively@|@vívido@
@liven up@|@animar (v.)@
@liver@|@fígado@
@livestock@|@animais domésticos@
@living room@|@sala@
@load@|@carga, carregar (v.)@
@loaf@|@pão@
@loan@|@emprestar (v.), empréstimo@
@loathe@|@deteste@
@lobster@|@lagosta@
@locate@|@localizar (v.), localize, posicionar (v.)@
@location@|@posição@
@lock@|@fechadura, fechamento@
@lock up@|@encerrar (v. t.)@
@locker@|@armário@
@locomotive@|@locomotiva@
@locust@|@gafanhoto, locustídeo@
@lodge@|@albergar (v.), alojar (v.)@
@lofty@|@alto, elevado@
@log@|@lenho, madeiro@
@logic@|@lógica@
@logical@|@lógico, são (adj.)@
@London@|@Londres@
@lonely@|@só@
@long@|@comprido, por muito tempo@
@longing@|@saudades@
@look@|@olhadela, olhar (m.)@
@look (at) (at)@|@olhar (v. t. r.)@
@look after@|@olhar (v. t.)@
@look for@|@procurar (v.)@
@look upon@|@olhar (v. t.)@
@loom@|@assomar (v.), tear (v.)@
@loop@|@laço@
@loose@|@frouxo@
@loosely@|@frouxamente@
@loosen@|@afrouxar (v.), desligar (v.)@
@lord@|@senhor@
@Lorraine@|@Lorena@
@lose@|@perca, perder (v.), sucumbir (v.)@
@lose control@|@descontrolar (v. i.)@
@lose courage@|@acabrunhar (v. t. r.)@
@lose one's concentration@|@desconcentrar-se (v. r.)@
@lose oneself in a thing@|@abismar-se (v. i. r.)@
@loss@|@perda@
@lost@|@perdido@
@lot@|@lote@
@loud@|@ruidosamente@
@loudly@|@alta@
@louse@|@piolho@
@love@|@amar (v.), amor@
@lovely@|@belo, caro, encantador, formoso@
@lover@|@amante@
@low@|@baixo@
@lower@|@abaixar (v.), baixar (v. t. r.), mais baixo, rebaixar (v. t.)@
@loyal@|@leal@
@lubricate@|@lubrificar (v.)@
@luck@|@sorte@
@luggage@|@bagagem@
@luggage-van@|@furgão@
@lukewarm@|@morno@
@lull to sleep@|@acalentar (v.)@
@lump@|@protuberância@
@lunch@|@almoçar (v.), almoço@
@lung@|@pulmão@
@luxury@|@luxo@
@lynch@|@linchar (v.)@
@macaroni@|@macarrão@
@Macedonian@|@Macedónio@
@macerate@|@macerar (v.)@
@machine@|@máquina@
@machinery@|@maquinaria@
@mackerel@|@cavala@
@mad@|@louco@
@magazine@|@compartimento, jornal@
@magic@|@mágica@
@magical@|@mágico@
@magician@|@mágico@
@magnet@|@ímã@
@magnetic@|@magnético@
@magnetism@|@magnetismo@
@magnetize@|@magnetizar (v.)@
@magnificent@|@magnífico@
@magnify@|@aumentar (v.)@
@maid@|@criada, empregada doméstica@
@mail@|@correio@
@mailbox@|@caixa postal@
@main@|@principal@
@mainly@|@principalmente@
@maintain@|@sustentar (v. t.)@
@maize@|@milho@
@majestic@|@majestoso@
@major@|@principal@
@majority@|@maioria@
@make@|@confeccionar (v. t.), faça, fazer (v.), tornar (v. t. i. r.)@
@make a mistake@|@equivocar (v.), errar (v.)@
@make a speech@|@discursar (v.)@
@make an impression@|@impressionar (v.)@
@make available@|@franquear (v.)@
@make bitter@|@amargar (v.)@
@make bourgeois@|@aburguesar (v. t. r.)@
@make clean@|@limpar (v.)@
@make cozy@|@aconchegar (v. t.)@
@make familiar@|@familiarizar (v.)@
@make fluffy@|@afofar (v.)@
@make it difficult@|@dificultar (v.)@
@make look like@|@aparentar (v.)@
@make marshy@|@encharcar (v.)@
@make obvious@|@transparentar (v. t.)@
@make possible@|@possibilitar (v.), viabilizar (v.)@
@make responsible@|@responsabilizar (v.)@
@make right@|@acertar (v.)@
@make satin-like@|@acetinar (v. t.)@
@make solid@|@solidificar (v.)@
@make the rounds@|@rondar (v.)@
@make transparent@|@transparentar (v. t.)@
@make uneven@|@desnivelar (v.)@
@make unusable@|@inutilizar (v.)@
@make use@|@dispor (v.)@
@make use of@|@empregar (v.), usar (v.)@
@make-up@|@composição@
@malaria@|@malária@
@male@|@macho@
@Malian@|@Maliense@
@malicious@|@malicioso@
@malign@|@caluníe@
@maltreat@|@maltratar (v.)@
@mammal@|@mamífero@
@man@|@homem@
@man (naut.)@|@tripular (v. t.)@
@manage@|@administrar (v.), controle, gerenciar (v.), gerir (v.)@
@management@|@gerência@
@manager@|@director, gerente@
@mandate@|@mandato@
@maneuver (US)@|@manobra, manobrar (v. t. i.)@
@manifest@|@manifesto@
@manipulate@|@manipular (v.), manipule@
@mankind@|@humanidade@
@manner@|@maneira, moda, modo@
@manoeuvre (UK)@|@manobra, manobrar (v. t. i.)@
@mantel@|@cornija de lareira@
@manufacture@|@fabricar (v.), manufatura@
@manuscript@|@manuscrito@
@many@|@muitos, tantos@
@map@|@mapa@
@maple@|@bordo@
@marble@|@mármore@
@March@|@Março@
@march off@|@abalar (v.), partir (v. t.)@
@margin@|@margem@
@mark@|@aceno, marca, marcar (v.), ver (v. t. i. r.)@
@mark out@|@definir (v.)@
@markdown@|@remarcar (v.)@
@market@|@mercado@
@marketplace@|@mercado@
@marmalade@|@compota@
@marriage@|@matrimónio, união@
@marry@|@casar (v.), casar-se (v.), case, enlaçar (v.)@
@Mars@|@Marte@
@marsh@|@pântano@
@marvel@|@maravilha@
@mask@|@máscara@
@mass@|@massa@
@massive@|@maciço@
@mast@|@mastro@
@master@|@amo, mestre@
@mat@|@esteira@
@match@|@combinar (v.), fósforo, unir (v.)@
@match-make@|@fósforo-faça@
@match-maker@|@fósforo-fabricante@
@materialize@|@coalhar (v.), concretizar (v.), materializar (v.)@
@mathematical@|@matemático@
@mathematician@|@matemático@
@mathematics@|@matemática@
@matrix@|@matriz@
@matter@|@importar (v.), matéria@
@mattress@|@colchão@
@mature@|@maduro@
@Mauritania@|@Mauritânia@
@maximum@|@maximo, máximo@
@may@|@poder (v. t.), possa@
@May@|@Maio@
@maybe@|@acaso, talvez@
@me@|@mim@
@meadow@|@prado@
@meal@|@refeição@
@mean@|@achar (v.), entender (v.), meio, tencionar (v.)@
@meander@|@ziguezaguear (v. i.)@
@meaning@|@entender (m.)@
@meaningless@|@sem sentido@
@means@|@ferramenta, significa@
@meanwhile@|@entrementes@
@measles@|@sarampo@
@measure@|@medida, medir (v. t.)@
@measurement@|@medida@
@meat@|@carne@
@mechanic@|@mecânico@
@mechanical@|@mecânico@
@mechanics@|@mecânicos@
@mechanize@|@mecanizar (v.)@
@medal@|@medalha@
@mediate@|@intervir (v. i.), mediar (v.)@
@medical@|@médico@
@medicine@|@medicina@
@meditate@|@reflectir (v. t. i.)@
@Mediterranean@|@Mediterrâneo@
@meet@|@achar (v.), reunião@
@meeting@|@reunião@
@melancholy@|@melancolia@
@melody@|@melodia@
@melon@|@melão@
@melt@|@derreter (v.)@
@member@|@membro@
@membership@|@sociedade@
@memorize@|@memorizar (v.)@
@memory@|@memória@
@menace@|@ameaça, arremesso@
@mend@|@cerzir (v.), emende@
@mention@|@mencionar (v.)@
@menu@|@lista@
@merchandise@|@mercadoria@
@merchant@|@comerciante@
@Mercury@|@Mercúrio@
@mere@|@mero@
@merit@|@mérito@
@merry@|@alegre@
@mesh@|@engranzamento@
@message@|@mensagem@
@messenger@|@mensageiro@
@metal@|@metal@
@metallic@|@metálico@
@meteorology@|@meteorologia@
@meter (US)@|@medidor@
@method@|@método, modo@
@methodical@|@metódico@
@metre (UK)@|@medidor@
@metric@|@métrico@
@Mexican@|@Mexicano@
@Mexico@|@México@
@microbe@|@micróbio@
@microfilm@|@microfilme@
@microphone@|@microfone@
@microscope@|@microscópio@
@midday@|@meio-dia@
@midday meal@|@almoço@
@middle@|@médio@
@Middle East@|@Médio-Oriente@
@midge-bite@|@midge-mordida@
@midget@|@anão@
@midnight@|@meia-noite@
@migrant@|@emigrante@
@migrate@|@migre@
@mild@|@suave@
@mile@|@milha@
@milestone@|@marco miliário@
@military@|@militar (v.)@
@milk@|@leite, ordenhar (v.)@
@mill@|@moinho@
@miller@|@moleiro@
@millimeter (US)@|@milímetro@
@millimetre (UK)@|@milímetro@
@milliner@|@modista@
@million@|@milhão@
@mind@|@mente, observar (v.)@
@mine@|@mina, minar (v.)@
@miner@|@mineiro@
@mineral@|@mineral@
@minerals@|@minerais (pl.)@
@mingle@|@misturar (v.)@
@minimize@|@minimizar (v.)@
@minimum@|@mínimo@
@mining@|@mineração (f.)@
@minister@|@ministro@
@ministry@|@ministério@
@mint@|@hortelã@
@mint-master@|@mint-mestre@
@minus@|@negativo@
@minute@|@minuto@
@minutes@|@minutos@
@mirror@|@espelho, reflectir (v. t. i.)@
@misadjust@|@desajustar (v.)@
@misbehave@|@desregrar-se (v. r.)@
@miscarry@|@fracasse@
@miserable@|@mau, miserável, pobre@
@miserably@|@miseràvel@
@misery@|@miséria@
@misfortune@|@infortúnio@
@mislead@|@desencaminhar (v.), trair (v. t. i.)@
@miss@|@falta, faltar (v.)@
@mission@|@missão@
@missionary@|@missionário@
@mist@|@neblina, névoa@
@mistake@|@defeito, erro@
@mistaken@|@errado@
@misunderstand@|@desentender (v.), entenda mal@
@misunderstanding@|@engano@
@mite@|@ácaro@
@miter (US)@|@mitra@
@mitigate@|@mitigar (v.)@
@mitre (UK)@|@mitra@
@mitten@|@luva@
@mix@|@ligar (v. t.), mistura, misturar (v.)@
@mixture@|@mistura@
@mnemonic@|@mnemônica@
@moan@|@gemer (v.)@
@mobile@|@móbil, móvel@
@mobilize@|@mobilizar (v.)@
@mock@|@vaiar (v. t. i.), zombar (v. i.)@
@mode@|@maneira, moda, modalidade, modo@
@model@|@modelar (v.), modelo@
@moderate@|@moderado, moderar (v.)@
@modern@|@moderno@
@modernize@|@modernizar (v.)@
@modest@|@modesto@
@modify@|@alterar (v.), modificar (v.)@
@modulate@|@modular (v.)@
@moist@|@húmido@
@moisture@|@umidade@
@mold@|@modelar (v.)@
@mold (US)@|@molde (m.)@
@mole@|@toupeira@
@molecule@|@molécula@
@molest@|@molestar (v.)@
@molt (US)@|@mudar (v.)@
@moment@|@momento@
@momentarily@|@momentaneamente@
@momentary@|@momentâneo@
@Monday@|@Segunda-feira@
@money@|@bagaço, dinheiro@
@money-box@|@dinheiro-caixa@
@monkey@|@macaco@
@monkey-like@|@macaco-como@
@monkey-wrench@|@macaco-chave@
@monopolize@|@monopolizar (v.)@
@monopoly@|@monopólio@
@month@|@mês@
@monthly@|@mensal, mensalmente@
@monument@|@monumento@
@mood@|@modo@
@moon@|@lua@
@moon-@|@lua@
@moor@|@amarrar (v.)@
@Moor@|@Amarre@
@moose@|@alces@
@morality@|@virtude@
@morals@|@morais@
@more@|@mais@
@moreover@|@além disso, demais@
@morning@|@manhã (f.)@
@Morocco@|@Marrocos@
@morpheme@|@morfema@
@morphology@|@morfologia@
@morsel@|@bocado@
@mortar@|@almofariz@
@mortgage@|@penhorar (v. t.)@
@Moscow@|@Moscovo@
@Moslem@|@Muçulmanos@
@mosquito@|@mosquito@
@moss@|@musgo@
@most@|@a maioria@
@mostly@|@na maior parte@
@moth@|@traça@
@mother@|@mãe@
@motion@|@movimento@
@motivate@|@motivar (v.)@
@motive@|@motriz@
@motor@|@motor@
@motorcycle@|@motocicleta@
@motorize@|@motorizar (v.)@
@motor-launch@|@motor-lance@
@mould (UK)@|@molde (m.)@
@moult (UK)@|@mudar (v.)@
@mount@|@montagem (f.)@
@mountain@|@montanha, serra@
@mouse@|@rato@
@moustache@|@bigode@
@mouth@|@boca, foz@
@mouthful@|@bocado@
@move@|@abalançar (v. t. r.), andar (v.), ir (v. i.), mexer (v.), mover (v.), movimento, mudar (v.), tramitar (v.)@
@movement@|@movimento@
@movie@|@filme@
@Mr.@|@Sr.@
@much@|@assaz, bastaante, muito, quase@
@mud@|@lama, lodo@
@muddy@|@enlameado@
@mulberry tree@|@amoreira@
@mule@|@mula@
@multinational@|@multinacional@
@multiple@|@múltiplo@
@multiply@|@multiplicar (v.)@
@mumble@|@balbuciar (v.)@
@murder@|@assassinato@
@murmur@|@murmurar (v.), zumbir (v. i.)@
@muscle@|@músculo@
@museum@|@museu@
@mushroom@|@cogumelo@
@music@|@música@
@musician@|@músico@
@Muslim@|@Muçulmanos@
@mussel@|@mexilhão@
@must@|@dever (v. t. i.), obrigação@
@mustard@|@mostarda@
@mutilate@|@mutilar (v.)@
@mutiny@|@levantar (v. t. i. r.)@
@mutton@|@carne de carneiro@
@mutual@|@mútuo@
@muzzle@|@açaime@
@my@|@meu, minha (f.), minho (m.)@
@myriad@|@miríade@
@myself@|@eu mesmo, mesma, mesmo@
@mysterious@|@misterioso@
@mystery@|@mistério@
@mystify@|@mistificar (v.)@
@myth@|@mito@
@nail@|@prego, unha@
@naive@|@ingénuo@
@naked@|@despido, nu@
@name@|@intitular (v. t. r.), nome@
@name-day@|@nome-dia@
@namely@|@a saber (v.)@
@name-plate@|@placa de identificação@
@Namibia@|@Namíbia@
@nap@|@sesta@
@napkin@|@guardanapo@
@Naples@|@Nápoles@
@narcotize@|@narcotizar (v.)@
@narrative@|@narrativa@
@narrow@|@estreitar (v.)@
@nasty@|@mau, sujo (adj.)@
@nation@|@nação, povo@
@national@|@nacional@
@nationality@|@nacionalidade@
@nationalize@|@nacionalizar (v.)@
@native@|@nativo@
@naturalize@|@naturalizar (v.)@
@naturally@|@naturalmente@
@nature@|@carácter (m.), natureza@
@naught (US)@|@zero@
@nauseate@|@enjoar (v.)@
@navigation@|@navegação@
@navy@|@marinha@
@near@|@abeirar (v. t. r.), acercar (v. t. r.), perto@
@nearby@|@ao pé, próximo@
@nearer@|@mais próximo@
@nearest@|@o mais próximo@
@nearly@|@quase@
@neat@|@puro@
@necessary@|@necessário, preciso@
@necessity@|@necessidade@
@neck@|@garganta, pescoço@
@necktie@|@gravata@
@nectar@|@néctar (v.)@
@need@|@necessidade, necessitar (v.), precisar (v.)@
@needle@|@agulha, alfinete@
@negative@|@negativo@
@negatively@|@negativamente@
@neglect@|@descuidar (v.), negligência@
@negotiate@|@negociar (v.)@
@neighbor (US)@|@vizinho@
@neighborhood (US)@|@vizinhança@
@neighbour (UK)@|@vizinho@
@neighbourhood (UK)@|@vizinhança@
@neither@|@nem, nenhum, nenhuns@
@neon@|@néon@
@nephew@|@sobrinho@
@Neptune@|@Netuno@
@nerve@|@nervo@
@nervous@|@nervoso@
@nest@|@ninho@
@nestle@|@aninhar (v.)@
@net@|@rede@
@network@|@rede, reticulação (f.)@
@neutral@|@neutro@
@neutralize@|@neutralizar (v.)@
@never@|@jamais, nunca@
@nevertheless@|@apesar de (prep.), contudo, embora, não obstante@
@new@|@novo@
@news@|@notícia@
@newspaper@|@jornal@
@next@|@em seguida, seguinte@
@nibble@|@mordidela@
@Nicaragua@|@Nicarágua@
@nice@|@agradável, bom@
@nickname@|@apelidar (v.)@
@niece@|@sobrinha@
@Nigeria@|@Nigéria@
@night@|@noite@
@nightingale@|@rouxinol@
@nightly@|@à noite@
@Nile@|@Nilo@
@nine@|@nove@
@nine hundred@|@novecentos@
@nineteen@|@dazanove, dezenove@
@nineteenth@|@décimo nona@
@ninetieth@|@nonagésima@
@ninety@|@noventa@
@ninth@|@nona, nono@
@nip@|@estreitamento@
@nipple@|@bocal@
@no@|@não, nenhum@
@noble@|@nobre@
@nobody@|@ninguém@
@nod@|@assentimento@
@node@|@nó@
@noise@|@barulho, ruído@
@noiseless@|@silencioso@
@noisily@|@barulhentamente@
@noisy@|@barulhento, ruidoso@
@nominate@|@nomear (v.)@
@none@|@nenhum, nenhuns@
@nonetheless@|@apesar de (prep.)@
@nonsense@|@absurdo@
@noon@|@meio-dia@
@no-one@|@ninguém@
@no-one's@|@no-one@
@norm@|@norma@
@normalize@|@normalizar (v.)@
@Norman@|@Normando@
@north@|@norte@
@northern@|@do norte@
@Norway@|@Noruega@
@Norwegian@|@Norueguês@
@nose@|@nariz@
@nostalgia@|@nostalgia@
@nostril@|@narina@
@not@|@não@
@not far from@|@ao pé@
@notary@|@notário@
@note@|@bilhete, nota@
@notebook@|@caderno@
@nothing@|@nada@
@notice@|@notar (v.), observação, reparar (v.), ver (v. t. i. r.)@
@notice-board@|@observação-placa@
@notification@|@notificação@
@notify@|@noticiar (v.), notificar (v.)@
@notion@|@noção@
@notwithstanding@|@apesar de (prep.)@
@nought (UK)@|@zero@
@noun@|@substantivo@
@nourish@|@nutrir (v.), sustentar (v. t.)@
@novel@|@novela, novo@
@November@|@Novembro@
@now@|@agora, ora, pois@
@nowadays@|@hoje em dia@
@nowhere@|@em nenhuma parte, em parte alguma, nenhum lugar@
@nozzle@|@bocal@
@nucleus@|@núcleo@
@nude@|@nu@
@null@|@zero@
@numb@|@entorpecer (v. t.)@
@number@|@numerar (v.), número@
@nurse@|@enfermeira@
@nut@|@noz, porca@
@nuts@|@porcas@
@O.K.@|@bem, bom@
@oak@|@carvalho@
@oar@|@remo@
@oath@|@juramento@
@oats@|@aveia@
@obey@|@obedeça, obedecer (v.)@
@object@|@objecto, objeto@
@objectionable@|@desagradável@
@obligation@|@obrigação@
@oblige@|@obrigar (v.), penhorar (v. t.)@
@obscure@|@obscuro@
@observation@|@observação@
@observe@|@espreitar (v.), observar (v.), olhar (v. t.), reparar (v.), ver (v. t. i. r.)@
@obstacle@|@obstáculo@
@obstruct@|@entupir (v.), obstruir (v.)@
@obtain@|@adquirir (v.), colher (v. t.), conseguir (v.), obter (v.)@
@obtainable@|@obtenível@
@obvious@|@óbvio@
@obviously@|@evidentemente, obviamente@
@occasion@|@ocasião, surtir (v.)@
@occasional@|@ocasional@
@occult@|@ocultar (v.)@
@occupation@|@ocupação@
@occupy@|@ocupar (v.)@
@occur@|@ocorra, ocorrer (v.), suceder (v.)@
@ocean@|@oceano@
@o'clock@|@horas@
@October@|@Outubro@
@octopus@|@polvo@
@odd (number)@|@impar (adj.)@
@odor (US)@|@odor@
@odour (UK)@|@odor@
@of@|@do@
@of this@|@deste (de este) (contr.)@
@offend@|@ofender (v.), ultrajar (v.)@
@offensive@|@ofensivo@
@offer@|@oferta, ofertar (v.)@
@office@|@escritório@
@officer@|@funcionário, oficial@
@official@|@funcionário, oficial@
@offset@|@distância@
@offspring@|@prole@
@often@|@frequentemente@
@oil@|@azeite, óleo@
@OK@|@bem, bom@
@okay@|@bem, bom@
@old@|@velho@
@older@|@mais velho@
@olive@|@azeitona@
@olive tree@|@oliveira@
@omit@|@omita, omitir (v.)@
@on@|@em, na, no, pelo@
@on top@|@acima@
@once@|@uma vez que@
@one@|@um (m.), uma (f.)@
@one billion@|@bilhão@
@one hundred@|@cem@
@one million@|@milhão@
@one thousand@|@mil@
@one-hundredth@|@uma centésima@
@onerous@|@pesado@
@one-way traffic@|@mão-única@
@onion@|@cebola@
@only@|@só, somente@
@only just@|@apenas@
@onto@|@em, na, no@
@open@|@aberto, abrir (v. t.), destapar (v. t.)@
@opening@|@abertura@
@openly@|@abertamente@
@opera@|@ópera@
@operate@|@actuar (v. i.), funcionar (v.), operar (v.), opere@
@operation@|@operação (f.)@
@operative@|@obreiro, operativo@
@opinion@|@entender (m.), opinião@
@opponent@|@oponente@
@opportunity@|@oportunidade, vez (f.)@
@oppose@|@contrapor (v.), contrariar (v.), opor (v.), repugnar (v. t. i.)@
@opposite@|@oposto@
@opposition@|@oposição@
@oppress@|@acabrunhar (v. t. r.), oprimir (v.)@
@opt@|@optar (v.)@
@optician@|@oculista@
@optimal@|@óptimo@
@option@|@opção@
@or@|@ou@
@orally@|@oral@
@orange@|@alaranjado, laranja@
@orange tree@|@laranjeira@
@orbit@|@órbita@
@orchard@|@pomar (v.)@
@ordain@|@estabelecer (v. t.)@
@order@|@encomendar (v.), mandar (v.), ordem@
@ordinarily@|@ordinariamente@
@organ@|@órgão@
