@English@|@Esperanto@
@insulted@|@ofendita@
@insulting@|@insulta@
@insurance@|@asekuro@
@insurance policy@|@poliso@
@insure@|@asekuri@
@insurer@|@asekuristo@
@integer@|@entjera@
@integral@|@integra@
@integrate@|@integri, integriĝi@
@integrated circuit@|@ico, integrita cirkvito@
@intellect@|@intelekto@
@intellectual@|@intelekta, intelektulo@
@intellectuals@|@intelektularo@
@intelligence@|@inteligenteco, inteligento@
@intelligent@|@inteligenta@
@intelligentsia@|@intelektularo, inteligencio@
@intelligibility@|@komprenebleco@
@intend@|@celi, intenci@
@intense@|@intensa@
@intensify@|@intensigi@
@intensive@|@intensa@
@intention@|@intenco@
@intentional@|@intenca@
@inter@|@entombigi@
@intercede@|@propeti@
@intercede for@|@proparoli@
@intercession@|@proparolo@
@interchange@|@interŝanĝi@
@intercom@|@interfono@
@interest@|@interesi, interesiĝo, intereso, interezo, rentumo@
@interested@|@interesita@
@interest-free@|@senintereza@
@interesting@|@interesa, kurioza@
@interface@|@interfaco@
@interfere with@|@enmiksiĝi en, perturbi@
@interference@|@perturbo@
@intergovernmental@|@interŝtata@
@interhuman@|@interhoma@
@interior@|@interno@
@interjection@|@interjekcio@
@interment@|@enterigo, entombigo@
@intermission@|@paŭzo@
@intermittent@|@intermita@
@intern@|@internigi@
@internal@|@ena, interna@
@internal combustion engine@|@eksplodmotoro@
@international@|@internacia@
@International@|@internacio@
@international express@|@internacia rapidtrajno@
@international express train@|@internacia rapidtrajno@
@internationalism@|@internaciismo@
@Internet@|@interreto@
@interpersonal@|@interhoma@
@interpret@|@interpreti@
@interpretation@|@ekzegezo, interpreto@
@interpreter@|@interpretilo, interpretisto@
@interracial@|@interrasa@
@interrogate@|@esplordemandi, pridemandi@
@interrupt@|@interrompi@
@interruption@|@interrompo@
@intersection@|@stratkruciĝo@
@interstate@|@interŝtata@
@interval@|@intervalo@
@intervene@|@interveni@
@intervention@|@interveno@
@interview@|@intervjui, intervjuo@
@intestine@|@intesto@
@intestines@|@intestaro@
@intimacy@|@intimeco@
@intimate@|@intima@
@into@|@en@
@intolerable@|@netolerebla@
@intolerant@|@netolerema@
@intone@|@ekkanti@
@intoxicate@|@svenigi@
@intoxicated@|@ebria@
@intoxicating liquor@|@ebrigaĵo@
@intractable@|@kontraŭstarema@
@intrepid@|@aŭdaca@
@intrigue@|@intrigi@
@introduce@|@enplekti, prezenti@
@introduction@|@enkonduko@
@intrude@|@entrudiĝi@
@inundate@|@superakvi@
@invade@|@invadi@
@invalid@|@malvalida@
@invasion@|@invado@
@invent@|@elpensi, eltrovi, inventi@
@invention@|@elpensaĵo, eltrovaĵo, eltrovo, inventaĵo, invento@
@inventor@|@inventisto@
@inventory@|@inventaro@
@Invergarry@|@Invergaro@
@inverted comma@|@citilo@
@invest@|@investi, plasi@
@investigate@|@esplori@
@investigation@|@ekzameno, enketo, esplorado, esploro@
@investigator@|@esploranto, esploristo@
@investment@|@investado@
@investor@|@investanto@
@invincible@|@nevenkebla@
@invitation@|@invitilo, invito@
@invite@|@inviti@
@invite tenders for@|@adjudiki@
@invoice@|@fakturi, fakturo@
@invoke@|@alpreĝi, alvoki, alvoki preĝe, elpetigi@
@involuntary@|@nevola@
@involve@|@engaĝi@
@involved@|@engaĝita@
@invulnerable@|@nevundebla@
@inwards@|@enen, internen@
@Io@|@Io@
@iodine@|@jodo@
@Ionian Sea@|@Jonika Maro@
@Ionic@|@ionika@
@iota@|@joto@
@Iq@|@inteligenteca kvociento@
@Irak@|@Irako@
@Iran@|@Irano@
@Iranian@|@irana, iranano@
@Iranian woman@|@irananino@
@Iraq@|@Irako@
@Iraqi@|@iraka, irakano@
@Ireland@|@Irlando@
@Irene@|@Ireno@
@iridescent@|@iriza@
@iridium@|@iridio@
@Iris@|@Iriso@
@Irish@|@irlanda@
@Irish Sea@|@Irlanda Maro@
@Irishman@|@irlandano@
@Irishwoman@|@irlandanino@
@iron@|@fera, fero, gladi, gladilo@
@iron clothes@|@gladi@
@iron wire@|@ferdrato@
@ironic@|@ironia@
@ironing board@|@gladotabulo@
@ironwork@|@metalgarnaĵo@
@irony@|@ironio@
@irradiate@|@surradii@
@irradiation@|@surradiado@
@irrational@|@malracia@
@irregular@|@malregula@
@irreproachable@|@senriproĉa@
@irresistible@|@nerezistebla@
@irresolute@|@hezitema@
@irresolution@|@ŝanceliĝemo@
@irretrievable@|@nerevenigebla@
@irrevocable@|@nerevokebla@
@irrigate@|@akvumi@
@irritate@|@agaci, iriti@
@irritating; tart@|@agaca@
@is it@|@ĉu@
@-ish@|@eca@
@Ishtar@|@Iŝtaro@
@Isis@|@Isido@
@Islam@|@islamo@
@Islamic@|@islama@
@island@|@insulo@
@islander@|@insulano@
@Isle of Wight@|@Ŭajto@
@ism@|@ismo@
@isn't it@|@ĉu ne@
@isn't that so@|@ĉu ne@
@isolate@|@izoli@
@isolated@|@izola@
@isolation@|@izolado, izoleco, izoliteco@
@Isrĉl@|@Isrĉlo, Izrĉlo@
@Isrĉli@|@isrĉla, isrĉlano, izrĉla, izrĉlano@
@Isrĉli woman@|@isrĉlanino@
@Isrĉlit@|@isrĉlida@
@Isrĉlite@|@isrĉlida, isrĉlido@
@issue@|@eldoni, eldonkvanto, posteuloj, proklami@
@-ist@|@isto@
@Istanbul@|@Istanbulo@
@isthmus@|@istmo@
@it@|@ĝi, ĝin@
@it doesn't matter@|@negravas, tio ne gravas@
@Italian@|@itala, itala lingvo, italo@
@Italian language@|@itala lingvo@
@Italian Riviera@|@Riviero@
@Italian woman@|@italino@
@italic@|@kursiva@
@Italy@|@Italio@
@itch@|@juki, juko@
@item@|@ero@
@item of mail@|@sendaĵo@
@Ithaca@|@Itako@
@its@|@ĝia, sia@
@it's a matter of@|@temas pri@
@itself@|@mem, si@
@-ity@|@eco@
@ivory@|@ebura, eburo@
@ivy@|@hedero@
@jack@|@ĵako, kriko@
@jack off@|@onani@
@jackal@|@ŝakalo@
@jacket@|@jako@
@Jacob@|@Jakobo@
@jade@|@jada, jado, lacegigi@
@jaguar@|@jaguaro@
@jail@|@malliberejo, malliberigi, malliberulejo, prizono@
@jam@|@konfitaĵo, marmelado@
@Jamaica@|@Jamajko@
@January@|@januaro@
@Janus@|@Jano@
@Japan@|@Japanio@
@Japanese@|@japana, japana lingvo, japano@
@Japanese language@|@japana lingvo@
@Japanese woman@|@japanino@
@jar@|@bokalo@
@jargon@|@jargono, ĵargono@
@Java@|@Javo@
@Java Sea@|@Javomaro@
@Javan@|@java@
@Javanese@|@java, javano@
@Javanese woman@|@javanino@
@jaw@|@makzelo@
@jawbone@|@makzelo@
@jaws@|@buŝego, faŭko@
@jay@|@garolo@
@jazz@|@ĵazo@
@jealous@|@enviema, ĵaluza@
@jealousy@|@ĵaluzo@
@jeer@|@mokinsulti@
@jeer at@|@moki, mokinsulti@
@Jehovah@|@Jehovo@
@Jericho@|@Jeriĥo@
@jerk@|@ekskui, ektiri@
@Jersey@|@Ĵerzo@
@Jerusalem@|@Jerusalemo, Jeruzalemo@
@jest@|@ŝerci@
@jester@|@arlekeno@
@Jesus@|@Jesuo, Jezuo@
@Jesus Christ@|@Jesuo Kristo@
@jet plane@|@jeto@
@Jew@|@hebreo, judo@
@jewel@|@gemo, juvelo@
@jeweller@|@gemisto, juvelisto@
@Jewess@|@judino@
@Jewish@|@hebrea, juda@
@Jewish woman@|@judino@
@Jewry@|@judaro@
@jihad@|@ĝihado@
@jingle@|@tinti, tinto@
@job@|@laboro, laborposteno, ofico, tasko@
@job-@|@kontraktita@
@jocular@|@ŝercema@
@jog@|@ekpuŝi, ĝogi@
@Johannesburg@|@Johanesburgo@
@join@|@junti, kuniĝi, ligi, unuigi, unuiĝi@
@join(2)@|@aliĝi, interligi, kunigi, kunligi@
@joining@|@kuniĝo@
@joint@|@artiko, junto, kolektiva, komuna, kuna@
@joke@|@ŝercaĵo, ŝerci, ŝerco@
@joker@|@ĵokero@
@jokester@|@ŝerculo@
@jolly fellow@|@gajulo@
@jolt@|@ekskui@
@Jordan@|@Jordanio, Jordano@
@Joseph@|@Jozefo@
@Joshua@|@Joŝuo@
@jot@|@joto@
@journal@|@ĵurnalo@
@journalist@|@ĵurnalistino, ĵurnalisto, publicisto@
@journalist(2)@|@gazetistino, gazetisto@
@journey@|@vojaĝo@
@Jove@|@Jupitero@
@joy@|@ĝojeco, ĝojo@
@joyful@|@ĝojiga@
@jubilant@|@jubila@
@jubilation@|@jubilo@
@jubilee@|@jubilea, jubileo@
@Judaism@|@judismo@
@judge@|@juĝi, juĝisto, kritikanto, prijuĝi@
@judgement@|@juĝo@
@judicial@|@jura@
@judiciary@|@justico@
@jug@|@kruĉo, poto, ujo@
@juggle@|@ĵongli@
@juggler@|@ĵonglisto@
@juice@|@suko@
@July@|@julio@
@jumbled up@|@konfuza@
@jump@|@salti, salto@
@jump across@|@transsalti@
@jump off@|@desalti, malsuprensalti@
@jump up@|@eksalti@
@junction@|@kuniĝo@
@June@|@junio@
@june bug@|@majskarabo@
@Juneau@|@Ĵuno@
@jungle@|@ĝangalo@
@junior@|@debutanta@
@juniper@|@junipero@
@junk@|@fatraso, ĵonko@
@junk jewellery@|@straso@
@Jupiter@|@Jupitero@
@Jura@|@Juro@
@Jurassic@|@Ĵuraso@
@juridical@|@jura@
@jurisprudence@|@juro, jurscienco@
@jurist@|@juristo@
@jury@|@juĝantaro, ĵurio@
@just@|@ĝuste, ĵus, justa, nur, sole@
@just now@|@ĵus@
@justice@|@justeco, justico@
@Justice@|@Justitio@
@justify@|@pravigi@
@Jutland@|@Jutlando@
@juxtapose@|@apudmeti@
@Kabul@|@Kabulo@
@Kamloops@|@Kamlopso@
@kangaroo@|@makropo@
@karate@|@karateo@
@Karelia@|@Karelio@
@Karian Sea@|@Karia Maro@
@karma@|@karmo@
@Kashmir@|@Kaŝmiro@
@Katar@|@Kataro@
@Kattegat@|@Kategato@
@Kazak@|@kazaĥa@
@Kazakh@|@kazaĥa@
@Kazakhstan@|@Kazaĥio@
@keel@|@kilo@
@keen@|@vigla@
@keep@|@adi, konservi, observi, plenumi, savi@
@keep an eye on@|@gvati@
@keep at a distance@|@forteni@
@keep at bay@|@forteni@
@keep back@|@kaŝgardi@
@keep busy@|@okupiĝi@
@keep house@|@mastrumi@
@keep in@|@postrestigi@
@keep on@|@adi, daŭri@
@keep watch@|@vigili@
@keep(2)@|@bredi, gardi, restigi@
@keeper of the records@|@arĥivisto, arkivisto@
@keepsake@|@memoraĵo, memorigaĵo@
@kelp@|@fuko@
@Kenya@|@Kenjo@
@Kenyan@|@kenja, kenjano@
@Kenyan woman@|@kenjanino@
@Kerguelen@|@Kergeloj@
@kernel@|@kerno@
@ketchup@|@keĉupo@
@kettle@|@bolilo, bolkruĉo, kaldrono@
@key@|@gamo, klavo, ŝlosilo@
@keyboard@|@klavaro@
@keynote address@|@festparolado@
@Khartoum@|@Ĥartumo@
@kibbutz@|@kibuco@
@kick@|@kalcitri, piedbati, piedbato@
@kick it@|@sendrogiĝi@
@kick off@|@ekludi@
@kick-off@|@ekludo@
@kid@|@blagi, kaprido@
@kidnap@|@forkapti, forrabi@
@kidney@|@reno@
@kid's stuff@|@infanaĵo@
@Kiev@|@Kievo@
@kill@|@mortbati, mortigi@
@kill oneself@|@mortigi sin@
@kiln@|@forno@
@kilo@|@kilogramo@
@kilometre@|@kilometro@
@kilt@|@kilto@
@kimono@|@kimono@
@kind@|@afabla, bonkora, kompleza, komplezema, speco@
@kindle@|@ekbruligi@
@kindness@|@afableco@
@king@|@reĝo@
@kingdom@|@reĝlando@
@kingfisher@|@alciono@
@Kirghizia@|@Kirgizio@
@kirk@|@preĝejo@
@kiss@|@kisi, kiso@
@kit@|@garnituro, necesujo@
@kitchen@|@kuirejo@
@kite@|@kajto@
@Kitimat@|@Kitimato@
@kitsch@|@kiĉo@
@kitten@|@katido@
@kitty@|@kateto@
@kiwi@|@kivio, kivo@
@knapsack@|@tornistro@
@knead@|@knedi@
@knee@|@genuo@
@kneel@|@genui, genuiĝi, surgenui, surgenuiĝi@
@knife@|@tranĉilo@
@knight@|@kavaliro@
@knight-errant@|@prodo@
@knighthood@|@kavalireco@
@knit@|@triki@
@knitting@|@trikado@
@knitting needle@|@trikilo@
@knives and spoons@|@manĝilaro@
@knob@|@anso, tenilo@
@knock@|@frapi, frapo@
@knock at the door@|@frapi sur la pordon@
@knock kneed legs@|@ikskruroj@
@knock off@|@forbati@
@knock off; debate@|@debati@
@knock to pieces@|@disbati@
@knot@|@nodi, nodo@
@know@|@koni, povoscii, scii@
@know beforehand@|@antaŭscii@
@know how@|@scii, scipovi@
@knowledge@|@kono, sciado, scio@
@kohlrabi@|@tigobrasiko@
@Koran@|@Korano@
@Korean@|@korea, koreo@
@Korean woman@|@koreino@
@kosher@|@koŝera@
@Kremlin@|@Kremlo@
@Krishna@|@Kriŝno@
@krypton@|@kriptono@
@Kurd@|@kurdo@
@Kurdish@|@kurda@
@Kurdistan@|@Kurdio@
@Kurile Islands@|@Kuriloj@
@Kuwait@|@Kuvajto@
@Kyleakin@|@Kajleakino@
@Kyrgyz@|@kirgiza@
@label@|@etikedo@
@labor movement@|@laborista movado@
@laboratory@|@laboratorio@
@laboratory assistant@|@laboratoria asistanto@
@labor-intensive@|@laborintensiva@
@laborious@|@peniga@
@labour@|@akuŝi@
@labour agreement@|@dungokontrakto@
@labour contract@|@dungokontrakto@
@labour dispute@|@laborkonflikto@
@labour exchange@|@dungperejo, laborborso@
@labour force@|@laboristaro@
@labour market@|@labormerkato@
@labour pains@|@naskdoloroj@
@labourer@|@laboristo, laborulo@
@labourers@|@laboristoj@
@labour-union@|@sindikato@
@Laccadives@|@Lakadivoj@
@lace@|@punto@
@lack@|@malhavi, manko@
@lack of education@|@malklereco@
@lackey@|@lakeo@
@lacquer@|@laki, lako@
@ladder@|@eskalo, ŝtupetaro@
@ladies and gentlemen@|@gesinjoroj@
@Ladon@|@Ladono@
@lady@|@damo, ĝentlemanino@
@lady help@|@asistantino, helpantino@
@lady; madam@|@sinjorino@
@ladybug@|@kokcinelo@
@lady-in-waiting@|@korteganino@
@ladylike@|@ĝentilhomeca@
@lady's bag@|@virinsaketo@
@lady's mantle@|@alĉemilo, alkemilo@
@laggard@|@postrestanto@
@lagoon@|@laguno@
@laicism@|@laikismo@
@lair@|@kuŝejo@
@lake@|@lago@
@Lake Albert@|@Albertlago@
@Lake Baikal@|@Bajkallago@
@Lake Chad@|@Ĉadolago@
@Lake Constance@|@Bodenlago@
@Lake Malawi@|@Malavilago@
@Lake Manitoba@|@Manitobolago@
@Lake Nasser@|@Naserlago@
@Lake Rudolf@|@Rudolflago@
@Lake Superior@|@Suprelago@
@Lake Victoria@|@Viktorilago@
@lamb@|@ŝafidaĵo, ŝafido@
@lame@|@lama@
@lame person@|@lamulo@
@lament@|@lamenti@
@lamentable@|@lamentinda@
@lamentation@|@vekriado@
@lamented@|@karmemora@
@lamp@|@lampo@
@lampshade@|@lampŝirmilo@
@lamp-shade@|@lumþirmilo@
@lance@|@lanco@
@land@|@albordiĝi, alteriĝi, lando, surteriĝi, tero@
@land of milk and honey@|@kuklando@
@landing@|@surteriĝo@
@landing-stage@|@albordiĝejo, navighaltejo, varfo@
@landmark@|@mejloþtono@
@landowner@|@bienulo@
@landscape@|@pejzaĝo@
@landslide@|@terŝoviĝo@
@lane@|@leno, strateto@
@language@|@lingvaĵo, lingvo@
@language confusion@|@babelismo@
@languor@|@langvoro@
@lanky@|@altstatura@
@lantern@|@lanterno@
@Lao@|@laosa lingvo@
@Laos@|@Laoso@
@Laotian@|@laosa, laosano@
@Laotian language@|@laosa lingvo@
@lap@|@plaŭdi@
@Lapland@|@Laponio@
@Laplander@|@lapono@
@Lapp@|@lapona, lapono@
@Lappish@|@lapona@
@Lappish woman@|@laponino@
@lapse@|@refali@
@lapsed@|@kaduka@
@laptop computer@|@tekokomputilo@
@larch@|@lariko@
@lard@|@lardi@
@larder@|@manĝaĵoŝranko@
@large@|@granda@
@large intestine@|@dikintesto@
@large spoon@|@kulerego@
@large-scale@|@grandskala@
@lark@|@alaŭdo@
@Larne@|@Larno@
@larva@|@larvo@
@laryngitis@|@laringito@
@larynx@|@laringo@
@lascivious@|@voluptama@
@lass@|@knabino@
@lasso@|@lazo@
@last@|@antaŭa, daŭradi, daŭri, kontinui, lasta, pasinta@
@last night@|@hieraŭ vespere, la pasintan nokton@
@last week@|@la antaŭan semajnon, la pasintan semajnon@
@last year@|@pasintjare@
@lasting@|@daŭra, kontinua, neŝanĝiĝema, senĉesa@
@latch@|@klinko@
@late@|@malfrua, malfrue@
@late at night@|@malfrunokte@
@late in the afternoon@|@malfruposttagmeze@
@late in the morning@|@malfrumatene@
@lately@|@lastatempe@
@later@|@pli malfrue@
@later on@|@pli malfrue, pli poste@
@latex@|@latekso@
@lath@|@lato@
@lathe@|@tornilo@
@lathe operator@|@tornisto@
@lather@|@lesivakvo@
@Latheron@|@Laterono@
@Latin@|@latina, latino@
@Latin America@|@Latinida Ameriko@
@latrine@|@latrino@
@Latvia@|@Latvio@
@Latvian@|@latva, latvo@
@Latvian woman@|@latvino@
@laud@|@glori, laŭdi@
@laugh@|@ridi, rido@
@laugh at@|@mokridi pri@
@laughter@|@ridado@
@launch@|@ŝalupego@
@launch; start@|@lanĉi@
@laundress@|@lavistino@
@laundry@|@lesivejo@
@laurel@|@laŭro@
@lava@|@lafa, lafo@
@lavender@|@lila@
@law@|@juro, leĝo@
@law of nature@|@naturleĝo@
@lawless@|@senbrida@
@lawn@|@batisto, gazono, razeno@
@lawsuit@|@proceso@
@lawyer@|@advokato, juristo@
@laxative@|@laksigilo@
@lay@|@kuŝigi, laika@
@lay before@|@pritraktigi@
@lay down@|@meti@
@lay hold of@|@preni@
@lay on top of@|@kuŝi supre sur@
@lay out@|@sterni@
@lay status@|@laikeco@
@lay-by@|@parkejo@
@layer@|@grundtavolo, markoti, markoto, tavolo, tertavolo@
@layer of earth@|@grundtavolo, tertavolo@
@layman@|@laiko@
@laziness@|@maldiligenteco@
@lazy@|@maldiligenta, pigra@
@lazy person@|@maldiligentulo@
@lead@|@gvidi, konduki, plumba, plumbo, sondilo@
@lead away@|@dekonduki@
@leader@|@estro, gvidanto@
@leadership@|@gvidado, prezido@
@leading@|@direktanta@
@leading actor@|@ĉefrolulo@
@leading article@|@ĉefartikolo@
@leaf@|@folio@
@leaf through@|@foliumi@
@leaflet@|@broŝuro@
@league@|@ligo@
@League of Nations@|@Ligo de Nacioj@
@leak@|@liki, liko@
@lean@|@apogi, apogi sin, magra, maldika@
@lean against@|@apogi sin al@
@leanness@|@magreco@
@leap@|@salti, salto@
@leap down@|@desalti, malsuprensalti@
@leap upon@|@ĵeti sin sur@
@leap year@|@superjaro@
@learn@|@ekscii, lerni@
@learn of@|@sciiĝi@
@learned@|@dokta, instruita, klera@
@learner@|@lernantino, lernanto@
@learning@|@lernado@
@learnt@|@lernita@
@lease@|@farmi, lukontrakto@
@least@|@malplej@
@leather@|@leda, ledo@
@leather goods@|@ledaĵoj@
@leave@|@ekvojaĝi, forlasi, forvojaĝi, lasi, restigi@
@leave behind@|@postlasi@
@leave out@|@preterlasi@
@leave(2)@|@ekveturi, foriri, forpermeso, heredigi@
@leaven@|@fermentilo@
@leaving-certificate@|@abiturienta diplomo@
@leavings@|@forĵetindaĵo@
@Lebanese@|@libana, libanano@
@Lebanon@|@Lebanono, Libano@
@lecher@|@voluptulo@
@lectern@|@pupitro@
@lector@|@lektoro@
@lecture@|@lekcii, lekcio, prelegi, prelego, referi@
@lecturer@|@docento, lekciisto, lektoro@
@Leda@|@Ledao@
@leech@|@hirudo@
@leek@|@poreo@
@leeway@|@aglibero@
@left@|@liva, maldekstra, maldekstren, restanta@
@left out@|@ellasita, preterlasita@
@left over@|@restanta@
@leg@|@femuraĵo, gambo, kruro@
@legal@|@jura, laŭleĝa, leĝa@
@legal authority@|@plenpovo@
@legality@|@leĝeco@
@legation@|@legacio@
@legend@|@legendo@
@legendary@|@legenda@
@legging@|@tibiingo@
@legible@|@legebla@
@legion@|@legio@
@legislative@|@leĝdona@
@legitimise@|@legitimi@
@leisurely@|@adaĝa, kviete, malrapide@
@leitmotif@|@gvida ideo, gvidmotivo@
@leitmotiv@|@gvida ideo, gvidmotivo@
@lemming@|@lemingo@
@lemon@|@citrono@
@lemon juice@|@citronsuko@
@lemon peel@|@citronŝelo@
@lemonade@|@limonado@
@lend@|@pruntedoni, pruntedoni al, prunti, prunti al@
@length@|@longeco, longo@
@lengthen@|@plilongigi@
@lengthwise@|@laŭlonge@
@leniency@|@mildeco@
@lenient@|@indulga, malsevera@
@lens@|@lenso@
@lentil@|@lento@
@leopard@|@leopardo@
@leper@|@leprulo@
@leprosy@|@lepro@
@lesbian@|@lesba, lesbanino@
@Lesotho@|@Lesoto@
@less@|@malpli@
@-less@|@sen-@
@less and less@|@malpli kaj malpli@
@lessen@|@malpliigi@
@Lesser Antilles@|@Malgrandaj Antiloj@
@lesser bindweed@|@kampa konvolvulo@
@lesson@|@leciono@
@let@|@lasi, ludoni, luigi@
@let know@|@konigi, sciigi@
@let off@|@malŝargi@
@let out@|@ellasi@
@let through@|@tralasi@
@lethargy@|@letargio@
@Lethe@|@Leto@
@let's go@|@ek@
@Lett@|@latvo@
@letter@|@epistolo, letero, litero@
@letter of credit@|@akreditivo@
@letter of introduction@|@rekomenda letero@
@letter of recommendation@|@rekomenda letero@
@letterbox@|@leterkesto@
@Lettish@|@latva@
@lettuce@|@laktuko@
@Levantine@|@levanta, levantano@
@level@|@forfosi, horizontala, niveli, nivelilo, nivelo@
@level crossing@|@transirejo@
@level(2)@|@ebena, ebenigi, egala, egaligi@
@level-crossing@|@traknivela pasejo@
@lever@|@levi@
@lever; seesaw@|@baskulo@
@Levite@|@levido@
@lewd@|@malpruda@
@lexeme@|@leksemo@
@Leyden@|@Lejdeno@
@Leyden jar@|@lejdena kondensoro@
@liability@|@kompensodevo@
@liability insurance@|@respondecasekuro@
@liberal@|@liberala@
@liberation@|@liberigo@
@Liberia@|@Liberio@
@Liberian@|@liberia, liberiano@
@Liberian woman@|@liberianino@
@librarian@|@bibliotekistino, bibliotekisto@
@library@|@biblioteko@
@Libya@|@Libio@
@Libyan@|@libia, libiano@
@Libyan woman@|@libianino@
@licence@|@licenco, permesilo@
@license@|@licenco, permesilo@
@license plate@|@aŭtonumero, numerplato@
@licentious@|@senbrida@
@lick@|@leki@
@lid@|@fermilo, kovrilo@
@lie@|@kuŝi, mensogi, mensogo@
@lie concealed@|@kaŝiĝi@
@lie down@|@ekkuŝi, ekkuŝiĝi, kuŝiĝi@
@lie encamped@|@kampadi@
@Liechtenstein@|@Liĥtenstejno@
@Liechtensteiner@|@liĥtenŝtejnano@
@lier@|@mensogulo@
@lieutenant@|@leŭtenanto@
@life@|@vivo@
@lifebelt@|@savzono@
@life-boat@|@savboato@
@lifeless@|@malviva, senverva, senviva@
@life-long@|@dumviva@
@lift@|@levi, leviĝi, lifto@
@ligament@|@ligamento@
@light@|@ekbruligi, eklumigi, hela, luma, lumigi, lumo@
@light blue@|@helblua@
@light up@|@prilumi@
@light(2)@|@leĝera, malforta, malpeza, malsubstanca@
@lighter@|@fajrilo@
@lighthouse@|@lumturo@
@lighting@|@lumigo@
@lightly@|@malforte, singarde@
@lightning@|@fulmo@
@lightning-speed@|@fulmrapida@
@light-switch@|@lampþaltilo@
@Ligurian Sea@|@Ligura Maro@
@like@|@kiel, ŝati, simila@
@-like@|@eca@
@like this@|@tiamaniere@
@likeable@|@ŝatinda@
@likely@|@verŝajna@
@likewise@|@ankaŭ, same@
@lilac@|@lila, lilako, siringo@
@lily@|@lilio@
@limb@|@membro@
@lime@|@kalko@
@lime-tree@|@tilio@
@limit@|@limigi, limo, restrikti@
@limitation@|@limigo@
@limited@|@limigita@
@limited liability@|@nepublika kompanio@
@limited liability company@|@anonima kompanio, anonima societo@
@limp@|@lami@
@linden-tree@|@tilio@
@line@|@hokfadeno, lineo, linio, vico@
@line up@|@enviciĝi, viciĝi, vicigi@
@lineage@|@deveno@
@linen@|@linaĵo, tola, tolaĵo, tolo@
@lingo@|@jargono@
@linguist@|@lingvisto@
@linguistic@|@lingva, lingvistika@
@linguistics of constr. lang.@|@planlingvistiko@
@lining@|@subŝtofo@
@link@|@ĉenero, munti@
@link together@|@sinsekvigi@
@link up@|@ligiĝi, sinsekvigi@
@linker@|@muntilo@
@linoleum@|@linoleumo@
@linseed oil@|@linoleo@
@linseed-oil@|@linoleo@
@lion@|@leono@
@lip@|@lipo@
@liquefied petroleum gas@|@likva petrolgaso@
@liqueur@|@likvoro@
@liquid@|@fluaĵo, fluida, fluidaĵo, likva, likvaĵo, likvida@
@liquid manure@|@sterkakvo@
@liquidate@|@likvidi, malaperigi, mortigi@
@liquor@|@alkoholaĵo@
@Lisbon@|@Lisbono@
@LiŠge@|@Lieĝo@
@lisp@|@lispi@
@list@|@listigi, listo@
@list of members@|@matrikulo@
@listen@|@aŭskulti@
@listen in@|@kaŝaŭskulti@
@listener@|@aŭskultanto@
@listless@|@senenergia@
@litany@|@litanio@
@literal@|@laŭvorta@
@literary@|@literatura@
@literature@|@literaturo@
@lithium@|@litio@
@Lithuania@|@Litovio@
@Lithuanian@|@litova, litovo@
@Lithuanian woman@|@litovino@
@litigate@|@procesi@
@litmus@|@lakmuso@
@litre@|@litro@
@little@|@malgranda, malmulta, malmulte da, poka@
@little animal@|@besteto@
@little bell@|@sonorileto@
@little boy@|@etulo@
@little by little@|@iom post iom, laŭgrade@
@little cat@|@kateto@
@little girl@|@etulino@
@little man@|@vireto@
@little person@|@hometo@
@little present@|@donaceto@
@Little Red Ridinghood@|@Ruĝkufulineto@
@Little Snow White@|@Neĝulino@
@little table@|@tableto@
@little thing@|@etaĵo@
@liturgy@|@liturgio@
@live@|@loĝi, vivi@
@live off@|@gajni sian porvivon per@
@live through@|@travivi@
@live to see@|@ĝisvivi, sperti@
@live together@|@vivi kune@
@livelihood@|@vivteno@
@lively@|@sprita, verva@
@liver@|@hepato@
@liver sausage@|@hepatkolbaso@
@livestock@|@brutaro@
@living@|@viva, vivteno@
@living according to nature@|@naturismo@
@living being@|@vivaĵo@
@living conditions@|@vivkondiĉoj@
@living room@|@loĝoĉambro@
@Livonia@|@Livonio@
@Livonian@|@livona, livono@
@lizard@|@lacerto@
@load@|@ŝargi, ŝarĝi, ŝarĝo@
@loaded with@|@ŝarĝanta@
@loaf@|@pano@
@loafer@|@gapulo@
@loan@|@prunti, prunto@
@loathe@|@abomeni@
@lobster@|@langusto, omaro@
@local@|@loka@
@locale@|@okazejo@
@locate@|@loki@
@location@|@lokalo, loko@
@loch@|@fjordo, lago@
@Lochaline@|@Loĥalino@
@Lochmaddy@|@Loĥmado@
@lock@|@fermilo, kluzo, seruro, ŝlosi@
@lock up@|@enŝlosi@
@locked@|@ŝlosita@
@locksmith@|@seruristo@
@locomotive@|@mova@
@locust@|@akrido@
@locution@|@parolturno@
@lodge@|@sublui@
@lodger@|@subluanto@
@Lofoten@|@Lofotoj@
@lofty@|@alta@
@log in@|@enregistri sin@
@log out@|@elregistri sin@
@loge@|@loĝio@
@logic@|@logiko@
@logical@|@logika@
@logical reasoning@|@racio@
@loin@|@lumbo@
@London@|@Londono@
@lonely@|@soleca@
@long@|@longa, longtempa@
@long for@|@sopiri@
@long underwear@|@subpantalono@
@longan@|@longano@
@longboat@|@ŝalupego@
@longing@|@sopira@
@longitude@|@longitudo@
@long-term@|@longtempa@
@look@|@aspekti, jen, rigardo@
@look after@|@gardi, postrigardi, prizorgi, varti@
@look askance@|@strabi@
@look at@|@kontempli, rigardi@
@look cross-eyed@|@strabi@
@look for@|@serĉi@
