@English@|@Mongolian@
@pestle@|@nidügür, nüdür@
@petrol@|@tulsh@
@petroleum@|@nefti@
@pharmacist@|@otaci@
@Pharmacy@|@emiin san@
@pharynx@|@kögeme, kögemei, kömei@
@phlegm@|@cer@
@piece@|@kheseg@
@pike@|@curxaj@
@pile@|@khuraalgaastai zuil, norom, norum@
@pile up@|@darta-@
@pillow@|@der@
@pine tree@|@nara-su(n), narasun, nars@
@pink@|@jagän@
@pitchfork@|@serë@
@place@|@gazar@
@place of migration@|@bojida, bujida, bujira, bujr@
@placenta@|@qarbi-su, qarbi-su(n)@
@plague@|@milan@
@plague excrescence@|@möm@
@playground@|@togloom(i)n talbai@
@pleasant@|@gurgül, xurqa'ul@
@Please could you repeat that?@|@Dahin helj ügnü üü?@
@pleasure@|@ta'ala-, taalamjtai baidal, tab, tab(a)la-, taji-@
@plentiful@|@öng@
@plenty@|@elbeg@
@plum@|@öröl, üril@
@pocket@|@tagarcug@
@pock-mark@|@ag, ah@
@poison@|@qour@
@pole@|@surgäg, un, uni(n)@
@Police station@|@tsagdaagin gazar@
@politics@|@uls tor@
@pommel of a saddle@|@bügürge, büreg, buurkä, büürke@
@pond@|@chögerem, chögerüm, chögürüm, cöröm@
@poorly grown@|@armag@
@Pork@|@gakhain makh@
@position@|@bairlal, oron@
@possibility@|@bolojit@
@possible@|@bolomjtoi@
@possibly@|@bolomjiin@
@Post office@|@shuudangiin salbar@
@potato@|@tömüsü@
@potatoes@|@tömüsü@
@Poultry@|@takhiany makh@
@powder@|@ö, ou@
@power@|@gucu(n), qabu, xav@
@practice@|@praktik@
@praise@|@magtaal, magtakh@
@prayer@|@mantr-a@
@precise@|@todorkhoi@
@precisely@|@todorkhoigoor@
@predator@|@aratai@
@pregnancy@|@kähäl, ke'eli, kebel, kebeli, kegel, kegeli, kili@
@pregnancy (1)@|@xël, xevel@
@president@|@eronkhiilogts@
@pretext@|@säm@
@prevent@|@sergiilekh@
@price@|@shagnal, ün-e@
@primary school@|@dund surguul(i)@
@prince@|@noyan@
@principle@|@zakhiral@
@prison@|@gindan@
@privet@|@qarbahur, xarvor@
@problem@|@asuudal, berkhsheel@
@process@|@bolovsruulakh@
@produce@|@uildverlekh@
@product@|@buteegdekhuun@
@production@|@uildverlel@
@profession@|@mergejil@
@professor@|@profesor@
@profligate@|@shalig@
@prompt@|@šalamgai@
@pronounce@|@tsangaar duudakh@
@property@|@körüngge@
@protecting deity@|@khamgaalagch baatar@
@protection@|@ibegel@
@protrusion@|@qoši'un, xoši'un, xošü@
@protuberant@|@döbe(n), dobu(n), dobung, dov, dovoj-@
@proud@|@bardam@
@psychosis@|@kenege xenë, kinetu@
@public@|@olon niit@
@publish@|@khevlekh@
@pull@|@chir-, chire-@
@pulverize@|@üi-le-, üi-re-, üjre-@
@punish@|@coxi-, coxi-lo-@
@pus@|@begere, bër, idë(n), idege@
@put on the light!@|@gerelee asaa!@
@put on/switch on the light!@|@gerelee asaa!@
@put out the light!@|@gerelee untraa!@
@put out/switch off the light!@|@gerelee untraa!@
@put up@|@agsa-, ahsa-@
@quail@|@bodena, bödnö, bödüne, büdene@
@queen@|@qatun@
@question particle@|@uu?@
@quick@|@biši'un, busga-, busqu-, bušü, qurdu, türgen@
@quiet@|@talbaj, talbiu(n)@
@quietness@|@eje, engke, enx, žim@
@quite@|@tsimeegui@
@quite good@|@bužahai buzgaj@
@quiver@|@qobdu, qobtu, qor, qubdu, qur, xor, xoromsogo@
@rabbit@|@mamüna, mamuuna@
@racket@|@tchanga duu tchmee, tsokhiur@
@radio@|@radio@
@raft@|@sal@
@rage@|@uur@
@rags@|@labtara-, lobsi, nabtasu, nabtasun, navtas, nobsi@
@rain@|@borugan, qora, qur-a, qura, xur@
@rainbow@|@solongo, sorañxa@
@raise@|@ergu-, ergü-, örgö-, örgü-, urg(i)-, wärgo-@
@ram@|@xuc, xuca@
@ramson@|@manggina, manggir, manggirsu(n), mangir@
@rapid@|@kordun, qurdi, qurdun, quruji-, qurum, xurdan@
@rapid current@|@dargil@
@rare@|@khovor, šingen, singgen@
@rather@|@tegsnees@
@raven@|@kerije, kiriä, tura'un xar torü, turliax, xerë(n)@
@ravine@|@ž?ilhas, žalga, žilha@
@raw@|@nalün@
@reachable@|@khurekhuits@
@reaction@|@khariu uildel@
@readiness@|@sambän@
@ready@|@belde-, belen, belxen, bilän@
@really@|@ör, ür, uur@
@reason@|@balag, utsir shaltgaan@
@rebuke@|@donggodo-, dongoso-, dungqodun, sögege-, soko-@
@red@|@al, holäm, hula'an, hulan, ulagan, ulän, ulayan, xula'an@
@red round berry or fruit@|@maril@
@red willow@|@suqai, suqaj, suxaj@
@reed@|@gulusun, qalsun, qulusu(n), xuls@
@reed down@|@otol, otul@
@regulation@|@tör, tore, töre, törü@
@reindeer@|@cä@
@reins@|@delbeg, delbeget@
@relative by marriage@|@qadom, qadum, xadam@
@relative-in-law@|@guda, quda, xud@
@relatives by marriage@|@uyangg-a@
@relax@|@seb (ge-), sebki-, sebkire-, sevxij-@
@relay horse@|@ulag-a@
@relay horses@|@ulag-a@
@relay station@|@örtege@
@religion@|@shashin@
@religious believer@|@shashin shutegch, shutlegten@
@rely on@|@tüsi-, tüši-@
@remain@|@holu, hul(a)u, ilü, ülede-@
@rent@|@kholslokh, türës, türijesü(n)@
@research@|@sudalgaa@
@resignation@|@ogtsrokh@
@rest@|@amrakh@
@Restaurant@|@zoogoi@
@rhinoceros@|@kers, kiris, xirs@
@rib@|@gerün xabusun, qabirxa, qabusun, xabirg-a, xavirga, xavis@
@rice@|@budaa@
@rich@|@bayan@
@richness@|@bayan@
@ridge@|@kira, xar@
@riffle@|@jarät-@
@right@|@baruun, erke, zöb@
@Right@|@baruun@
@righthand side@|@bara'un, barän, barawun, barün@
@rim of saddle bow@|@kira, xar@
@ring@|@e'emek, ege-meg, ëmeg@
@ring in bull's nose@|@dör, dörü@
@rising tide@|@tülkige, tülxë(n)@
@river@|@mören, mörön, murän, muren, qol@
@River@|@gol@
@river rift@|@borgija, borgio@
@roam@|@kesü-, xese-@
@robber@|@qulaqai, qulasun, xulgai@
@rock@|@bajc, qada, qada(n), qada(n), šoron, šoroñ, šurag, xad, xad@
@rodent nest@|@nouqai, nöxoj@
@roebuck@|@gur, quraltuq@
@roof@|@oroi@
@room@|@örüge@
@Room@|@öröö@
@root@|@danggi, iazguur, ündes, ündes, undus, undus, ündüsü(n), ündüsü(n)@
@root (of tooth etc.)@|@surbalži, survalž@
@root of grass@|@tögcög@
@rope@|@burantag, burantag, de'esun, degesü(n), dës(en), dësün, disun, ohusur, ösor, xoošin@
@rotate@|@korbe-, körbi-, qorbaji-, qorbuji- qurbuji-@
@rough and long steppe grass@|@tünge, tüngge, tüngke, tünx@
@round@|@dugarig, dügreg, qombuji-, togarik, tögörig, tögrög, tögürig, xomboj-@
@round (1)@|@tögerig, togorigai, tugärig, tügürig@
@rounded@|@möxlög, muxlag, muxlaj-da-@
@ruff (fish)@|@sirüge@
@rule@|@durem juram@
@rump@|@qondulai, qongdulai, xondloi@
@Russian@|@orosoor@
@rust@|@žebi, zev, žibe, žibi, živ@
@sabre@|@seleme, selm, selme@
@sack@|@hutana, üt, xavtga, xombogo, xuxuta@
@sacred@|@bogd@
@sacrum@|@üc@
@saddle@|@ämäl, eme'el, emegel, emël, imël  jemëjil@
@saddle blanket@|@toqum, toxom, toxu, toxum@
@saddleless@|@zajdan, žajidang@
@saint@|@khutagt@
@Salad@|@nogoon zuush, salad@
@saliva@|@silö-sü(n), šüls@
@salmon@|@kilim, xilem@
@Salsula@|@qamqa'ulsun, xamxag@
@salt@|@dabusun, davs(an), täbuson@
@Salt@|@davs@
@salt-petre@|@nidu-qan@
@salty earth@|@mara, marä@
@same@|@mön, mun@
@sample@|@jishee@
@sand@|@elesun, elesün, els(en)@
@sand grains@|@qomaq, qomaqi, qumaki, qumaqi, xumag, xumxi@
@sane@|@mend, mendü@
@satisfied@|@setgel khangaluun@
@sausage@|@kima, xim@
@scab@|@qamüwu, xamü@
@scabbard@|@qui, quj, qüj, quji, xuj@
@scales@|@qolisu(n), xolis@
@scar@|@balcü, ir, sorvi@
@scarce@|@qomsa, qomsa, qor, xomor, xoms, xowor@
@scarf@|@oroolt@
@scatter@|@üre-@
@School@|@surguul@
@school management@|@surguuliin udirdlaga@
@scoop@|@com@
@score (in sports)@|@onoo avakh@
@scoter@|@anggir, angir@
@scraper@|@kederge(n), xedreg@
@scrotum@|@quwqa, xüx, xüxnag@
@scrotum with testicles@|@umadah, umdag@
@sculpture@|@barimal@
@sea@|@dalai@
@sea fish with golden cheeks@|@sogoc@
@sea gull@|@qajiruqana, xajlgana@
@sea shell@|@ibau, juvü@
@search by feeling@|@temteri-, temtre-@
@season@|@uliral@
@second@|@sekund@
@second hand@|@khuutsin@
@secret@|@dald, dalda@
@secretly@|@sem, sim@
@section of yurt lattice wall@|@qana(n), xana(n)@
@sediment@|@šär@
@see off@|@hude-, üde-, xude-, xüde-@
@see you later@|@Daraa uulzii!@
@see you tomorrow@|@margaash uulzii@
@seed@|@cöm, üür@
@seize@|@sigür(e)-, šüre-@
@self-confidence@|@oortoo itgekh@
@selvage@|@kejeng, xejen@
@send@|@ilgeekh, yavuulakh@
@senior citizen@|@akhmaduud@
@sense@|@udqa@
@sequel@|@khojm(i)n ur dun, kinon (i) urgeljlel@
@series@|@tsuvral@
@servant@|@b(a)wän, bawa, bo'ol, böl, bual@
@servant(s)@|@nekun@
@service@|@mali'an, uiltsilgee@
@set@|@tabi-, tal-, talb-, talbi-, talibi, tavi-@
@seven@|@doloo@
@shaded@|@se'uder, seu'uder, seuder, süder@
@shadow@|@següder, suuder@
@shagreen@|@sa'ari, sajir, sajr, särï@
@shake (hands)@|@segserekh@
@shaman@|@böge@
@shaman's adornment@|@nolgo@
@shaman's drum@|@düngger, dünggür@
@shame@|@mundur@
@shape@|@dürsün, kelberi, khelber durs, tölöb, tölöv, ülger, üliger, üliger@
@share@|@öb, öv@
@sharp@|@calir, caril, qurcha, qurcha-, xurc@
@sharp edge@|@ir@
@sharpened@|@šoboji-, šobuji-, šovoj-@
@sharp-shooter@|@mergan, mergen@
@shave@|@kisu-, qusu-, xusa-@
@shave off@|@žor-, zoro-, žuru-@
@shavings@|@zomgol, žomuhul@
@she@|@ter, tere@
@sheat-fish@|@laqa, lax@
@shed@|@ambaar, khuvtsas tailakh, navtsis unakh, uilakh@
@sheep@|@qonin, xoni@
@sheep and goats@|@bog@
@sheep skin without hair@|@saränag, sari-su(n), sarisu, sarmai, sarmaj, sars@
@sheepskin@|@nekei, nexij@
@sheet (of paper)@|@khuudas tsaas@
@shell@|@qalisu, qalisu(n), xals@
@shin@|@šilbe, silbi, šilbi, šili, šilibi@
@Shin@|@Shilbe@
@shine@|@gereltekh, gila-, gilba-, gilung, gyalalzakh@
@shine (1)@|@gala-, galba-, gilbegne-, gilibeligan, gilüng@
@shiny@|@meli-ji-, melij-, melmeji-@
@shoe@|@god(on), gutal, gutas, hutusun, q[o]täsun@
@short@|@aqar, axar, hoqar, okor, oqor, oxor@
@Short@|@bogin@
@short (of hair)@|@noraqai, norxoi@
@short and thin tail@|@šodo-, šodu-, šoduji-@
@short shirt@|@cegdeg@
@shoulder@|@mör, mörü(n), mörün, muro, muru, murun@
@shoulder blade@|@dalu@
@shoulder bone@|@bogt(o), bugalag, buhulah, buhuluh@
@shovel@|@khure, khuredekh@
@shrewdness@|@meke@
@shrink@|@umaj-, umaji-@
@shut@|@qamki-, xamxi-@
@shuttlecock@|@tav, tebeg, teveg@
@shy away@|@emë-, emi'e-, emije-@
@Siberian orach@|@lujil, lujl@
@side@|@sube'e, sübege, sübergen, süvë, süvreg@
@side boards on saddle@|@qabtasu, xavtas@
@sigh@|@sürs, šürs@
@sign@|@gar(i)n useg, im, ime, temdeglegee@
@silhouette@|@bara, barä, bara'a@
@silk@|@hip, kib, kijib, xiv@
@silly@|@bidagu, mungqax@
@silver@|@möngün@
@similar@|@adali, adil@
@sin@|@gem, nigül, nigül-se-, nigüles-, niwol, nügel@
@since@|@khoish@
@sinciput@|@cox@
@sinew@|@sirbosu, sirbüsü, širbusun, sirmüsü, širmusu@
@sinew (1)@|@sirboson, širbusun, šörmös(ön), šörvös, šürbüs@
@sinew (2)@|@šandas, sindasu(n)@
@sister@|@degüü, egeci@
@situation@|@nokhtsol baidal@
@six@|@dzorghaa@
@skewer@|@sire, širë, širi'e, siro, širo, siru, šor, šoru@
@skilled@|@berke, berx@
@skin@|@arasun, arisu(n) aräsu, ars(an)@
@skirt@|@qormai, qormui, qurmi, xormoj@
@skull@|@qokima-, qokimai, xoximoj jas, xoximoj tolgoj@
@sky@|@tengeri@
@slander@|@gör, görde-, gördö-, görle-, gürde-@
@slanting@|@keje-ge, kelberin, xejede-, xejeg, xejele-@
@slave@|@barlag@
@sledge hammer@|@balta@
@sleep@|@nojir, nojr, noyir, nuir@
@sleeve@|@xancuj@
@slime@|@öngger, önggör, önggür, šalaj, silaj@
@slip out@|@sugul-, sugura-@
@slobbery@|@silükei, šülxij@
@slope@|@xec@
@slow@|@udaan@
@small@|@baga, jijig@
@small floating pieces of ice@|@sön, söng@
@small river@|@goroxan@
@small span@|@sögem, sögüm@
@small spot@|@covd, cöxor@
@smallpox@|@bodö@
@smell@|@hunir, uner, unerlekh, ünir xunir, ünür, xungši'ut, xunor@
@smoke@|@honi, hunin, unijar, ünijer, utä(n), xunin@
@snake@|@mogoj, moqai, moxai@
@sneakers@|@puuz@
@snipe@|@cücal@
@snot@|@ni(g)i-, nij-, nisu, nisun, nisün, nus(an)@
@snow@|@cas(an)@
@snow crust@|@car, carca-@
@snow storm@|@šüra-, šürga@
@snow-drift@|@xunggar@
@so@|@tiimees@
@soap@|@sabun, sabung@
@soar@|@qali-, xali-@
@sob@|@ukila-, uxila-@
@sober@|@ele-gür, elor, ere-gül, erül, iläur, ileur@
@so-called@|@nerlegdekh@
@society@|@niigem, niigemleg@
@socks@|@oims@
@soft@|@uian@
@sole of foot@|@o[li]mi, ölmei, ölmij@
@sole of foot or footwear@|@hula, ul, ula@
@solution@|@tayilburi@
@some@|@zarim@
@somewhere@|@khaa negtee@
@son@|@keü, keüken, köbegün, xü, xüvgün@
@Son@|@khüü@
@song@|@da'ü, dau'u, dau'un, dü(n), duu@
@son-in-law@|@guregen, gurigen, keurgen, kürgen, küri degü@
@soot@|@is, isu, isü, küje@
@sorcery@|@ba, jab, rid, xab@
@sorrow@|@gaj@
@Sorry@|@Uuchlaarai@
@soul@|@sedkil, sunäsu, süne-sü, süns@
@soup@|@shol(n), šilän, silü(n), šöl, šulen, šülü@
@sour@|@gashuun, qaqu-n, qaqu-ra-, xaxra-, xaxün@
@source@|@bulag@
@south@|@enger, engger@
@South@|@ämunä, emü-ne emune, umunä@
@south (1)@|@ömnö, umene@
@space@|@sansar ogtorgui@
@spacious@|@bagtaamjtai, zaitai@
@spark@|@oci@
@special@|@ontsgoi@
@species@|@torol zuil@
@specific@|@nariivtsilsan, todorkhoi@
@speech@|@üge@
@spend (money)@|@urekh, zartsuulakh@
@spheric@|@tombai, tömbei, tombogor, tömbögör@
@spider@|@abahaqai, abaqai, avgaldaj@
@spin@|@görö-, görü-, gur-, gürü-@
@spinal marrow@|@nuga(r)s@
@spine ramification@|@serten, serteñ@
@spiral embroidery@|@ugalz, uhalža, uhulža@
@spirit@|@sünesü@
@spirits of a place@|@lus@
@spleen@|@deli'un, deligün, deligüü, delün, dilun, dolän@
@spleen (of animals)@|@nält@
@spoke@|@kegesü(n), kekesun, xegës, xës, xigës@
@spoon@|@qalbuqa, xalbaga(n), xalbuxua@
@sport@|@sport@
@spot@|@beder, bider, büder, tolbo, tolbu@
@spring(time)@|@qabur@
@spy@|@šagä-@
@Square@|@durvoljin, talbai@
@staff@|@tayag@
@stairs@|@šat(an), šatu, šatu(n)@
@stalk@|@süldes, süldesü(n)@
@Stamps@|@mark@
@stand on end@|@serbeji-, servij-, sirbeji-@
@star@|@hudun, od, odu, odun, xodun@
@starving@|@guriad-@
@state (country)@|@muj, uls@
@steam iron@|@ilegür@
@steel@|@bolod, bolod, bolud@
@steep bank@|@(hergi), ereg, ergi@
@steering oar@|@kiteg, xiteg@
@stem@|@esi, iš@
@stepbrothers@|@ögelen@
@steppe@|@tal, tal-a, tala@
@steppe fox@|@kirsa, xars@
@sterlet@|@beker, bexer@
@stick@|@šavšraga, sibei, sibsirha, sorbi, tujiban, tujvan@
@stick into@|@sülbe-@
@stick out@|@segseji-, segsij-, segsüi-, sogsoj-, sohsuji-@
@stick to@|@nä-, ni'a-@
@sticking out@|@godgor, godoj-, sertger, sertij-@
@sticky substance@|@nala-, nalc-, nila-@
@stirrup@|@dörüge@
@stitch@|@oja-, ojo-, šire-, siri-@
@stockings@|@kojimusun, ojimasu(n), ojimusu(n), ojms(on)@
@stomach@|@gedesü@
@stone@|@kuri, küri, xür@
@stony riverbed@|@sajir@
@stop up@|@bögle-, böglö-, bokle-, bütë-, bütege-, bütü-@
@stop!@|@zogs!@
@Store@|@delguur@
@storehouse@|@kömürge, kumurki, xömrög@
@story@|@üliger@
@Straight@|@chigeeree@
@strain@|@šu-, šü-@
@strange@|@sebegün, sevün@
@Street@|@gudamj@
@street car@|@tramvai@
@strength@|@kocer-, küci, kücü(n), xüc@
@strength of tea@|@äg@
@strew over@|@jegüle-, jüle-@
@strict@|@nambaj, nimbai@
@strike@|@göbi-, gövši-, gübi-, gubur, güve-@
@string@|@arag, sizim@
@strong@|@küdür, xüder@
@strong cold@|@qarih@
@stuck@|@gatsakh@
@student@|@oyouutan, oyutan, suragts@
@study (at a university)@|@surakh@
@stuff@|@ciki-@
@stuffed guts@|@subuži, suhuchi, suvž@
@stupid@|@balai, mongqax, teneg, üki, üx, üxënc@
@subscription@|@burtguulekh, zakhialakh@
@substance@|@bod, boda, bodo@
@such@|@eyimü@
@suck in@|@sor-, soro-, soru-@
@sudden(ly)@|@genen, gent(ed), gentxen@
@suddenly@|@genedte, genet@
@sufficient@|@khangalttai@
@sugar@|@sikir@
@suitable@|@tokhiromjtoi@
@suitable occasion@|@dalim@
@sulphur@|@moki, mokin@
@sulphurweed@|@žab, žau, žav@
@summer@|@jun, žun, žün@
@sun@|@nara, naran, narän@
@sunlight@|@narni gerel@
@support@|@cax, demjikh, demjleg@
@surplus@|@ilegü, ilegüü, ülde-, üle-, ülegüü, xüle'u, xule-@
@surprise attack@|@ülga, xa'ul-, xau'ul-@
@swaddling-clothes@|@mancuj@
@swallow@|@qarijachai, qarkira, xaräcaj, xarijacha@
@swamp@|@bürd, bürüdü, namag, namurqan, ulam, ulum@
@swamped forest@|@siber, sibir, šiver@
@swan@|@qun, quna, qung, xun, xun@
@sway@|@dajba-, daji-bal-, dajiba-, delbegene-, delbegne-@
@sweat@|@badqu-, batxa, khols garakh, kholsokh@
@sweet@|@amtat, tsikherleg@
@swell up@|@köge-, kögege-, kögere-@
@swelling@|@qaba, qabad-, qabañ, qabuñ, xavan@
@swift@|@tür, turgen, türgen, turken@
@Swimming pool@|@bassein@
@swing@|@derbe-, derbel-, derve-@
@swollen@|@güreger, gürger@
@sword@|@ildü, mes, mese@
@table@|@širë, sirege, sirege(n)@
@tail@|@se'ul, segül, siul, sul, sül@
@Tail@|@Suul@
@tail strap@|@qudurqa, xudraga@
@take off (clothes)@|@tailakh khuvtsas@
@take responsibility@|@da'a-, da'us-, dä-@
@talisman@|@sakhius@
@tangled hair@|@daki, daqi, däx@
@tanning stuff@|@idë(n)@
@tapeworm@|@mec, mecgij, meche, mechegei@
@tarbagan@|@tarbaqan, tarvaga@
@task@|@zorilt@
@taste@|@amt(an), amta, amta(n), amtan, amtata'i, omtatä@
@tax@|@tatvar@
@Tea@|@tsai@
@teacher@|@bagsh, bagsh@
@tear off@|@qagaca, qagal, qagala, qaqa-, qaqal-, xaga-@
@tear out@|@ügtë-, ügtege-@
@tears@|@nilbusun@
@technical@|@tekhnikiin@
@teeth@|@sidün@
@temple@|@ge-yid, kejid, šanä, sina, süm, xijd@
@ten@|@arab, arav, arban, arvan, harbän, härban, xarban@
@ten thousand@|@tümen@
@tent@|@majiqan, majxan, seg@
@term@|@nokhtsol@
@terrible@|@aimshigtai@
@testicles@|@im, nim@
@tether@|@tüngge@
@text@|@tekst@
@Thank you@|@Bayarlalaa, Gyalailaa, Tand ikh bayarlalaa@
@thankful@|@qan-, qanu-, xana-@
@that@|@ter, tere@
@that one@|@tere@
@The bill-please@|@tootsoogoo boduuli@
@the Buddha@|@burkhan@
@the most@|@-mad, -med, döji-med@
@the one who@|@ter negen@
@there is@|@bui@
@there isn't@|@bisi@
@they@|@ted nar@
@thick@|@bid[o]n, bidügün, bidun, büdügün, büdün@
@thick (of liquids)@|@öte-ge-n, ötgün, otkan@
@thick growth@|@šikui, šuguj@
@thick intestine@|@olgoj@
@thick part of sinew@|@büleke, büleki, bülike(n), bülx@
@thick part of stomach@|@qužirqai, xužirxaj@
@thick quilted trousers@|@kügdü, xügd@
@thill@|@aral@
@thill of a cart@|@aral@
@thin@|@naras, narin, nimegen, nimgen, nimkän, ningen@
@thin (1)@|@narïn@
@thin silk kerchief@|@qormusun@
@thin string@|@sideme-sü(n)@
@thing@|@jamä@
@thinned@|@seji-, sejire-, sij-, sijre-@
@this@|@ene@
@This is red@|@ene ulaan (bain-a)@
@this one@|@ene@
@thist@|@ondu-, umdän, unda'än, undan, undäs-@
@thought@|@sedkil@
@thousand@|@mangan, mingan, mingg-a, minggan, minqa(n)@
@thread@|@heitosun, hütäsün, utas, utasu(n), utasun, xudasun@
@three@|@gurab, gurav, gurvan, qorbän, qurban, xurban@
@threshold@|@bosaqa, bosgo, bosoqa, bosoxa@
@throat@|@baqahu, qo'olai, qolei, qül, qüla, qulaj, xöloj@
@throat cavity@|@keküdeg, keküreg, xexdeg, xüxë@
@through and through@|@chohu, chohul-, chohuru-, cö, cölo-@
@throughout some time@|@tuž, tuži@
@thumb@|@erekei, erxij, xere, xeregai@
@thus@|@teyin@
@Ticket@|@bilet@
@tie@|@bogu-@
@tiger@|@baras@
@tight@|@tsanga@
@time@|@cag@
@tin@|@cas@
@tinder@|@ül@
@to (somewhere)@|@tsiglel zaasan ug@
@to act foolishly@|@mulga-@
@to add@|@neme-@
@to address@|@qandu-, qantuqala-, xanda-@
@to advance gradually@|@aki-, axi-, axui@
@to agree upon time@|@bolža-, bolzo-, bolžu-@
@to aid@|@tusalaqu@
@to almost reach@|@duqu-, duxa-@
@to alternate@|@sele-, selgü-, selü-, silgi-@
@to anoint@|@malä-@
@to appear@|@bii bolokh, uzegdekh@
@to appoint@|@tomi-, tomil-, tomila-, tumbula-@
@to approach@|@dökü-, döxö-@
@to arrange@|@xamga-@
@to arrive@|@kürkü@
@to ask@|@asaq-, asax, asax-, asü-, hasaq, hasox-, xasax-@
@to attack@|@bulä-, buli-, bulija-, bulqa-@
@to attract attention@|@ankhaaral tatakh@
@to augment@|@nemekü@
@to awake@|@serekü@
@to bark@|@xuc-@
@to be@|@baikh gesen utgatai ug, bi, bij, bue, büi@
@to be able to cut@|@dä-, daha-@
@to be afraid@|@äj-, aj- ajü-, aji-, aju-, ajul, ajül@
@to be attentive@|@kebei, kibisi-, kibsi-, xevej@
@to be awry@|@možihar, možiji-, muzgar, mužï-, mužihar, mužiji-@
@to be barely sufficient@|@dömö-, dömü-@
@to be bent@|@ganaj-, ganalza-, gandaj-, hanalža-, handaji-@
@to be bored@|@uidakh@
@to be born@|@tore-, töre-, törö-, törökh, törükü@
@to be broad and long@|@nebseji-, nevsij-@
@to be careless@|@dömnö-@
@to be damaged@|@qoki-, xox?@
@to be disturbed@|@megd-, megde-@
@to be embarrassed@|@baqarda-, baxarda-@
@to be empty@|@kengkeji-, köngkeji-, xenxij-, xönxij-@
@to be energetic@|@güdke-, gütge-@
@to be excited@|@düibe-, düibed-, düjve-, tüibe-, tüjve-@
@to be exhausted@|@ece-, sarväda-@
@to be flat@|@nabta-, navtgar@
@to be flat and wide@|@dalba-ru, dalbaj-, dalbaji-@
@to be full@|@degür-, degüre-, du'uren, dügür-, dügürü-, dür-@
@to be happy@|@bäjas, bajas-@
@to be high@|@köteji-, kotol-, xötlö-, xötöl@
@to be hooked up@|@degë, degege, düžle-@
@to be hungry@|@oles-, ölön, öls-, ölüng, ölüs-, ölüskü, uläs-@
@to be ill@|@ebed-, ebet-, övd-@
@to be in disorder@|@kimura-, xamra-@
@to be lazy@|@zalkhuurakh@
@to be mangy@|@qama-@
@to be mistaken@|@ende-@
@to be noisy@|@šougina-, šügi-, šuugi-@
@to be oblique@|@xalaj-, xelbere-, xelbij-@
@to be old@|@ötegü, ötel-, ötgös, otogu, ötöl, utägu@
@to be restless@|@qolkida-, xolxi-@
@to be right@|@düi-, düj-@
@to be sad@|@xelumu-@
@to be scared@|@gelme-@
@to be shocked@|@gaikhakh, gaikhakh@
@to be shy@|@berele-, berile-, berle-@
@to be spread@|@tüge, tuge'e-, tüge-, tügege-, tuke'e-, tuke-@
@to be surprised@|@gaikhakh@
@to be unhappy with smth@|@golo-, hol-, holu-, qolu-@
@to beat@|@zanci-@
@to beat in@|@šä-@
@to become@|@bol-, bolqu, bul-@
@to become accustomed to@|@dad-, das-@
@to become dry@|@arga-, argü(n), arha-, arhu-, arzaj, aržï, aržiji-@
@to become dull@|@düngsüi-, dünsï-, mene-re-, menere-@
@'to become firm@|@berket-@
@to become flat and watery@|@balca@
@to become hard@|@xagd, xagsa-@
@to become insufficient@|@munda-, mundu-, mungda@
@to become mad@|@muna-@
@to become old@|@b[o]li-, boli-, buli-, ötelkü@
@to become quiet@|@amur-li, amura-@
@to become sour@|@šogši-@
@to become stiff@|@daraj-, daraji-, darsaj-, darsaji-@
@to become worn out@|@semele-, semere-, semger, semle-@
@to behave indecently@|@silmosun, silmusu, šulmas@
@to belch@|@kekere-, ogi-, qakir-, qakira-, qakiru-, xexr-@
@to belief@|@itgekh@
@to belong (to)@|@khamaatuulakh@
@to bend@|@ebkä-, ebke-, evxe-, ibkä-, naki-, naxij-, xüvre-@
@to bend (1)@|@mata-, matari-, mitara-, nugal-, nugara-, tonggoj-@
@to bend backwards@|@döli-, dölö-, dölügü, dolusgu-, gedij-@
@to bevel@|@gilaji-, gileji-@
@to beware@|@ana-, ažig, xada'u-@
@to bind@|@kuli-, küli-, xüle-@
@to bind a horse@|@qantar-, xantar-@
@to bless@|@hirë- irüge-, irügel, xiru'e-@
@to blow@|@huile-, hulä-, qabsara-, qabsura-, ülë-, ülije-@
@to blow in one's face@|@uri-@
@to boast@|@barda-@
@to boil@|@busal-@
@to bore@|@büle-@
@to bow@|@geki-, gekü-, gexes xij-, gögi, göküj, göxij, göxij 2@
@to bow (1)@|@meküji-, mexij-, möxij-@
@to bow down@|@xevij-, xevt-@
@to bow forwards@|@öke-ji-@
@to branch off@|@sal(u)-, sala-, salqaxda-@
@to break@|@ebde-, evde-, evdekh, evdekh, ibdä-, nuraakh, obde-@
@to break down@|@kebge-, kebke-, xevre-, xevreg@
@to breathe@|@amsga-@
@to bring along@|@avts irekh@
@to build@|@bari-@
@to burn@|@qajira-, shatakh, tüle-, tulegdekh, tülekü, xajr-, xajr-@
@to burn (1)@|@örde, ördö, tulä-, tulë-@
@to buy or sell wholesale@|@düi-, düj-@
@to call@|@tungxa-@
@to caress@|@ilbikü@
@to carouse@|@nargi-@
@to carry on the back@|@egür-, u'ur-, ügür-, üre-@
@to carve@|@sejile-, sijle-@
@to catch fire@|@asa-, šata-, sita-, šita-@
@to chafe@|@agschi-@
@to change@|@olbari-, oortslogdokh, oortslokh, solikh galt tereg, ulari-, ulbari-@
