@English@|@Norwegian@
@occupational@|@arbeids-, yrkes-@
@occupy@|@beskjeftige, innta, okkupere, oppta@
@occur@|@forekomme, hende, inntreffe@
@occurence@|@forekomst, hendelse@
@ocean@|@hav@
@October@|@oktober@
@octopus@|@akkar, blekksprut@
@ocular@|@øye-@
@odd@|@enkelt, rar, ulike, umake, underlig@
@oddity@|@særhet@
@odds@|@odds, sjanser@
@odious@|@motbydelig@
@odometer@|@kilometerteller@
@odour@|@lukt@
@of@|@av, fra, om@
@of course@|@selvfølgelig@
@of various meanings@|@mangetydig@
@off@|@avsted, bort, fri@
@off the record@|@uoffisielt@
@offence@|@forseelse, krenkelse@
@offend@|@fornærme, krenke@
@offender@|@lovovertreder@
@offending@|@anstøtelig@
@offensive@|@anstøtelig, offensiv@
@offer@|@tilbud, tilby, utlove@
@offering@|@offergave@
@office@|@embete, kontor@
@officer@|@embetsmann, offiser, politimann, tjenestemann@
@official@|@embets-, funksjonær, offisiell, tjeneste-@
@officiate@|@forrette, fungere@
@off-line@|@frakoblet@
@offprint@|@særtrykk@
@offset@|@avstand@
@offshore@|@fralands-, på feltet, til havs@
@offspring@|@avkom@
@often@|@ofte@
@ogre@|@troll, uhyre@
@oh blast@|@pokker også@
@oh well@|@nåvel@
@oil@|@olje, smøre@
@oilcloth@|@voksduk@
@oildipper@|@oljepinne@
@oilfield@|@oljefelt@
@oilskin@|@oljelerret@
@oily@|@oljet, slesk@
@ointment@|@sårsalve@
@OK@|@greit@
@okay@|@god@
@old@|@gammel@
@old age@|@alderdom@
@old-fashioned@|@gammeldags@
@olive@|@oliven, olivengrønn@
@omelette@|@omelett@
@omen@|@tegn, varsel@
@ominous@|@illevarslende@
@omission@|@unnlatelse, utelatelse@
@omit@|@la være, sløyfe, utelate@
@omnipotent@|@allmektig@
@omniscient@|@allvitende@
@omnivorous@|@altetende@
@on@|@fra, ifølge, med, overfor, på, ved, videre@
@on and off@|@av og til@
@on hand@|@medbrakte@
@on one's way@|@underveis@
@on purpose@|@med hensikt@
@on the contrary@|@tvert imot@
@on the left@|@venstre@
@on the other hand@|@derimot@
@on the other side of@|@tvers over@
@on the premises@|@på stedet@
@on the radio@|@i radio@
@on the rebound@|@like etterpå@
@on the right@|@høyre@
@on the rocks@|@med is@
@on the staff@|@ansatt@
@on the way@|@underveis@
@on the whole@|@overhodet@
@on top@|@oppe, ovenpå@
@on trial@|@for retten, på prøve@
@once@|@èn gang@
@once upon a time@|@det var en gang@
@one@|@en, en, ett, man@
@one another@|@hverandre@
@one hundred@|@hundre@
@one thousand@|@tusen@
@one who writes poetry@|@lyriker@
@onerous@|@tung@
@oneself@|@seg, selv@
@one-way street@|@enveiskjørt gate@
@one-way traffic@|@enveiskjøring@
@onion@|@løk@
@on-line@|@direktekoblet@
@onlooker@|@tilskuer@
@only@|@bare, eneste, rett og slett@
@onset@|@angrep@
@onto@|@oppå, på@
@onwards@|@fremover@
@ooze@|@slam@
@ooze out@|@sive ut@
@open@|@fri, innlede, opp, oppslått, åpen, åpenhjertig, åpne@
@openhearted@|@åpenhjertig@
@opening@|@åpning@
@openly@|@åpenlyst@
@openminded@|@fordomsfri@
@openness@|@åpenhet@
@opera@|@opera@
@operate@|@betjene, operere, virke@
@operating funds@|@driftsmidler@
@operation@|@drift, inngrep, operasjon@
@operator@|@operatør@
@operetta@|@operette@
@opinion@|@mening, oppfatning@
@opinionated@|@påståelig, sta@
@opponent@|@motspiller, motstander@
@opportune@|@beleilig@
@opportunity@|@anledning, sjanse@
@oppose@|@bekjempe, bestride, motsette seg, stille opp mot@
@opposed@|@motsatt@
@opposed to@|@mot@
@opposite@|@motsatt, overfor@
@opposition@|@motstand, opposisjon@
@oppress@|@undertrykke@
@oppression@|@nedtrykthet, undertrykkelse@
@oppressor@|@undertrykker@
@optical@|@optisk, syns-@
@optician@|@optiker@
@optics@|@optikk@
@option@|@forkjøpsrett, opsjon, valg@
@optional@|@valgfri@
@opulent@|@overdådig, rik@
@or@|@eller@
@or else@|@ellers@
@oral@|@muntlig@
@orange@|@appelsin, appelsin, orange, oransje@
@orange-coloured@|@oransje@
@oranges@|@appelsiner@
@orator@|@taler@
@oratory@|@veltalenhet@
@orb@|@kule@
@orbit@|@bane, gå i bane rundt, krets@
@orchard@|@frukthage@
@orchestra@|@orkester@
@orchid@|@orkidè@
@ordain@|@ordinere@
@ordeal@|@ildprøve@
@order@|@anvisning, bestilling, bud, orden, ordne, ordre@
@order cancellation period after purchase@|@angrefrist@
@orderly@|@ordonnans, velordnet@
@ordinal@|@ordenstall@
@ordinance@|@forordning@
@ordinary@|@ordinær, vanlig@
@ordinary man@|@menigmann@
@ordinary share@|@stamaksje@
@ordnance@|@artilleri@
@ore@|@erts, malm@
@organ@|@organ@
@organ (musical instrument)@|@orgel@
@organic@|@organisk@
@organization@|@organisasjon@
@organize@|@organisere@
@organizer@|@arrangør@
@organizing@|@opplegg@
@orgy@|@orgie@
@orientation@|@legning, orientering@
@orienteering@|@orientering@
@origin@|@opphav, opprinnelse@
@original@|@opprinnelig, original@
@originate@|@oppstå@
@originator@|@opphavsmann@
@ornament@|@pryd, pryde@
@ornamental@|@dekorativ@
@orphan@|@foreldreløs@
@orphanage@|@barnehjem@
@orthodox@|@ortodoks, rettroende@
@orthography@|@rettskrivning@
@oscillate@|@pendle, svinge@
@ostensibly@|@tilsynelatende@
@ostentatious@|@brautende, prangende@
@ostracized@|@landsforvist, utstøtt@
@ostrich@|@struts@
@other@|@andre, annen, annet, øvrig@
@otherwise@|@annerledes, ellers, for øvrig@
@otter@|@oter@
@ought to@|@burde, bør@
@ounce@|@unse@
@our@|@vår, våre, vårt@
@ours@|@vår, våre, vårt@
@ourselves@|@oss selv@
@out@|@framme, fremme, ut, ute@
@out of order@|@i uorden@
@out of place@|@malplassert@
@out of tune@|@ustemt@
@outbid@|@overby@
@outbreak@|@utbrudd@
@outcast@|@utstøtt@
@outcome@|@resultat@
@outcry@|@ramaskrik, skrik@
@outdated@|@foreldet@
@outdistance@|@distansere, gå forbi@
@outdoors@|@utendørs@
@outer@|@ytre, ytter-@
@outer cover@|@dekk@
@outer space@|@verdensrom@
@outfit@|@utstyr@
@outgoing@|@utadvent@
@outgrow@|@vokse fra@
@outing@|@utflukt@
@outlaw@|@fredløs@
@outlet@|@utløp@
@outlet (electric)@|@kontakt, stikkontakt@
@outline@|@angi hovedtrekkene, disposisjon, omriss, utkast@
@outlive@|@overleve@
@outlook@|@utsikt@
@outnumber@|@tallmessig overlegen@
@out-patient@|@poliklinisk pasient@
@out-patient clinic@|@poliklinikk@
@output@|@ut-, utdata, ytelse@
@outrage@|@fornærme grovt, voldshandling@
@outrageous@|@opprørende, skandaløst@
@outrageously@|@svine@
@outrageously expensive@|@svinedyr@
@outright@|@likefrem, rent ut@
@outset@|@begynnelse@
@outside@|@utenfor, utenfra, utvendig, ytterside@
@outsider@|@utenforstående@
@outsize@|@stor størrelse@
@outskirts@|@utkant@
@outspoken@|@åpenhjertig@
@outstanding@|@fremragende, utestående@
@outward@|@utover@
@outweigh@|@oppveie@
@outwit@|@overliste@
@ovary@|@eggstokk@
@oven@|@stekeovn@
@ovenproof@|@ildfast@
@over@|@over@
@over again@|@om igjen@
@over here@|@hitover@
@overall@|@generell, kjeledress, samlet@
@overbearing@|@anmassende@
@overboard@|@over bord@
@overcast@|@overskyet@
@overcoat@|@frakk, ytterfrakk@
@overcome@|@overvelde, overvinne@
@overdo@|@overdrive@
@overdraft@|@overtrekking@
@overdraw@|@overtrekk@
@overdue@|@forfallen, forsinket@
@overdue notice@|@purring@
@overeat@|@forspise seg@
@overflow@|@overflomme, overløp, oversvømme, oversvømmelse@
@overgrown@|@forvokst, tilgrodd@
@overhaul@|@etterse, overhale, overhaling@
@overhead@|@luft-, over@
@overhead projector@|@overhead-fremviser@
@overhead valve@|@toppventil@
@overheads@|@faste utgifter@
@overhear@|@overhøre@
@overland@|@til lands@
@overload@|@overbelaste, overbelastning, overlaste@
@overlook@|@ha utsikt over, overse@
@overpowering@|@overveldende@
@overrate@|@overvurdere@
@overrule@|@forkaste@
@overseas@|@oversjøisk@
@oversight@|@forglemmelse@
@oversleep@|@forsove seg@
@overstrain@|@overanstrenge seg@
@overt@|@åpen@
@overtake@|@innhente@
@overthrow@|@kantre@
@overturn@|@velte@
@overvalue@|@overvurdere@
@overview@|@oversikt@
@overweight@|@overvekt, overvektig@
@overwhelm@|@overvelde@
@overwrought@|@overspent@
@owe@|@skylde@
@owing@|@skyldig, utestående@
@owl@|@ugle@
@own@|@egen, eget, egne, eie, inrømme@
@owner@|@eier, innehaver@
@ownership@|@eierforhold@
@ox@|@okse@
@oxen@|@okse@
@oxygen@|@oksygen@
@oyster@|@østers@
@ozone@|@ozon@
@ozonelayer@|@ozonlag@
@pace@|@gå frem og tilbake, hastighet, skritt@
@pacific@|@fredelig@
@Pacific Ocean@|@Stillehavet@
@pacifier@|@smokk@
@pacify@|@berolige@
@pack@|@flokk, oppakning, pakke@
@pack of cards@|@kortstokk@
@pack up@|@pakke sammen@
@package@|@kolli, pakke@
@packed@|@emballert, pakket@
@packed lunch@|@nistepakke@
@packet@|@pakke@
@packing@|@emballasje, pakking, pakning@
@pact@|@overenskomst, pact@
@pad@|@polstre, pute, vattere@
@padding@|@stopp, vattering@
@paddle@|@padle, padleåre, plaske@
@paddle steamer@|@hjuldamper@
@paddock@|@havnehage, hestehage@
@padlock@|@hengelås@
@pagan@|@hedensk, hedning@
@paganism@|@hedenskap@
@page@|@side@
@page boy@|@pikkolo@
@pager@|@personsøker@
@paid in@|@innbetaling@
@pail@|@spann@
@pain@|@gjøre vondt, pine, plage, smerte@
@painful@|@pinlig, smertefull@
@painkiller@|@smertestillende middel@
@painless@|@smertefri@
@painstaking@|@flittig, omhyggelig@
@paint@|@male, maling, pensle, sminke@
@painter@|@maler@
@painting@|@maleri@
@pair@|@par, pare@
@pal@|@kamerat@
@palace@|@slott@
@palatable@|@spiselig, velsmakende@
@palate@|@gane@
@pale@|@blek, stake@
@paling@|@plankegjerde@
@pall@|@likklede@
@pallet@|@halmmadrass, lastepall@
@palliative@|@smertestillende middel@
@pallid@|@blek, gusten@
@palm@|@håndflate, palme@
@palpable@|@følbar, håndgripelig@
@palpitation@|@banking@
@palpitations@|@hjertebank@
@palsy@|@lammelse@
@pampered@|@bortskjemt@
@pamphlet@|@brosjyre, småtrykk@
@pan@|@gryte, panne@
@pancake@|@pannekake@
@pancreas@|@bukspyttkjertel@
@pane@|@vindusrute@
@panel@|@felt, instrumentbord, panel@
@panic@|@få panikk, panikk, panisk@
@pansy@|@homse, stemorsblomst@
@pant@|@pese@
@panther@|@panter@
@panties@|@underbukse@
@pantry@|@anretning, spiskammer@
@pants@|@underbukser@
@papal@|@pavelig@
@paper@|@innlegg@
@paper clip@|@binders@
@paper streamers@|@serpentiner@
@paperback@|@billigbok, uinnbundet bok@
@papers@|@legitimasjonspapirer, papirer@
@par@|@pari@
@parachute@|@fallskjerm@
@parade@|@parade, paradere@
@paradise@|@paradis (Florø?)@
@paradoxical@|@paradoksal@
@paraffin-oil@|@parafin@
@paragraph@|@artikkel, avsnitt@
@parakeet@|@undulat@
@paralyse@|@lamme@
@paralysis@|@lammelse@
@paralytic@|@lam, lammet@
@paramount@|@meget viktig@
@paraphrase@|@omskrive, omskrivning@
@parasite@|@parasitt@
@parboil@|@halvkoke@
@parcel@|@pakke@
@parch@|@tørke ut@
@parchment@|@pergament@
@pardon@|@benåde, tilgi, tilgivelse@
@parent@|@far, mor@
@parentage@|@opphav@
@parental@|@foreldre-@
@parenthesis@|@parentes@
@parents@|@foreldre@
@parish@|@sogn@
@parishioner@|@sognebarn@
@park@|@park, parkere@
@parking@|@parkering@
@parking garage@|@parkeringsplass@
@parking place@|@parkeringsplass@
@parliament@|@parlament@
@parliamentarian@|@parlamentariker@
@parliamentary@|@parlamentarisk@
@parlour@|@dagligstue@
@parlourmaid@|@stuepike@
@parody@|@parodi, parodi, parodiere, parodiere@
@parole@|@parole@
@parrot@|@papegøye@
@parsley@|@persille@
@parsnip@|@pastinakk@
@parsomonious@|@gjerrig@
@parson@|@sogneprest@
@parsonage@|@prestegård@
@part@|@andel, bestanddel, del, dele, forlate, ledd, parti, rolle, skilles, stemme@
@partake@|@delta@
@partial@|@delvis, partisk@
@partiality@|@forkjærlighet, partiskhet@
@participate@|@delta@
@participation@|@deltakelse@
@particular@|@kresen, nøyeregnende, spesiell, særdeleshet, særlig, særskilt@
@particulars@|@detaljer@
@parting@|@avskjed, avskjeds-, skill@
@partisan@|@partisan, partitilhenger, tilhenger@
@partition@|@deling, skillevegg@
@partly@|@delvis@
@partner@|@kompanjong, partner@
@partnership@|@kompaniskap@
@partridge@|@rapphøne, åkerhøne@
@part-time@|@deltids-@
@party@|@part, parti, selskap@
@pass@|@bestå, fjellovergang, føre, passere, passerseddel, rekke@
@pass away@|@dø, gå bort@
@pass out@|@miste bevisstheten@
@pass(mountain pass)@|@pass@
@pass(the ball)@|@passe@
@passable@|@farbar@
@passage@|@avsnitt, gang, gjennomfart, overfart, passasje@
@passed@|@bestått@
@passenger@|@passasjer@
@passing@|@flyktig, passering@
@passion@|@lidenskap@
@passionate@|@lidenskaplig@
@passive@|@passiv@
@passkey@|@hovednøkkel@
@passport@|@pass@
@passport control@|@passkontroll@
@past@|@forbi, fortid, over@
@past tense of rive@|@rev@
@paste@|@lime inn@
@pastime@|@tidsfordriv@
@pastoral@|@hyrde-@
@pastry@|@kakedeig@
@pasture@|@beite@
@pasty@|@deigaktig, kjøttpostei@
@pat@|@glatte på, klapp, klappe@
@patch@|@flekk, lapp, lappe@
@patchwork@|@lappverk@
@pate@|@hode@
@patent@|@patent, patentere, tydelig@
@patentee@|@patentinnehaver@
@paternal@|@faderlig@
@paternity@|@farskap@
@path@|@bane, sti@
@patience@|@kabal, tålmodighet@
@patient@|@pasient, tålmodig@
@patriot@|@patriot@
@patriotic@|@patriotisk@
@patriotism@|@patriotisme@
@patrol@|@patrulje, patruljere@
@patron@|@beskytter, stamgjest@
@patronize@|@behandle nedlatende, beskytte@
@patronizing@|@nedlatende@
@pattern@|@forbilde, mønster@
@paunch@|@vom@
@pause@|@ta en pause@
@pave@|@steinsette@
@pavement@|@fortau, steinsetting@
@paw@|@labb, plukke på, pote, skrape@
@pawn@|@bonde, pant, pantsette@
@pawnbroker@|@pantelåner@
@pay@|@betale, lønn, lønne seg@
@pay for@|@løse@
@pay for someone@|@spandere@
@pay ones respect@|@vise sin aktelse@
@payable@|@betalbar@
@paying@|@betalende, lønnsom@
@paying-in form@|@innbetalingsblankett@
@payment@|@betaling, innbetaling, vederlag@
@payment paid out@|@utbetaling@
@pea@|@ert@
@peace@|@fred, ro@
@peaceful@|@fredelig@
@peacefulness@|@fredfylthet@
@peach@|@fersken@
@pear@|@pære@
@pearl@|@perle@
@peas@|@erter@
@peasant@|@bonde@
@peat@|@torv@
@pedal@|@pedal@
@pedestrian@|@Fotgjenger@
@pedicure@|@fotpleie, pedikyr@
@pedigree@|@stamtavle@
@pedlar@|@dørselger@
@pee@|@pisse@
@peek@|@titt@
@peek at@|@ta en titt på@
@peel@|@skall, skrelle@
@peelings@|@skrell@
@peep@|@glimt, kikke, kvidre, pip, titte@
@peep-hole@|@glugge@
@peer@|@adelsmann, like, likemann, stirre@
@peerage@|@adelsstand, adelstittel@
@peevish@|@irritabel@
@pejury@|@mened@
@pellet@|@hagl, pellet@
@pelt@|@kaste på, uberedt skinn@
@pelvic@|@bekken-@
@pelvic fracture@|@bekkenbrudd@
@pelvis@|@bekken@
@pen@|@kve, penn, skrive@
@pen name@|@pseudonym@
@penal@|@straffe@
@penalty@|@bot, straff@
@pencil@|@blyant@
@pendant@|@anheng@
@pendent@|@hengende@
@pending@|@i påvente av, ikke avgjort, ventende@
@pendulum@|@pendel@
@penetrate@|@gjennomtrenge, trenge igjennom, trenge inn i@
@penetration@|@gjennomslag@
@penguin@|@pingvin@
@peninsula@|@halvøy@
@penitent@|@angerfull@
@penitential@|@bots-@
@pen-knife@|@lommekniv@
@pennant@|@vimpel@
@penniless@|@pengelens@
@pension@|@pensjon, pensjonat, pensjonere@
@pensioner@|@pensjonist@
@pentagon@|@femkant@
@penthouse@|@leskur, takleilighet@
@people@|@en, folk, folk, man, menneske, mennesker@
@pep@|@futt, pepp@
@pepper@|@pepper, pepper, pepre@
@pepper pot@|@pepperbøsse@
@perambulator@|@barnevogn@
@perceive@|@oppfatte, sanse@
@percentage@|@prosent, provisjon@
@perception@|@oppfatning@
@perceptive@|@observant@
@perch@|@abbor, vagle@
@percolate@|@sive@
@percolator@|@kaffetrakter@
@percussion (instruments)@|@slagverk@
@perennial@|@flerårig, staude@
@perfect@|@fullkommen, perfeksjonere, perfekt@
@perfection@|@fullkommenhet@
@perforate@|@gjennomhulle, gå hull på@
@perform@|@fremføre, oppfylle, opptre, utføre@
@performance@|@forestilling, prestasjon, utførelse@
@performer@|@opptredende@
@perfume@|@parfyme@
@perhaps@|@kanskje@
@peril@|@fare@
@perilous@|@farlig@
@period@|@menstruasjon, periode, punktum@
@period of acclimatization@|@tilvenningsperiode@
@periodical@|@periodisk, tidsskrift@
@peripheral@|@utenfor@
@perish@|@gå i oppløsning, omkomme@
@perishable@|@lett bedervelig@
@perishables@|@ferskvarer@
@perk@|@ekstra fordel@
@perky@|@oppkvikket@
@permanence@|@varighet@
@permanent@|@fast, varig@
@permeate@|@gjennomsyre, trenge gjennom@
@permicious@|@ondartet, skadelig@
@permission@|@lov, tillatelse@
@permit@|@skriftlig tillatelse, tillate@
@permute@|@bytte om, forandre rekkefølgen av@
@perpetrate@|@begå, forøve@
@perpetual@|@evig, vedvarende@
@perpetuum mobile@|@evighetsmaskin@
@perplex@|@forvirre, forvirret@
@perplexity@|@forvirring@
@persecute@|@forfølge, plage@
@persecution@|@forfølgelse@
@persecutor@|@forfølger@
@perseverance@|@utholdenhet@
@persevere@|@fortsette, holde ut@
@persevering@|@iherdig, utholdende@
@persist@|@holde fast ved@
@persistent@|@standhaftig, vedvarende@
@person@|@person@
@personal@|@personlig@
@personality@|@personlighet@
@personification@|@personliggjøring@
@personify@|@personifisere@
@personnel@|@personale@
@perspective@|@perspektiv@
@perspicuous@|@anskuelig@
@perspiration@|@svette@
@perspire@|@svette@
@persuade@|@innbille, overbevise, overtale@
@persuasion@|@overtalelse@
@persuasive@|@overbevisende@
@pert@|@nesevis@
@pertain to@|@angå, høre med til@
@pertinent@|@relevant@
@perturb@|@forurolige@
@peruke@|@parykk@
@perusal@|@gjennomlesing@
@peruse@|@lese grundig igjennom@
@pervade@|@gjennomsyre, gjennomtrenge@
@pervasive@|@gjennomtrengende@
@perverse@|@pervers, uriktig@
@pervert@|@forderve, pervers person@
@pessary@|@pessar@
@pessimism@|@pessimisme@
@pessimistic@|@pessimistisk@
@pest@|@plageånd, skadedyr@
@pester@|@plage@
@pesticide@|@middel mot skadedyr@
@pestle@|@støter@
@pet@|@kjæledyr, kjærtegne, yndling@
@petition@|@ansøke, begjæring, bønnskrift, protestskriv@
@petrified@|@forstenet, stiv av redsel@
@petrify@|@forstene, gjøre stiv av redsel@
@petrol@|@bensin@
@petroleum@|@parafin@
@petticoat@|@underskjørt@
@pettiness@|@smålighet@
@petting@|@klining@
@petty@|@smålig, ubetydelig@
@pew@|@kirkestol@
@pewter@|@tinnvare@
@phantom@|@fantom, spøkelse@
@pharmaceutical@|@medisin@
@pharmacy@|@apotek, farmasi@
@phase@|@fase@
@phased@|@trinnvis@
@pheasant@|@fasan@
@phenomena@|@fenomen@
@phenomenon@|@fenomen@
@phial@|@medisinflaske@
@philanthropist@|@filantrop, menneskevenn@
@philatelist@|@frimerkesamler@
@philately@|@filateli@
@philological@|@filologisk@
@philology@|@filologi@
@philosopher@|@filosof@
@philosophy@|@filosofi@
@phlegm@|@sinnsro, slim@
@phlegmatic@|@flegmatisk@
@phone@|@ringe, telefon@
@phonethics@|@fonetikk, lydlære@
@phoney@|@falsk, uekte@
@photo@|@foto@
@photograph@|@bilde, fotografere, fotografi@
@photographer@|@fotograf@
@photography@|@fotografering@
@phrase@|@formulere, frase, uttrykk, uttrykke, vending@
@phrase book@|@parlør@
@physical@|@fysisk, kroppslig@
@physically challenged@|@funksjonshemmet@
@physicist@|@fysiker@
@physics@|@fysikk@
@physique@|@fysikk, kroppsbygning@
@piano@|@piano@
@pick@|@hakke, pirke i, plukke, velge@
@pick axe@|@hakke@
@pick on@|@hakke på@
@pick up@|@plukke opp, ta, ta opp, tilegne seg@
@picked@|@utvalgt@
@picked up@|@bli tatt@
@picture@|@bilde, maleri@
@picture book@|@billedbok@
@pie@|@pai@
@piece@|@del@
@piece of news@|@nyhet@
@pieces@|@deler@
@pierce@|@gjennomtrenge@
@pig@|@gris, svin@
@pigeon@|@due@
@pigeonhole@|@avdeling@
@pill@|@pille@
@pillage@|@plyndre, plyndring@
@pillar@|@pilar, søyle@
@pillion@|@motorsykkelbaksete@
@pillow@|@pute@
@pillowcase@|@putevar@
@pilot@|@føre, los, lose, pilot@
@pimp@|@hallik@
@pimple@|@filipens, kvise@
@pin@|@feste, knappenål, stift, stifte, tapp@
@pin cushion@|@nålepute@
@pincers@|@knipetang@
@pinch@|@klemme, klype, stjele@
@pincushion@|@nålepute@
@pine@|@furu, vansmekte@
@pine for@|@lengte etter@
@pineapple@|@ananas@
@pink@|@nellik, rosa, rosa@
@pinnacle@|@tind@
@pinprick@|@nålestikk@
@pint@|@halvliter@
@pioneer@|@foregangsmann, pionêr@
@pious@|@from@
@pipe@|@blåse, fløyte, pipe, rør@
@pipe bowl@|@bowle, pipehode, spille kjegl@
@pipeline@|@rørledning@
@pirate@|@pirat, sjørøver@
@pistol@|@pistol@
@piston@|@stempel, stempel@
@pit@|@grop, gruve, hull@
@pit coal@|@steinkull@
@pitch@|@bek, duve, kaste, nivå, stampe, tonehøyde@
@pitch-dark@|@bekmørkt@
@pitcher@|@kaster, krukke@
@pitchfork@|@høygaffel@
@pitfall@|@fallgruve, felle@
@pith@|@marg@
@pitiful@|@ynkelig@
@piton@|@ringbolt@
@pittance@|@liten lønn@
@pity@|@medlidenhet@
@pivot@|@dreietapp@
@placard@|@plakat, slå opp plakater@
@place@|@plass, plassere, sted, stille, ståsted, vegne@
@place name@|@stedsnavn@
@plague@|@landeplage, pest@
@plaice@|@rødspette@
@plaid@|@pledd@
@plain@|@enkel, ensfarget, lettfattelig, slett, slette@
@plaint@|@klageskrift@
@plaintiff@|@saksøker@
@plaintive@|@klagende@
@plait@|@flette@
@plan@|@plan, planlegge, utkast@
@plane@|@fly, høvel, høvle, jevn, plan@
@planet@|@klode@
@planets@|@planeter@
@plank@|@planke@
@planning@|@opplegg, planarbeid@
@plant@|@beplante, fabrikkanlegg, plante@
@plaque@|@minnetavle, plakett@
@plastic@|@formbar, plast, plastisk@
@plate@|@metallplate, plansje, tallerken@
@plateau@|@platå@
@platinum@|@platina@
@platitude@|@platthet, selvfølgelighet@
@platter@|@fat, tallerken@
@plausible@|@sannsynlig@
@play@|@lek, leke, skuespill, spill, spille@
@play hookey@|@skulke@
@play truant@|@skulke@
@play-act@|@agere@
@playback@|@avspilling@
@playground@|@lekeplass@
@playing card@|@spillkort@
@playmate@|@lekekamerat@
@playwright@|@skuespillforfatter@
@plaza@|@plass@
@plea@|@appell, innlegg, påstand@
@plead@|@be inntrengende, erkjenne, føre en sak@
@pleasant@|@behagelig, hyggelig, koselig, tiltalende, trivelig@
@pleasantry@|@hyggelig bemerkning@
@please@|@behage, gjøre til lags, vær så snill@
@pleased@|@fornøyd@
@pleasing@|@behagelig@
@pleasure@|@fornøyelse, glede@
@pleat@|@fold, plissê, plissere@
@pledge@|@forplikte, løfte, pant, pantsette@
@plentiful@|@rikelig@
@plenty@|@nok, overflod@
@plenty of@|@massevis av@
@plethora@|@mylder@
@pliable@|@bøyelig, føyelig@
@pliers@|@nebbtang@
@plight@|@sørgelig forfatning@
@plod@|@gå tungt, traske@
@plot@|@intrigere, jordstykke, komplott, planlegge@
@plough@|@plog, pløye@
@ploy@|@knep@
@pluck@|@innmat, nappe, plukke@
@plucky@|@modig@
@plug@|@plugg, plugge, propp, støpsel, tapp, tennplugg, tette@
@plum@|@plomme, plomme@
@plumage@|@fjærdrakt@
@plumb@|@i lodd, lodd, lodde, loddrett@
@plumber@|@rørlegger, rørlegger@
@plumbing@|@rørleggerarbeid@
@plump@|@falle, fyldig, lubben, plumpe, trinn@
@plumy@|@fjærkledd@
@plunder@|@plyndre, plyndring@
@plunge@|@dukkert, stup, stupe, styrte@
@plural@|@flertall@
@plus-fours@|@nikkers@
@plush@|@plysj@
@ply@|@lag, tråd@
@plywood@|@finêr@
@pneumatic@|@pneumatisk@
@pneumonia@|@lungebetennelse@
@poach@|@drive ulovlig jakt, pochere@
@poacher@|@krypskytter@
@pocket@|@lomme, stikke i lommen@
@pocket book@|@billigbok@
@pocket calculator@|@lommekalkulator, lommeregner@
@pocket dictionary@|@lommeordbok@
@pockmark@|@kopparr@
@pod@|@belg, skolm@
@poem@|@dikt@
@poet@|@dikter, lyriker@
@poetic@|@poetisk@
@poetical@|@poetisk@
@poetry@|@poesi@
@poignant@|@bitende, intens@
@point@|@hensikt, peke, poeng, punkt, spiss, spisse@
@point of view@|@synspunkt@
@point out@|@konstatere, påpeke, påvise@
@pointed@|@poengtert, spiss@
@pointer@|@pekepinn, viser@
@pointless@|@meningsløs@
@poise@|@balansere, kroppsholdning, likevekt@
@poison@|@forgifte, gift@
@poisoning@|@forgiftning@
@poisonous@|@giftig, giftlig@
@poke@|@dytt, dytte, rote i@
@poker@|@ildraker, poker@
@polar@|@pol-, polar-@
@polarbear@|@isbjørn@
@pole@|@pol, stake, stang, stang@
@pole-vault@|@stavsprang@
@police@|@politi@
@police blockade@|@politisperring@
@policeman@|@politikonstabel@
@police-station@|@politistasjon@
@policy@|@polise, politikk@
@poliomyelitis@|@poliomyelitt@
@polish@|@glans, polere, poleringsmiddel, polsk@
@polite@|@høflig@
@politeness@|@høflighet@
@political@|@politisk@
@political science@|@statsvitenskap@
@politician@|@politiker@
@politics@|@politikk@
@poll@|@skriftlig avstemning, valg@
@polling booth@|@stemmeavlukke@
@polling station@|@valglokale@
@pollutant@|@forurensende@
@pollute@|@forurense@
@pollution@|@forurensing@
@pompous@|@pompøs@
@pond@|@dam@
@ponder@|@tenke over@
@ponderous@|@klossete@
@pony@|@ponni@
@poodle@|@puddel@
@pool@|@basseng, dam, sammenslutning@
@pools@|@tipping@
@poop@|@akterdekk, hyttedekk@
@poor@|@dårlig, fattig, stakkars@
@poorly@|@dårlig@
@pop@|@fatter, smell, smelle@
@pop in@|@stikke innom@
@pop up@|@dukke opp@
@pope@|@pave@
@popeyed@|@med utstående øyne@
@poplar@|@poppel@
@poppy@|@valmue@
@popular@|@folkelig, populær@
@populate@|@befolke@
@population@|@befolkning, befolkning, bestand@
@populous@|@folkerik@
@porcelain@|@porselen@
@porch@|@veranda, vindfang@
@porcupine@|@pinnsvin@
@pork@|@svinekjøtt@
@pork chop@|@svinekotelett@
@pornographic@|@pornografisk@
@pornography@|@pornografi@
@porous@|@porøs@
@porridge@|@grøt@
@port@|@babord, havn, havneby, port, portvin@
@portal@|@port, portal@
@portend@|@varsle@
@portent@|@ondt varsel@
@portentous@|@illevarslende@
@portfolio@|@dokumentmappe, mappe, portefølje@
@portion@|@andel, del, porsjon@
@portion out@|@dele ut@
@portly@|@korpulent@
@portrait@|@portrett@
@portraiture@|@portrettkunst@
@portray@|@fremstille, portrettere, skildre@
@portrayal@|@skildring@
@Portuguese@|@Portugisisk@
@pose@|@posere, positur, sitte modell, stille, stilling@
@posh@|@fin, flott@
