@English@|@Tibetan@
@take me to the hotel@|@nga don-khang a tri-ro nang@
@Take them on a empty stomach@|@tro-go tong-pa la sa-nang@
@Take them twice a day@|@nyi-ma chik la teng nyi sa-nan@
@Take them with food@|@ka-la nyem-do sa-nang@
@Take these pills@|@ri-pu din-tso sa-nang@
@taken@|@nel@
@talk@|@gros, gtam, gtom, kay-cha shepa, ke-cha she, she, she@
@talk nonsense@|@dkjal@
@tall@|@ldem, tho-po@
@talon@|@sder@
@Tara@|@Dhrol-ma@
@taxi@|@te-ksi@
@tea@|@cha, ja@
@teach@|@lahp, lap@
@teacher@|@mkhan, rim-po-che@
@tear@|@mi-ma@
@tears@|@mchi@
@teeth@|@so@
@telephone@|@ka-bar@
@tell@|@lab@
@temple@|@Iha-khang@
@ten@|@bco, bcu, chu, gwa@
@tender@|@sni, snin@
@tense@|@thang@
@tent@|@gur@
@Tenzin is in Tibet@|@Ten-zin Pö la du@
@testicle@|@rlig, thul@
@thank you@|@thu-chi che@
@Thank You@|@thu-je-che@
@thanks@|@thu-je-chhe@
@that@|@de, do, pha-gi@
@that is your friend@|@de khye-rang-gi dhrog-pa re@
@that which is above@|@steng@
@the act of accompanying@|@rzhong, rzhongs@
@the act of going@|@agros@
@the back of the body@|@rgjab@
@the back part of the neck@|@ltag@
@the belly-side of fur@|@dbo@
@the bladder@|@phug@
@the book@|@teb di@
@the books@|@teb den-tso@
@the bottom@|@khul-ma@
@the brown bear@|@dom@
@The car is going too fast@|@mo-tha gyo-tak gi-du@
@the car that is going to Lhasa@|@Lha-sa la dro-ken mo-ta@
@the casting@|@lugs@
@the day after tomorrow@|@gnang, gnans@
@the eye in a peacock's feather@|@mdongs@
@the garuda bird@|@khjung@
@the gods@|@lha@
@the grasping hand@|@spar@
@the growing fat of cows@|@thor@
@the gums@|@rnil, snil@
@the hair of the head@|@skra@
@the heart@|@hnac@
@the hollow of the hand@|@khjor, skjor@
@the house of the lama@|@la-ma gi khang-pa@
@the hunch@|@rngog@
@the inside@|@khong-pa@
@the interior@|@nang@
@the liver@|@mchin@
@the lower part@|@smad@
@the lower part of the body@|@mthang@
@the middle@|@azing, gung, gzung, gzung, khong@
@the nature@|@ngang@
@the nerves@|@rgju@
@the nose@|@sna@
@the other@|@sos@
@the palm of the hand@|@thal@
@the price of the tea@|@cha gi kong@
@the side@|@glo, ldo@
@the temples@|@mur-gong@
@the thigh@|@brla@
@the upper@|@stod@
@the upper part@|@phu@
@The weather is bad@|@nam-shi duk-cha du@
@The weather is good@|@nam-shi yag-po du@
@the west@|@nub@
@the whole@|@bjin@
@the womb@|@lhums@
@the yak@|@g-jag@
@the younger sister@|@nu-mo@
@their@|@khong-tsö, khong-tso-gi, khong tso@
@them@|@khong-tso la@
@then@|@ten-du, ten-ne@
@there@|@pha-ge@
@these@|@din-tso@
@these good persons@|@mi yag-po din-tso@
@These stones are authentic@|@tha di ngo-ma re-pe@
@they@|@khong-tso@
@they are thirsty@|@khong-tso kha-kom-gi-du@
@thick@|@gar-mo, rbad-rbod@
@thick and clammy@|@adur@
@thick milk@|@zo@
@thick of fluids@|@ska@
@thickness@|@athug, mthug, stug@
@thimble@|@lcung@
@thin@|@phra, srab@
@thin fluids@|@sla@
@thing@|@cha-lag@
@things@|@cha, chas@
@think@|@dgongs-pa, sem@
@thirst@|@skjems@
@thirteen@|@chug sum, sgya@
@thirty@|@sum chu@
@thirty one@|@sum-chu so chig@
@this@|@adi, di@
@This food is too much for me@|@ka-la di nga la mang-tak du@
@this house@|@khang-pa di@
@this is a book@|@di teb re@
@This is good@|@di shim-po du@
@this is Lhasa@|@dhi Lhesa rey@
@this is mine@|@di nge re@
@this is my house@|@di nge khang-pa re@
@this is yours@|@di khye-rang-gi re@
@this moment@|@gzod@
@this morning@|@ta-rang sho-ge@
@This restaurant is expensive@|@sa-kang-di kong chen-po du@
@This room is all right@|@khang-mi di dhri-gi-re@
@This tangka is true or false@|@tang-ka di ngo-ma re; zü-ma re@
@tho-jor@|@mtho@
@those@|@den-tso, pha-gi-tso, phan-tso@
@thought@|@bsam@
@thousand@|@chik tong, stong@
@three@|@gsum, sum@
@throat@|@ko-ko, mgrin, mgul, mgul, mgur, mgur, mid-pa, mik-ba, mjad-pa@
@through@|@ltang, lteng@
@throw down@|@abebs, dbab, phab, phob@
@throw into the mouth@|@agam@
@thumb@|@mthe-bo, theb@
@thunder@|@abrug, dru-ke@
@thursday@|@sah phur-bu@
@Thursday@|@sa pu-bu, sah lhak-pa@
@thus@|@ces@
@Tibet@|@Pö@
@Tibetan@|@Pö-pa@
@Tibetan coat@|@chu-ba@
@Tibetan food@|@Pö-be ka-la@
@tibetan freedom@|@po rahng-tsen@
@ticket@|@pa-si@
@tie together@|@athun, mthun@
@tiger@|@stag@
@time@|@dü-tsö, dus.tsbod., lan@
@times@|@thengs@
@tired@|@thang che@
@to accompany@|@bstang, bstangs, stongs@
@to add@|@khan-pa@
@to affix@|@sbjar, sbjor@
@to appoint@|@bsko, bskos, sko, skos@
@to apprehend quickly@|@ldob@
@to approach@|@bsnen, snen@
@to arrive@|@bsleb, bslebs, sleb, slebs@
@to ask@|@rma, rmas, rmed, rmes, smed@
@to assemble@|@achogs, chogs@
@to attend to@|@gzung-pa@
@to bake@|@achod, bco, bcos, chod, chos@
@to barter@|@brze, brzes, rze@
@to be@|@gda, ji-n, lags, red@
@to be able@|@khom, rngo-ba@
@to be ashamed@|@skjeng@
@to be born@|@skje, skjes@
@to be cleft@|@agas, gas@
@to be divided@|@agje, gjes@
@to be fainted@|@sngal-ba@
@to be fatigued@|@ngal-ba@
@to be hungry@|@bkres, dro-go to-pa@
@to be lazy@|@khäw@
@to be little@|@nung-ba@
@to be old@|@rga, rgas@
@to be thirsty@|@kha-kom-pa, skjem@
@to be twisted@|@agril-ba@
@to bear@|@abrang, abrangs, abrong, bca@
@to beat@|@bkjun-pa@
@to become blind@|@ldong, ldongs, long@
@to become free@|@agrol-ba, grol@
@to become green@|@bsngo, bsngos, sngo, sngod, sngos@
@to become wet all through@|@bangs-pa@
@to belch@|@sgreg, sgregs@
@to belong@|@gtogs@
@to bend@|@dgje, dgu@
@to bend down@|@adud, btud@
@to bend or bow down@|@atud, btud, dud, gdud, thud@
@to bestow@|@bjin@
@to bind@|@aching-ba, adogs, bcing, bsdam, bsdams, bsdom, bsdoms, btags, gdag, gdags, sdom, sdoms, thogs@
@to bind (1)@|@agrogs, agrogs, akhjig, bkjig, bkjigs, grags@
@to bite@|@acha, rgjab@
@to blame@|@aphja, aphjar-kha, aphjas, phjar-kha, spjo, spjos@
@to blot@|@abogs, dbag, dbog, phog, phog@
@to blow@|@abud, bus, dbu, phu, phus@
@to boast@|@sgeg-pa@
@to boil@|@bskol, skol@
@to boil over@|@lud@
@to bore@|@brtol, gtol, rtol@
@to borrow@|@brnga, brnga, brngas, bskji, bskjis, skji, skjis@
@to bow in obeisance@|@btug@
@to break@|@achag, acheg, bsag, bsags, bsags, chags, gcog, sog@
@to bring@|@akhjong-ba, khjong@
@to bring up@|@bsrel, srel@
@to burn@|@abar, achig-pa, bsreg, bsregs, sreg, sregs@
@to buy@|@no, nos, nyo-ua@
@to buy off@|@blu, blus@
@to call@|@khug, khugs, sgrog-pa@
@to cause to overflow@|@abrub@
@to cause to rise@|@bslang, bslangs, slang, slangs, slong, slongs@
@to cause to trickle@|@achag, bcag, bcags, chags, chog@
@to change place@|@bskja, bskjas, nur, skja-ba@
@to chew@|@achems, bcem, bcems@
@to choose@|@adam, adom, bsko, sko@
@to circumambulate@|@ko-ra gyab@
@to clean@|@bsang, bsangs, bsed, gsed, sangs, sed, sel@
@to cleave@|@bsag, bsags, bsog, gsag, gsags, gsog@
@to collect@|@bsgrug, bsgrugs, sdud, sgrug, sgrugs@
@to come@|@mchi-ba, yong-ua@
@to come out@|@abjung, athon, bjung, thon, thon@
@to come to the last@|@dpjis@
@to commit adultery@|@aba, bji@
@to compare@|@ser@
@to complete@|@bsgrub, bsgrubs, sgrub, sgrubs@
@to comprehend@|@akhums@
@to comprise@|@akhjigs@
@to conceal@|@achab@
@to conduct@|@bskjel, skjel-ba, skjol@
@to confound@|@bsnor, snor@
@to conquer@|@brdug, brdugs, rdug@
@to consider@|@brtags, brtog, rtog, rtogs@
@to contend@|@brcad, rcod@
@to contract@|@bskum, bskums, skum, skum-pa, skums@
@to cool@|@bshil@
@to cough@|@sud@
@to count@|@agrang, bgrong, brci, brcis, gsor, rci, rcis@
@to cover@|@agebs, bjib, bkab, bkab, dgab, klub, klubs@
@to cry@|@agrag-pa, agrags-pa@
@to cut@|@dra, dras@
@to cut into small pieces@|@sgral@
@to cut off@|@abreg, adreg, breg, bregs, brog, brogs, gcod@
@to cut off (1)@|@bcad, chod, gcad@
@to cut to pieces@|@gsil@
@to dance@|@acham@
@to darken@|@bsgrib, bsgribs, sgrib, sgribs@
@to deceive@|@abrid-pa, adrid-pa, rngod-pa@
@to decline@|@rgud@
@to defile@|@abag, abogs, dbag@
@to descend@|@abab, abob, bab, babs, bobs@
@to desire@|@gnog, rkam, sred@
@to despise@|@brnas@
@to despond@|@agong-ba, agong(s)-ba, bkong@
@to destroy@|@agem, agom, agoms@
@to devise@|@brnag@
@to die@|@achi, agron, agrong, agrong, agum, agum, agums, grons, grons, gum, si@
@to dig@|@abru, adru, brko, brkos, rko, rkos@
@to dig in@|@bsnug, bsnugs, snug@
@to dirty@|@ago, agos, gos@
@to disperse@|@jar@
@to disperse in flight@|@abjer, bjer@
@to dispute@|@rgol-ba@
@to distribute@|@abrim, brim, brims@
@to divide@|@agjed, bgjes, bgo, bgod, bgos, bkje@
@to double down@|@lteb@
@to draw in air@|@brngub, brngubs, rngub, rngubs@
@to draw out@|@abre, bre-s, bsnad, snod, snod@
@to dream@|@rmi, rmis@
@to drench@|@sbang-pa@
@to dress@|@skon-pa@
@to drink@|@athung, ãthung, athungs, thung-ua@
@to drop@|@ajir, athig, athigs, azhag, gzag, khrul, zags@
@to eat@|@bza, bzos, sa-ua, za, zo, zos@
@to embrace@|@akhjud-pa, thams@
@to enter@|@achud, azud, chud@
@to entice@|@bslu, slu bslus, slus@
@to enumerate@|@bsgrang, bsgrangs, sgrang, sgrong@
@to envy@|@snogs@
@to establish@|@adzag, dzags@
@to exhort@|@skul-ba@
@to exist@|@adug@
@to expel@|@spjug, spjugs@
@to explain@|@achad, agrel, bkral, bsad, sod@
@to extend@|@brgjan, brgjangs, rgjong@
@to extract@|@bku@
@to faint@|@brgjal@
@to faint away@|@akham-pa@
@to fall@|@agjel-ba, agril-ba, apho, aphos, gjel, ltung@
@to fall (1)@|@gril@
@to fall ill@|@na-ua@
@to fall in drops@|@btig, gtig@
@to fall into small pieces@|@adrugs@
@to fan@|@aphjar, aphjor, phjor@
@to fancy@|@bsgom, bsgoms, dmigs, sgom, sgom-pa, sgoms@
@to fasten on a string@|@brgju, brgjud, brgjus, rgjud@
@to fear@|@dngang, dngangs@
@to feed@|@bstab, bstob, stob@
@to feel ashamed@|@azhem@
@to fetter@|@aching, achings, bcings@
@to fight@|@agran@
@to file on a string@|@star@
@to fill@|@gtam, gtams, gtom@
@to fit up a dwelling@|@abogs, dbag, dbog, phog@
@to flow over@|@abjam@
@to fly@|@aphar, aphur@
@to fold up@|@bltab, bltabs, ltab, ltob@
@to forbid@|@bkag@
@to ford@|@brgal, rgal, rgol@
@to forget@|@g-jel@
@to freeze@|@akhja-pa, akhjas-pa, phjid@
@to fulfill@|@bskang, bskongs, skong-ba, skongs@
@to gather@|@athu, bsag, btu, sags, sogs, thu@
@to generate@|@bskjed, skjed@
@to get or take possession of@|@bdog@
@to give@|@azhags, bster, gnang, gnangs, gnong, sbjin, ster, te-ua@
@to give notice@|@bzlug, bzlugs, zlug@
@to give way@|@abjol, bjol, dbjol, lugs@
@to gnaw@|@mur-ba@
@to gnaw and bite each other@|@rmur@
@to gnaw off@|@achas@
@to go@|@abjon, adeng, adong, ãdong, agrim-pa, agrims, agro, agrod, bjon, cha, deng, dengs, dhro-ua, dong, gsegs, song@
@to go into@|@achugs, chugs@
@to grind@|@athag@
@to grow@|@agrib, brta@
@to grow cold@|@grangs@
@to grow old@|@bgre, bgres@
@to grow weak@|@rgod@
@to growl of pig@|@ngur@
@to grunt@|@ngug-pa@
@to guard@|@bskjang, bskjangs, skjong-ba@
@to hang up@|@bskar, skar-ba, skor@
@to hate@|@agras@
@to have a strong desire@|@drum@
@to have room in@|@gsong, song@
@to heal@|@acho, bsos, gso, sos@
@to heap@|@bcer, spubgs, spung@
@to hear@|@nan, non, thos@
@to hide@|@gab, sba, sbas, sbed, sbos@
@to hit@|@aphog, phog@
@to hoard wealth@|@azhangs-pa@
@to hold@|@achang, bcangs, chong, chongs, fbcang, stem@
@to hold fast@|@bsgrim, bsgrims, sgrim, sgrims@
@to honour@|@bsti, bstis, sti, stis@
@to hope@|@re@
@to hurt@|@ache, agrams-pa, bce, bces, gce@
@to husk@|@bgru, bgrud, bgrus@
@to immerse@|@smjug@
@to incline@|@aphre, aphres@
@to increase@|@acheng, aphel-ba, dar@
@to injure@|@bdo@
@to invite@|@gceng, gci@
@to irritate@|@achang@
@to itch@|@abun, bun, g-ja@
@to joke@|@rced@
@to keep@|@mkhjud-pa@
@to kick@|@rdeg-pa, rdegs-pa, rdog@
@to kill@|@agum, bkum, bsa, bsad, bsas, dkum, gsod, khum, sod@
@to know@|@mkhjen@
@to ladle@|@achu, bcu, bcus, chus@
@to lash@|@gzu@
@to lay@|@sbrag, sbrags, sprag@
@to lay down@|@bsnal, snol@
@to lean against@|@bsne, bsnes, sne@
@to lean to@|@akhra-ba@
@to learn@|@bslab, bslabs, lob, slob, slobs@
@to leave behind@|@bskjung, bskjungs, skjung, skjung-ba, skjungs@
@to lend@|@g-jar@
@to lick@|@bldag, bldags, gzab, ldag, ldog@
@to lift@|@ãdeg, ãdegs, bteg, btegs, gteg, theg@
@to lift up@|@spar, spor@
@to light@|@sbar, sbor@
@to live@|@acho, gson, sos@
@to load@|@agel, bkal, dgal, khol@
@to load upon@|@akhel, khel@
@to long for@|@skam@
@to look@|@blta, blta, bltas, lta, ltos@
@to loose@|@agrol-ba, bkrol, dgrol, khrol@
@to love@|@brce, chags, gdu, mzha@
@to magnify@|@gzags@
@to make@|@bgji, bgjid, bgjis, gjis, je-pa@
@to make dry@|@bskam, bskams, skem, skom, skoms@
@to make fly@|@phur, spur@
@to make round@|@bsgong, bsgongs, sgong, sgongs@
@to me@|@nga la@
@to measure@|@dpag, dpags, dpogs, sor, sor@
@to meditate@|@gom gyab@
@to meet@|@thuk-pa@
@to melt@|@azhu-ba, bzu-ba, bzun-mo, gzu-ba, zu-ba, zun-ba@
@to mend@|@klan, klon, lhan, slan, slon@
@to milk@|@azho, azhos, bzo, bzos@
@to mix@|@slad@
@to mount@|@zon@
@to move@|@agul-ba, bsgul, bskjod, g-jo, g-jos, sgjod, sgul, skjod@
@to move a thing softly@|@g-jeng, jengs@
@to move about@|@g-job, g-jobs@
@to move up and down@|@ldem@
@to mow@|@brnga, brngas, rnga, rngos@
@to number@|@agrang@
@to offer sacrifice@|@stib, stibs@
@to open@|@abjed, abu, abus, dbje, phje, phjed, phjes@
@to pack up@|@teg, tog@
@to pant@|@hal-ba@
@to parch barley@|@brngod, brngos, rngod, rngod, rngos@
@to part@|@agol, gol@
@to pass through@|@brgju, brgjud, brgjus, rgjud@
@to penetrate@|@ljen@
@to pierce@|@abug, abugs, phug@
@to pinch@|@agrum, grum@
@to play@|@aphag, aphags, rce, rces@
@to plough@|@rmo@
@to pour@|@blug, blugs, ldug, ldugs, lhug@
@to pour out@|@bran@
@to pray@|@mu-lam gyap@
@to prepare food@|@dger-ba@
@to press@|@bkan-pa, glem-pa, gnan, mnan, mnan, non@
@to prick@|@adzugs, bcugs, gzugs, zug, zugs@
@to prostrate@|@cha-tse@
@to purge@|@rlug, rlugs@
@to push through a crowd@|@hrajh@
@to put into@|@adzug, bcug, chug, gzug@
@to put on@|@gjon, gsol, mnabs@
@to put on clothes@|@gon@
@to put together@|@sbam, sbams, sboms@
@to quarrel@|@adzing@
@to raise@|@bzeng, seng@
@to rave@|@rdol@
@to reach@|@gtug, gtugs, thug@
@to read@|@bklag, bklags, dral, hral, klog, lhogs, log-pa@
@to rebuke@|@bsting, bstings, sting, stings@
@to receive@|@lo-n@
@to reel@|@akhjor-ba, khjor-ba@
@to rejoice@|@rang, rangs@
@to remember@|@dhen-pa@
@to remove and to bring@|@spag, spags@
@to request@|@zus@
@to rescue@|@bsgral, sgrol-ba@
@to respond@|@ado-ba@
@to return@|@lhon, log@
@to ripen@|@smin@
@to rise@|@aphag, lang, langs, ldang, ldang, ldangs, ldong, ldong, long@
@to roar@|@akhrog-pa, ngu, ngus@
@to roast slightly@|@slam@
@to rob@|@aphrog, dbrog, phrogs@
@to rock@|@akhjom-pa, akhjoms@
@to rub@|@adrud, bsud, drud, gcub, sud@
@to rub one's self@|@brnog, brnogs, rnog@
@to run@|@akhju, akhju, akhjug, akhjus, akhjus, dur, khjug, rgjug@
@to run a race@|@dkju@
@to rush in upon@|@rub@
@to satisfy one's desire@|@ngom, ngoms@
@to satisfy with food@|@agrang-ba@
@to save@|@akhol-ba, bkol, khol@
@to say@|@bsad, bzlas, bzlas, bzlo, bzlo, bzlos, bzlos, gte, smo, sod, zla, zla, zlo, zlo, zlos, zlos@
@to say (1)@|@bsgo, bsgos, sgo@
@to say mantra@|@ma-ni dang@
@to scratch@|@abrad, bgrad, brad, brod, sbrad@
@to scratch oneself@|@aphrug, phrugs@
@to see@|@gzigs, mthong, ta-ua@
@to seize@|@adzu, adzus, atham, nom, noms, thams, thams@
@to sell@|@achong, bcong, bcos@
@to send@|@brzhang, brzhangs, rzhang, rzhangs, rzhong, sring, sring@
@to send a message@|@spring, springs@
@to separate@|@aphral, dbral, dgar, phral, phrol@
@to set on a dog@|@c'ho@
@to set out on a journey@|@athegs, thegs@
@to sew@|@achem, adrub, bcem, chems, drub, drubs@
@to sew together@|@gsog@
@to shake@|@bskjom, bskjoms, skjom, skjom-pa, skjoms@
@to shed@|@abjo, abo@
@to shine@|@acher@
@to show@|@bstan, ston@
@to shrink@|@chum@
@to shudder@|@azum@
@to sink@|@dim@
@to sit@|@bsdad, gzes, sdod@
@to slide@|@adred@
@to slide down a snow-hill@|@zir@
@to smear@|@bsku, bskus, skud, skus@
@to smell@|@bsnam, bsnams, bsnum, snam, snom, snom, snoms, snum bsnums, snums@
@to smell of@|@mnam@
@to sneeze@|@sbrid-pa@
@to snore@|@sngur-ba@
@to soil@|@sbag, sbags, sbogs@
@to span with thumb@|@khap@
@to split@|@gsi-ba@
@to sport@|@gza@
@to spread@|@bdal, brdal, brdal, gcal, gdal, rdal, rdol@
@to sprinkle@|@sbran, sbron@
@to spy@|@azhab@
@to squat@|@akhong@
@to squeeze@|@achir, bcer, bcir, gcar@
@to stamp@|@skrab-pa@
@to stay@|@de-pa@
@to steal@|@brku, brkus, rku, rkus@
@to step aside@|@abjer@
@to stick@|@azheng@
@to stick fast@|@khad@
@to stick to@|@abjar, abjor@
@to stitch together@|@sbrel@
@to stop@|@athen@
@to stretch out@|@bsnab, bsnabs, snob@
@to strew@|@gtor@
@to strike@|@brdung, brdungs, rdung, rdungs, thugs@
@to struggle@|@aphrig@
@to suck@|@nu@
@to suckle@|@nud, snun@
@to suffer@|@bsran, bzod, mnar, sran, sron@
@to suspend@|@dpjang, spjang@
@to swallow@|@mid@
@to sweep@|@aphjag@
@to swell as a tumour@|@skrang@
@to swell up@|@abo, abos, bo, dbo, pho, sbo, sbos@
@to swim@|@aphjo, aphjos, rkjal-ba@
@to take@|@athebs, athogs, athogs, bsnam, bsnams, snom, thebs@
@to take away@|@achang, agog-pa, bkog, dgog, khog@
@to take care@|@agab-pa@
@to tame@|@adul, btul, gtul, thul@
@to taste@|@bro, mjang, mjong@
@to the lama@|@la-ma la@
@to think@|@bsam, bsams, mno, sem, som@
@to thirst@|@skom@
@to threaten@|@gdeng, gdengs, rzhe, sdigs@
@to throw@|@aphang, aphangs, aphen, phong, phongs, skjung-ba, skjur-ba@
@to throw away as unfit@|@atheng@
@to throw down@|@bsgjel, sgjel@
@to throw down with a clap@|@rdeb, rdebs@
@to tie@|@dud, mthud@
@to tie together@|@tup@
@to touch@|@rce@
@to tread@|@achags, bcag, bcags, chags@
@to tremble@|@adar@
@to trot@|@adur@
@to trouble@|@brnog, brnogs, rnog@
@to try to acquire@|@bkri@
@to tuck up@|@brceng, brcengs, brcong, brcongs, rceng, rcongs@
@to turn@|@gcud, lcud, phjogs, slog@
@to turn round@|@akhjir@
@to twist@|@lhas, lhe, sle@
@to unite@|@bsdongs, bstong, sdong, sdongs@
@to veil@|@gtum@
@to vex@|@bsngog, bsngogs, sngog, sngogs@
@to wait@|@bsring, bsrings, sring@
@to walk@|@agro, agros, agrul-ba, bgrod@
@to warm@|@sro@
@to warm one's self@|@lde@
@to wash@|@akhru, akhrud, bsal, bsil@
@to watch@|@bca, bsrung, bsrungs, srung, srungs@
@to weave@|@athag, btag, btags, thog@
@to weigh@|@khjin@
@to whisper@|@sib, sub, subs@
@to whistle@|@sid@
@to will@|@bzed@
@to wind@|@akhril@
@to wind or wrap round@|@sgril@
@to wipe@|@aphji, aphjid, dbji@
@to wish@|@achum, achums, akhren-pa@
@to wither@|@brni', rnid-pa@
@to write@|@dhri-ua@
@toasted barley flour@|@tsam-pa@
@today@|@di.rin., te-ring, thi-ring@
@together@|@chabs@
@toilette@|@sang-chö@
@tomatoes@|@tomato@
@tomorrow@|@sahng-nyi, san-nyi, san.ñin., sang@
@tongue@|@che, lche., lzags@
@tonight@|@to-gong@
@too hot@|@tsa-tak@
@too much@|@mang-tak, mang drag-pa@
@too soft@|@nogs-bjing@
@tooth@|@so@
@toothache@|@so na@
@torn of clothes@|@ral@
@toward south@|@lho chok la@
@town@|@dhrong-kye, gron.khyer., grong@
@trace@|@rjes@
@tractor@|@to-la-chi@
@train@|@ri-li@
@train of persons@|@ãdab@
@tranquility of mind@|@rnal@
@travel@|@ta-kor che, tah-kor chay@
@treasure@|@gter@
@tree@|@shin-dong, šin.sdon, sing@
@tremble@|@jom@
@tress of hair@|@lan@
@tribute@|@dpja@
@troublesome@|@chegs@
@trousers@|@dor@
@true@|@nges, ngo-ma, ngo-ne, ngu-ne@
@trumpet@|@dung-chen, gya-ling@
@trunk@|@sdong, sgam@
@tube@|@dong-po, ldong-po@
@Tuesday@|@sa mi-ma, sah mik-mar@
@tuft of hair@|@phud@
@tumor filled with matter@|@lhing@
@tune@|@glu@
@turn round@|@akhor, ldeb@
@turquoise@|@yu@
@turret on a housetop@|@lcog@
@tutelar deities@|@bcun, mchun@
@twelve@|@chu nyi, rgya@
@twenty@|@nyi shu@
@twenty one@|@nyi-shu tsa chik@
@twenty two@|@nyi-shu tsa nyi@
@twice@|@teng-nyi@
@twins@|@mche@
@twist@|@akhjil@
@two@|@gnis, nyee, nyi@
@Two days ago@|@nyi-ma nyi chin-song@
@two hundred@|@nyi-tong@
@ugly@|@do nyi-bo, doh nye-bo@
@ulcer in the mouth@|@mur-tho@
@uncle@|@khu@
@under@|@uog-la@
@understand@|@ha-kho, ha-ko@
@uneven@|@rcub@
@unripe ears of wheat@|@srus@
@untruth@|@gcam@
@up@|@ya@
@up-hill@|@gjen@
@upper part of the foot@|@bol@
@upstairs@|@tho-ka@
@urine@|@chin-ba, gci, gcid, gcin@
@us@|@ngah-tso la@
@use@|@longs@
@use as a servant@|@akhol, bkol, khol@
@useless@|@bre, chon@
@uterus@|@aphru, phru@
@vacant time@|@long@
@vajra@|@dor-je@
@valley@|@lung, ron., rong@
@value@|@akhos, gong@
@variegated@|@bkra, khra@
@vegetarian dumplings@|@mo-mo sha me-ba@
@vermilion@|@chal, mchal@
@vertical@|@brang-nge@
@very dark@|@nog@
@Very good@|@yag-po zhe daa@
@very hot@|@pe tsa-po, tsa-po shi-tha@
@very much@|@chabs@
@very old@|@po-la mo-la@
@very short space of time@|@thang@
@vessel@|@snod@
@victory@|@rgjal@
@village@|@dhrong-sep, gron.gseb., throng-seb@
@village belonging to a convent@|@zol@
@vinegar@|@tshu@
@virtue@|@dge-ba@
@vomit@|@kyug-pa@
@vulture@|@glag@
@wages@|@gla@
@wait@|@gu@
@Wait a moment@|@gu-nang@
@wake@|@bso@
@walk@|@kom-ba gyap@
@wall@|@kyan, logs, rtsig.pa., tsik-pa@
@walnut@|@kham-dar@
@wander@|@akhjam-pa@
@want@|@goe-pa@
@war@|@dmag.@
@warm@|@chan, dron@
@warmth@|@drod@
@wash@|@bjab, tru@
@washing@|@khrus@
@wasp@|@dong-ze@
@water@|@chhu., chu@
@water fall@|@pap-chu@
@wave@|@klong, rba@
@way@|@lam@
@we@|@ju-bu, nga, ngan, ngan, ngan-tso, nged, nged, nhag-tso@
@we will meet at the market@|@ngan-tso throm la thuk-gi-yin@
@we will stay at home@|@nga-tso nang la de-gi-yin@
@weak@|@kjor-kjor@
@wealth@|@dbjig@
@weasel@|@sre-mong@
@weather@|@gnas.gšis., nam-shi@
@weaver tree@|@ldang-mgo@
@wednesday@|@sah lhak-pa@
@Wednesday@|@sa lak-pa, sah lhak-pa@
@week@|@bdun.phrag., dün-tha@
@welcome@|@Chaa-phe nang@
@well considered@|@gnag, mnag@
@well-tasted@|@zim@
@west@|@nub@
@wet@|@lom-pa@
@wetness@|@rlan@
@what@|@ci@
@What@|@kah-ray@
@what do you want?@|@ka-re go?@
@what is it?@|@ka-re re ?@
@what is secret@|@gsang@
@What is the meaning of this painting@|@ri-mo di gi tön-ta ka-re re@
@what is the name of this place@|@sa-chha dhee ming ga-re rey?@
@What is the name of this?@|@di ming-la ka-re re?@
@what is there?@|@ka-re du?@
@What is this?@|@Dee kah-ray ray?@
@what is uppermost@|@thog@
@What is your job?@|@Kye-rang lay-ka gah-ray ray@
@What is your religion?@|@khye-rang-gi chö-lug ka-re re?@
@What time is it@|@chü-tso ka-tsö re@
@what time is it?@|@chhu-tssho ga-tshey rey?, chu-tsö ka-tsö re ?, chu-tsö ka-tsö re?@
@what?@|@ka-re@
@What's the weather like@|@nam-shi kan-dre du@
@What's your name?@|@khye-rang-gi ming-la ka-re re?@
@wheat@|@gro@
@When@|@kah-due@
@When does Jokang close@|@Jo-kang go ka-dü gyap-gi-re@
@When does Jokang open@|@Jo-kang go ka-dü che-gi-re@
@when we arrive to Lhasa…@|@nga-tso Lha-sa la lep-dü..@
@when?@|@ka-dü@
@where@|@ga-na, gang-nga@
@Where@|@kah-bah@
@Where are the rock paintings@|@do la ri-mo ka-bar yo re@
@where are you going?@|@khe-rahng hah-bah phe-geh, khe-rahng hah-bah phe-geh?, khye-rang ka-bar phe-ge@
@Where can I find some tangka@|@tang-ka ka-bar ra-gi-re@
@Where do you live?@|@Dah-da -ka-ba dey-gi yoe, khye-rang ka-bar degi-yö@
@Where is a Tibetan restaurant@|@Phö-be sa-kang ka-ba yo ré@
@Where is a western restaurant@|@In-ji sa-kang ka-ba yo ré@
@Where is my room?@|@nga'i khang mig ga par 'dug, ngay khang mig kha war dook, Ngyai kangpa khangla yore?@
@Where is the bar?@|@chang khang ga par 'dug, chang khang kha war dook, Qangkang khangla yore?@
@Where is the beach?@|@gya tsö tha kha war dook, rgya mtsho'I mtha' ga par 'dug, Tsotam khangla yore?@
@where is the market?@|@throm ka-ba yo-re?@
@Where is the monastery?@|@gom-pa ka-bar yo-re?@
@where?@|@ka-bar@
@which gives relish to food@|@rdor, sdor@
@which is your house?@|@ke-rang-gi khang-pa ka-gi re?@
@Which material is it@|@di gi gyup-cha ka-re re@
@Which stones are they@|@tha ka-re re@
@which?@|@ka-gi@
