@English@|@Quechua of Cuzco@
@son@|@wawa@
@son (of a woman)@|@qhari wawa@
@son of a man@|@churi@
@song@|@harawi@
@song (sad)@|@taki@
@soon@|@kunallan, uskay@
@sore throat@|@ch'aka, tunqur nanay@
@sorry@|@dispinsayuway, pampachayuway@
@sound@|@suynay@
@soup@|@chupi, lawa@
@sour@|@p'usqu@
@sour cherry@|@kapuli, rindas@
@South@|@uray@
@space@|@ch'usaq, pacha, tiqsimuyu@
@spade@|@chakitaklla@
@spanish@|@kastillanu, kastillasimi, kasukuy@
@sparrow@|@pichinku@
@sparrowhawk@|@anka, waman@
@spatula@|@wislla@
@speak (to)@|@rimay@
@speedy@|@usqhaq@
@spicy@|@haya, hayay@
@spider@|@araña, kusi-kusi, qhampu@
@spin (to) (thread)@|@puskay@
@spindle (for spinning)@|@puska@
@spine@|@kiska, wasa tullu@
@spoiled@|@maq'a@
@spoon@|@kuchara, uchuj, uchuk@
@spread (to)@|@hich'ay, t'akay@
@spring@|@chiraw mit'a@
@spring (water)@|@pukyu@
@square (shape)@|@tawa k'uchuyuq@
@squeeze (to)@|@ñit'iy@
@staff@|@k'aspi@
@stainless steel@|@asiru@
@stairs@|@pata pata, raras@
@stale@|@maq'a@
@stand (to)@|@hatariy, sayay@
@stand up (to)@|@hatariy@
@stars@|@ch'aska, quyllur@
@start (to)@|@qallariy@
@statue@|@istatuwa, rikch'ay@
@stay (to)@|@qhipay@
@steal (to)@|@suway@
@steam@|@waksi@
@steep@|@sayaq@
@stem@|@tullu@
@step (to)@|@thatkiy@
@step on (to)@|@saruy@
@stepfather@|@qhipa tayta@
@stepmother@|@qhipa mama@
@stick@|@k'aspi, tawna@
@stick (to)@|@kaskachiy@
@stick (to) to@|@kaskay@
@sting (insecte)@|@ch'ikay@
@sting (to)@|@kaniy@
@stomach@|@wiksa@
@stomachache@|@wiksa nanay@
@stone@|@qaqa, rumi, wank'a@
@stop (to)@|@thaniy@
@stop (to) (an act)@|@wanay@
@stop (to) (oneself)@|@sayay@
@stop (to) someone@|@sayachiy@
@Stop!@|@Sayay!@
@storm@|@lluqlla para@
@story@|@willakuy@
@story (to)@|@willakuy@
@straight@|@chiqanta, siwk@
@straight ahead@|@dirichu, siwk@
@strange@|@huq rikch'aq@
@stranger@|@mana riqsisqa@
@straw@|@ichhu@
@straw from the puna@|@ichhu@
@straw of the puna@|@puna ichu@
@straw rope@|@q'ishwa@
@stream@|@mayucha@
@street@|@kalli, ñan@
@strenght@|@atiy, kallpa@
@stretch (to)@|@aysay, chutay, mast'ay@
@string@|@q'aytu@
@strong (durable)@|@qaqa@
@strong (person)@|@sinchi@
@strong (solid)@|@chuchu@
@student@|@alumnu, yachay munaq@
@stump@|@k'ullu@
@stupid@|@mana allin yuyayniyuq, sunsu, upa@
@succeed (to)@|@allinwan lluqsiy@
@suffer (to)@|@ñak'ariy, ñakariy, ñakay@
@suffer (to) (lack)@|@muchuy@
@sugar@|@asukar, misk'i@
@sugar bowl@|@misq'i churana@
@suitcase@|@malita@
@summer@|@ruphay mit'a@
@sun@|@inti@
@sunburn@|@ruphay@
@Sunday@|@dumingu@
@sunlight@|@ruphay@
@sunny@|@rupha@
@sunrise@|@inti llipipimuy, lluqsimuy@
@sunset@|@akupana, ch'isiyapuy, intiyaykuy, tardi@
@Sure!@|@Allinmi!@
@surprised@|@mancharikuy, utirayay@
@sweat@|@hump'i@
@sweater@|@chumpa@
@sweep (to)@|@pichay@
@sweep (to) the house@|@wasita pichay@
@sweet@|@misk'i@
@sweeten@|@misk'i@
@sweeten (to)@|@misk'ichiy@
@swim (to)@|@wayt'ay@
@sword@|@ispara@
@table@|@wampar@
@tail@|@chupa@
@take (to)@|@apay, hap'iy, hurquy@
@take (to) (on your back@|@q'ipiy@
@take a seat (to)@|@tianape tiyay@
@take away (to)@|@qichuy@
@take off (to)@|@qichuy@
@tale@|@kwintu@
@talk (to)@|@rimay@
@talking@|@rimay@
@tall@|@hatun@
@tart@|@qhaqti@
@taste (to)@|@malliy@
@tasty@|@misk'i, sumaq@
@tea@|@tiy@
@tea with milk@|@tiy lichiyuqta@
@teach (to)@|@yachachiy@
@teacher@|@hamawt'a, yachachiq@
@tear@|@weqe, wiqi@
@teat@|@ñuñu@
@teen@|@warma@
@telephone@|@tiliphunu@
@tell (to)@|@niy, willay@
@temperature@|@rawray unquy, rupha@
@temple@|@manqu, manqus wasi, willka wasi, yupaychay wasi@
@Temple of the sun@|@Qurikancha@
@ten@|@chunka@
@tent@|@karpa@
@terrace@|@pata@
@terrible@|@mana allin@
@textile@|@awa@
@thank@|@sulpáy, uspaláy@
@thank (to)@|@agradisiy, añaychay, sulpáy niy@
@thank you@|@agradisikuyki, Dios pagarasunki@
@Thank you!@|@Añaychayki!, sulpáy, sulpayki!@
@that@|@anchay, chay@
@that over there@|@chahay, haqay@
@that way@|@khayna@
@That's hot!@|@Achakáw!@
@the only one@|@sapallan@
@theft@|@suwakuy@
@them@|@paykuna@
@then@|@chay pacha@
@there@|@chayniqpi, chaypi, haqaypi, wakpi@
@thereafter@|@yasta@
@therefore@|@chaymi, chayrayku, nispaqa@
@they@|@paykuna@
@thick@|@thaka@
@thief@|@suwa@
@Thief!@|@Suwa!@
@thigh@|@chaka@
@thin@|@tullu@
@think (to)@|@yuyay@
@third@|@kinsa kaq@
@third (a)@|@kinsa taq'a@
@thirst@|@ch'akiy@
@thirsty@|@ch'akisqa@
@thirteen@|@chunka kinsayuq@
@thirty@|@kinsa chunka@
@this@|@kay@
@this one there@|@chhaqay@
@thorax@|@qhasqo@
@thorn@|@kichka, kishka, kiska@
@thought@|@yuyay@
@thousand@|@waranqa@
@thread@|@q'aytu@
@three@|@kimsa, kinsa@
@throat@|@tunqur, tunquril@
@throw (to)@|@wikch'uy, wisch'uy@
@thunder@|@qhaqya@
@thunderbolt@|@rayu@
@Thursday@|@huywis@
@thus@|@hinaspa@
@tie (to)@|@watay, watu@
@tight@|@k'iski, mat'i, mat'isqa@
@time@|@pacha, timpu, tiqsimuyu@
@tin (of food)@|@lata@
@tin opener@|@lata kichana@
@tint@|@llimpi@
@tired@|@sayk'usqa@
@to@|@-man, -ta@
@to hire@|@alkilay@
@to rent@|@alkilay@
@to spice@|@hayay@
@to the left@|@lluq'iman@
@to the right@|@pañaman@
@toad@|@hamp'atu@
@toast (to) (maize or bean)@|@hamk'ay, hank'ay@
@tobacco@|@tawaku@
@today@|@kunan p'unchay@
@together@|@huklla, kuska@
@toilet@|@bañu, hisp'akuna@
@tomate@|@tumati@
@tomb@|@aya sankha@
@tomorrow@|@pagarin, paqarin@
@tomorrow afternoon@|@paqarin inti t'iksuypi, paqarin tayriman@
@tomorrow evening@|@paqarin ch'isi@
@tomorrow morning@|@paqarin tutamantan@
@tongue@|@qallo, qallu@
@tonight@|@ch'isiman@
@too@|@-pas, -pis@
@too expensive@|@ancha chaniyuq@
@too many@|@askha askha, chhika chhika@
@too much@|@askha askha, chhika chhika, nishu, nisiu@
@tool@|@llamk'ana, llank'ana@
@tooth@|@kiru@
@toothbrush@|@kiru qhituna@
@top of the hill@|@uma tukuynin@
@torch@|@k'anchana, lintirna@
@touch (to)@|@llamiy@
@tourist@|@turista@
@towards@|@-man, -ta@
@towel@|@ch'akichikuna, tuwalla@
@town@|@llaqta@
@town hall@|@kamachiqkunaq wasin@
@tradition@|@kawsay@
@train@|@trin@
@train)@|@qispiy@
@trample underfoot (to)@|@saruy@
@translate (to)@|@t'ikray@
@trash@|@q'upa@
@travel@|@biyahi@
@travel (to)@|@biyahita puriy, ch'usay, puriy@
@traveller@|@puriq@
@tree@|@mallki@
@trek@|@karu puriy@
@trek (to)@|@karu puriy@
@trip (to)@|@puriy@
@tripe@|@ch'unchul@
@tropical ecology (-2000m)@|@yunga@
@trousers@|@pantalon, pantalun, wara@
@trout@|@trucha@
@truck@|@karru@
@true@|@chanin, chiqaq@
@trust (to)@|@kunphiyay@
@truth@|@chiqaq@
@T-shirt@|@kamisita, unkhu@
@Tuesday@|@martis@
@turkey@|@pawu@
@turkey (meat)@|@pawu aycha@
@turn (to)@|@muyuriy, muyuy@
@turnip@|@yuyu@
@turtle@|@charapa@
@turtledove@|@kullku@
@twelve@|@chunka iskayniyuq@
@twenty@|@iskay chunka@
@twenty one@|@iskay chunka huqniyuq@
@twenty two@|@iskay chunka iskayniyuq@
@twice@|@iskay kuti@
@two@|@iskay@
@tyre@|@llanta@
@U.S.A.@|@Istadus Unidus@
@ugly@|@millay@
@uncle@|@tiyu@
@under@|@pachan, qawanta, ukhu + marque de cas, uray@
@underground world@|@ukhupacha@
@underpants@|@wara@
@understand (to)@|@intindiy, unanchay, uyariy@
@undress (to)@|@ch'ustikuy@
@United States of America@|@Istadus Unidus@
@universe@|@pacha, tiqsimuyu@
@university@|@yachay wasi@
@until@|@-kama@
@until June@|@huniyu killakama@
@unwell@|@unqusqa@
@up@|@hanaq, wichay@
@uphill@|@hanay, wichay@
@urgent@|@prisisaqpaq, usqhaypaq@
@urinary tract infection@|@hisp'ay p'iti@
@urinate (to)@|@hisp'akuy, hisp'ay@
@used@|@mawk'a@
@useful@|@allin@
@useless@|@yanqa@
@vacation@|@samy pacha@
@vagina@|@rakha@
@vain@|@yanqa@
@valley@|@qhiswa, wayqu@
@valley (2000 to 3400m)@|@qhishwa@
@valley (tropical)@|@yunka@
@valuable@|@chaniyuq@
@value@|@chanin@
@vegetarian@|@mana aycha mikuq@
@vein@|@sirk'a@
@very@|@ancha, sinchi@
@very soon@|@kanallan, kunallan, usqhayta@
@vicuna@|@wic'uña, wik'uña@
@village@|@llaqta@
@violin@|@biyulin@
@viscacha@|@wisk'acha@
@visit (to)@|@watukuy, waturikuy@
@voice@|@kunka@
@volcano@|@nina phuqchiq urqu@
@vulture@|@suwiq'ara, ullasku@
@waist@|@wepaq, wiqaw@
@wait (to)@|@suyay@
@waiter@|@mikhuna, wasipi@
@wake (to)@|@rikch'arichiy, rikch'ariy@
@Wales@|@Galis@
@walk (to)@|@puriy@
@walk upon (to)@|@saruy@
@wall@|@pirqa@
@wallet@|@willitira@
@want (to)@|@munay, munay@
@warm@|@q'uñi, tumpallata rupha@
@warm up (to)@|@q'uñikuy@
@warn (to)@|@willay, yuyampay@
@warrior@|@awqa puriq@
@wash (to)@|@t'aqsay@
@wash (to) (general except clothes and hair)@|@maqchhiy@
@wash basin@|@puruña@
@wash oneself (to)@|@armakuy@
@washing powder@|@ditirhinti@
@watch@|@riluh@
@watch (to)@|@qhaway@
@water@|@uno, unu, yaku@
@water bottle@|@wutila yaku, wutilla unu@
@waterfall@|@phaqcha, phawchi@
@watery@|@yakusapa@
@way@|@ñan@
@we (exclusif)@|@nuqayku, ñuqayku@
@we (inclusif)@|@nuqanchis, ñuqanchis@
@weak@|@kallpa wañuy@
@wear clothes (to)@|@p'achallikuy@
@weave (to)@|@away@
@weaving@|@awa@
@wedding@|@kasarakuy, yananchakuy@
@wedding present@|@kasaraqkunapaq rikuchikuy@
@Wednesday@|@mirkulis@
@week@|@simana@
@weigh (to)@|@llasay@
@weight@|@llasa@
@well@|@allin, sumaq@
@West@|@inti chinkaykuy, intiq chikanan@
@wet@|@ch'aran, huq'u, sut'u@
@what@|@ima, iman@
@What can I do?@|@Imanay?@
@What can I say?@|@Imaniy?@
@What!@|@Hay!, Ilma!@
@What?@|@Iman ?@
@wheat@|@trigu, triyu@
@when@|@hayk'ap, hayk'aq@
@When?@|@Hayk'aq@
@where@|@maypin@
@Where?@|@May?@
@Whew!@|@Hananáw!@
@which@|@may@
@which who built his house@|@wasichakuq@
@Which?@|@Mayqin@
@white@|@yuraq@
@white house@|@yula wasi, yurak wasi@
@who@|@pi, pin@
@Who?@|@Pi?@
@whose@|@piqpa@
@Whose?@|@Piq?@
@why@|@imanaqtin@
@Why?@|@Imanaqtin?, Imanasqa?, Imayraku?@
@wich@|@mayqin@
@widow@|@warmi sapa@
@widower@|@sapan qhari@
@wife@|@warmi@
@wild cherry tree@|@kapuli@
@wild duck@|@chullu mayu@
@wild pig@|@siwayru@
@wildcat@|@usqhullu@
@wind@|@wayra@
@window@|@qhawarina, t'uqu, toqu, wasi t'uqu, wintana@
@windy@|@sinchi wayra@
@wine@|@binu@
@wing@|@rapra@
@winter@|@chiri mit'a@
@wise@|@hamawt'a, yachayniyuq, yuyaysapa@
@witch@|@layqa@
@with@|@-wan@
@with me@|@nuqa-wan@
@without@|@mana…-yuq@
@woman@|@warmi@
@wonderful@|@ancha sumaq, kusa kusa, llumpay sumaq@
@wood@|@k'ullu@
@woodland@|@munti@
@woodpecker@|@hak'akllu@
@wool@|@millma, millwa, willma@
@word@|@rimay, simi@
@work@|@llank'ay@
@work (to)@|@llamk'ay, llank'ay@
@world@|@pacha, tiqsimuyu@
@worn (no textile)@|@mawk'a@
@worried@|@llakisqa@
@worship@|@yupaychay@
@worship (to)@|@much'ay@
@worth@|@chanin@
@wound@|@k'iri@
@wound (to)@|@k'irikuy, k'iriy@
@wrist@|@maki muqu@
@write (to)@|@q'elq'ay, qilqay@
@writer@|@q'elq'aq, qilqaq@
@wrong@|@panta, rutuna, rutunu@
@year@|@wata@
@yellow@|@q'ellu, q'illu@
@yesterday@|@qayna p'unchau, qayna p'unchay@
@yesterday afternoon@|@qayna inti@
@yesterday evening@|@qayna ch'isi, qayna t'iksuypi@
@yesterday morning@|@qayna tutamantan@
@you (plu.)@|@qankuna@
@you (sing.)@|@qam, qan@
@young man@|@wayna@
@young woman@|@sipas, sipascha@
@your house@|@wasiyki@
@You're welcome!@|@Imamanta!, Mana imamantapas!@
@zero@|@ch'usaq@

