@Maltese@|@English@
@Sajran@|@Riepening@
@Sakemm@|@Until@
@Sakkar@|@look@
@Sala@|@Drawing-room@
@Salib@|@Cross@
@Sallab@|@crucify@
@Sallur@|@Eel@
@Salva@|@save@
@Sam@|@fast@
@Sama'@|@hear@
@Samm@|@Solid@
@Samma'@|@make s/o hear@
@Sammar@|@fasten with nails@
@Santa@|@Holy picture@
@Sapun@|@Soap@
@Saqaf@|@Ceiling@
@saqaf@|@roof@
@Saqqa@|@water s.th.@
@saqsa@|@ask@
@Sar@|@become@
@Sar@|@cook@
@Sar@|@find@
@Sar@|@ripen@
@Sar@|@take place@
@Sata'@|@be able to@
@Satal@|@Pail@
@Sawm@|@Fasting (v.n.)@
@Sawma@|@Fast@
@Sawt@|@Lash@
@Sawwat@|@strike@
@Sbaħ@|@become cloudy@
@Sbatax@|@Seventeen@
@Sbejjaħ@|@Rather fine@
@Sbieħ@|@become beautiful@
@Sbuħija@|@Beauty@
@Sebaħ@|@daybreak@
@Sebaq@|@outstrip@
@Sebgħa@|@Seven@
@Sebgħin@|@Seventy@
@Sefter@|@serve slavishly@
@Seftur@|@Slave@
@Segwa@|@follow@
@Sehem@|@Share@
@Seħer@|@Enchantment@
@Seħħer@|@enchant@
@Seħra@|@Magic@
@Sejf@|@Sword@
@Sejjer@|@Going@
@Sejjer@|@Going away@
@Seklu@|@Century@
@Sekonda@|@Second@
@Selaħ@|@skin@
@Self@|@Lending@
@Selfa@|@Loan@
@Sellef@|@lend@
@Sellem@|@greet@
@Sema@|@Sky@
@sema’@|@hear@
@sema’@|@listen@
@Seminarista@|@Seminarian@
@Semma@|@mention@
@Sena@|@Year@
@Sengħa@|@Craft@
@Sengħa@|@Trade@
@Seqer@|@Hawk@
@Seraq@|@rob@
@Serduq@|@Cock@
@Serjament@|@Seriously@
@Serju@|@Serious@
@Serp@|@Snake@
@Serrep@|@meander@
@Setgħa@|@Power, Ability@
@Setgħan@|@Mighty, Powerful@
@Sett@|@Set@
@Sewa@|@be worth@
@Sewqan@|@Driving@
@Sewwa@|@Right@
@Sfar@|@become pale@
@Sfar@|@grow yellow/pale@
@Sfaxxa@|@be disbanded@
@Sfonda@|@collapse@
@Sfortunament@|@Unfortunately@
@Sfratti@|@turn over@
@Sħab@|@Cloud@
@sħaba@|@cloud@
@Sħaħ@|@become sturdy@
@Sħana@|@Heat@
@Sid@|@Master@
@Sider@|@Breast@
@Sidrija@|@Waistcoat@
@Sidt@|@Mistress@
@Siefer@|@emigrate@
@Siefer@|@go abroad@
@Siegħa@|@Hour@
@Sieħeb@|@associate oneself@
@Sieħeb@|@Companion@
@Sieket@|@Silent@
@Sienja@|@Waterwheel@
@Sieq@|@Foot@
@Sieqja@|@Acqueduct@
@Siġġu@|@Chair@
@Siġra@|@Tree@
@Siker@|@get drunk@
@Siket@|@be quiet@
@Sikka@|@Ploughshare@
@Sikkina@|@Knife@
@Sikra@|@Intoxication@
@Sikran@|@Drunk@
@Silef@|@lend@
@silġ@|@ice@
@Silġ@|@Snow@
@Sinċerament@|@Sincerely@
@Sinċier@|@Sincere@
@Sinjura@|@Lady@
@Sinna@|@Tooth@
@Sitta@|@Six@
@Sittax@|@Sixteen@
@Sittin@|@Sixty@
@Siwi@|@Worth, Value@
@Skantament@|@Amazement@
@Skappa@|@flee@
@Skappriċċa@|@spite@
@Skars@|@Scarce@
@Skiddja@|@skid@
@Skiddjar@|@Skidding@
@Skjav@|@Slave@
@Skjavitu@|@Slavery@
@Skola@|@School@
@Skoll@|@Sea Rock@
@Skolpixxa@|@sculpt@
@Skomoda@|@inconvenience@
@Skonġra@|@exercise@
@Skontra@|@render oblique@
@Skorja@|@score@
@Skoss@|@Jolt@
@Skrun@|@Screw@
@Skrupla@|@have scruples@
@Skuna@|@Schooner@
@Skuża@|@excuze@
@Skużani@|@Sorry@
@Skużi@|@Excuse me@
@Skużi?@|@Pardon@
@Skwalifikat@|@Disqalified@
@Smajjar@|@Brownish@
@Smajjar@|@Rather brown@
@Smiegħ@|@Hearing (v.n.)@
@Smin@|@Fat@
@Smura@|@Brownness@
@Snieħ@|@become rancid@
@Sod@|@Firm@
@Sodda@|@Bed@
@Sofra@|@suffer@
@Sogru@|@Risk@
@Sokor@|@Drunkenness@
@Solva@|@solve@
@Soppa@|@Soup@
@Sorra@|@Bundle@
@Soru@|@Nun@
@Sostna@|@sustain@
@Spaga@|@String@
@Spalla@|@Shoulder@
@Spanjol@|@Spanish@
@Spara@|@fire@
@Sparatura@|@Firing@
@Spera@|@hope@
@Speranza@|@Hope@
@Spieda@|@finish@
@Spiritu@|@Spirit@
@Spirituż@|@Lively@
@Spitar@|@Hospital@
@Spiża@|@Expense@
@Sploda@|@exploded@
@Sport@|@Sport@
@Spruna@|@spur on@
@Sqalli@|@Sicilian@
@Stabili (-xx-)@|@establish@
@Stadd@|@be blocked up@
@Stagħġib@|@Amazement@
@Stagħġiba@|@Exclamation@
@Stagħġieb@|@be amazed@
@Stagħna@|@grow rich@
@Staħa@|@be ashamed@
@Staħba@|@hide oneself@
@Staħriġ@|@Investigating (v.n.)@
@Staħriġa@|@Investigation@
@Standardizza@|@standardize@
@Staqsa@|@ask@
@Startja@|@start@
@Startjat@|@Started@
@Stedin@|@Inviting (v.n.)@
@Stedina@|@Invitation@
@Stenbaħ@|@awaken@
@Stenbiħ@|@Awakening@
@Stenbiħa@|@Awakening@
@Stenda@|@extend@
@Stenna@|@wait@
@Stħajjel@|@imagine@
@Stħajjil@|@Imagining (v.n.)@
@Stħajjila@|@Imagination@
@Stħarreġ@|@inquire@
@Stħarreġ@|@investigate@
@Stieden@|@invite@
@stilla@|@star@
@Stkenn@|@take shelter@
@Stkerraħ@|@loathe@
@Stkerriħ@|@Hatred@
@Stkerriħa@|@Loathing@
@Stokkja@|@stock@
@Stona@|@be out of tune@
@Storda@|@get dizzy@
@Storja@|@store@
@Stqarr@|@confess@
@Strajk@|@Strike@
@Stramb@|@Strange@
@Stramberija@|@Strangeness@
@Strieħ@|@rest@
@Stronkja@|@cripple@
@student@|@student@
@Studju@|@Study@
@Suffara@|@Whistle@
@Suldat@|@Soldier@
@Sultan@|@King@
@Sunnara@|@Fishing Hook@
@Suppost@|@Supposed@
@Suq@|@Market@
@Sur@|@Bastion@
@Suttana@|@Cassocks@
@Swidija@|@Blackness@
@Swied@|@grow black@
@Ta@|@give@
@Ta'@|@Of@
@Ta' barra@|@Imported@
@Ta' deheb@|@Golden@
@Ta' dixxiplina@|@Disciplinary@
@Ta' ġieh@|@Honorable@
@Ta' min + verb@|@Worthy of@
@Ta' min?@|@Of whom?@
@Ta' wara@|@Coming after@
@Tabib@|@Doctor@
@Tabilħaqq@|@Truly@
@Taffa@|@migrate@
@Tafli@|@Clayey@
@Taġen@|@Fruomg {am@
@Tagħlim@|@Teaching@
@Tagħlima@|@Lesson@
@Taħan@|@grind@
@Taħbit@|@Troubling (v.n.)@
@Taħbita@|@Trouble@
@Taħħat@|@subjugate, Demote@
@Taħt@|@Under@
@Taħt il-kura tat-tabib@|@Under medical attention@
@Taħt l-eta@|@Underage@
@Taħwid@|@Confusion@
@Taħwida@|@Mess@
@Tajjar@|@make s/o fly@
@Tajjeb ħafna, grazzi@|@Very well, thank you@
@Tajr@|@Fowl@
@Tala'@|@ascend@
@Talab@|@ask@
@Talab@|@pray@
@Talb@|@Praying@
@Talba@|@Prayer@
@Taljakarti@|@Pen-knife@
@Tallab@|@Beggar@
@Tama'@|@feed@
@Tamla@|@Date@
@Tanbar@|@drum@
@Tanbir@|@Drumming (v.n.)@
@Tanbira@|@Emphasis@
@Tanbur@|@Drum@
@Tank@|@Tank@
@Tant@|@So much@
@Tapit@|@Carpet@
@Tapp@|@Corkstopper@
@Taqbil@|@Versifying@
@Taqsim@|@Distributing@
@Taqsima@|@Distribution@
@Taqsir@|@Shortening@
@Taqżież@|@Affectedness@
@Tar@|@fly@
@Taraġ@|@Step@
@Tarbija@|@Baby@
@Tarf@|@End@
@Tari@|@Tender@
@Tassew@|@Indeed@
@Tavla@|@Plank@
@Tawwab@|@fill with clods@
@Tazza@|@Drinking Glass@
@Tbandal@|@be swung@
@Tbandil@|@Swinging@
@Tbandila@|@Swing@
@Tbaxxa@|@lower oneself@
@Tbażża'@|@be frightened@
@Tbegħid@|@Removing@
@Tbegħida@|@Removal@
@Tbenġil@|@Bruising (v.n.)@
@Tbenġila@|@Bruise@
@Tberfel@|@be hemmed@
@Tberik@|@Blessing@
@Tberika@|@Blessing@
@Tbiegħed@|@distance oneself@
@Tbierek@|@be blessed@
@Tbixkel@|@be cheated@
@Tebut@|@Coffin@
@tefa@|@switch8off@
@Tefa@|@take off@
@Tefa'@|@throw@
@Tefgħa@|@Throw@
@Tehdid@|@Threatening@
@Tehdida@|@Threat@
@Telaq@|@depart@
@telaq@|@leave@
@Telaq + verb@|@go off + verb@
@Televixin@|@Television@
@Televizjoni@|@TV@
@Telf@|@Losing, Loss@
@Telfa@|@Loss@
@Telfien@|@Damnation@
@Telgħa@|@Uphill@
@Temm@|@finish@
@Temtem@|@shutter@
@Temtumi@|@Stammering@
@Terħa@|@Sash@
@Terraq@|@walk a long way@
@Terremot@|@Earthquake@
@Tertaq@|@shatter@
@Tertiq@|@Shattering (v.n.)@
@Tertiqa@|@Shatter@
@Tertuqa@|@Shred@
@Terz@|@Third (1/3)@
@Teżor@|@Treasure@
@Tezorier@|@Treasurer@
@Tfajjel@|@Adolescent@
@Tfallaz@|@be made false@
@Tfannad@|@be deepend@
@Tfantas@|@take umbrage@
@Tfarfar@|@Dusting@
@Tfewwaq@|@belch@
@Tfigħ@|@Throwing (v.n.)@
@Tfixkil@|@Obstruction@
@Tfixkila@|@Obstruction@
@Tfulija@|@Boyhood@
@Tgergir@|@Grumbling@
@Tgergira@|@Complaint@
@Tgħallaq@|@hang oneself@
@tgħallem@|@learn@
@Tgħammed@|@be baptized@
@Tħabbeb@|@make friends with@
@Tħammeġ@|@get dirty@
@Tħarbat@|@be devastated@
@Tħarbit@|@Devastation@
@Tħawwed@|@be confused@
@Tħeġġeġ@|@Stimulating@
@Tħeġġeġa@|@Stimulation@
@Tiċħid@|@Denial@
@Tiċkien@|@Belittling@
@Tiegħem@|@taste@
@Tiela'@|@Ascending@
@tieqa@|@window@
@tifel@|@boy@
@Tifel@|@Child@
@tifel/tifla@|@child@
@Tifkira@|@Souvenir@
@tifla@|@girl@
@Tiġġgħil@|@Compelling (noun)@
@Tiġieġa@|@Hen@
@Tigra@|@Tiger@
@Tikka@|@Dot@
@Tikmix@|@Wrinkling (v.n.)@
@Tikmixa@|@Wrinkle@
@Tiksir@|@Smashing@
@Tiksira@|@Smashing@
@Tilef@|@lose@
@Tines@|@weep@
@Tinqir@|@Pecking (v.n.)@
@Tinqira@|@Peck@
@Tirtib@|@Softening@
@Tisbiħ@|@Beautifying@
@Tismir@|@Nailing (v.n)@
@Tismira@|@Fastening of nails@
@Tisqija@|@Watering@
@Tisrip@|@Zigzagging (v.n.)@
@Tisripa@|@Zigzag@
@Tjubija@|@Goodness@
@Tkabbar@|@grow proud@
@Tkabbir@|@Self-importance@
@Tkaża@|@mock@
@Tkeċċa@|@be driven a way@
@Tkeffin@|@Shrouding (v.n)@
@Tkeffina@|@Shroud@
@Tkellem@|@speak@
@Tkexkix@|@Shivering@
@Tkexkixa@|@Shiver@
@Tkisser@|@be broken@
@Tkissir@|@Breaking@
@Tkissir@|@Smashing (v.n.)@
@Tkissira@|@Break@
@Tkissira@|@Smash@
@Tletin@|@Thirty@
@Tlettax@|@Thirteen@
@Tliet darbiet@|@Thrice@
@Tlieta@|@Three@
@Tlugħ@|@Ascent@
@Tmantna@|@be maintained@
@Tmegħik@|@Wallowing (v.n.)@
@Tmegħika@|@Wallowing@
@Tmellis@|@Carressing@
@Tmellisa@|@Caressing touch@
@Tmenin@|@Eighty@
@Tmexxija@|@Leadership@
@Tmiegħek@|@wallow@
@Tmienja@|@Eight@
@Tmintax@|@Eighteen@
@Tnax@|@Twelve@
@Tnehid@|@Sighing@
@Tnehida@|@Sigh@
@Tnejn tnejn@|@Two by two@
@Tnejn, Żewġ@|@Two@
@Tniehed@|@sigh@
@Tniżżel@|@be brought down@
@Tond@|@Round@
@Tonsil@|@Tonsil@
@Toqba@|@Hole@
@Torġien@|@Staircase@
@Tortament@|@Guiltily@
@Tosku@|@Poison@
@Tpastaż@|@be rude@
@Tpaxxa@|@be delighted@
@Tperreċ@|@espose oneself@
@Tqabad@|@fight@
@Tqabad@|@oppose@
@Tqabid@|@Fighting@
@Tqabid@|@Fighting (v.n.)@
@Tqabida@|@Fight@
@Tqabida@|@Opposition@
@Tqarben@|@receive communion@
@Tqarbin@|@Receiving communion@
@Tqarbina@|@Communion@
@Tqarmiċ@|@Crunching@
@Tqarmiċa@|@Crunch@
@Tqassim@|@Distributing (v.n.)@
@Tqassima@|@Distribution@
@Tqatta'@|@be cut inpieces@
@Tqiegħed@|@be placed@
@Tqil@|@Heavy@
@Trab@|@become dusty@
@traba@|@dust@
@Trabba@|@be brought@
@Trabba@|@raise a family@
@Traġedja@|@Tragedy@
@Trammuntana@|@North@
@Trappista@|@Trappist@
@Trattament@|@Treatment@
@Travu@|@Beam@
@Tregħid@|@Trembling@
@Tregħida@|@Tremble@
@Triegħed@|@tremble@
@Triq@|@Road@
@Triq@|@Street@
@Trobbija@|@Upbringing@
@Trux, Truxa@|@Deaf@
@ttallab@|@beg@
@Ttewwab@|@yawn@
@tuffieħa@|@apple@
@Tul@|@Height@
@Twajjeb@|@Nice@
@Twal@|@grow tall@
@Twemmen@|@be believed@
@Twemmin@|@Believing@
@Twemmina@|@Belief@
@Twerwer@|@be terrified@
@Twerwir@|@Panic@
@Twerwir, -a@|@Terror@
@Twil@|@Tall@
@U@|@And@
@U int?@|@And you?@
@Ubbidjenza@|@Obedience@
@Uħid@|@Taking (v.n.)@
@Uħida@|@Harvest@
@Umilment@|@Humbly@
@università@|@university@
@Unur@|@Honor@
@Usa'@|@Wider@
@Uża@|@use@
@Vaganza@|@Holiday@
@Vanġolu@|@Gospel@
@Vantaġġuż@|@Advantageous@
@vapur@|@ship@
@Vara@|@Holy Statue@
@Varja@|@very@
@Varjeta@|@Variety@
@Varju@|@Various@
@Vażun@|@Vase@
@Velu@|@Veil@
@Verament@|@Truly@
@Verġni@|@Virgin@
@Vers@|@Line@
@Vers@|@Verse@
@Vina@|@Vein@
@Virdun@|@Greenfinch@
@Vit@|@Screw@
@Vit@|@Tap@
@Vjaġġar@|@Traveling@
@Vjola@|@Violent, Livid@
@Vjola@|@Violet@
@Vokazzjonali@|@Vocational@
@Vot@|@Vote@
@Vuċi@|@Voice@
@Vulkan@|@Volcano@
@vvjaġġa@|@travel@
@waddab@|@throw@
@Waġa'@|@ache@
@Waħd + p.s.@|@Alone@
@waqa’@|@fall@
@Waqaf@|@stop@
@Waqqaf@|@stop s.o.@
@Wara@|@After@
@Wara@|@Behind@
@Wara kollox@|@After all@
@Warda@|@Rose@
@Wasa'@|@contain@
@Wasal@|@arrive@
@Wegħda@|@Vow@
@Weħel@|@fail a test@
@Wera@|@show@
@Werqa@|@Leaf@
@Werreċ@|@make s.o. squint@
@Wert@|@Inheriting@
@Werta@|@Inheritance@
@Werżaq@|@scream@
@Wiċċ@|@Face@
@Widna@|@Ear@
@Wied@|@Valley@
@wieġeb@|@answer@
@Wieħed u għoxrin@|@Twentyone@
@Wieħed wieħed@|@One by one@
@Wieħed, Waħda@|@One@
@Wieqaf@|@At a stand still@
@Wieqef@|@Standing@
@Wiesa'@|@Wide@
@Wild@|@Child@
@Wiret@|@inherit@
@Wisq@|@Too much@
@Wiżen@|@weigh@
@Wkoll, Anki@|@Also@
@Xaba'@|@satiate oneself@
@Xabla@|@Sword@
@Xadin@|@Monkey@
@Xafra@|@Blade@
@xagħara@|@hair@
@Xagħra@|@Hair@
@Xaħam@|@Lard@
@Xahar@|@Month@
@Xaħħ@|@be stingy@
@xaħma@|@fat@
@Xall@|@Shawl@
@xamm@|@smell@
@Xamm@|@smelt@
@Xaqq@|@crack@
@Xarba@|@Drink@
@Xatt@|@Seashore@
@Xbin@|@Godfather@
@Xbint@|@Godmother@
@Xbubija@|@Maidenhood@
@Xebba@|@Maid@
@Xeblek@|@twine@
@Xeblik@|@Twining (v.n)@
@Xeblika@|@Twine@
@Xegħel@|@light@
@xegħel@|@switch8on@
@Xeher@|@wail@
@Xeħet@|@throw@
@Xejjen@|@annihilate@
@Xejjen@|@bring nothing@
@Xejjer@|@wave@
@Xejn@|@Nothing@
@Xemmex@|@expose the sun@
@Xemx@|@Sun@
@Xemxi@|@Sunny@
@Xengel@|@swing@
@Xettiċiżmu@|@Scepticism@
@Xettiku@|@Sceptic@
@Xewqa@|@Wish@
@Xewqan@|@Desirious@
@Xewqan@|@Longing (adj)@
@X'ħin@|@At what time@
@Xi@|@Some@
@Xi@|@What@
@Xi ħadd@|@Someone@
@Xi?@|@What@
@Xiber@|@Span@
@Xidrabi@|@Sometimes@
@Xiehed@|@Whitness@
@Xiħ@|@Old@
@Xini@|@Galley@
@Xita@|@Rain@
@Xitan@|@Devil@
@Xitla@|@Plant@
@Xitwa@|@Winter@
@xjenza@|@science@
@Xjieħ@|@grow old@
@Xjuħija@|@Old Age@
@Xkatta@|@scrape away@
@Xkora@|@Sack@
@Xlief@|@Fishing Line@
@Xmara@|@River@
@Xogħol@|@Work@
@Xokk@|@Shock@
@Xoqqa@|@Cloth@
@Xorb@|@Drinking@
@Xorba@|@Drink@
@Xorob@|@drink@
@Xorti@|@Luck@
@Xott@|@Shot@
@Xtajta@|@Shore@
@xtaq@|@hope@
@Xtara@|@buy@
@Xtieħet@|@throw oneself@
@Xuffier@|@Chaffeur@
@Xugaman@|@Towel@
@Xwejjaħ@|@Rather old@
@Żagħżugħ@|@Young@
@Żahra@|@Blossom@
@Zalza@|@Sauce@
@żamm@|@hold@
@Zappun@|@Mattock@
@żaqq@|@belly@
@żaqżaq@|@creak@
@żaqżiq@|@Creaking@
@żaqżiqa@|@Creak@
@żar@|@visit@
@Żara'@|@sow@
@żarbun@|@shoe@
@Zarbuna@|@Shoe@
@żarbuna@|@boot@
@żarma@|@disassmeble@
@Żbalja@|@err@
@Żbaljat@|@Mistaken@
@Żbalju@|@Error@
@Żbib@|@Raisin@
@żbilanċja@|@unbalance@
@Żborża@|@disburse@
@żbrana@|@tear pieces@
@żbroffa@|@errupt@
@żdied@|@increase@
@Żebagħ@|@paint@
@Żejjed@|@Superfluous@
@żejjen@|@decorate@
@żejt@|@oil@
@Zekzek@|@hiss@
@Żelaq@|@slip@
@Żelu@|@Zeal@
@żerriegħa@|@seed@
@Żewġ@|@Pair@
@Żfin@|@Dancing@
@Żganċa@|@unhook@
@Żgħir@|@Small@
@Żgħożija@|@Childhood@
@Żgur@|@Certain, Sure@
@żied@|@add@
@żiemel@|@horse@
@Żifen@|@dance@
@Żifna@|@Dance@
@Zija@|@Aunt@
@Ziju@|@Uncle@
@Żjara@|@Visit@
@Żmien@|@Time@
@Zokkor@|@Sugar@
@Żorr@|@Rude@
@Żrara@|@Small Stone@
@Żverġna@|@take s.o.'s virginity@
@żviluppa@|@develop@
@Żvina@|@faint@
@Żvina@|@lose blood@
@Żvita@|@unscrew@

