@English@|@Bolivian Quechua@
@to approve of@|@allinpaq hap'iy@
@to approximate@|@achhuykachiy@
@to argue@|@ayñanakuy, churanakuy, tapunakuy@
@to arise@|@sayariy@
@to arrange@|@allichakuy, allichay, churay@
@to arrive@|@chayay@
@to arrive here@|@chayamuy@
@to ascend@|@seqay, wichay@
@to ask@|@tapuy, valekuy@
@to ask a favor@|@mink'ay@
@to ask about@|@watukuy@
@to ask for the hand of@|@rimayukuy@
@to ask to do@|@suchiy@
@to ask; to lend@|@mañakuy@
@to assassinate@|@sipiy, wañurqachiy@
@to assemble@|@huñunaykukuy, huñunaykuky@
@to assimilate@|@hat'ally@
@to atone@|@wanay@
@to attach@|@t'ipay@
@to attack@|@atipay, ch'utiy@
@to attack with words@|@simiwan tupapakuy@
@to augment@|@yapay@
@to avenge@|@sut'inchapuy@
@to avoid@|@polqay@
@to await with interest@|@yuyarayay@
@to awake@|@rikch'ariy@
@to baa@|@jap'apeyay@
@to badger (with words)@|@qhansapakuy@
@to bait (with words)@|@qhansapakuy@
@to bake@|@kankay@
@to balance@|@kuskachakuy, kuskachay@
@to bandage@|@k'irikuna p'istuy@
@to baptize (Sp.)@|@bautisay@
@to bark@|@ayñay, ch'aqway@
@to barter@|@chhalariy, chhalay@
@to bathe@|@armakuy@
@to bathe one's self@|@mayllakuna@
@to battle@|@awqanakuy@
@to be@|@kay@
@to be able@|@atiy@
@to be afflicted@|@rukupakuy@
@to be afraid@|@mancharikuy@
@to be agitated (through exhaustion or fatigue)@|@sayk'upakuy@
@to be alert@|@ch'itiripuy, chi'itiyay@
@to be amazed@|@utirayay@
@to be apostate@|@phusmaykachay@
@to be apprehensive@|@llaqllariy@
@to be ashamed@|@p'enqakuy@
@to be awake@|@chi'itiyay@
@to be backward@|@pisipay@
@to be baptized (Sp.)@|@bautisakuy@
@to be born@|@paqarimuy, paqariy@
@to be born again@|@kutirimpuy@
@to be bothered@|@ch'eqmikuy@
@to be bothered with something@|@amikuy@
@to be brave@|@qharichakuy@
@to be called@|@sutiy@
@to be cautious@|@llakllariy@
@to be cold@|@qasay@
@to be confused@|@ch'arwipi, pawikuy, uma muyuy@
@to be considerate@|@allin rikuy, sumallikuy@
@to be convinced@|@yuyanchasqa kay@
@to be corrupted@|@conqomanta ismupuy@
@to be courageous@|@qharichakuy@
@to be crafty@|@yachayllawan ruway@
@to be crucified@|@chakatarayay@
@to be different@|@uj jinachay@
@to be discontented@|@q'ellikuy@
@to be disorientated@|@muspay@
@to be full after eating@|@sajsakuy@
@to be happy@|@kusikuy@
@to be hot@|@k'ajay, k'ajay@
@to be hungry@|@yarqachikuy, yarqhay@
@to be in a very bad condition@|@q'aymay@
@to be in pain@|@llakikuy@
@to be in the sun a long time@|@tuntiy@
@to be lazy@|@qhellakuy@
@to be mean@|@sajrakuy@
@to be named@|@sutikuy@
@to be on the hunt for women@|@warmichakoq@
@to be overabundant@|@puchuy@
@to be proud@|@runaykachay@
@to be returning@|@jampuy@
@to be sad@|@phutikuy@
@to be sick@|@onqoykuy@
@to be sleepy@|@puñunayay@
@to be spoiled@|@q'ellikuy@
@to be thirsty@|@ch'akichikuy, ch'akiy@
@to be tired@|@k'aywiy, puñunayay@
@to be tired of@|@amichiy@
@to be watchful@|@chi'itiyay@
@to be without strength@|@chullchuykuy@
@to be wrong@|@pantay@
@to bear@|@atichay, nacechiy@
@to beat@|@watiy@
@to beat (the heart)@|@sonqo pharaqey@
@to beat on the back@|@k'unuy@
@to beat with a pole/stick@|@p'anay@
@to become@|@kutipuy, kutirikuy, tukuchiy@
@to become clear@|@sut'iyay@
@to become corrupted@|@map'ayakuy@
@to become infected@|@q'eyachay@
@to become new@|@mosojyay@
@to become numb@|@tunuyay@
@to become old and worn out@|@thantay@
@to become paralyzed@|@tunuyay@
@to become pregnant@|@chichuyay@
@to become skinny@|@kuyayaykuy@
@to become tender (a person)@|@sonqota wawachikuy@
@to become thin@|@ch'arkiyay, tulluyay@
@to beg@|@mañapakuy@
@to beget@|@churiyay@
@to begin@|@qallariy@
@to begin a journey@|@puririy@
@to behave@|@puriy@
@to behave well@|@allin puriy, allin rikuy@
@to behead@|@kunka qhoruy, nak'ay@
@to believe@|@creey, iñiy@
@to belt up@|@chumpikuy@
@to bend@|@k'umuykuy@
@to bend down@|@k'umuykukuy@
@to bend down/over@|@c'umuykuy@
@to berate@|@pisichay, t'ustuy@
@to beseech@|@mink'akuy, valekuy@
@to betray@|@wasanchay@
@to bewitch@|@layqakuy@
@to bid farewell@|@kacharpariy, nusphachisqa@
@to bind@|@mayt'uy@
@to bind together@|@ch'atay@
@to bite@|@kaniy, khachuy, khaniy, p'atay@
@to blame@|@tumpay@
@to blaspheme@|@awqalliskuspa rimay@
@to blast@|@phatachiy@
@to bleed@|@yawarchay@
@to bless@|@bendeciy, saminchay@
@to blink@|@ch'illmiy, ch'irmiy@
@to block@|@hark'apay@
@to bloody@|@yawarchakuy@
@to bloom@|@phanchiy, t'kariy@
@to blossom@|@t'ikariy, t'kariy@
@to blossom; to sprout; to break forth@|@mut'uy@
@to blow@|@phukuy@
@to bluster@|@phiñay@
@to boast@|@apuskachay, sumaykachay@
@to boil@|@t'inpuy, timpuchiy, timpuy@
@to boil grain@|@mut'iy@
@to boil rapidly@|@challchachiy, challchay@
@to boilto boil@|@t'impuy@
@to bore a hole@|@t'oqoy@
@to borrow@|@manuypi mañay@
@to bother@|@tarantachiy@
@to bother (Sp.)@|@mulistay@
@to bow@|@k'umuy, k'umuykuy@
@to bow down to@|@k'umukuy@
@to brag@|@sumallikuy, sumaykachay@
@to braid@|@simp'ay@
@to branch out@|@k'allmachakuy@
@to break@|@lajray, p'akiy@
@to break cane with the teeth@|@sinkay@
@to break down@|@k'iriy@
@to break off a piece@|@k'ajllay@
@to break up (disperse)@|@ch'eqeiy@
@to break up the soil@|@k'asuy@
@to breast feed@|@ñuñuchiy, ñuñuy, uñuchiy@
@to breathe@|@samariy@
@to breathe heavily@|@arqhey@
@to breathe one's last breath@|@samarqoy@
@to bribe@|@runa pantachiy@
@to brighten@|@k'anchaykuy@
@to bring@|@apamuy, apay, apaymuy@
@to bring back@|@qopuy@
@to bring forth@|@wachay@
@to bring to@|@akakuy@
@to bring up@|@uyway@
@to brood@|@ujllay@
@to bruise@|@q'oyuyay@
@to brush@|@thupay@
@to brush the hair@|@sijrakuy@
@to bud@|@mukmuy@
@to bug@|@tarantachiy@
@to build@|@perqachiy, sayarichiy@
@to build a bonfire@|@qonuy@
@to build a house@|@wasichakuy@
@to build a mound around@|@jallmay@
@to build oneself up@|@sinchichakuy@
@to build up (morally)@|@hatunchay@
@to burn@|@kanay, lawray, ruphay@
@to burn off@|@khuslay@
@to burn up@|@k'anay@
@to burp@|@khasay@
@to burrow@|@uksiy@
@to burst@|@phatay@
@to burst open@|@phanchay@
@to bury@|@p'ampay, pampay@
@to but heads (like rams)@|@tupakuy@
@to butcher@|@mat'ay, nak'ay@
@to butter up@|@llunk'upayay@
@to buy@|@rantiy, runty@
@to call@|@sutichay, wajyay, waqyay@
@to call attention to@|@hañay@
@to calm@|@thaniy@
@to calm down@|@thaniy@
@to capture@|@hap'iy@
@to care@|@yanapay@
@to care for@|@uyway@
@to caress@|@wayllunakuy, waylluy@
@to carry@|@apay, apay@
@to carry a heavy load@|@wantuy@
@to carry away@|@aparikuy@
@to carry in a bundle@|@q'epiy@
@to carry in one's arms@|@marq'ay@
@to carry off@|@aparikuy@
@to carry on one's shoulders@|@rikray@
@to carry pot from oven to the table@|@ituy@
@to carry sin@|@juchallikuy@
@to carry under one's arm@|@lluk'iy@
@to carve@|@kuchuy@
@to carve wood@|@llajllay@
@to cast out@|@qharqoy@
@to castrate@|@khapay@
@to catch@|@hap'ipariy, hap'iy@
@to catch a cold (pronominal)@|@chhulla hap'y@
@to catch a cough (pronominal)@|@ch'oho@
@to cause pain@|@ñak'arichiy@
@to cease@|@taphkay, thaniy@
@to celebrate@|@q'onchukuy@
@to celebrate a birthday@|@diachakuy@
@to challenge@|@khirkiy@
@to change@|@hokniraqyay, hoknirqyay@
@to change (Sp.)@|@cambiay@
@to change one's mind@|@yuyaykusqa t'ikray@
@to chap@|@p'aspay@
@to cheat@|@q'otuy@
@to chew@|@k'awtiy, khamuy@
@to chew coca@|@akulliy@
@to chew coca leaves@|@hallpay@
@to chew kuka@|@pijchuy@
@to chew or suck on cane or corn stock@|@janch'uy@
@to chew over and over@|@q'altuy@
@to chew the cud@|@kutipakuy@
@to chip away the border@|@k'aphtay@
@to chip off@|@k'aphtay@
@to choke@|@moqt'iykachay@
@to choke on food@|@chakachikuy@
@to choose@|@ajllay, akllay@
@to chop wood@|@llant'ay@
@to clam@|@thañiy@
@to clamor (drunk)@|@qhayqayakuy@
@to clap@|@t'ajllay, t'aqllakuy, taqllakuy@
@to clarify@|@sut'ichay, sut'iyay@
@to clasp@|@t'ipakuy@
@to claw@|@qhasuy, rachay@
@to clean@|@k'uchuk'uchuchay, pichay@
@to clean lightly@|@phiskuy@
@to clean off completely@|@k'aphkiy@
@to clean up@|@ch'uyanchay@
@to cleave@|@k'iñay@
@to climb@|@seqay@
@to climb over@|@wasapay@
@to clip@|@wit'uy@
@to clip hair@|@millma ruthuy@
@to close@|@wesq'ay, wisq'ay@
@to close again@|@wisq'aykapuy@
@to close up@|@ch'ipuy@
@to coagulate@|@lluklluy, tikayapuy@
@to cohabitate@|@tiyallay@
@to collaborate (work)@|@mink'a@
@to collect@|@tantay@
@to colonize@|@mithmay@
@to comb@|@ñaqch'ay@
@to comb one's hair@|@aqch'akuy@
@to comb the hair@|@ñach'akuy@
@to come@|@chayamuy, jamuy@
@to come along@|@hañakuy@
@to come close@|@achhuykachiy, achhuyuy, qayllay@
@to come closer@|@chimpay@
@to come down@|@uraykumuy@
@to come together@|@tinkuy@
@to comfort@|@kallpachariy, kamachariy@
@to command@|@kamay@
@to commit a crime@|@huchallikuy@
@to commit adultery@|@qhenchachakuy@
@to compare@|@wakichay@
@to compel@|@atipayay@
@to complain@|@willapakuy@
@to complete@|@hunt'ay@
@to compliment@|@sumapayay@
@to conceive@|@wiksallikuy@
@to concur@|@yachachinakuy@
@to conduct@|@pusay@
@to confess@|@willakuy@
@to confide in@|@sonqolliy@
@to confidence@|@sonqo churay@
@to confirm@|@cheqaqchay@
@to conform@|@kikinchaykuy_man@
@to confound@|@musphachiy@
@to confront@|@uyanchay@
@to confuse@|@ch'arwipi, ch'arwiy, pantachiy@
@to congeal@|@khutuchiy@
@to congratulate@|@saminchay@
@to congregate@|@huñunaykukuy@
@to conquer@|@atipay@
@to conquer (land)@|@suyunchay@
@to consecrate@|@hawiy, willkachay@
@to consent@|@uymikuy@
@to conserve@|@waqaychay@
@to consider@|@yuyarayay@
@to console@|@consolay, sonqochay@
@to conspire@|@awqayachiy, awqaychiy@
@to constrict@|@k'ustukuy@
@to construct@|@sayarichiy@
@to consult; to equal@|@ninakuy@
@to consume@|@mikhuy, ukyay@
@to contemplate@|@wiñaypura, yuyaymanay_pi@
@to contend@|@chuchupakuy@
@to contort@|@q'ewiykachay@
@to contract@|@k'uytuy, q'estiy@
@to contract (work)@|@wakichiy@
@to contradict@|@atipay@
@to convalesce@|@qhaliyariy@
@to convert@|@tikrakuy_man@
@to convince@|@uynichiy@
@to convulse@|@wat'atatay@
@to cook@|@kankay, wayk'uy@
@to copulate@|@t'inkinakuy, tinkupuy@
@to correct@|@allinchay, allinchiy@
@to corrupt@|@q'esachay@
@to cough@|@uhuy@
@to counsel@|@yachaykachiy@
@to count@|@yupay@
@to cover@|@k'umpuy, kirpay, qatay, qhatay@
@to cover eggs@|@ujllay@
@to cover oneself@|@qatakuy@
@to cover oneself (with a cape)@|@llaqolakuy@
@to cover over@|@llut'ay@
@to cover the head@|@suk'umpay@
@to cover with a lid@|@k'irpay@
@to covet@|@munapakuy, munapayay@
@to crack@|@k'iñay, lajray@
@to crave@|@mañapakuy@
@to crawl@|@lat'ay, lloqhay@
@to create@|@kamay@
@to criticize@|@qhawaray@
@to cross@|@chimpakuy, chimpay@
@to cross over@|@chimpay@
@to crowd@|@montanakuy@
@to crowd together@|@ch'unkunakuy@
@to crucify@|@chakatay@
@to crumble@|@q'añuy, ut'upuy, ut'uy@
@to crush@|@q'aqñuy@
@to crush into small pieces@|@t'unay@
@to cry@|@waqay@
@to cuddle up@|@k'ustukuy@
@to cultivate@|@llank'ay@
@to cure@|@hanpiy, jampiy, qhaliyachiy, qhaliyay@
@to curl up@|@k'uytuy@
@to curse@|@ñakapay@
@to cut@|@kuchuy@
@to cut firewood; break open a slaughtered lamb@|@ch'ijtay@
@to cut off@|@qholluy, wit'uy@
@to cut short@|@taphkachiy, taphkay@
@to cut up (with a knife)@|@q'alluy@
@to dance@|@tusuy@
@to dare@|@khirkiy@
@to darken@|@laqhayay@
@to dawn@|@sut'iyay@
@to deafen@|@ninrichay@
@to deceive@|@p'olqachiy@
@to decide@|@kamarikuy@
@to declare@|@rimariy@
@to decorate@|@achalachiy, t'ikanchay@
@to deepen@|@saphichay@
@to defecate@|@akay@
@to defend@|@amachay@
@to defile@|@p'akinchay@
@to deflate; to silently pass gas@|@chhusuy@
@to degrade@|@t'ustuy@
@to delight@|@kusirichiy@
@to deliver@|@suchiy@
@to demolish@|@thuniy@
@to depart@|@lloqsiy@
@to deprive@|@qechuy@
@to describe@|@qayllamanta niy@
@to desert@|@saqerpariy@
@to deserve@|@chaskikuy@
@to desire@|@munapakuy@
@to despise@|@cheqnipakuy, qesachay@
@to destroy@|@ñut'uy, thuniy@
@to detach@|@k'isuy@
@to determine@|@chaninchay@
@to devastate@|@qolluchiy@
@to die@|@wañupuy, wañuy@
@to dig@|@allay@
@to dig up@|@p'amparay@
@to diminish@|@pisiyay@
@to direct@|@sikllay@
@to disappear@|@chinkay@
@to discuss@|@rimanakuy@
@to disdain@|@pisichakapuy@
@to disgust@|@amichiy@
@to dismiss@|@qarqoy@
@to dispossess@|@llat'anay@
@to distinguish@|@sapaqchay@
@to distribute@|@rak'iy, waqey@
@to disturb@|@hatarichiy@
@to divide into two parts@|@iskaychay@
@to do@|@ruway@
@to do like@|@jinay@
@to do what?@|@imanay@
@to double up@|@phullpuy@
@to doubt@|@iskayrayay@
@to drag@|@aysay, kharatatay, qhatatay@
@to drain@|@ch'uymay@
@to draw@|@seq'enchay@
@to dream; dream@|@musqoy@
@to dress@|@p'achallikuy@
@to dress another person@|@p'achalliy@
@to dress one's self@|@p'achachakuy@
@to drink@|@ujyay, ujyay, ukyay@
@to drip@|@sut'uy@
@to drizzle@|@iphuy@
@to drop one's pants@|@ch'utilluch'utiy@
@to drown; to strangle@|@jiq'eqay@
@to dry@|@ch'akiy@
@to dry out@|@p'aspay@
@to dry plants in the sun@|@qawiy@
@to eat@|@mikhuy@
@to eat green fruit@|@k'ukiyay@
@to eat like a dog@|@laqhay@
@to embark@|@puririy@
@to embrace@|@marq'arikuy@
@to empty@|@talliy@
@to end@|@tukukuy@
@to endure@|@atichay, awantay@
@to engender@|@churiyay@
@to enliven@|@ch'itiyay@
@to ensnare@|@ch'ariwiy@
@to entangle@|@ch'ipeyay@
@to enter@|@haykuy@
@to enter without permission@|@sat'ikuy@
@to entwine@|@arwiy@
@to envenom@|@miyuy@
@to erupt@|@khasay@
@to escape@|@ayqey@
@to esculpate@|@thoqay@
@to establish@|@yakyay@
@to evaporate@|@waksiy@
@to exalt@|@sumaychay@
@to examine@|@t'aqwiriy@
@to exchange@|@chhalay@
@to excuse@|@mananchay@
@to execute@|@wañurqachiy@
@to exhibit@|@rikurichiy@
@to explain@|@rimaykuy, sut'inchay@
@to explode@|@t'ojyay@
@to express@|@rimapayay@
@to extend@|@mast'ay@
@to extinguish@|@thasnuy@
@to extract@|@orqhoy, sik'iy@
@to fade@|@t'oqrayay@
@to faint; to disrobe@|@llachuyay@
@to fall@|@urmay@
@to fall; to come apart@|@thunikuy@
@to fast@|@ayunay, ch'achay@
@to fasten; to accuse@|@ch'atay@
@to fatten up@|@wirayay@
@to favor@|@chitay@
@to fear@|@mancharikuy@
@to feed@|@mikhuchiy@
@to feel@|@llakllay@
@to feel bad@|@llakikuy@
@to feel certain@|@takyapasqa kay@
@to feel drowsy@|@k'aywiy@
@to fight@|@awqanakuy, maqanakuy@
@to fight over the possession of something@|@qhechunakuy@
@to fill@|@junt'ay@
@to fill up@|@unt'ay@
@to find@|@tariy@
@to fish@|@challwakuy@
@to fix@|@allinchay@
@to fix (Sp.)@|@arreglay@
@to flash@|@lliphlliy@
@to flatten@|@p'arpay@
@to flatter@|@llunk'upayay@
@to flirt@|@k'achachakuy@
@to float@|@tuytuy@
@to flood@|@phajchay@
@to flourish@|@kawsariy@
@to flower@|@t'ikay, t'inkay@
@to fold@|@taparay@
@to follow@|@qatiy, qhatiy@
@to forget@|@qonqay@
@to forgive@|@pampachay@
@to forgive sin or trespasses@|@juchata pampachay@
@to fornicate@|@wachoy@
@to fornicate (vulgar)@|@sajway@
@to fortify@|@pukarayay@
@to freeze@|@qasay@
@to fry@|@theqtichiy@
@to fulfill@|@junt'ay@
@to gather@|@huñuy, montanakuy, pallay@
@to get@|@horqoy@
@to get angry@|@k'utupakuy, phiñakuy@
@to get better@|@kutiriy@
@to get dark@|@lqahayay@
@to get done (food)@|@chayay@
@to get dressed@|@p'achachakuy, p'achakuy@
@to get drunk@|@machay@
@to get fat@|@wirayay@
@to get married@|@kasarakuy@
@to get old@|@machuyay@
@to get one's self up@|@hatariy@
@to get under something@|@suskhuy@
@to get up@|@jatariy@
@to giggle@|@thintiy@
@to give@|@jayway, qoy@
@to give assent@|@uyniy@
@to give birth@|@nacechiy, wachakuy@
@to give boarding (Sp.)@|@alujay@
@to give medicine to@|@jampiy@
@to glitter@|@phaksya@
@to gnaw@|@ankhiy@
@to go@|@ripuy, riy@
@to go around; surrounding area@|@muyuy@
@to go before@|@ñawpay@
@to go blind@|@arphayaykapuy, awsayay@
@to go crazy@|@waq'ayay@
@to go far away@|@ch'usay, karunchay@
@to go off alone@|@sapaychakuy@
@to go up@|@wichay@
@to go up and over@|@wasaykuy@
@to gossip@|@rayk'uy@
@to govern@|@kamay@
@to grab onto@|@jap'iy@
@to greet@|@napaykuy@
@to grieve@|@afligiy, phutikuy@
@to grind@|@kutay@
@to groan@|@ayqoy@
@to grow@|@ruruy@
@to grow numb@|@susunkay@
@to grow old (woman)@|@payayay@
@to grumble@|@thutupakuy@
@to guard@|@waqaychay@
@to guess@|@watuy@
@to guide@|@pusay@
@to gulp@|@ch'oqoy, q'olltiy@
@to hand over@|@jayway@
@to hang@|@warkhuy, warkuy@
@to happen@|@rasay@
@to harden@|@rumiyay@
@to harvest@|@pallay@
@to hate@|@chejniy, k'arallikuy@
@to have@|@kapuy@
@to have a temperature@|@ruphapakuy@
@to have compassion for@|@khuyay@
@to have cramps@|@q'ewiwiy@
@to heal@|@hampiy@
@to hear@|@uyariy@
@to heat@|@ruphay@
@to help@|@yanapay@
@to help walk@|@puriysiy@
@to hiccough@|@jik'uy@
@to hide@|@pakay@
@to hide oneself@|@pakakuy@
@to hinder@|@pantachiy@
@to hit@|@maqay, takay@
@to hit (the hitting together of marbles@|@ch'utiy@
@to hit with something@|@wajtay@
@to hit with the fist@|@sajmay@
@to hold@|@hap'iy@
@to hold back@|@jark'ay@
@to honor@|@yupaychay@
@to hug@|@mak'alliy@
@to humiliate@|@k'umuchiy@
@to hurl@|@choqay@
@to hurry@|@usqhay, utqhay@
@to hurt@|@k'aray, ñak'ariy, nanay@
@to ignore@|@qhawarpariy@
@to imitate@|@qatichikuy@
@to impede@|@jark'ay@
@to impregnate@|@wawallichiy, wiksayachiy@
@to improve@|@allinyay@
@to increase@|@askhayay, yapay@
@to infect@|@qeyachay@
@to inform@|@willay@
@to inquire@|@tapuriy@
@to insist@|@qatariy@
@to insult@|@alqochay, lutiy@
@to intecept@|@hark'apakuy@
@to investigate@|@t'aqwiy@
@to itch@|@seqsiy@
@to join@|@hukllakuy@
@to joke@|@chansakuy@
@to judge@|@taripay@
@to jump@|@p'itay, phinkiy@
@to keep@|@junt'ay@
@to keep drinking through a fiesta@|@kurkuwallajllay@
@to kick@|@jayt'ay@
@to kick about@|@wat'aqeyay@
@to kill@|@wañuchiy@
@to kiss@|@much'ay@
@to kneel@|@k'umuykuy, qonqorikuy, qonqoriy, ullpukuy@
@to kneel down@|@qonqorikuy@
@to knit@|@p'itay@
@to knock on@|@takay@
@to know@|@llachay, yachay@
@to know; to have seen@|@rejsiy@
@to lack@|@pisipayay, qhepakuy@
@to lactate@|@ñuñuy@
@to lament@|@khuyapakuy@
@to last@|@unay@
@to laugh@|@asikuy, asiy@
@to lay down@|@kunpay, siriy-kumpayukun-k'iray@
@to lead@|@ñawpay, pusay, rampay@
@to lean@|@tawnakuy@
@to learn@|@amañay, t'iksuy@
@to learn; to become@|@yachakuy@
@to learn; to understand@|@jap'eqay@
@to leave@|@karunchay, lloq'siy, saqey@
@to lend@|@manuy@
@to lend help for help@|@ayninakuy@
@to let loose@|@paskay@
@to level@|@pampachay@
@to lick@|@lampiy@
@to lick; to taste@|@llajway@
@to lie@|@llullakuy@
@to lie down@|@siriy@
@to lie in ambush@|@toqllay@
@to lift@|@oqhariy@
@to lift up the skirt@|@q'olluriy@
@to like@|@misk'ichikuy@
@to like look@|@rejch'akuy@
@to limp@|@thunkuy@
@to listen@|@uyariy@
@to live@|@kawsay, tiyay@
@to load an animal@|@chajnay@
@to loan@|@manuy@
@to lodge@|@alujay, qorpachay@
@to lodge with someone@|@aluhakuy@
@to look@|@qhaway@
@to look for@|@mask'ay@
@to loosen@|@kachariy@
@to lose@|@chinkachiy, chinkay@
@to lose one's sight@|@arphayaykapuy@
@to love@|@khuyay@
@to lower@|@uraykuy@
@to maintain@|@takyay@
@to make a flame@|@kanay@
@to make a hole@|@jusk'uy@
@to make a mistake in futbol@|@chhasay@
@to make a mud roof@|@turtay@
@to make a pig of oneself@|@khuchichakuy@
@to make a thatch roof@|@wayllay@
@to make a wall@|@perqay@
@to make an agreement@|@sullullchay@
@to make beautiful@|@t'ikanchay@
@to make clear@|@sut'inchay@
@to make corn liquor@|@aqhay@
@to make cry@|@waqachiy@
@to make dirty@|@ch'ichichay, khuchichay@
@to make dull@|@muthuchay@
@to make fun of@|@asipayay@
@to make good@|@allinchay@
@to make guilty@|@juchachay@
@to make hurt@|@nanachiy@
@to make jerky@|@ch'arkiy@
@to make new@|@mosojchay@
@to make numb@|@morq'oyapuy@
@to make one live@|@kawsachiy@
@to make sleepy@|@puñuchiy@
@to make straight@|@cheqanchay@
@to make suffer@|@ñak'arichiy@
@to make tamales@|@jumint'ay@
@to make the sound of a goat@|@jap'apeyay@
@to make wet@|@ch'aranchay@
@to mark@|@t'oqsiy@
@to mark livestock by cutting their ears@|@ch'illpiy@
@to marry@|@sawakuy@
@to masturbate (vulgar)@|@sajwakuy@
@to mature@|@poqoy@
@to measure@|@tupuy@
@to meet@|@tinkuy, tupay@
@to melt@|@unuyay@
@to memorize; to remember@|@yuyay@
@to mend@|@ch'ipuy, t'iriy@
@to menstruate@|@k'ikuy@
@to milk@|@ch'away@
@to mislead@|@pantachiy@
@to misuse@|@usuy@
@to mix@|@chajruy, mich'uy, taqruy@
@to mix grain with water@|@chhapuy@
@to moan@|@ayqoy, llakipakuy@
@to mold@|@qorawiyay@
@to mount@|@sillariy@
@to move@|@kuyuchiy, kuyuy@
@to move forward@|@ñawpachiy@
@to move over@|@suchuy@
@to mow@|@rutuy@
@to murmur@|@thutuy@
@to muse@|@utirayay@
@to mutilate@|@qholluy@
@to mutter@|@thutuy@
@to nail@|@takay@
@to name@|@sutichay@
@to need@|@psirichikuy@
@to notice@|@reparakuy@
@to nurse@|@ñunuy@
@to obey@|@kasukuy, kasuy@
@to oblige@|@qatiriy@
@to obliteratee@|@ch'usaqapuy@
@to open@|@kichariy, kichay@
@to open one's mouth@|@simikita kichay@
@to open up@|@phanchay@
@to order@|@kamachiy, kamay@
@to organize@|@k'uchuk'uchuchay@
@to originate@|@paqariy@
@to overflow@|@phajchay, phoqchiy, phurmuy@
@to overturn@|@t'ikray@
@to pacify@|@thanichiy@
@to pack@|@k'uyuy@
@to pant@|@samapakuy@
@to pardon@|@pampachay@
@to pass@|@hayway@
@to pass gas making a noise@|@supiy@
@to pass gas with a bad odor@|@phutuniriy@
@to pass out@|@rak'iy@
@to pass yarn through the weave@|@miniy@
@to pay@|@qopuy@
@to peck@|@chhuluy, chhutuy@
@to peel@|@ch'utay, t'ejway@
@to peel something@|@bunday@
@to permit@|@saqellay@
@to perplex@|@ch'arwiy@
@to persecute@|@qhatiykachay@
@to persuade@|@uynichiy@
@to physically resist@|@turikuy@
@to pick@|@pallay@
@to pile@|@qotuy@
@to pinch@|@k'ichiy@
@to plane@|@p'arpay@
@to plant@|@tarpuy@
@to play@|@pukllay@
@to play; Carnival@|@pujllay@
@to pleat@|@sip'uy@
@to plow@|@yapuy@
@to plug in@|@sat'iy@
@to poison@|@miyuy@
@to polish@|@llusp'ayachiy@
@to ponder@|@hamut'ay@
@to possess@|@hat'alliy@
@to pound@|@watiy@
@to pour@|@hich'ay@
@to practice witchcraft@|@layqay@
@to pray@|@mañakuy@
@to predict@|@intuy@
@to prefer@|@akllakuy@
@to prepare@|@kamariy@
@to prevent@|@hark'ay@
@to probe@|@malliy@
@to proclaim@|@waqyanchay@
@to procreate@|@yumay@
@to produce@|@wachay@
@to profit@|@aprovechay@
@to promise@|@sullullchay@
@to pronounce@|@t'oqyay@
@to prophesy@|@sut'inchay@
@to prosper@|@qhapayay@
@to protect@|@amachay, hark'apay@
@to pull@|@aysay, qhatatay@
@to pull apart@|@mithay, mithay, t'ipiy@
@to pull out@|@sik'iy, t'iray@
@to punch@|@sajmay@
@to punish@|@jasut'iy, muchuchiy@
@to punish (Sp.)@|@castigay@
@to purify@|@llumpaychay@
@to push@|@tanqay@
@to put@|@churay@
@to put a lid on a container@|@k'umpuy@
@to put on woven belt@|@chumpillikuy@
@to put something in the mouth@|@akuy@
@to put to sleep@|@puñuchiy@
@to quarrel@|@churanakuy@
@to rain@|@paray@
@to raise@|@hoqariy@
@to raise crops@|@poqochiy@
@to raise up@|@oqhariy@
@to reach@|@aypay@
@to read@|@nawinchay, ñawinchay@
@to realize@|@riparay@
@to rebel@|@awqallikuy@
@to rebuke@|@phiñarkuy@
@to receive@|@chaskiy, jap'iy@
@to recline@|@siriykuy@
@to recognize@|@reqsiy@
@to recommend@|@kamalliy@
@to red cloud@|@antawaramuy@
@to redden@|@pukayay@
@to refine@|@ch'uyanchay@
@to regain@|@taripuy@
@to reharvest@|@chajmay@
@to rejoice@|@q'ochukuy@
@to remain@|@qhepay@
@to remember@|@yuyariy@
@to rent@|@alquilay@
@to repeat@|@ruwapay@
@to repent@|@arrepentikuy, Diosman kutiriy@
@to replant@|@tarpupay@
@to repress@|@mat'iy@
@to reprimand@|@anyay@
@to request@|@valekuy@
@to require@|@mat'ipayay@
@to resemble@|@rich'akuy@
@to resist@|@chuchpakuy@
@to resolve@|@allipunkapuy@
@to resound@|@kunkalliy@
@to respirate@|@samay@
@to rest@|@samay@
@to restore@|@ruwapapuy@
@to return@|@kutiy, qopuy@
@to revive@|@llanllay@
@to revolve@|@waymiy@
@to ride@|@sillakuy@
@to ridicule@|@k'uytuchiy@
@to rinse one's mouth@|@moqchhikuy@
@to ripen@|@poqoy@
@to rise@|@hatariy, oqariy@
@to roar@|@qapariy@
@to roast@|@kankay@
@to rob@|@suwakuy@
@to roll@|@mayt'uy@
@to roll over and over@|@sunt'iy@
@to rot@|@ismuy@
@to rub@|@qhaqoy@
@to ruminate@|@q'altuy@
