@English@|@Tagalog@
@hire@|@bayaran, bumayad, umupa, upahan@
@hireling@|@mang-aaraw, nagpapaupa@
@hirsute@|@mabalahibo, mabulo@
@his@|@kanya (panglalake), kanya panglalake, niya lalake@
@his gasping breath@|@nangangapos niyang hininga@
@hiss@|@Humuni, sumipol, sumutsot@
@hissing call@|@sutsot@
@hist@|@Sht...!@
@historian@|@mánanalaysay, mánunulat ng kasaysayan@
@historic@|@nauukol sa kasaysayan@
@historical@|@nauukol sa kasaysayan@
@history@|@istorya, kasaysáyan@
@hit@|@hampas, hampasin, suntok@
@hit an instrument@|@pukpok@
@hit on@|@tira@
@hitch@|@buhól, kapansanan, magsingkaw@
@hither@|@dini, Dito@
@hitherto@|@hanggang dito, hanggang ngayon@
@hive@|@bahay-pukyutan, mag-ipon, magtipon@
@ho@|@hoy!@
@hoa@|@hoy!@
@hoar@|@kulay uban, maputî@
@hoard@|@bonton, magtipon, salansan, yamang nakatagò@
@hoarfrost@|@hamog na namumuô@
@hoarse@|@namamalat, paós@
@hoarse sound of a voice@|@gumagaralgal@
@hoarseness@|@pamamaos, páos@
@hoary@|@maputî, úbanin@
@hobble@|@humingkod, mápilay, pílay@
@hobbyhorse@|@kabakabayuhan@
@hobgoblin@|@dwende, katatakután@
@hod@|@panghakot ng laryó, sakì@
@hoe@|@asarol, mag-asarol@
@hog@|@báboy@
@hoiden@|@bataang musmos@
@hoist@|@buhatin, bumuhat, magtaas@
@hold@|@hawak, hawakan, itagò, pigilan, tagnan, tangan@
@Hold On Please!@|@Sandali lamang po@
@holding on to@|@nakakatang@
@hole@|@bútas@
@holiday@|@araw na pangilin, pistá, piyesta@
@holiness@|@kabanalan, kasantusan@
@Holland@|@Olanda@
@hollow@|@humpak, igalang, sambahin, walang laman@
@Hollow@|@gwang@
@hollow (1)@|@humukay@
@holster@|@kaloban ng rebolber@
@holy@|@banal, santó@
@holy water@|@agwa bendita@
@holy week@|@mahal na araw@
@homage@|@gumalang@
@home@|@bahay na úwian, inang-bayan, tahanan, úuwî@
@homeless@|@walang sukat mátahanan@
@homely@|@hindî mapagpanaog, pangbahay@
@homemade@|@yarì sa bahay@
@homesick@|@ibig sa sarili@
@homespun@|@pangbahay@
@homestead@|@lupang bukirín@
@homeward@|@sa dakong sarili, sa gawíng sarili@
@homicidal@|@mámamatay-tao@
@homicide@|@pagpalay ng tao@
@homilist@|@parè ó pastor na tagapagsermon@
@homogeneous@|@magkakaurì ó magkakabagay@
@hone@|@hasaán, tálaran@
@honest@|@matapat, matimtiman@
@honesty@|@katimtimang-loob@
@honey@|@pulot, pulot-pukyutan, pulut-pukyutan@
@honey moon@|@mga unang araw ng bagong kasal@
@honey-comb@|@bahay-pukyutan@
@Hongkong@|@Hongkong@
@honor@|@dangal, igalang, kapurihan, karangalan, paunlak@
@honor (1)@|@magparangal, magpaunlak, puri@
@honorable@|@karangal-dangal, marangal@
@honorary@|@pangdangal@
@hood@|@panakíp sa ulo@
@hoodwink@|@magpiríng@
@hoof@|@kuko ng hayop, kuko ng kabayo@
@hook@|@kalawít, kawíng, pangalawit, pansabit, simà, tagâ@
@hooked@|@baluktot@
@hoop@|@buklod, pamigkis ng barriles@
@hop@|@kandirít, lukso@
@hope@|@asa, pag-asa, pag-ása, umasa@
@hopeful@|@maaasahan@
@hopeless@|@walang pag-asa@
@horizontal@|@pahigâ@
@horn@|@sungay@
@horn pipe@|@tambulì@
@horned@|@may sungay, sungayán@
@hornet@|@bubuyog, putaktí@
@horny@|@yaring sungay@
@horrible@|@kahindik-hindik@
@horrible (1)@|@katakot-takot@
@horrid@|@nakakikilabot, nakasisindak@
@horrific@|@katakot-takot@
@horror@|@kilabot@
@horse@|@kabáyo@
@horse race@|@karera@
@horseback@|@likod ng kabayo@
@horsefly@|@bangaw@
@horsehair@|@buhok ng kabayo@
@horselaugh@|@halakhak@
@horseleech@|@lintâ@
@horseman@|@hinete, marunong sumakay sa kabayo@
@horseplay@|@masamang birò@
@horserace@|@páunahan ng kabayo@
@horseshoe@|@bakal sa paa ng kabayo@
@horsewhip@|@látigo, panghagupit@
@horticulture@|@paghahalaman@
@horticulturist@|@ang naghahalaman, maghahalamán@
@hosanna@|@máligtas ka nawâ!, onsana@
@hose@|@medyas@
@hosier@|@ang nagtitinda ng medyas@
@hospitable@|@maawain, magandang loob, mapagpatuloy@
@hospital@|@bahay-págamutan, ospitál, págamutan@
@hospitality@|@pagmamagandang-loob, pagpapatuloy@
@host@|@hukbó, may-bahay, may-pátuluyan, may pánauhin@
@hostess@|@babaing may pátuluyang bahay@
@hostile@|@nanghahamón@
@hostility@|@hamon@
@hostler@|@sota, tagapag-alagà ng kabayo@
@hot@|@maínit, nakapapasò@
@hot-bed@|@punlaan@
@hotel@|@bahay-tuluyan, otél@
@hot-headed@|@mainit ang ulo@
@hothouse@|@apuyán@
@hotly@|@mapusok, masidhî, may kainitan@
@hotness@|@init, pusok@
@hotspur@|@mainit ang ulo@
@hough@|@kalamnan ng bintî@
@hound@|@asong galgo, ipahabol sa asong pangaso, pangasuhin@
@hour@|@óras@
@hourly@|@oras-oras@
@house@|@bahay, báhay, sangbahayan, táhanan@
@house of worship@|@sambáhan, simbáhan@
@house-breaker@|@magnanakaw@
@housefly@|@lángaw@
@household@|@sambahayan@
@house-hold@|@sangbahayan@
@house-holder@|@punò ng sangbahayan@
@housekeeping@|@pamamahalà sa bahay@
@housemaid@|@alilang babae sa bahay@
@housewife@|@ina ng sang mag-anak@
@hovel@|@dampâ, kubo@
@hover@|@bumantay, mag-alanganin, magbitin@
@how@|@gaano, kay...., paano, pagka...@
@How are you?@|@Kumusta ka na?, Kumustá ka?@
@How did he get hurt?@|@Paano siyá nasaktán?@
@How do I get to _____ ?@|@Paano papuntang ______?@
@How do I get to the ______?@|@Paano ako makakapunta sa ___?@
@How do you cook this?@|@Paano mo lutuin ito?@
@how do you do?@|@Kamusta kayo?@
@How do you say _____?@|@Paano mo sabihin….?@
@How do you say...?@|@Paano mo sabilim...?@
@How do you spell _____.@|@Paano mo baybayin….@
@How is your work?@|@Kumustá ang iná ninyó?@
@How long have you been here?@|@Gaano ka na katagal dito?, Gaano ka na katagal rito?@
@How long will you stay?@|@Hanggang kailan ka mamalagi?@
@How many siblings do you have?@|@Ilan ang kapatid mo?@
@How much are the bananas?@|@Magkakano ang saging?@
@How much do you charge?@|@Magkano ang singil mo?@
@How much is it per night?@|@Magkano ang halaga bawa't gabi@
@How much is that car?@|@Magkano ang kotseng iyón?@
@How much is the fare?@|@Magkano ang bayad?, Magkano ang pamasahe?@
@How much is this?@|@Magkano ito?@
@How much?@|@magkano?@
@How old are you?@|@Iláng taón ka na?@
@How Old Are You?@|@ilang taon ka na?@
@How old is it?@|@Ilang taon na ito?@
@how to get rich@|@paano yumaman@
@How will the weather be?@|@Paano ba ang magiging panahon?@
@How will you do this?@|@Paano mo gagawín?@
@how?@|@paano?@
@howbeit@|@bagaman, gayon man@
@however@|@datapwat, subalit, yamang...@
@howl@|@hagulhol, kahól, kumahól, tahól, tumahól, ungal@
@howling@|@angal, hagulhol, kahol@
@How's the weather?@|@Gaano kabuti ang panahon?@
@howsoever@|@yamang...@
@hubbub@|@hiyaw, kaingay@
@huckle-backed@|@kubà@
@huckster@|@maglalakô@
@huddle@|@bunton, Kaguló@
@hue@|@kulay, kutis ng mukhâ@
@huff@|@maghambog, pusok ng kalooban@
@huffish@|@walang galang@
@hug@|@yakap, yapos, yumakap, yumapos@
@hug-beef@|@pindang, tapa@
@huge@|@malakí@
@hugeness@|@kalakhan@
@hulk@|@katawan ng sasakyan, punton@
@hull@|@balat, katawan ng sasakyan@
@hum@|@haginit, humaginit.@
@human@|@makatao, nauukol sa tao, tao@
@humane@|@maawain, mahabagin@
@humanity@|@pagkatao, sangkatauhan@
@humanize@|@papagtaglayin ng asal tao@
@humankind@|@angkan ng sangkatauhan@
@humapay@|@to decline@
@humble@|@hamak, humiya, mabábang-loób, mapagkumbaba@
@humble (1)@|@magpangayupapà@
@humble-bee@|@kamumo@
@humbleness@|@kababaan ng loob@
@humbly@|@may kababaang loob@
@humbug@|@dayà, kayabangan, maghambog@
@humdrum@|@tangá@
@humid@|@basâ, halomigmig@
@humidity@|@pagkabasâ, pagkahalomigmig@
@humiliate@|@magpangayupapà@
@humiliation@|@pagpapakumbabâ, pangangayupapà@
@humilig@|@to decline@
@humility@|@kababaang-loob, pagpapakababà@
@humming@|@haginit@
@hummock@|@buról, munting bundok@
@humor@|@lagáy ng kalooban, magbigay-loob@
@humorist@|@mapagpatawâ, mapagsisté@
@hump@|@kakubaan, pagkakubà@
@humpbacked@|@kubà@
@hunch@|@pananabig, paninikó@
@hunchbacked@|@kubà@
@hundred@|@sandaán, sangdaan, siyento@
@hundredfold@|@makásangdaan@
@hundredth@|@ikasangdaan, pang-isán(g)daán, pansyento@
@Hungary@|@Unggarya@
@hunger@|@gutom, magutom@
@hungrily@|@may pagkagutom@
@hungry@|@gutom, gutom, nagugutom@
@hunk@|@malaking putol@
@hunks@|@taong sakím@
@hunt@|@hanap, hanapin, pangangaso, panghuhuli ng hayop@
@hunt (1)@|@humanap, mamuntot, mangaso, manghuli ng hayop@
@hunter@|@mángangaso@
@hunting@|@pangangaso@
@hunting-horn@|@tambulì@
@huntress@|@babaing mángangaso@
@huntsman@|@mángangaso@
@hurdle@|@magsalá, salá@
@hurl@|@magpailandang, pumukol@
@hurricane@|@búhawi, unós@
@hurry@|@dali, madaliin, magmadali, magmaliksí, pagmamadalî@
@hurry (1)@|@magtumulin, pagtutumulin@
@hurt@|@makasakít, makasirà, masakit, sákit, saktan@
@hurtful@|@nakasasakít, nakasasamâ, nakasisirà@
@husband@|@asáwa, magsaka, magsasaka, masakit, saktan@
@husband/wife@|@kaisang-puso@
@husbandary@|@pagbubukid, pagsasaka@
@husbandman@|@magbubukíd, magsasaka@
@hush@|@hwagkang maingay!, magpatahimik, shutt!, tumahimik@
@husk@|@balat, mag-alís ng balat, magtalop@
@huskiness@|@pamamaos@
@husky@|@mabalát, paós@
@hussar@|@kawal na nangangabayo@
@hussy@|@masamang babae@
@hustle@|@gumitgit, managasà@
@hut@|@dampa, kubo@
@hutch@|@buslô, sisidlan@
@huzza@|@pakpakán, purihin@
@hydrant@|@gripo@
@hymn@|@awit, imno@
@hyphen@|@giyón, panghati ng salitâ@
@hypocrisy@|@paimbabaw, pakunwâ@
@hypocrite@|@mapagkunwâ, mapagpaimbabaw@
@hypothecate@|@maglagak, magsanglâ@
@hyteric@|@sinusubaan@
@I@|@akó@
@i (letter)@|@i@
@I am eating@|@Ako ay kumákain@
@I am exhausted@|@Ako ay pagod na pagod.@
@I am fine ...  thank you@|@Mabuti ako ...  salamat@
@I am fine thank you@|@Ayos naman, salamat@
@I am from ______.@|@Ako ay galing sa ______.@
@I am from.....=@|@Ako ay galing sa@
@I am going into town@|@Ako ay pupunta sa bayan@
@I am going to the....@|@Ako ay pupunta sa …..@
@I am here.@|@Nandito akó.@
@I am hungry@|@Ako ay gutom.@
@I am in grade ______@|@Ako ay nasa ______ grado@
@I am married@|@Ako ay may asawa.@
@I am studying ______.@|@Ako ay nag-aaral ng_____?@
@I am thirsty@|@Ako ay uhaw.@
@I ate.@|@Kumain akó@
@I can hear you@|@Naririnig kita@
@I can't eat@|@Hindi ako makakakain@
@I can't eat the whole thing@|@Hindi ko kayang kainin lahat.@
@I can't sleep@|@Hindi ako makatulog.@
@I can't speak@|@Hindi ako marunong mag@
@I didn't order that.@|@Hindi ko inorder yan@
@I do not have money@|@Waláng pera akó@
@I do not like the color.@|@Hindi ko gusto ang  kulay.@
@I do not speak ______@|@Ako ay hindi nakapagsasalita _@
@I don't eat beef.@|@Hindi ako kumakain ng karne.@
@I don't eat pork.@|@Hindi ako kumakain ng baboy.@
@I don't understand@|@Hindî ko maintindihan@
@I eat ______ for breakfast@|@Kumain ako ng _____sa almusal@
@I feel sick@|@Para akong may sakit@
@I have ______ children@|@Mayroon akong _____ mga anak.@
@I have a headache@|@Sumasakit ang ulo ko.@
@I have an appointment with __@|@Mayroon akong apoyntment sa __@
@I have five balloons@|@May limang lobo ako@
@I have money.@|@Mayroón akóng pera@
@I Have No Idea.@|@Wala akong ideya.@
@I have nothing to declare@|@Wala na akong masabi@
@I have one child@|@Mayroon akong isang anak@
@I have seven siblings@|@Pito ang kapatid ko@
@I have the _____@|@Mayroon akong…@
@I haven't done anything wrong@|@Wala akong nagawang masama@
@I learned his name@|@Nalaman ko ang pangalan niya@
@I left early@|@Umalis ako nang maaga@
@I like ______.@|@Gusto ko ng _____@
@I like museums@|@Gusto ko ang museo@
@I Like Tagalog@|@Gusto ko ang Tagalog@
@I like to ______.@|@Gusto ko ng _______.@
@I live in Malate.@|@Sa Malate ako nakatira@
@I lost my ______.@|@Naiwala ko ang aking _________@
@I lost my bag.@|@Nawala ang bag ko@
@I lost my wallet@|@Nawala ang walet ko.@
@I love you@|@Iniíbig kita@
@I love you.@|@Mahál kitá.@
@I need a ______.@|@Kailangan ko ng ______@
@I need a doctor.@|@Kailangan ko ng doktor.@
@I need food@|@Kailangan ko ng pagkain@
@I need help@|@Kailangan ko ng tulong@
@I need size ______.@|@Ang sukat na kailangan ko ay _@
@I need suntan lotion@|@Kailangan ko ng suntan losyon.@
@I only eat kosher food.@|@Kosher lang ang kinakain ko.@
@I ran out of money@|@Naubusan na ako ng pera@
@I see the _____.@|@Nakita ko ang ….@
@I speak _____@|@Ako ay nagsasalita sa wikang…@
@I think the bill is incorrect@|@Sa palagay ko mali ang kuwenta@
@I understand@|@naintindihan ko@
@I want a dish called _____.@|@Gusto ko ng ulam na _____.@
@I want to check out@|@I want to check out@
@I want to check out.@|@Gusto ko nang mag-check-out.@
@I want to go to sleep@|@Gusto ko ng matulog@
@I want to learn ______.@|@Gusto kong matutuhan ang  __?@
@I want to rent a car@|@Gusto kong mag-rent ng kotse@
@I want to ride on the...@|@Gusto kong sumakay sa@
@I want to sleep@|@Gustó kong matulog.@
@I will be right back@|@Babalik ako@
@I will buy it@|@Bibilin ko ito@
@I will give it to her.@|@Ibibigáy ko sa kaniyá.@
@I will give the money to whom?@|@Ibibigáy ko ang pera kanino?@
@I will give you money@|@Bibigyán kitá ng pera@
@I will not work tomorrow.@|@Hindî akó magtatrabaho bukas.@
@I would like dessert@|@Gusto ko ng panghimagas.@
@I would like to buy@|@Gusto kong bilin@
@I wrote.@|@Sumulat akó.@
@ice@|@papagyelohin, surbétes, surbétes, tubig na pinamuô, yélo@
@ice box@|@páminggalan ng yelo@
@iceberg@|@bundokbundukan ng niebe, bunton ng tubig na namuô@
@ice-cellar@|@páminggalan ng yelo@
@icecream@|@surbétes@
@Iceland@|@Aislánd, Lupangyelo@
@ice-safe@|@páminggalan ng yelo@
@icy@|@malamig, mayelo@
@I'd like a ______.@|@Ang gusto ko ay _______.@
@I'd like to buy ______.@|@Gusto kong bumili ng______?@
@I'd like to drink ______.@|@Gusto kong uminom ng _____.@
@I'd like to make a reservation@|@Gusto kong magpareserba?@
@I'd like to order ______.@|@Gusto kong umorder ng_____?@
@I'd like to try it on@|@Gusto kong isukat.@
@idea@|@isipan, kuru-kurò, palagáy, warì@
@ideal@|@isipan, mithî@
@identic@|@kagaya, kapara, kaparis@
@identification@|@pagkilala@
@identify@|@kilalanin, kumilala@
@identity@|@pagkakilala@
@idiocy@|@katangahán, kaungasan@
@idiom@|@wikà@
@idiomatic@|@náuukol sa wikà@
@idiosyncrasy@|@ayon sa sariling gawî@
@idiot@|@taong tanga ó ungas@
@idiotical@|@gunggong, tanga, ungas@
@idle@|@batugan, Pabayâ, pagayongayon, tamad, tangá@
@idleness@|@pagkabutugan, pagpapagayongayon@
@idol@|@dinidyos, larawan@
@idolatrous@|@nauukol sa dî tunay na Dyos@
@idolatry@|@pagsambá sa dî tunay na Dyos@
@idolize@|@ibigin ng dî kawasà@
@ieptitude@|@kawalán ng abot, kawalan ng kaya@
@if@|@kahit, kaylan ma't, kung@
@igneous@|@nauukol sa apoy@
@ignite@|@mag-alab, magningas@
@ignition@|@pag-aalab, pagniningas@
@ignoble@|@dustâ, hamak@
@ignominious@|@alipustâ, kadustâdustâ@
@ignominy@|@pag-alipustâ, pagdustâ@
@ignoramous@|@taong gunggong, taong hangal@
@ignorance@|@kamusmusan, kawalan ng malay@
@ignorant@|@musmos, Walang malay@
@ignore@|@dí makaalam, dî makamalay@
@iguana@|@Buwaya-Bayawak@
@Ikaw ba ay nakakapagsalita ng ______?@|@Ikaw ba ay nakakapagsalita ng?@
@Ilang katao sa iyong pamilya?@|@Ilang katao sa iyong pamilya?@
@ill@|@May sakít, maysakit@
@I'll be back soon@|@Babalik ako agad.@
@I'll be staying at ______@|@Ako ay titigil sa ________@
@I'll call the police.@|@Tatawag ako ng pulis.@
@illegal@|@labag sa katwiran, laban sa utos@
@illegible@|@dî mabasa@
@illegibly@|@sa isang paraang dî mabasa@
@illegitimacy@|@dî pagkasang-ayon sa kautusan@
@illegitimate@|@anak sa ligaw@
@ill-favored@|@Pangit@
@illiberal@|@kuripot, maramot@
@illicit@|@labag sa utos, laban sa kautusan, Walâ sa katwiran@
@illimitable@|@dî matapostapos, walang hanggan@
@illiterate@|@dî nag-aral, Walang tuto@
@ill-natured@|@masamang asal, masamang ugalì@
@illness@|@karamdaman, sakit@
@illogical@|@dî tumpak, Walang tuto@
@ill-shaped@|@masamang ayos@
@ill-starred@|@apí, dinudwahagi, pinag-aasalan ng masam@
@illude@|@mangdayà, manuksó@
@illuminate@|@liwanagan, mag-ilaw, tanglawan@
@illumination@|@pag-iilaw, pagpapaliwanag@
@illusion@|@malikmatá, maling akalà, pángitain@
@illusive@|@nakakadayà@
@illustrate@|@ipaaninaw, ipaliwanag@
@illustration@|@paaninaw, paliwanag@
@illustrative@|@nakapagpapaaninaw, nakapagpapaliwanag@
@illustrious@|@bunyî, magiting, marilag, tanghal@
@I'm a pigglet@|@Ako ay biik- ikaw ay baboy!@
@I'm a vegetarian.@|@Vegetarian ako.@
@I'm allergic to ______@|@Ako ay hindi hiyang sa _____?@
@I'm fine@|@mabuti, mabuti pô@
@I'm going to take a bus@|@Sasakay ako ng bus@
@I'm hungry@|@Gutom na ako.@
@I'm Looking For John@|@Hinahanap ko si John@
@I'm lost@|@Ako'y nawawala, Nawawala ako.@
@I'm not feeling well.@|@Masama ang pakiramdam ko.@
@I'm sick.@|@May sakit ako.@
@I'm sorry@|@Pinagsisisihan ko@
@I'm sorry.@|@Paumanhin/Sorry.@
@I'm thirsty@|@Nauuhaw ako.@
@I'm tired@|@Pagod ako@
@image@|@larawan@
@image of saints@|@santo@
@imagery@|@banhay, larawan@
@imaginable@|@guníguní, gunitâ, warì@
@imaginary@|@guníguní, sa isip lamang@
@imagination@|@dilìdilì, guniguni, gunitâ, pagbubulay, warì@
@imagination (1)@|@gunamgunam@
@imaginative@|@náguguníguní, nágugunitâ, napagbubulay, nawawarì@
@imagine@|@bulayin, dilidiliin, gunitain, wariin@
@imahen@|@imahen@
@imbecile@|@ungás@
@imbecility@|@kagunggungan, kahangalan, kaungasán@
@imbibe@|@sumipsip, umitit@
@imbitter@|@papaitín, pasamain ang loob, umasim@
@imbosom@|@itagò sa dibdib@
@imbricate@|@magkapatong, malukom@
@imbrication@|@lukóm, pagkalukom@
@imbroglio@|@kaguluhan@
@imbrown@|@palabuin ang kulay@
@imbrue@|@ibabad, tigmakin@
@imbrute@|@ariing parang hayop, Hamakin@
@imbue@|@mag-udyok, magbuyó@
@imbursement@|@pagbabayad@
@imitable@|@marapat tularan@
@imitate@|@gumaya, humalintulad, pumaris, tumulad@
@imitation@|@pag-gaya, paghalintulad, pamamaris@
@imitative@|@inihalintulad, tulad@
@immaculate@|@malinis, walang dungis@
@immaterial@|@Walâ sa katwiran@
@immature@|@dî pa panahon, walâ pa sa panahon@
@immaturity@|@kamusmusan@
@immeasurable@|@dî masukat@
@immediate@|@karatig, Malapit, ngayon din@
@immediately@|@dagli, kagyat, Kapagdaka'y, karakaraka, pagdaka@
@immediately (1)@|@agad@
@immediately offered@|@dali-daling inihandog@
@immemorial@|@malwat na malwat, napakalwat@
@immense@|@malaki, malawak@
@immensity@|@kalawakan, lawak@
@immerge@|@lumubog, sumisid, sumukbó@
@immersion@|@paglubog, pagsisid, pagsukbó@
@immethodical@|@maguló, walang ayos@
@immigrant@|@nangingibang lupain, taong nakikipamayan@
@immigrate@|@mangibang bayan, mangibang lupain@
@immigration@|@pangingibang bayan, pangingibang lupain@
@imminent@|@kapangapanganib, malubhâ, nakadaluhong@
@immiscible@|@dî makakahalò@
@immitate@|@gayahin@
@immobility@|@di makilos, katibayan, tibay@
@immoderate@|@walang tuos@
@immodest@|@Mahalay, walang galang@
@immodesty@|@kabastusan, kawalán ng galang@
@immolate@|@patayin at ihain sa dinidyos@
@immoral@|@salaulà@
@immoral woman@|@talipandas@
@immorality@|@pagsamâ ng pangungugalì, walang kamatayan@
@immortal@|@magpakaylan man, walang kamatayan@
@immovable@|@dî magalaw, dî makilos, matibay@
@immunity@|@pakundangan, patawad, tanging pahintulot, tawad@
@immure@|@kulungin@
@immutability@|@dî pagkabago, walang pagkabago@
@immutable@|@dî nababago@
@imp@|@anák, munting diablo, suplíng@
@impact@|@banggâ, umpog@
@impact a surface due to immediate@|@Sumadsad@
@impair@|@sumamâ@
@impale@|@saksakín, tuhugín@
@impalpable@|@dî maapuhap, dî mahipò@
@impannel@|@ipagtatalâ ang mga tagahatol@
@imparity@|@pagkaalangan, pagkakaiba@
@impart@|@magbigay alam, magkaloob, magpatalastas@
@impartial@|@walang itinatangì, walang kinikilingan@
@impassibility@|@kawalán ng máraraanan@
@impassible@|@dî maraanan@
@impassionate@|@walang dinaramdam@
@impassive@|@walang damdam@
@impatience@|@iníp, Kabalisahan, yamot@
@impatient@|@balisa, yamot@
@impeach@|@magparatang, magsakdal@
@impeachment@|@pagbibigay sala@
@impede@|@sumansalà, umabala@
@impediment@|@kapansanan, pagkaabala@
@impel@|@magudyok, mamilit@
@impend@|@magbalà, yumambâ@
@impenetrable@|@dî mapasok, dî masuut, dí tagusín@
@impenitence@|@dî pagsisising tikís, katigasan ng ulo@
@impenitent@|@dî nagsisisi@
@imperative@|@mapilit@
@imperfect@|@dî ganap, dî tapos@
@imperfection@|@kalagayan na dî ganap@
@imperil@|@lumagay sa panganib@
@imperious@|@magilas, mapag-giit@
@imperishable@|@dî nasisirà, dî náwawasak@
@impersonal@|@hindî nauukol sa sarili@
@impersonate@|@ariing tao, ipalagay na tao@
@impersonation@|@paghwad@
@impertinence@|@kabalastugan@
@imperturbable@|@dî magambalà@
@impetuosity@|@kabiglaanan, kapusukan ng loob@
@impetuous@|@dalosdalos, maningas, pabiglabiglâ@
@impetus@|@bugsô, kabiglaanan@
@impiety@|@kawalán ng kabanalan@
@impinge@|@bumanggâ, tumamà, umumpog@
@impious@|@Walang kabanalan@
@implacable@|@Walang habag@
@implant@|@magbaón, magpunlâ, magtanim@
@implement@|@kasangkapan@
@implicate@|@idamay, magdamay@
@implication@|@pagkadamay@
@implicit@|@karamay@
@imploration@|@luhóg, pamanhik, samò@
@implore@|@lumuhog, mamanhík, sumamò@
@imply@|@magdamay@
@impolicy@|@kawalan ng baít, kawalán ng galan@
@impolite@|@walang bait@
@impolitic@|@walang pitagan@
@imporbability@|@walang kasiguruhan@
@imporbity@|@kawalán ng pagtatapat, panunwitik@
@imporous@|@walang butas, walang sirà@
@importance@|@kabuluhan, kahalagahán@
@important@|@mahalagá, makabuluhan@
@importunate@|@nakapupukaw@
@importune@|@makayamot, mamilit@
@importunity@|@kayamutan, pagkayamot@
@imporvident@|@nakakakalingat@
@impose@|@mag-atang, maggiit@
@imposing@|@mapaggiit@
@imposition@|@atang, pag-aatang@
@impossibility@|@dî pangyayari@
@impossible@|@dî mangyayari@
@impost@|@bwis@
@imposture@|@kasinungalingan@
@impotence@|@kawalán ng kaya, kawalán ng lakas@
@impotency@|@kawalán ng kaya, kawalán ng lakas@
@impotent@|@Walang kaya, walang lakás@
@impoverish@|@maghirap@
@impoverishment@|@paghihirap@
@impracticable@|@dî máisasagawâ@
@imprecate@|@manumpâ@
@impregnable@|@dî madaig, dî masupil@
@impregnate@|@matigmak, tigmakin@
@impregnation@|@pagkatigmak@
@impress@|@ikintal, ilimbag@
@impressible@|@maramdamim@
@impression@|@pagkalimbag@
@impressive@|@maramdamin@
@imprint@|@lumimbag, magkintal@
@imprison@|@ibilanggô, ibilibid@
@imprisonment@|@pagbibilanggô, pagbibilibid@
@improbable@|@dî maasahan, walang siguro@
@improper@|@dî bagay, dî marapat@
@improperty@|@kawalán ng karapatan, pagkawalang karapatan@
@improve@|@bumuti, buti, gumaling, pagbutihin, umigi@
@improvement@|@pag-igi, pagbuti, paggaling@
@improvidence@|@kalingat, kapabayaan@
@improvise@|@dumaglî@
@imprudence@|@kakulangan ng bait, kapaslangan, kawalang hiyaan@
@impudent@|@mapagpaslang, walang hiyâ@
@impugn@|@pumwíng@
@impulse@|@buyó, udyok@
@impulsion@|@pagkabuyo, udyok@
@impulsive@|@nakákabuyo, nakapag-uudyok@
@impunity@|@dî pagkaparusa, pagkaligtas sa parusa@
@impure@|@hindî dalisay, hindî wagas, marumi@
@impurity@|@kawalan ng kawagasan, Labò@
@imputate@|@ibintang, iparatang@
@in@|@sa, sa loób@
@in a hurry@|@nagdudumali@
@in a laughing manner@|@nakatawa@
@in agreement@|@nagkakasundo@
@in bad shape@|@malubha@
@in deep slumber@|@nahihimbing@
@in exchange for@|@lában sa@
@in fact@|@sabagay@
@in front of@|@bago, harap, sa haráp ng@
@in love with someone@|@nangingibig@
@in nurse uniform@|@suot-nars@
@in order to@|@para kay, para sa@
@in other words@|@samakatuwid@
@in patches@|@tagpi-tagpi@
@in secret@|@lihim@
@in the beginning@|@sapasimula@
@in the meantime@|@samantala@
@in the middle of@|@gitna@
@In the morning@|@Sa umaga@
@in this context@|@Kung sabagay@
@in whatever way@|@paano't paano@
@inability@|@kawalán ng abot, kawalan ng kaya@
@inaccessible@|@dî makaabot, dî makarating@
@inaccuracy@|@kasinsayan@
@inaccurate@|@hindî ganap, hindî lubos, hindî tamà@
@inaction@|@pagkawalang galaw, pagkawalang kilos@
@inactive@|@tamad, walang galaw@
@inactivity@|@katamaran, kawalán ng kilos@
@inadequate@|@dî sapat, kapos@
@inadimissible@|@dî natatanggap@
@inadvertence@|@kawalán ng pahiwatig@
@inadvertency@|@kawalán ng pahiwatig@
@inadvertent@|@Walang malay@
@inane@|@tuyô, walang lamán@
@inanimate@|@walang buhay, walang kálulwa@
@inapplicable@|@hindî magagamit, hindî marapat@
@inapplication@|@katamaran sa pag-aaral@
@inappreciable@|@dî dapat igalang@
@inapt@|@walang abot, Walang kaya@
@inaptitude@|@kawalán ng abot, kawalán ng kaya@
@inarticulate@|@dî malinaw, gago, utal@
@inasmuch@|@yamang@
@inattention@|@kawalan ng lingap@
@inaudible@|@dî makarinig@
@inaugurate@|@idaos, ipagdiwan@
@inauguration@|@pagdadaos, pagdiriwan@
@inauspicious@|@masamang kapalaran, sawing palad@
@inbreathe@|@huminga@
@incage@|@kumulong@
@incalculable@|@dî makurò, dî matuus@
@incalculate@|@maggiit, pumilit@
@incandescent@|@nag-aapoy, nag-babaga@
@incapability@|@kakapusan@
@incapable@|@kapós, walang abot, Walang kaya@
@incapacitate@|@ariing walang kaya, mawalán ng kaya@
@incapacitate (1)@|@ipalagay na walang kaya@
@incapacity@|@pagkawalang kaya@
@incarcerate@|@ibilanggô, ibilibid@
@incarceration@|@pagkabilanggô, pagkabilibid@
@incarnate@|@magkatawang tao@
@incarnation@|@pagkakatawang tao@
@incase@|@balutin, ibalot@
