@English@|@Papiamento@
@gesture@|@gesto@
@get angry@|@rabia@
@get married@|@kasa@
@get off@|@baha, bai abou@
@get tired@|@kansa@
@get wet@|@muha@
@ghastly@|@desagrababel@
@ghost@|@beako, fantasma, spirito, zumbi@
@giant@|@gigante@
@gift@|@opsekio, regaldo@
@gin@|@yanefer, zjenever@
@ginger@|@ehèmber, gèmber@
@giraffe@|@ziraf@
@girdle@|@faha@
@girl@|@chek, mucha mohé, mucha muhé@
@give oo an odour@|@hole, ole@
@give rise to@|@kousa@
@glad@|@alegre@
@gladness@|@alegria, alegría@
@glass@|@glas@
@glasses@|@brel, brel di bista@
@globe@|@globo@
@globet@|@beker, bokal, kùp@
@glory@|@gloria@
@glove@|@anskun, hanskun, wante@
@glue@|@leim@
@gnome@|@kabouter@
@go away@|@sali@
@go back@|@bolbe@
@go down@|@baha, bai abou@
@go in@|@drenta@
@go up@|@subi@
@goal@|@meta@
@goat@|@kabrito, kabritu@
@goblet@|@bokal, kùp@
@goblin@|@kabouter@
@God@|@Djos@
@God's acre@|@graf, santana@
@gold@|@oro@
@goldsmith@|@platé@
@good@|@bon@
@good afternoon@|@bon tardi, bontardi@
@good day@|@bon dia@
@good evening@|@bon tardi, bonochi@
@Good Friday@|@Biernasanto, Biernèsanto, Biernèsantu@
@good morning@|@mòro, mòru@
@Good morning@|@Bon dia!@
@good night@|@bon nochi@
@goodbye@|@asta la vista, ayo, ayo!, so long, tanten@
@goodmorning@|@mòru@
@goodness@|@bondad@
@goose@|@gans@
@gorilla@|@gorila@
@gospel@|@evangelio@
@gossip@|@klèts@
@gourd@|@pampuna@
@govern@|@reina@
@government@|@gobernashon@
@gown@|@bistí, shimí, shimis@
@grab@|@kohe, koi@
@grade@|@grado@
@gram@|@gram@
@grammar@|@gramátika@
@grammer@|@biehita@
@grandchild@|@ñetu@
@granddaughter@|@bisanieta, nieta@
@grandfather@|@padú, padushi, tawela@
@grandmother@|@madú, madushi, wela@
@grandson@|@bisañetu, bisanieto, nieto@
@granite@|@granit@
@grape@|@drùif@
@grapple@|@fango, fangu, kèch@
@grasp@|@hoke@
@grass@|@yerba, yerbé@
@grasshopper@|@dalakochi@
@graveyard@|@graf, santana@
@gravy@|@sous@
@grease@|@sebu, vèt@
@greasy@|@vèt@
@great@|@ekselente, grandi@
@great-grandfather@|@bisabuelo, bisawelo@
@great-grandmother@|@bisawela, wela grandi@
@Greecce@|@Gresia@
@Greece@|@Gresia@
@Greek@|@griego@
@green@|@berdè, bèrdè@
@greeting@|@kumindamento, kumindamentu, saludo@
@greographic@|@geográfiko@
@grey@|@shinishi@
@grip@|@grip, kohe@
@grisly@|@desagradabel@
@grope@|@fula@
@ground@|@bòm, fòndo, tereno@
@grounds@|@tereno@
@group@|@grupo, kuadria@
@grow@|@bira, krese@
@growth@|@kesementu, kresemento, kresementu@
@grub@|@koba, larva@
@gruel@|@papa@
@gruesome@|@feros, feroso, horibel, teribel@
@guard@|@konduktor, vigiladó, wardadó, wardadór, wòchmèn@
@Guatemala@|@Guatemala@
@guess@|@rei@
@guilder@|@eldu, florin, heldo, heldu@
@guilt@|@kulpa@
@guiltless@|@inkulpabel, inosente@
@guilty@|@kulpabel@
@guitar@|@guitara, kitara@
@gulden@|@eldu, florin, heldo, heldu@
@gulf@|@abismo, precipicio@
@gum@|@ensia@
@gun@|@skòpet@
@gusto@|@ánimo@
@gymnastics@|@genastik@
@gypsy@|@gitano@
@habit@|@bisio, kostumber, kutumber@
@hack@|@kap@
@haemorhoids@|@ambei@
@hail@|@hagel@
@hair@|@kabei@
@hairdresser@|@barbero@
@hairpiece@|@peluka@
@Haiti@|@Haiti@
@half@|@mitá, mitar@
@halt@|@para, stòp@
@ham@|@ham@
@hammcock@|@hamaka@
@hammer@|@martin, martiu@
@hammock@|@amaka, hamaka@
@hand@|@man, obrero, trahadó@
@handicraft@|@fish, ofishi@
@handkerchief@|@lensu@
@handle@|@trata@
@handlebars@|@stür@
@handsome@|@kiut, nunita@
@hang@|@horka@
@hang onto@|@nister, tene@
@hangman@|@burdugu@
@happiness@|@felididat, sueltu, suertè, suèrte@
@happy@|@alegre, felis, kontentu@
@Happy Birthday!@|@Pabien!@
@Happy Easter!@|@Bon Pasco!@
@Happy New Year!@|@Bon Aña!@
@harbor@|@haf@
@hard@|@difísil, duru, fregá@
@hardly@|@apenas@
@hardworking@|@brio@
@haricot@|@bonchi@
@harm@|@hùrt@
@harmonious@|@armonioso, harmonioso@
@harmony@|@armonia, harmonia@
@harp@|@arpa, harpa@
@harvest@|@kosecha, kosechá@
@hashish@|@hèsh@
@hat@|@sombre, sombré@
@hate@|@odia, odio@
@haul@|@hala, trèk@
@have@|@akohé, haña, haya@
@have a bath@|@dal un baño@
@have compassion on@|@duele@
@have confidence in@|@konfia@
@have got@|@tin(1)@
@have sex@|@hunga, kohe, koi, kue, limpia@
@have to@|@mester@
@hazard@|@kasualidat, koinsidensia, rísiko, riska@
@he@|@e@
@head@|@kabes@
@header@|@rúbro@
@heading@|@título@
@health@|@salú@
@healthy@|@salú, saludabel@
@heap@|@grupo, kuadria, monton@
@hear@|@tende@
@heart@|@kordial, kurason@
@heat@|@kalor, kayente@
@heathy@|@salú@
@heaven@|@shelo, shelu@
@heavy@|@pisá@
@Hebrew@|@hudiu@
@hectoliter@|@hèktoliter@
@hectometer@|@hèktometer@
@heel@|@hilchi@
@he-goat@|@chubatu@
@height@|@altura, haltura@
@heir@|@eredero, heredero@
@hell@|@fierno, fiernu@
@hello@|@cunbai, hallo, halo, kí tal@
@helm@|@stür@
@helmet@|@hèlm, hèlmu@
@help@|@asistensia, ayuda, ayudo, ousilio, yuda@
@helper@|@asistent, asistènt, yudadó@
@hence@|@di aki@
@her@|@e, nan, su@
@herb@|@yerba, yerbè@
@herd@|@grupo, kuadria@
@here@|@aki@
@here is the...@|@ata aki@
@here is/are@|@ata@
@heroin@|@eorina, heroina@
@herself@|@mes(1)@
@hesitate@|@duda, titubiá@
@hibiscus@|@kayena@
@hiccup@|@hik@
@high@|@altu, halto, haltu@
@hill@|@sero, seru@
@him@|@e@
@himself@|@mes(1)@
@hinder@|@impidí@
@hip@|@hep, kustia@
@hire@|@hür@
@his@|@nan, su, su@
@history@|@historia@
@hit@|@bati, dal, gòlpi, raka@
@hither@|@aki@
@hoarse@|@hers@
@hobby@|@hòbi@
@hog@|@hochi, hochino, porko@
@hoist@|@hisa, isa@
@hoist up@|@isa@
@hold@|@nister, tene@
@hole@|@goera, gohera@
@Holland@|@Hulanda, Ulanda@
@holy@|@dibino, sagrado, santo, santu@
@homosexual@|@mariko, mariku@
@Honduran@|@hondureño@
@Honduras@|@Honduras@
@honest@|@honesto@
@honor@|@honor, honra@
@honorary@|@honorabel@
@hoof@|@pata@
@hook@|@anzué, hanzué@
@hooker@|@mohen di bida, muhé di bida, puta@
@hooter@|@kacho, kachu@
@hope@|@spera, speransa@
@horizon@|@hórizòn@
@horizontal@|@horizòntal@
@horn@|@kachu, kaco@
@horoscope@|@horoskop@
@horribel@|@teribel(1)@
@horrible@|@desagradabel, feros, horibel@
@horror@|@debòr@
@horse@|@kabai@
@hospital@|@hòspital@
@hospitality@|@hospitalidat@
@hot@|@kaloroso, kayente@
@hotel@|@hotèl@
@hour@|@ora@
@house@|@kas@
@housefly@|@muska, muskita@
@how@|@cón, kon@
@how are you?@|@con ta bai?, cón ta bai?@
@how do you do?@|@cón ta bai?@
@how is your life?@|@con ta cu bida?@
@How is your name?@|@Con ta bo nomber?@
@how many@|@cuántu@
@how much?@|@kuanto, kuantu@
@How much?@|@Cuanto?@
@hug@|@brasa@
@huge@|@grandísimo@
@human@|@humano@
@human being@|@hende@
@human race@|@humanidat@
@humble@|@humilde@
@humility@|@humulidat@
@hummingbird@|@blenchi@
@humour@|@humor@
@hundred@|@cien, shen@
@hundred thousand@|@shen mil@
@hunger@|@flakesa, hamber@
@hunt@|@yag@
@hunter@|@yagdó@
@hurricane@|@horkan, orkan@
@hurt@|@hùrt@
@husband@|@esposo, kasá@
@hyaena@|@hiena@
@hygiene@|@higiena@
@hygienic@|@higieniko@
@hymn@|@himno@
@hypnotist@|@hipnotisadó@
@hypnotize@|@hinotisá@
@hypocrite@|@farizeo, hipokrit@
@hypothesis@|@hipótesis@
@hysteria@|@histeria@
@hysterical@|@histériko@
@I am coming from...@|@Mi ta bini di...@
@I am fine thanks@|@mi ta bon danki@
@I am hungry@|@mi tin hamber@
@I am thirsty@|@mi tin sed@
@I go to school@|@mi ta bai skol@
@I love you@|@mi ta stimado@
@I missi you@|@mi ta sintibo falta@
@I read the book@|@ma lesa e buki, mi a lesa e buki@
@I want to eat[@|@mi ke kome@
@I went to school@|@mi a bai skol@
@I will go to school@|@lo mi bai skol@
@ice@|@eis@
@icecream@|@eiskrim@
@idea@|@idea, konsepto@
@ideal@|@ideal@
@identical@|@idéntiko@
@identity@|@identidat@
@ideology@|@ideologia@
@idiotic@|@idiot@
@idol@|@ídolo@
@if@|@en caso cu, si@
@iguana@|@yuana@
@ill@|@malu@
@ill-fatade@|@fatal@
@illiterate@|@analfabétiko, analfabeto@
@illness@|@malesa@
@illusion@|@ilushon@
@illustration@|@ilustrashon@
@ilusion@|@ilushon@
@image@|@figura@
@imagination@|@imágen, imáhen@
@imitation@|@imitashon@
@immediate@|@inmediato@
@immediately@|@inmediatamente, umbes@
@immidiately@|@inmediatamente, mesora, umbé@
@immune@|@imün@
@impartial@|@neutral@
@imperialism@|@imperialismo@
@important@|@grave, importante@
@impossible@|@imposibel@
@in@|@den, na@
@in action@|@aktivo@
@in cash@|@kèsh@
@in fact@|@efektivamente@
@in front of@|@pa@
@in great shape@|@den grand forma@
@in spite of@|@apesar@
@in the evening@|@anochi@
@in the meantime@|@den esei, mientrastanto, mientrastantu@
@in the morning@|@maínta@
@in what way@|@cón, kon@
@inch@|@dùim@
@incomplete@|@inkompleto@
@inconceivable@|@inkomprendibel@
@inconvenient@|@difisil, fregá@
@increase@|@amplia@
@incredible@|@inkreibel@
@incubate@|@brui@
@indeed@|@realmente@
@independant@|@independiente@
@index@|@tabèl@
@India@|@India@
@Indian@|@indjan@
@Indian chief@|@cacique@
@indian corn@|@mainshi@
@indicate@|@munstra, mustra@
@indication@|@indikashon@
@indicative@|@indikativo@
@indicative mood@|@indikativo@
@individual@|@individual@
@indivisible@|@individibel@
@Indonesia@|@Indonesia@
@Indonesian@|@indones@
@industrial@|@industrial@
@industrious@|@brio@
@industry@|@industria@
@inebriety@|@buracheria@
@inexpensive@|@barata@
@inexplicable@|@ineksplikabel@
@infant@|@yiu, yiu(1), yu@
@infection@|@infekshon@
@infer@|@konklú@
@inference@|@konklushon@
@inflamation@|@inflamashon@
@inflammation@|@inflamashon@
@inflation@|@inflashon@
@influence@|@influensha, influenshá, influensia, influensiá@
@influenza@|@grip@
@information@|@informashon@
@inhabitant@|@habitante@
@inherit@|@eredá, heredá@
@inhibit@|@impidí@
@initial@|@inisial@
@injection@|@inyekshon@
@injury@|@erida, herida@
@ink@|@enk@
@inner@|@interno@
@innocent@|@inkulpabel, inosente@
@inquisitive@|@kaweta, niuskir@
@insane@|@loko@
@insane asylum@|@montekristo, montekristu@
@insanity@|@lokura@
@inscription@|@inskripshon@
@insect@|@insecto, insekto@
@inside@|@aden, den, interno, na, na (1), paden@
@insignificant@|@insignifikante@
@insist@|@insistí@
@inspection@|@inspekshon@
@inspector@|@inspektor@
@inspiration@|@inspirashon@
@instant@|@instante, momento, momentu@
@instead of@|@na lugar di@
@instinct@|@instinto@
@institute@|@instituto@
@instruction@|@instrukshon@
@instructor@|@instruktor@
@instrument@|@instrument@
@insubordinate@|@desobediente@
@insult@|@insulto@
@intellectual@|@intelektual@
@intelligence@|@inteligensia@
@intelligent@|@inteligente@
@intend@|@mik@
@intense@|@intenso@
@intensive@|@intenso@
@intention@|@intenshon@
@inter@|@dera@
@intercessor@|@abogado@
@interest@|@interes@
@interesting@|@interesante@
@interjection@|@interhekshon@
@interment@|@deramento, entiero@
@internal@|@interno@
@international@|@internashonal@
@interpreter@|@intérprete@
@interruption@|@interupshon@
@intervene@|@intervení@
@interview@|@entrevista@
@intestines@|@mondongo, shirishiri, tripa@
@intimate@|@íntimo@
@into@|@den, na (1)@
@intolerant@|@intolerante@
@intoxicated@|@fuma@
@intreview@|@entrevista@
@invasion@|@invashon@
@invencible@|@inkonkistabel, invensibel@
@invention@|@invashon, invenshon@
@inverted comma@|@komia@
@investigation@|@èksamen, investigashon@
@invincible@|@inkonkistabel, invensibel@
@invitation@|@invitashon, kombidashon@
@invoice@|@faktura@
@iodine@|@yodi@
@Iran@|@Iran@
@Iraq@|@Irak@
@iron@|@eru, hero, heru, strika@
@iron clothes@|@strika@
@irony@|@ironia@
@island@|@isla@
@Israel@|@Israel@
@it@|@e@
@Italian@|@italiano@
@Italy@|@Italia@
@itch@|@grawatamento, grawatamentu, grawatashi, kishiki, kishikishi@
@itch(1)@|@grawatá, kishikí@
@its@|@nan, su@
@itself@|@mes(1)@
@ivory@|@ivor, márfil@
@jail@|@piskalat, prison, prizon@
@jam@|@marmelada, mermelada@
@Jamaica@|@Hamaika@
@Januari@|@yanuari@
@January@|@january, yanüari@
@Japan@|@Hapon@
@Japanese@|@hapones@
@Java@|@Yava@
@jaw@|@kakumbein@
@jealous@|@yalurs, yalus@
@Jehovah@|@Yehova@
@Jerusalem@|@Yerusalèm@
@jest@|@chansa@
@Jesus Christ@|@Hesukristo, Hesukristu@
@Jevovah@|@Yehova@
@Jew@|@hudiu@
@jewel@|@hoya@
@job@|@labor, obra, puesto, trabou@
@join@|@djòin@
@joint@|@komun@
@joke@|@broma, chansa, chasko, chiste@
@jounal@|@diario@
@journalist@|@periodista@
@journey@|@bia, biaha@
@joy@|@alegria, alegría@
@jubilee@|@hubileo@
@jubille@|@hubileo@
@judge@|@hues, husga, huzga@
@judgment@|@huisio@
@jug@|@pòchi@
@juice@|@djus@
@July@|@juli, yüli@
@jump@|@bula, bulada, bulamento, bulamentu, salta@
@June@|@juni, yüni@
@Jupiter@|@Yupiter@
@jury@|@hurado@
@just@|@djis, hustamente, husto, hustu, solamente, umbé, umbes@
@just now@|@hustamente@
@just(1)@|@hustamente, immediatamente, mesora, umbes@
@jute@|@yute@
@Jutlander@|@yute@
@kaughter@|@harimento@
@kave sex@|@koi@
@keep@|@cumpli, rasa, salba@
@keep on@|@dura@
@Kenya@|@Kenia@
@key@|@yabi@
@kidney@|@nir, riñon@
@kill@|@mata@
@kilo@|@kilo, kilogram@
@kilometer@|@kilometer, kilometro@
@kind@|@afabel, amabel, sorto@
@kindness@|@afabilidat@
@king@|@rei@
@kingdom@|@reino@
@kiss@|@kusinchi, sunchi@
@kitchen@|@kushina@
@klaxon@|@kacho, kachu@
@knee@|@rudia@
@knife@|@kuchiu, kuchú@
@knot@|@konopá, kònòpi@
@know@|@sa, sabi@
@know how@|@sabi@
@knowledge@|@konosemento, konosementu@
@kompañá@|@to accompany@
@konfia@|@trust@
@konstante@|@permanent@
@korant@|@periodical@
@Korea@|@Korea@
@Korean@|@koreano@
@kostumbrá@|@to accustom@
@kreibel@|@plausible@
@kuadro@|@picture@
@laboratory@|@laboratorio@
@laborer@|@obrero, trahadó@
@lack@|@manko@
@lacking@|@falta@
@lad@|@chabalito, chabalitu@
@ladder@|@trapi@
@lady@|@dama, señora@
@Lady Day@|@Anunsiashon@
@lake@|@lago@
@lamb@|@lamchi, lanchi@
@lame@|@koho, manká@
@lamp@|@lampi@
@lance@|@lansa@
@land@|@pais, tera@
@landscape@|@paisahe@
@lane@|@hanchi@
@language@|@abla, idioma, lengua@
@large@|@grandi@
@large ant@|@badjaga, bashaka@
@larva@|@larva@
@lass@|@chek, mucha muhé@
@last@|@delaster, dura, último@
@lasting@|@durabel@
@late@|@laat, lat@
@Latin@|@latin, latino@
@laud@|@alabá, gaba@
@laugh@|@hari@
@laughter@|@harimento, harimentu@
@lava@|@lava@
@law@|@lei@
@lawsuit@|@proseso@
@lawyer@|@abogado@
@lay down@|@buta, pone@
@laziness@|@flohedat, flohera@
@lazy@|@floho@
@lead@|@chumbo, chumbu@
@leader@|@bòs, hefe, lider@
@leaf@|@blachi@
@leaflet@|@foyeto@
@lean@|@flako, flaku, len, lèn, stet@
@leap@|@bula, bulada, bulamento, bulamentu, salta@
@leap-year@|@aña bisiesto@
@leather@|@kuero, kueru@
@leave@|@laga, sali@
@leek@|@konofló, konoflok@
@left@|@robes@
@leg@|@pia@
@legal@|@legal@
@legend@|@leyenda@
@legible@|@lesabel@
@lemon@|@lamunchi@
@lemonade@|@limonada@
@lend@|@fia@
@lenght@|@largura@
@length@|@largura@
@lens@|@lens@
@leprosy@|@lepra@
@less@|@menos@
@lesson@|@lès@
@let@|@hür, laga@
@Let's go out@|@laga nos ban sali!@
@letter@|@karta, lèter@
@lettuce@|@salada@
@level@|@horizòntal, igual, nivel, pareu@
@lever@|@hisa, subi@
@liberal@|@liberal@
@librarian@|@bibliotekario@
@library@|@biblioteka@
@lick@|@lek@
@lie@|@gaña, mentira@
@lie encamped@|@kampa@
@life@|@bida@
@lift@|@hisa, subi@
@light@|@debil, lihé, lus, suak@
@lighthouse@|@faro@
@lightning@|@lamper, lampro@
@like@|@gusta, kon@
@like that@|@asina@
@likewise@|@tambe@
@lila@|@purple@
@limb@|@miembro@
@lime@|@kalki@
@limit@|@frontera, limite@
@line@|@fila, kareda, turno@
@lineage@|@orígen, oríhen, prosedensia@
@lineseed oil@|@linolio@
@linguistic@|@lingwístiko@
@lion@|@leon@
@lip@|@leap@
@liqueur@|@likùr@
@liquid@|@líkido@
@liquidate@|@mata@
@list@|@leishi, leshi, lista@
@listen@|@scucha@
@liter@|@liter, litro@
@literature@|@literatura@
@little@|@chikí, chikito, chikitu@
@live@|@biba@
@liver@|@higra, igra@
@living-room@|@hadrei@
@lizard@|@lagadishi@
@load@|@karga@
@loaf@|@pan@
@loan@|@fia@
@lobster@|@kref@
@local@|@lokal@
@location@|@logá@
@locust@|@dalakochi@
@lofty@|@altu, halto, haltu@
@logic@|@lógika@
@logical@|@lógiko@
@long@|@largu@
@long for@|@anhelá@
@longing@|@anhelo@
@look@|@aspekto, ata, mirada, wak, weita, weta@
@look at@|@wak, weita, weta@
@look for@|@buska, rista@
@looking-glass@|@spil@
@lord@|@kabayero, señor@
@lorry@|@camion@
@loss@|@pérdida@
@lottery@|@loteria@
@lounge@|@sal, sala@
@louse@|@pieu@
@love@|@amor, kariño, ke, kiè, kier, stimashon@
@lovely@|@agradabel, bunita, kiut, stimá@
@lover@|@amante@
@low@|@baho@
@lower part of the body@|@adbómen@
@luck@|@chèns, destino@
@luggage@|@ekipahe@
@lukewarm@|@lou, tibia@
@lunacy@|@lokura@
@lunch@|@almuerso@
@lung@|@pulmon@
@lust@|@pashon@
@luxurious@|@luhoso@
@luxury@|@lucha@
@lyceum@|@liseo@
@lyric@|@teksto@
@machine@|@mashin@
@mackerel@|@makré, makrel, mekré@
@mad@|@loko@
@Madam@|@señora@
@madness@|@lokura@
@maestro@|@maestro@
@magazine@|@korant, revista@
@magic@|@mágiko@
@magician@|@tovernar (1)@
@magnet@|@magnet@
@magnetic@|@magnétiko@
@magnetism@|@magnet, magnetismo@
@maid@|@kriá@
@mail@|@pòst@
@mainland@|@kontinente@
@maintain@|@argumentá, konservá@
@maize@|@mainshi@
@major@|@mayor@
@majority@|@mayoria@
@make love@|@kohe, koi@
@make up@|@méikep, rushi@
@make use of@|@usa, uza@
@malaria@|@malaria@
@male coock@|@kòki@
@mam@|@mai, mama@
@man@|@hèmber, hende, homber, hòmber, tripulá@
@management@|@atministrashon@
@manager@|@atministradó, direktor@
@mango@|@mango@
@mankind@|@humanidat@
@manner@|@manera, moda, modo@
@mantel@|@mantel@
@mantle@|@mantel@
@manufacture@|@fabriká@
@manure@|@mèst@
@manuscript@|@manuskripto@
@map@|@karchi, karta, mapa@
@marble@|@marmer@
@march@|@camna, cana@
@March@|@maart, mart@
@margarine@|@margarina@
@marijuana@|@mariwana@
@mark@|@marca, seña, señal@
@market@|@bazar, marshe, merkado, plasa@
@marketplace@|@marshe, plasa@
@marmelade@|@marmelade, mermelada@
@marry@|@kasa@
@Mars@|@Mars@
@martyr@|@mártir@
@mask@|@antifas, maskarada@
@mass@|@misa, monton, multitut@
@massage@|@masashi@
@massive@|@masif@
@mast@|@mast, master@
@master@|@doktorandus, maestro@
@match@|@lusafè, suafel, suaflo@
@mathematical@|@matemátiko@
@mathematician@|@matemátiko@
@mathematics@|@matemátika@
@matter@|@afèr, asuntu, kestion, kos, materia@
@mattress@|@kolchon, matras@
@mature@|@berdè, echu, hecho, hechu@
@Maundy Thursday@|@Huebes santu@
@May@|@mei@
@maybe@|@kisas, podisé, talbes@
@mayhap@|@kisas, podisé, talbes@
@me@|@mi@
@meager@|@delegá, flako, flaku, miserabel@
@meal@|@ariña, komemento, komementu, kuminda@
@mealies@|@mainshi@
@mean@|@nifiká@
@meaning@|@intenshon, nifikashon, sentido@
@meanwhile@|@den esei, mientranstantu, mientrastanto@
@measure@|@midi@
@measurement@|@midí@
@medicine@|@remedi@
@meet@|@kontra, topa@
@melody@|@melodia@
@melon@|@milon@
@member@|@miembro@
@member of parliament@|@parlamentario@
@member of the parliament@|@parlamentario@
@memory@|@memoria@
@menace@|@amenasa, menasá@
@mental@|@mental@
@menu@|@karchi, karta@
@merchant@|@komersiante, negoshante@
@mercury@|@kuek@
@merit@|@mérito@
@merry@|@alegre@
@mess@|@papa@
@message@|@mensahe@
@metal@|@metal@
@meter@|@meter, metro@
@method@|@metodo@
@metropolis@|@kapital@
@Mexican@|@mèksikano@
@Mexico@|@Mèksiko@
@microbe@|@mikrobio@
@microphone@|@mikrofon@
@microscope@|@mikroskop@
@midget@|@enano@
@midwife@|@partera, vrumun@
@mile@|@mia@
@milk@|@hala lechi, lechi@
@millimeter@|@milimeter@
@million@|@mion@
@mind@|@mente@
@mine@|@mina@
@mineral@|@mineral@
@mingle@|@meks, meskla@
@minimum@|@mínimo@
@minister@|@minister@
@minority@|@minoria@
@minute@|@minüt@
@minutes@|@protokol@
@miracle@|@milager, milagro, mirakel, miraklo@
@miraculous@|@milagroso@
@mirror@|@spil@
@miscarriage@|@aborto@
@miscarry@|@faya, frakasá@
@miserable@|@desastroso, malo, malu, miserabel, pober, tristu, tristu(1)@
@Miss@|@Jufrow, señorita, yefrou, yufrow@
@mistake@|@eror, fayo, fout, kibokashon, kibukashon@
@mister@|@señor@
@Mister@|@Mener@
@mitten@|@anskun, hanskun, wante@
@mix@|@meks, meskla@
@mobile@|@movibel@
@mockingbird@|@chuchubi@
@mode@|@manera, moda, modo@
@model@|@modelo@
@modern@|@moderno, modernu@
@mold@|@beskein, beskem@
@molecule@|@molekül@
@mom@|@mai, mama@
@moment@|@instante, momento, momentu@
@momeny@|@sèn@
@mommy@|@mai, mama@
@monastery@|@kombento, kombentu@
@Monday@|@dia luna, djaluna@
@money@|@plaka, sèn@
@monkey@|@makako, makaku@
@monster@|@mònster@
@month@|@mes@
@mood@|@humor@
@moon@|@luna@
@moped@|@bròmer@
@more@|@mas@
@morning@|@amanesé, mainta, maínta, maishi, manita@
@Moroccan@|@marokano@
@Morocco@|@Maroko@
@mortage@|@hipotek@
@mosque@|@moskei@
@mosquito@|@sangura@
@mother@|@mama@
@mother-in-law@|@suegra@
@motion picture@|@pelíkula@
@motive@|@motibu@
@motor@|@motor@
@motor road@|@outopista@
@motorcycle@|@motosaikel@
@motorist@|@outomobilista@
@motorway@|@outopista@
@mould@|@beskein, beskem@
@mountain@|@sero, seru@
@mouse@|@raton@
@moustache@|@bigoti, mustashi@
@mouth@|@boka@
@move@|@move, muf@
@movement@|@moveshon, movishon@
@movie@|@pelíkula@
@movie theater@|@cine@
@moving@|@emoshonal@
@Mrs@|@señora@
@much@|@muchu@
@mud@|@chèpèchèpè, lebelebe, lèbèlèbè, lodo, pèchèpèchè, pòchòpòchò@
@mud (1)@|@chèpèchèpè, pòchòpòchò@
@multitude@|@monton, multitut@
@mummy@|@mama@
@murder@|@asesino@
@murderer@|@asesino@
@murk@|@skuridat@
@muscle@|@múskulo@
@museum@|@museo@
@mush@|@papa@
@mushroom@|@djipopo@
@music@|@músika@
@musical@|@musikal@
@musician@|@músiko, tokadó@
@must@|@mester@
@mute@|@mudo, mudu@
@mutton@|@karni di karné@
@my@|@mi@
@my name is...@|@ami yama...@
@my phone number is...@|@mi nomber di telefon ta...@
@mythology@|@mitologia@
@nail@|@klaba, klabo, klabu, uña@
@naked@|@sunú@
@name@|@nomber, nòmber, nòmbro@
@nameless@|@anónimo@
@namesake@|@tokai@
@narrate@|@conta@
@nastay (1)@|@baho, desagradabel, mahoso, malo, malu@
@nasty@|@antipátiko, desonesto, feu, mahos@
@nation@|@nashon, pueblo@
@national@|@nashonal@
@nationality@|@nashonalidat@
@native@|@indígena, outóktono@
@natural@|@natural@
@naturally@|@naturalmente@
@naturaly@|@naturalmente@
@nature@|@karakter, naturalesa@
@nausea@|@debòr, desgusto, disgusto, disgustu@
@nauseous@|@abominabel@
@navigashon@|@nabegashon@
@navigation@|@nabegashon@
@navigator@|@navegante@
@navy@|@marina@
@ncessary@|@nodo@
@near@|@cerca@
@nearby@|@aserka@
@nearly@|@era, kasi@
@neat@|@nèt, nèta@
@necessary@|@nesesario, nodi, nodo@
@necktie@|@dashi@
@need@|@mesté, mester@
@needle@|@angua, hangua@
@needlewoman@|@kosedó, kosturerá@
@negative@|@negativo@
@negligent@|@deha@
@negro@|@neger, negro@
@neighbour@|@bisiña@
@neighbourhood@|@bario@
@neither@|@ni, ningun@
@nephew@|@sobrino, sobrinu, subrino@
@nerve@|@nervio@
@nervous@|@nervioso@
@nest@|@neishi@
@net@|@nèt, nèta@
@neutral@|@neutral@
@never@|@hamas, nunka@
@new@|@nobo@
@new clothes@|@paña nobo@
@New Year's Day@|@Día di Aña Nobo@
@news@|@nobedat, notisia@
@newspaper@|@diario, korant@
@Nicaragua@|@Nikaragua@
@Nicaraguan@|@nikaragueño@
@nice@|@agradabel, amabel, bon@
@nickel@|@nickel@
@nickname@|@beinam@
@niece@|@subrina@
@Nigeria@|@Nigeria@
@Nigerian@|@nigeriano@
@night@|@nochi@
@nightmare@|@pesadía@
@nine@|@nuebe@
@nine thousend@|@nuebe mil@
@nineteen@|@djesnuebe@
@ninety@|@nobenta@
@nip@|@aperitivo@
@nitrogen@|@nitrógeno@
@no@|@no, nò@
@no doubt@|@indudabelmente@
@nobody@|@ningun, ningun hende@
@node@|@kònòpi@
@noise@|@babel, bagamunderia, beheit, bochincha, bòmbòshi, boroto@
@noise(1)@|@bòmbòshi, desòrden@
@non attendance@|@ousensia@
@none@|@ningun@
@nonsense@|@nònsèns@
@noon@|@merdía@
@no-one@|@ningun@
@nor@|@ni@
@norm@|@norma@
@normal@|@normal@
@north@|@nòrt@
@Norway@|@Noruega@
@Norwegian@|@noruechi@
@nose@|@nanishi@
@not@|@no@
@not yet@|@ainda no@
@notary@|@notario@
@note@|@anotashon, komentario, not, nota, tíket@
@notebook@|@skref@
@noteworthy@|@notifikabel, riparabel@
@nothing@|@nada@
@notwithstanding@|@apesar@
@nought@|@sero@
@noun@|@sustantivo@
@nourishment@|@alimento@
@novel@|@nobo, novela@
@November@|@november, novèmber@
@now@|@awó, awor@
@nowadays@|@awendía, awor@
@nuclear@|@nuklear@
@nucleous@|@nukleo@
@nucleus@|@nukleo@
@nude@|@sunú@
@number@|@konta, number@
@numeral@|@number@
@nun@|@sùr@
@nurse@|@lidia, nùrs@
@nursery school@|@bewarskol@
@nut@|@nòt@
@nuts@|@loko@
@nutty@|@aromátiko@
@nylon@|@nailen@
