@English@|@Tetum@
@umbrella@|@guardaxuva, salurik, sombrelu@
@uncle@|@aman-boot, anan-ikun, tiun@
@uncle older than father@|@aman boot@
@uncle younger than father@|@aman ki'ik@
@underpants@|@kuekas@
@underside@|@iha okos@
@understand@|@rona@
@unfortunate@|@kasian@
@United Nations@|@Nasoens Unidas@
@United States@|@Estadus Unidus@
@university@|@universidade@
@unload@|@hatún nahan@
@unnecessary@|@lalkika@
@until@|@to'o@
@urinate@|@mii@
@useful@|@serve@
@usually@|@baibain@
@uterus@|@oan fatin@
@vagina@|@hu'in@
@valley@|@foho-leet, tai tetu@
@various@|@oin-oin, oioin@
@vegetable@|@modo@
@vegetable garden@|@to'os@
@vein@|@uat@
@verse in two lines@|@dadolin@
@very little@|@uit oan deit@
@village@|@knua, suku@
@vinegar@|@tua sin, tuan-siin@
@virgin@|@feto-raan, feto ran@
@visit@|@handii, vizita@
@visitor@|@vizitante@
@voice@|@lian@
@volcano@|@rai-suut, rai suut@
@vomit@|@muta@
@wages@|@kolen@
@waist@|@knotak, sintura@
@walk together@|@lao hamutuk@
@walking stick@|@ai-tonka@
@wall from outside@|@baki@
@wall of house@|@didin@
@want@|@hakarak@
@want to inform@|@hakarak fo hatene@
@war@|@funu@
@wardrobe@|@armáriu@
@warm@|@manas@
@warrior@|@asuba'in@
@wash@|@fase, fasi@
@wash clean@|@fasi mos@
@washing machine@|@mákina fase-ropa@
@wasp@|@dihi@
@watch@|@hateke@
@water@|@be, bee, ue@
@water vessel@|@kdoran@
@watermelon@|@pateka@
@wave@|@laloran, laloron@
@wax@|@lilin@
@we@|@ami, ita@
@We are going home@|@Ami fila fali ba uma@
@We are looking for an inn@|@Ami buka pousada ida@
@we ate@|@ami ha ona@
@We go overseas at seven o'clock.@|@Ami ba tasi balu iha tuku hitu@
@We have (just) arrived@|@Ami to'o ona@
@we net many fish@|@ami tiha ikan barak@
@We want to buy cigarettes.@|@Ami hakarak atu sosa sigaro@
@We want to buy some tais@|@Ami hakarak atu sosa tais balu@
@We want to buy some woven wallets@|@Ami hakarak atu sosa ti'u balu@
@We will eat pork@|@Ami bele ha na'an fahi@
@We will go tomorrow@|@Ami sei ba aban@
@We will not accept dog meat to eat@|@Ami la kohi ha na'an asu@
@We will return at two o'clock@|@Ami sei fila fali iha tuku rua@
@weak@|@fraku@
@wear@|@hatais@
@weather@|@tempu@
@weave@|@soru, souru@
@wedding@|@kazamentu, loron-kaben@
@wednesday@|@loron-kuarta, quarta@
@weed@|@hafaho@
@week@|@semana@
@weep@|@tanis@
@welcome@|@benvindu@
@west@|@loron monu, loru-monu@
@wet@|@bokon@
@wet season@|@rai-udan, tinan, udan-boot@
@wet weather@|@rai udan@
@whale@|@uud@
@what@|@sa, sá, sa ida, saida@
@what drink would you like?@|@ita hakarak hemu sa'ida?@
@What is that?@|@Buat ne'e sa?@
@What is the name of this food?@|@Hahan ne'e naran sa?@
@What is the name of this place?@|@Iha fatin ida ne'e naran sa?@
@What is the name of your village?@|@Ita nia knua naran sa?@
@what is your name?@|@ita nia naran sa?@
@What is your name?@|@Ita nia naran sa? (ita=polite), O nia naran sa? (To servants)@
@What is your wife's name?@|@Ita nia kaben naran sa?@
@What time does school begin?@|@Eskola hahu tuku hira?@
@What time does the bus arrive?@|@Bus to'o tuku hira?@
@What time does the bus leave?@|@Bus ba tuku hira?@
@What time is it?@|@Oras ne'e?, tuku hira?@
@when@|@bain hira, bainhira@
@When does the school year begin?@|@Eskola tinan hahu bain hira?, Eskola tinan hahu bain hira?@
@When will you give birth?@|@Ita fo hahouris uain hira?@
@when?@|@kuandu@
@where@|@iha ne'ebé@
@Where are you going?@|@Ita ba iha ne'e be?@
@Where do you live?@|@Ita hela iha ne'e be?, O hela iha ne'e be?@
@Where is my room?@|@hau-nia kuartu iha nebé?@
@Where is the bar?@|@bar iha nebé?@
@Where is the beacj@|@tasi-ibun iha nebé?@
@where?@|@iha he'ebé@
@which@|@ide ne'e be, ne'e be, sa ida@
@whisper@|@bisibisi@
@whistle@|@hafuik, hakfu'ik, kfui@
@white@|@mutin@
@who@|@ne'e be, sé@
@whoever@|@naran ida@
@whole@|@tomak@
@whom@|@sé@
@why@|@halonu'usá, nu'u sa, tan ba, tanbasá@
@why?@|@tansá@
@wicker@|@oe@
@wide@|@luan@
@wide asshole fag@|@panlero kidung luan@
@widow@|@feto-faluk, feto faluk@
@widower@|@mane-faluk@
@wife@|@feen, kaben@
@wife (impolite)@|@fen@
@wild@|@fuik@
@wild man@|@ema fuik@
@will walk@|@sei lao@
@Will you wash these clothes?@|@Ita bele fase rope sira ne'e?@
@win@|@manan@
@wind@|@anin, anin@
@window@|@dinela, janela@
@windpipe@|@kakorok-talin@
@wine@|@tua, tua-uvas@
@wing@|@liras@
@winnowing basket@|@lafatik@
@wire@|@kabat, kawat@
@with@|@ho, hodi@
@wither@|@namlaik@
@without@|@laek, lahó, laiha@
@witness@|@sasin, testemuña@
@wizard@|@matan-dook@
@wodowed@|@faluk@
@woman@|@feto, fetu@
@woman's bracelet@|@kelu@
@woman's dance@|@tebedai@
@woman's sarong@|@kampaña, sabulu@
@women@|@fetu sira@
@wood@|@ai@
@word@|@lia, liafuan@
@worker@|@traballadór@
@world@|@mundu-raiklaran, mundu raiklaran, rai@
@worm@|@ular@
@worm out@|@bosan@
@wound@|@hahanek, kanek@
@wring@|@hois@
@wrinkle@|@namkurut@
@wrist@|@liman-fukun@
@wristwatch@|@relójiu-liman@
@wrong@|@la los, laloos@
@yam@|@talas@
@yawm@|@maas@
@year@|@tinan@
@yellow@|@amarelu, kinu, kinu@
@yes@|@loos, sin@
@yesterday@|@horisehik, horiseik@
@you@|@o, ó@
@you (hon.)@|@ita-boot@
@you (pl)@|@imi, imi emi@
@you (polite)@|@o ita@
@you can go now@|@ita bele ba ona@
@You can stay as long as you wish@|@Ita futar bele hela nafatin@
@you fuck dog@|@o nee het asu liu pa@
@you must@|@ita tenke@
@You must close the door@|@Ita sei loke oda matan@
@you must do this work@|@o sei halo serbisu ida ne'e@
@you must not@|@ita labele@
@You must open the door@|@Ita sei loke oda matan@
@You must take this with us@|@O sei lori ida ne'e ho ami@
@you need not@|@ita lalika@
@young@|@-oan@
@young boy@|@oan mane@
@young girl@|@oan feto@
@young immature@|@nurak@
@young leaf@|@ai tahan sokat@
@younger brother@|@alin@
@younger sister@|@alin-feto, alin feto@
@your@|@ó-nia@
@your (pl)@|@imi-nia@
@your face is like a dog's pussy@|@oin hanesan asu huin@
@yours@|@imi nian, ó-nian@
@yours (pl)@|@imi-nian@
@youth@|@foin-sa'e, joven, labarik, lauarik@
@zoo@|@zoolójiku@

