@English@|@Hebrew@
@need: be in ~ of@|@nizqaq (l-)@
@Negeb@|@negev@
@neighbour@|@shakhen@
@nephew@|@ah'yan@
@net@|@reshet@
@netherlands@|@holand@
@never@|@af pa"am lo, lo af pa"am, lo me"olam, olam lo@
@nevertheless@|@bkhal zo't@
@new@|@h'adash@
@new moon@|@h'odesh@
@New Shekel@|@sheqel h'adash@
@New Zealand@|@nyu-zilend@
@news (always pl.)@|@h'adashot@
@newspaper@|@iton@
@next@|@haba'@
@next day@|@lammah'arat@
@next to@|@al yad@
@next week@|@bashavua' haba'@
@next year@|@bashana haba'a@
@nice@|@yafe@
@Nice meeting you!@|@na"im me'od@
@nice week!@|@shavua" tov!@
@niece@|@ah'yanit@
@night@|@layla@
@night: good ~ !@|@layla tov!@
@nightmare@|@balaha@
@nine (f.)@|@tesha@
@nine (m.)@|@tish"a@
@nineteen (f.)@|@tsha-esre@
@nineteen (m.)@|@tish"a-asar@
@nineth (f.)@|@tshi"it@
@nineth (m.)@|@tshi"i@
@ninety@|@tish"im@
@nitrogen@|@h'anqan@
@no@|@eyn, lo@
@noise@|@ra"ash@
@none@|@shum@
@noon@|@tsahorayim@
@north@|@tsafon@
@Norway@|@norvegya@
@nose@|@af@
@noses@|@apim@
@not@|@eyn, lo@
@not +part. (neg. part.)@|@eyn + vb.@
@not guilty@|@h'af mipesha"@
@not know@|@nikar@
@not yet@|@adayin lo, od lo@
@Notary@|@notaryon@
@notebook@|@mah'beret@
@nothing@|@lo shum davar, shum davar lo@
@November@|@november@
@now@|@akhshav, akhshayv@
@nowhere@|@beshum maqom@
@number@|@mispar@
@number (vb.)@|@paqad@
@nurse@|@ah'ot@
@nut@|@egoz@
@oak@|@alon@
@oath@|@shvu"a@
@obey@|@shama"@
@object@|@etsem, h'efets@
@obligation@|@h'oq, mishmeret@
@obstruct@|@h'asam@
@obtain@|@hissig@
@occasion@|@miqre@
@occupation@|@miqtsoa"@
@occurrence@|@miqre@
@ocean@|@oqya'nus@
@octopus@|@tmanun@
@odor@|@reyah'@
@odour@|@nihoah'@
@of@|@shel@
@of course@|@betah', bevada'i, kamuvan@
@offense@|@aon@
@offer@|@hats"a@
@offering@|@mattana, minh'a@
@office@|@misrad@
@officer (in the army)@|@qatsin@
@official@|@shar@
@oil@|@shemen@
@oil paints@|@tsiv"ey shemen@
@OK@|@tov@
@old@|@zaqen@
@old (inanimate)@|@yashan@
@old age home@|@beyt-avot@
@old: become ~@|@hizqin, zaqan@
@olive@|@zayt@
@olives@|@zeytim@
@on@|@al@
@on foot@|@bregel@
@on his own@|@begafo@
@on the road@|@baderekh@
@on the way@|@baderekh@
@once@|@pa"am, pa"am@
@once more@|@od pa"am@
@one (f.)@|@ah'at@
@one (m.)@|@eh'ad@
@one after another (f.)@|@zo ah'arey zo@
@one after another (m.)@|@ze ah'arey ze@
@one billion@|@bilyon@
@one by one (f.)@|@zo ah'arey zo@
@one by one (m.)@|@ze ah'arey ze@
@one hundred@|@me'a@
@one million@|@milyon@
@one thousand@|@elef@
@one time@|@pa"am@
@one trillion@|@trilyon@
@onion@|@batsal@
@only@|@raq@
@open (adj. & part.)@|@patuah'@
@open (vb.)@|@patah'@
@opening@|@petah'@
@operate@|@nittah'@
@opposite@|@mul, neged@
@oppression@|@mota, osheq@
@option@|@breyra@
@or@|@o@
@orally@|@al pe@
@orange (adj.)@|@katom@
@orange (n.)@|@tapuz@
@orange juice@|@mits tapuzim@
@order@|@erekh, pquda@
@organise@|@rakh@
@other@|@ah'er@
@our@|@shelanu@
@ourselves@|@atsmenu@
@out@|@bah'uts, h'uts@
@out from@|@min@
@outdoors@|@bah'uts, h'uts@
@outside@|@bah'uts, h'uts@
@oven@|@tanut@
@over@|@al@
@over: be ~@|@nigmar@
@overcast: become ~@|@hit"anen@
@oversee@|@paqad@
@owl@|@oah', yanshuf@
@owner@|@ba"al@
@ox@|@shor@
@oxygen@|@h'amtsan@
@package@|@h'avila@
@page@|@amud@
@paint@|@tsiyer@
@painter@|@tsayar@
@painting@|@tmuna@
@pair@|@zug@
@palace@|@armon, heykhal@
@palm@|@kaf, kaf-yad, kaf yad@
@panther@|@namer@
@paper@|@nyar@
@pardon!@|@slih'a@
@parents@|@horim@
@park@|@gan@
@parrot@|@tuki@
@participate@|@hishtatef (b-)@
@party@|@h'ag@
@party (political)@|@miflaga@
@pass (on)@|@masar@
@pass over@|@var@
@passenger train@|@rakevet nos"im@
@passport@|@darkon@
@past@|@avar@
@past tense@|@avar@
@pastels@|@tsiv"ey pastel@
@pasture land@|@migrash@
@patent@|@patent@
@path@|@maslul, shvil@
@patience@|@savlanut@
@pattern@|@tavnit@
@pay@|@shiqem@
@pay a ransom@|@pada@
@pay attention@|@sam lev@
@payoff@|@gemul@
@peace@|@shalom@
@peach@|@afarseq@
@peanuts@|@batnim@
@peasant@|@ikar@
@pedestal@|@eden@
@pen@|@et@
@pencil@|@iparon@
@penetrate@|@h'adad@
@peninsula@|@h'atsi i@
@people@|@am@
@people: the ~ of Israel@|@am yisra'el@
@pepper@|@pilpel@
@percent@|@ah'uz@
@perfect@|@tam, tamid@
@perform@|@bitsea"@
@perform (on stage)@|@hofia" (b-)@
@perfume@|@boshem@
@perhaps@|@ulay@
@perish@|@avad@
@permissible@|@mutar, rasha'i@
@permit@|@rishyon@
@permitted@|@mutar, rasha'i@
@persecute@|@radaf@
@person@|@ish@
@personal import@|@yevu' ishi@
@pets@|@h'ayot mah'mad@
@phenomenom@|@h'izzayon@
@phone@|@telefon@
@physician@|@rofe@
@physics@|@fiziqa@
@pick@|@bah'ar (b-)@
@picture@|@tmuna@
@piece@|@h'atika@
@piece of furniture@|@rah'it@
@pig@|@h'azir@
@pigeon@|@yona@
@piggy@|@h'azarzir@
@pillage (vb.)@|@bazaz, bizza@
@pillar@|@amud@
@pine@|@oren@
@pink@|@varod@
@pioneer@|@h'aluts@
@pious (man)@|@tsadiq@
@Pisces (astr.)@|@mazzal-dagim@
@pistol@|@eqdah'@
@pit@|@bor@
@pitcher@|@kad@
@pity (vb.)@|@h'amal@
@place@|@atar, makhon, shit@
@place (n.)@|@maqom@
@plague@|@magefa, nega"@
@plaintiff@|@tovea"@
@plan (n.)@|@tokhnit@
@plane@|@matos@
@planet@|@planeta@
@plant@|@tsemah'@
@plate@|@tsallah'at@
@play (vb.)@|@shih'eq@
@play (vb.)(theat.)@|@sah'aq@
@player (f.)@|@shah'qanit@
@player (m.)@|@shah'qan@
@plead@|@hith'anen@
@pleasant@|@na"im@
@pleasant: be ~@|@na"am@
@please@|@ana, bevaqasha, na@
@please!@|@bevakasha!@
@pleasurable@|@h'afets@
@pleasure@|@h'afets@
@plot of land@|@h'elqa@
@plunder (vb.)@|@bazaz, bizza@
@pocket@|@kis@
@poem@|@shir@
@poet@|@mishorer@
@poetess@|@mishoreret@
@poetry@|@shira@
@point@|@niquda@
@Poland@|@polin@
@police@|@mishtara@
@policeman@|@shoter@
@Polish (language)@|@polanit@
@politician@|@politiqa'i@
@politics@|@politiqa@
@pollute@|@h'ilel@
@pool@|@brekha@
@poor@|@ani@
@porcupine@|@darban@
@portion@|@h'eleq, mana@
@Portuguese (language)@|@portugezit@
@position@|@matsav@
@possess@|@nah'al@
@possession@|@ah'uzza, nah'ala, yerusha@
@possessor@|@ba"al@
@possible@|@efshar@
@possible: it is ~@|@efshar@
@post@|@do'ar@
@post)@|@mikhtav@
@postmark@|@h'otemet-do'ar@
@potato@|@tapuah' adama@
@potter@|@yotser@
@power@|@koah@
@practice (n.)@|@imon@
@praise@|@hilel@
@pray@|@hitpalel@
@prayer@|@tfila@
@precious stone@|@even yeqara@
@prefer@|@he"edif@
@pregnant@|@hara@
@prepare@|@hekhin@
@prepared@|@mukhan@
@present@|@hove@
@present (gift)@|@matana@
@present tense@|@hove@
@president@|@nashi@
@prevail@|@nitsah'@
@price@|@meh'ir@
@priest@|@koh'en@
@prince@|@bet hamelekh, nashi@
@principal (f.)@|@menahelet@
@principal (m.)@|@menahel@
@prison@|@beyt-hakele@
@prisoner@|@assir@
@privilege@|@zkhut@
@probation@|@mivh'an@
@problem@|@be"aya, targil@
@profane (vb.)@|@h'ilel@
@profession@|@miqtsoa"@
@professor@|@profesor@
@profit@|@itron@
@program (n.)@|@tokhnit@
@proper@|@kosher@
@property@|@ah'uzza, nah'ala@
@property tax@|@arnona@
@prophecy@|@h'azon@
@prophesize@|@hitnabe', niba'@
@prophet@|@navi@
@proposal@|@hats"a@
@prosecutor@|@qateygor@
@prosper@|@tsalah'@
@prosperity@|@shalom@
@prostitute oneself@|@zana@
@protector@|@mah'se@
@protein@|@h'elbon@
@prove@|@hikhiah'@
@prudence@|@sekel@
@psalm@|@mizmor@
@psychology@|@psikhologya@
@public defender@|@saneygor tsiburi@
@pull@|@mashakh@
@puppy@|@klavlav@
@purchase (n.)@|@qniya@
@purge@|@tiher@
@purify@|@tiher@
@purple@|@argaman, sagol@
@put@|@shit@
@put down@|@heniah'@
@put in@|@hikhnis@
@put on@|@lavesh@
@put on (clothes)@|@lavash@
@put on (glasses)@|@hirkiv@
@put on (hat / wig / skullcap)@|@h'avash@
@put on (shoes / sandals / boots)@|@na"al@
@put on (socks)@|@garav@
@put on a belt@|@h'agar@
@put on a sword@|@h'agar@
@puzzle@|@h'idon@
@quarter (f.)@|@rvi"it@
@quarter (m.)@|@reva"@
@quarter: a ~ to (time)@|@reva" l-@
@queen@|@malka@
@question (n.)@|@she'ela@
@question mark@|@ha'im@
@question words@|@milot-she'ela@
@quickly@|@maher@
@quiet@|@menuh'a@
@quiet (n.)@|@sheqet@
@quiet: become ~@|@shaqat@
@quietly@|@bsheqet@
@quietness@|@menuh'a@
@quiz@|@beh'ina, h'idon, mivh'an@
@rabbi@|@rabi@
@rabbit@|@arnavon@
@raccon@|@raqun@
@radio@|@radio@
@rage@|@qetsef@
@rain (n.)@|@geshem@
@rainbow@|@qeshet be"anan@
@raindrop@|@tipat geshem@
@rainy@|@gashum@
@ram: young ~@|@kavas@
@rank (in the army or police)@|@darga@
@ransom@|@kipur, kofer@
@rape@|@ones@
@rat@|@h'ulda@
@reach@|@hissig@
@read@|@qara'@
@reading@|@miqra@
@ready@|@mukhan@
@really@|@be'emet@
@reason (n.)@|@siba@
@rebellion@|@pesha"@
@receive@|@nah'al, qibel@
@recognise@|@hikir@
@recovery (from illness)@|@ah'lama@
@red@|@adom@
@reddish@|@adamdam@
@redeem@|@ga'al, pada@
@redemption@|@ge'ula@
@reduce@|@qitsets@
@referee@|@shofet@
@refine metal@|@tsaraf@
@refrigerator@|@maqrer@
@refuge@|@mah'se@
@region@|@mah'oz@
@registrar@|@rasham@
@registrar of companies@|@rasham h'evrot@
@registrar of trademarks@|@rasham patentim@
@registration certif.@|@te"udat bagrut@
@regret@|@hitsta"er (al), nih'am@
@regret: I ~@|@ani mitsta"er / mitsta"eret@
@regular@|@ragil@
@reign@|@malakh, malkut@
@rejoice@|@gil, samah'@
@religion@|@dat@
@religious@|@dati@
@remain@|@hish'ir, nish'ar, notar@
@remain silent@|@heh'erish@
@remainder@|@edut, she'erit, yeter@
@remember@|@zakhar@
@remembrance@|@zekher@
@remove@|@hesir, hirh'iq@
@rent (for apartment)@|@skhar dira@
@repair (n.)@|@tiqon@
@repay@|@gamal, shiqem@
@repent@|@nih'am@
@replace@|@hitstin@
@reply (vb.)@|@na@
@reporter@|@itona'i@
@repreentative@|@natsig@
@repremation@|@mosar@
@represent@|@yitseg@
@reproof@|@mosar@
@reprove@|@hikhiah'@
@request@|@biqqesh@
@request (n.)@|@she'ela@
@resemble@|@dama (l-)@
@resembling@|@dome@
@reserves (military)@|@milu'im@
@reside@|@gar, hitgorer@
@resident@|@toshav@
@respect (n.)@|@kavod@
@rest (n.)@|@menuh'a@
@rest (vb.)@|@nuah', shavat@
@restaurant@|@mis"ada@
@restrain@|@tsar@
@retirement home@|@beyt-avot@
@return (vb.)@|@h'azar, shav@
@reveal@|@gilla@
@revenge (n.)@|@niqama@
@revenge (vb. + n.)@|@naqam@
@revolver@|@eqdah'@
@reward@|@gemul@
@reward (vb.)@|@gamal@
@rhinoceros@|@qarnaf@
@ribbon@|@seret@
@rice@|@orez@
@rich@|@ashir@
@rid: be ~ of@|@niftar mi-@
@riddle@|@h'ida@
@ride (vb.)@|@rakhav@
@right@|@ken, yashar, zkhut@
@right: be ~@|@tsadaq@
@righteous (man)@|@tsadiq@
@righteousness@|@tsdaqa, tsedeq@
@rights@|@zkhuyot@
@rinse@|@shataf@
@rip@|@qara"@
@rise@|@qam@
@rise early@|@hishkim@
@ritual purification@|@mahara@
@ritually fit@|@kosher@
@river@|@nahar, ye'or@
@road@|@derekh@
@roast (vb.)@|@tsala@
@robber@|@shoded@
@robbery@|@shod@
@rock@|@even, sela"@
@Romanian  (language)@|@romanit@
@room@|@h'eder@
@rooster@|@tarnegol@
@root@|@shoresh@
@rope@|@h'evel@
@rouge@|@odem@
@route@|@maslul@
@row@|@shura@
@royalty@|@mlukha@
@ruin@|@haras, hishh'it, meh'ita, shadad, shih'et@
@rule@|@klal@
@run@|@rats@
@run wild@|@hishtolel@
@Russian (language)@|@rusit@
@Sabbath@|@shabbat@
@Sabbath eve@|@erev shabbat@
@sad@|@atsuv@
@safety@|@bitah'on, bith'a@
@Saggitarius (astr.)@|@mazzal-qashat@
@salad@|@salat@
@sale@|@mimkar@
@salesman@|@ish-mekhirot@
@saleswoman@|@eshet-mekhirot@
@salt@|@melah'@
@salted@|@maluah'@
@salty@|@maluah'@
@salvation@|@ge'ula@
@Samaria@|@shomron@
@sanctified@|@qidesh@
@sanctuary@|@miqdash@
@sand@|@h'ul@
@sandal@|@sandal@
@sandwich@|@sendvits@
@Satan@|@satan@
@satisfied@|@savea"@
@satisfy@|@hishvia"@
@Saturday@|@yom shabbat@
@saucer@|@tsallah'at@
@Saudi Arabia@|@arav hassa"udit@
@save@|@ga'al, hitsil, malat@
@saved: be ~@|@nosha"@
@say@|@amar@
@scenery@|@nof@
@scholar@|@talmid h'akham@
@school@|@beyt-sefer@
@schools@|@batey-sefer@
@scientist@|@mad'an@
@scissors@|@misparayim (dual only)@
@scold@|@hikhiah'@
@Scorpio (astr.)@|@mazzal-aqrav@
@scream (vb.)@|@tsa"aq@
@scribe@|@sofer@
@sculptor@|@passal@
@sculpture@|@pesel@
@sea@|@yam@
@seal (n.) (animal)@|@kelev yam@
@search warrent@|@tsav-h'ipus@
@season@|@ona@
@seat@|@maqom, moshav@
@second (f.)@|@shenit, shniya@
@second (m.)@|@sheni@
@second (n.)@|@rega", shniya@
@secret@|@seter@
@secretary (f.)@|@mazkira@
@secretary (m.)@|@mazkir@
@secretely@|@bamistarim@
@secular@|@h'iloni@
@security@|@betah'@
@see@|@haza, ra'a@
@see someone@|@hitra'a (im)@
@see you!@|@lehitra'ot!@
@seed@|@zera"@
@seek@|@biqqesh, darash@
@seize@|@heh'eziq, tafas@
@sell@|@makhar@
@semester@|@smester@
@send@|@shalah'@
@send away@|@shalah'@
@sentence@|@mishpat@
@sentimentality@|@ragshanut@
@September@|@september@
@servant@|@eved@
@serve@|@sheret@
@serve as@|@shimmesh@
@service@|@avoda, mishmeret@
@set fire to@|@hidliq@
@set up@|@hitsiv@
@settle down@|@nuah'@
@seven (f.)@|@sheva"@
@seven (m.)@|@shiv"a@
@seventeen (f.)@|@shva-esre@
@seventeen (m.)@|@shiv"a-asar@
@seventh (f.)@|@shiv"it@
@seventh (m.)@|@shvi"i@
@seventy@|@shiv"im@
@several (f.)@|@ah'adot@
@several (m.)@|@ah'adim@
@shade (for windows or lamps)@|@tselon@
@shadow@|@tsel@
@shake@|@ra"ash@
@shake oneself free from@|@hitna"er (mi-)@
@shape (n.)@|@dimut@
@share@|@h'eleq, mana@
@shark@|@karish@
@shatter@|@natats@
@she@|@hi@
@sheep@|@keves@
@Shekel (Israeli currency unit - NIS)@|@sheqel@
@shelter@|@mah'se@
@shepherd@|@ro"e@
@she-wolf@|@ze'eva@
@shield@|@magen@
@Shield of David@|@magen david@
@ship@|@anya, oniya, sfina@
@shipment@|@mishloah', mit"an@
@shipping@|@hovala@
@shirt@|@h'ultsa@
@shoe@|@na"al@
@shoot (vb.)@|@yara@
@shop@|@h'annut@
@shopping bag@|@saqit@
@short@|@namukh, qatsar@
@shortly@|@beqarov@
@shorts@|@mikhnesey-boqser@
@should@|@tsarikh@
@shoulder@|@kataf, sheqem@
@shout@|@heriya" (l-), tru"a@
@shout (vb.)@|@tsa"aq@
@show (vb.)@|@gilla@
@show compassion@|@h'amal@
@show mercy@|@h'anan@
@shower@|@miqlah'at@
@shower booth@|@miqlah'on@
@shut (vb.)@|@sagar@
@sick@|@h'ule@
@sick fund@|@qupat h'olim@
@sick: be ~@|@h'ala@
@sickness@|@h'ali@
@side@|@pe'a, tsad@
@sidewalk@|@midrakha@
@siege@|@matsor@
@sight@|@anah'a, mar'e@
@sign@|@ot@
@silence@|@sheqet@
@silently@|@bsheqet@
@silicon@|@tsoran@
@silver@|@kesef@
@similar@|@dome@
@simple@|@pashut@
@simply@|@pashut@
@sing@|@ranan, shar@
@sing (vb.)@|@zimmer@
@sing with musical accompaniament@|@zimmer@
@singer@|@shar@
@singing@|@shira@
@singular@|@yah'id@
@Sir@|@adon@
@sister@|@ah'ot@
@sit@|@yashav@
@sit down@|@yashav@
@site@|@atar@
@situation@|@matsav@
@six (f.)@|@shesh@
@six (m.)@|@shisha@
@sixteen (f.)@|@shesh-esre@
@sixteen (m.)@|@shisha-asar@
@sixth (f.)@|@shishit@
@sixth (m.)@|@shishi@
@sixty@|@shishim@
@skin@|@or@
@skirt@|@h'atsa'it@
@skunk@|@tsah'anan@
@sky@|@shamayim, shamayim (pl.)@
@slang@|@sleng@
@slaughter@|@shah'at, zavah'@
@slave@|@eved@
@sleep@|@yashan@
@sleeve@|@sharvul@
@slice@|@pelah'@
@slowly@|@le'at@
@small@|@qatan@
@smart@|@h'akham@
@smelt@|@tsaraf, tsiref@
@smile (vb.)@|@sah'aq@
@smite@|@naga", nagaf@
@snail@|@h'illazon@
@snake@|@nah'ash@
@sneakers@|@na"aley-hit"amlut@
@snow@|@sheleg@
@snowman@|@ish sheleg@
@so@|@az, ken@
@so be it@|@amen@
@so that@|@lema"an@
@so that not@|@pen@
@sociology@|@sotsyologiya@
@sock@|@gerev@
@socket@|@eden@
@soil@|@adama@
@sojourn@|@gur@
@sojourner@|@toshav@
@soldier (f.)@|@h'ayelet@
@soldier (m.)@|@h'ayal@
@some time@|@zman-ma@
@somebody@|@mishehu@
@someone@|@mishehu@
@something@|@mashehu@
@sometimes@|@lif"amim@
@son@|@ben@
@song@|@shir@
@son-in-law@|@h'atan@
@sons@|@banim@
@soon@|@beqarov@
@sorry: be ~@|@hitsta"er (al)@
@sorry: I'm ~@|@slih'a al hahafra"a!@
@sound@|@qol@
@sound (adj.)@|@shalem@
@soup@|@maraq@
@source of light@|@ma'or@
@south@|@darom, negev@
@South Africa@|@drom-afriqa@
@sovereignty@|@mamlakha, ribonut@
@sow@|@zara"@
@space@|@h'alal@
@space shuttle@|@ma"boret-h'alal@
@space station@|@tah'anat h'alal@
@Spain@|@sfarad@
@Spanish (language)@|@sfaradit@
@spare (vb.)@|@h'amal@
@speak@|@diber@
@special@|@meyuh'ad@
@spend the night@|@lin@
@spend time@|@bila@
@spices@|@besamim@
@spinach@|@tered@
@sping (vb.)@|@qafats@
@spirit@|@ruah'@
@splendid!@|@yofi!@
@splendor@|@hod@
@splendour@|@yofi@
@split@|@baqa"@
@spoil@|@haras, hishh'it, shadad, shih'et@
@spoiled: be@|@nishh'at@
@spring@|@aviv@
@spring (of water)@|@ma"iyan@
@squirrel@|@sna'i@
@stable (for horses)@|@urva@
@stadium@|@itstadyion@
@stage@|@massa@
@stair@|@ma"ala@
@staircase@|@ma"ala@
@stamp@|@bul@
@stand@|@mikhona@
@stand firmly@|@hityatsev@
@stand up@|@qam@
@stange@|@zar@
@Star of David@|@magen david@
@start@|@hith'il (l-)@
@start (vb.)@|@hith'il@
@startle@|@heh'erid@
@starvation@|@ra"av@
@state@|@matsav@
@state (political)@|@medina@
@State of Israel@|@medinat yisra'el@
@station@|@tah'ana@
@statue@|@pesel@
@statue of an idol@|@pesel@
@statute@|@h'uqa@
@steel@|@matekhet@
@step@|@ma"ala@
@step-father@|@av h'odeg@
@steppe@|@midbar@
@still@|@adayin@
@still; yet@|@od@
@stomach@|@beten@
@stone@|@even@
@stoop@|@hitkofef@
@stop@|@tah'ana@
@stop (vb. trans.)@|@tsar@
@storage@|@ih'sun@
@store@|@h'annut@
@storm@|@se"ara@
@story@|@sipur@
@straight@|@yashar@
@straighten (up or out)@|@zaqaf@
@stranger; foreigner@|@ger, zar@
@street@|@reh'ov@
@strength@|@gvura, koah', oz@
@stretch out@|@shalah'@
@strict: be ~@|@hiqpid (al)@
@strife@|@riv@
@strike with plague@|@nagaf@
@strip@|@pashat@
@stripe@|@pas@
@strive@|@h'atar, kiven, sha'af@
@stroke@|@nega"@
@strong@|@h'azaq@
@strong: be ~@|@amets@
@structure@|@mivne@
@student@|@student@
@student (f.)@|@talmida@
@student (m.)@|@talmid@
@study (vb.)@|@lamad@
@subject@|@nose, noshe'@
@submarine@|@tsolelet@
@subway (train)@|@rakevet tah'tit@
@succeed@|@tsalah'@
@success@|@tova@
@such (f. sg.)@|@kazo't@
@such (m. & f. pl.)@|@ka'ele@
@such (m. sg.)@|@kaze@
@suckle@|@heyniq@
@suddenly@|@pit'om@
@suffer@|@saval@
@sufficient@|@maspiq@
@sufficiently@|@maspiq@
@sugar@|@sukar@
@suggestion@|@hats"a@
@summer@|@qayits@
@summon (a meeting)@|@hiqhil@
@sun@|@shemesh@
@Sunday@|@yom rishon@
@sunglasses@|@mishqefey-shemesh@
@supermarket@|@supermarqet@
@support (vb.)@|@samah'@
@supreme court@|@beyt-mishpat ha"elyon@
@sure@|@batuah'@
@surely@|@betah'@
@surround@|@savav@
@surrounding@|@saviv@
@swamp@|@bitsa@
@swan@|@barbul, barbur@
@swear@|@nishva"@
@sweater@|@sveder@
@Sweden@|@svedya@
@Swedish (language)@|@shvedit@
@sweetness@|@nihoah'@
@Switzerland@|@shvayts@
@sword@|@h'erev@
@symbol@|@semel@
@synagogue@|@beyt-kneset@
@synagogues@|@batey-kneset@
@syringe@|@mazreq@
@system@|@ma"arekhet@
@tabernacle@|@mishkan@
@table@|@shulh'an@
@tablespoon@|@kaf@
@tailor@|@tofer@
@tailoress@|@toferet@
@take@|@laqah'@
@take a bath@|@hitrah'ets@
@take a shower@|@hitqaleah'@
@take a trip@|@tiyel@
@take an oath@|@nishva"@
@take away captive@|@shava@
@take in@|@qalat, safag@
@take off clothes@|@pashat@
@take off shoe@|@h'alats@
@take one's stand@|@nitsav@
@take part@|@hishtatef (b-)@
@take possession of@|@iarash@
@take time@|@arakh@
@tall@|@gadol, gavoah'@
@tasty@|@ta"im@
@Taurus (astr.)@|@mazzal-shor@
@tax: income ~@|@mas hakhnasa@
@tax: property ~@|@arnona@
@taxi@|@monit@
@taxicab@|@monit@
@tea@|@te@
@teach@|@limed@
@teacher (f.)@|@mora@
@teacher (m.)@|@more@
@teaching@|@leqah', tora@
@team@|@qvutsa@
@tear (vb.)@|@qara"@
@teaspoon@|@kafit@
@teenager@|@na"arha@
@teeth@|@shinayim@
@telegram@|@mivraq@
@telephone@|@telefon@
@telescope@|@telesqop@
@television@|@televizya@
@tell@|@higid, siper@
@tell lies@|@shiqer@
@temble@|@h'arad@
@temperature@|@h'om@
@temple@|@heykhal@
@ten (f.)@|@eser@
@ten (m.)@|@asara@
@ten thousand@|@aseret alafim@
@tend@|@nata@
@tennis shoes@|@na"aley-hit"amlut@
@tense@|@zman@
@tent@|@ohel@
@tenth (f.)@|@asirit@
@tenth (m.)@|@asiri@
@terrible@|@nora'@
@terrified: be ~@|@h'atat@
@terrify@|@heh'erid@
@test@|@beh'ina, mivh'an@
@test (vb.)@|@bah'an, nissa, tsaraf@
@testimony@|@edut@
@thank@|@toda, toda b-@
@Thank God!@|@toda la'el!@
@Thank you very much! Thanks a lot!@|@toda raba!@
@thank you!@|@toda!@
@thanks@|@toda@
@that@|@asher, ki, she-@
@that (conj.)@|@she@
@that (f.)@|@hi@
@that (m.)@|@hu@
@the@|@ha-@
@the coming@|@haba'@
@the day before yesterday@|@shilshom@
@the following@|@haba'@
@the human body@|@guf ha'adam@
@the most@|@beyoter, haki@
@the New Shekel@|@sheqel h'adash@
@the next@|@haba'@
@the next day@|@lammah'arat@
@the people of Israel@|@am yisra'el@
@the Vatican@|@vatiqan@
@the whole day@|@kol hayom@
@their (f.)@|@shelahen@
@their (m.)@|@shelahem@
@theme@|@nose@
@themselves (fem.)@|@atsman@
@themselves (masc.)@|@atsmam@
@then@|@az@
@there@|@sham@
@there are@|@yesh@
@there are not@|@eyn@
@there is@|@yesh@
@there is no more@|@eyn od@
@there is not@|@eyn@
@therefore@|@al ken, az, lakhen@
@these@|@elle@
@these are@|@elle@
@they (f.)@|@hen@
@they (m.)@|@hem@
@thing@|@davar, etsem@
@think@|@h'ashav@
@third (f.)@|@shlishit@
@third (m.)@|@shlishi@
@thirst@|@tsama@
@thirsty@|@tsame'@
@thirsty: be@|@tsame'@
@thirteen (f.)@|@shalosh-esre@
@thirteen (m.)@|@shlosha-asar@
@thirty@|@shloshim@
@this (f.)@|@zo't@
@this (m.)@|@ze@
@this is (f.)@|@zo't@
@this is (m.)@|@ze@
@those (f.)@|@hen@
@those (m.)@|@hem@
@thousand@|@elef@
@three (f.)@|@shalosh@
@three (m.)@|@shlosha@
@throat@|@garon@
@through@|@derekh@
@throw@|@hishlikh, zaraq@
@throw (vb.)@|@yara@
@throw light on@|@he'ir@
@thunder@|@ra"am@
@Thursday@|@yom h'amishi@
@thus@|@az, ken@
@ticket@|@kartis@
@tie@|@qesher@
@tie together@|@qashar@
@tiger@|@tigris@
@time@|@et, sha"a, zman@
@time: what ~ is it?@|@ma hasha"a?@
@tin@|@bedil@
@tired@|@ayf@
@to correspond@|@hitkatev@
@to her@|@la@
@to him@|@lo@
@to me@|@li@
@to them (f.)@|@lahen@
@to them (m.)@|@lahem@
@to us@|@lanu@
@to whom?@|@lemi?@
@to you (f. pl.)@|@lakhen@
@to you (f. sg.)@|@lekh@
@to you (m. pl.)@|@lakhem@
@to you (m. sg.)@|@lekha@
@toast@|@tost@
@today@|@hayom@
@toe@|@bohen, etsba"@
@together@|@yah'ad@
@tolerate@|@saval@
@tomato@|@agvaniya@
@tomb@|@qever@
@tombstone@|@matseva@
@tomorrow@|@mah'ar@
@too@|@gam@
@tooth@|@shen@
@topic@|@nose, noshe'@
@torment@|@ina@
@tornado@|@tornado@
@torture@|@ina@
@totality@|@kol@
@touch@|@naga"@
@tourist (f.)@|@tayeret@
@tourist (m.)@|@tayar@
@tower@|@migdal@
@town@|@ir@
@towns@|@arim@
@trademark@|@siman-mish'ar@
@traditional@|@masorti@
@train@|@rakevet@
@trainer@|@me'amen@
@transfer@|@masar@
@transgress@|@var@
@translate@|@tirgam@
@translation (process)@|@tirgum@
@translation (result)@|@targum@
@transmit@|@masar@
@trap (vb.)@|@lakhad@
@travel@|@nasa"@
@travel (n.)@|@nesi'a@
@treasure@|@otsar@
@tree@|@ets@
@trial@|@mishpat@
@tribal chief@|@alluf@
@tribe@|@matte@
@tribute@|@truma@
@trillion@|@trilyon@
@trip@|@nesi'a@
@triumph over@|@gil@
@trouble@|@aven, tsara@
@trousers (dual)@|@mikhnasayim@
@trousers (pl.)@|@miknesim@
@truck@|@masa'it@
@true (be)@|@nakhon@
@trully@|@be'emet@
@truly@|@amna@
@trust@|@betah'@
@truth@|@amet, emet@
