@English@|@Estonian@
@incontrovertible@|@ümberlükkamatu@
@incontrovertibleness@|@vastuvaidlematus@
@inconvenience@|@ebamugavus, tülin ; tüli tegema@
@inconvenient@|@ebamugav, ebasobiv, tülikas@
@inconveniently@|@ebamugavalt, ebasobivalt@
@inconvertibility@|@konverteerimatus@
@inconvertible@|@mittekonverteeritav (valuuta), muutmatu@
@incoordination@|@koordineerimatus (liigutuste, kõne)@
@incorporate@|@hõlmama, sisaldama, ühendama ; ühendatud@
@incorporated@|@aktsiaseltsiks ühinenud, AS, osa moodustav@
@incorporation@|@(endasse) ühendamine, koosseisu lülitamine@
@incorporative@|@endaga ühendav, inkorporeeriv@
@incorporator@|@(firma) asutaja@
@incorporeality@|@kehatus, mittemateriaalsus@
@incorrect@|@ebaõige, väär@
@incorrectly@|@vääralt@
@incorrectness@|@sündmatus, vigasus@
@incorrigible@|@korrigeerimatu, parandamatu@
@incorrodible@|@korrosioonikindel@
@incorrupt@|@korruptsioonist puutumatu@
@incorruptibility@|@äraostmatus@
@incorruptible@|@äraostmatu@
@increase@|@juurdekasv ; kasvama, suurenemine@
@increase of temperature@|@temperatuuri tõus@
@increase the chances@|@ansse tõstma@
@increased@|@kasvanud, suurendatud@
@increasing@|@kasvav, suurenev@
@increasingly@|@aina enam, kasvavalt@
@incredibility@|@ebaveenvus, usutamatus@
@incredible@|@uskumatu, usutamatu@
@incredibly@|@uskumatult@
@incredulity@|@umbusk@
@incredulous@|@umbusklik@
@incredulously@|@uskmatult@
@increment@|@inkrement, juurdekasv, samm@
@incremental@|@kuhjuv, lisanduv@
@increscent@|@kasvav (Kuu)@
@incriminate@|@inkrimineerima@
@incriminating@|@süüd omistav@
@incriminating evidence@|@süütõend@
@incrimination@|@süüdistamine@
@incrust@|@inkrusteerima, katlakiviga kattuma@
@incrustation@|@inkrustatsioon, koorikuga kattumine, kõva kattekiht@
@incubate@|@hauduma@
@incubation@|@haudumine, inkubatsioon@
@incubation period@|@(haiguse) peiteaeg@
@incubator@|@inkubaator@
@incubus@|@incubus@
@inculcate@|@juurutama, sisendama@
@inculcation@|@juurutamine, pidev kordamine@
@inculpable@|@süüst puhas@
@inculpableness@|@puhtus, süütus@
@inculpatory@|@süüdistav@
@incumbency@|@amet, ametiaeg, ametikoht@
@incumbent@|@ametisolev ; ametikoha täitja, lasuv@
@incumbent on@|@(kellegi) kohus@
@incumbent upon@|@(kellegi) kohustus@
@incumbrance@|@segav asjaolu, tõkend@
@incunabula@|@inkunaablid@
@incunabulum@|@hälltrükis, inkunaabel@
@incur@|@esile kutsuma, kaasa tooma, kandma, sattuma@
@incur a responsibility@|@kohustuma, kohustust kaasa tooma@
@incur costs@|@kulusid kandma@
@incur danger@|@ohtu sattuma, ohtu seadma@
@incur disgrace@|@häbisse sattuma@
@incur expenses@|@rahalisi väljaminekuid tegema@
@incur loss@|@kaotust kandma@
@incurability@|@ravimatus@
@incurable@|@ravimatu ; ravimatu haige@
@incurably@|@parandamatult, ravimatult@
@incurious@|@huvitumatu@
@incuriously@|@huvitult@
@incuriousness@|@huvipuudus@
@incurrence@|@kaelatõmbamine, võtmine@
@incurring@|@võtmine@
@incursion@|@rünnak, sissetung@
@incursive@|@invasiooni, ründav@
@incurvate@|@sissepoole kaardu@
@Ind@|@Ind (= Indiana)@
@indagate@|@(millessegi) süvenema, uurima, üle vaatama@
@indebted@|@võlgades olev, võlgu@
@indebted to@|@tänu võlgu@
@indebtedness@|@tänuvõlg, võlgnevus@
@indecency@|@sündsusetus@
@indecent@|@ebasünnis, vääritu@
@indecent assault@|@ahistamine@
@indecent exposure@|@enesepaljastamine, liputamine@
@indecently@|@sündsusetult@
@indecipherable@|@seletamatu@
@indecision@|@otsustamatus@
@indecisive@|@otsustusvõimetu, väheresoluutne@
@indecisively@|@kõhklevalt, puiklevalt@
@indeclinable@|@käändumatu@
@indeclinable adjective@|@käändumatu omadussõna@
@indecorous@|@ebasünnis@
@indecorum@|@inetus@
@indeed@|@tõepoolest, tõesti@
@indefeasible@|@tühistamatu, võõrandamatu@
@indefensible@|@kaitsetu, kaitstamatu@
@indefinite@|@määramatu, umbmäärane@
@indefinite pronoun@|@indefiniitpronoomen, umbmäärane asesõna@
@indefinitely@|@määramatult@
@indefiniteness@|@indefiniitsus, määramatus, tundmatus@
@indehiscent@|@avanematu@
@indelible pencil@|@keemiline pliiats@
@indelicacy@|@ebadelikaatsus@
@indelicate@|@ebadelikaatne, sündsusetu@
@indemnification@|@hüvitis, kahjutasu@
@indemnify@|@hüvitama, kahjutasu maksma, kindlustama@
@indemnity@|@kahjukindlustus, kahjutasu@
@indent@|@süvend, taane ; sisse suruma@
@indentation@|@lohk, sälk, taandrida, taane@
@indented@|@lohkus, sisse surutud, süvendatud, taandega@
@indenture@|@(dokumendi) dublikaat, teenistusleping@
@indentured@|@lepingu alusel töötav, lepinguline@
@independence@|@iseseisvus, sõltumatus@
@Independence Day@|@4. juuli), iseseisvuspäev (Am@
@independent@|@iseseisev, sõltumatu@
@independent of your will@|@tahtest sõltumatult@
@independent variable@|@sõltumatu muutuja@
@independently@|@sõltumatult@
@in-depth@|@põhjalik@
@indescribable@|@kirjeldamatu@
@indestructible@|@hävimatu@
@indeterminacy@|@määramatus@
@indeterminate@|@ebamäärane, määramatu@
@indeterminately@|@määramatult@
@indevirginate@|@rikkumata süütusega@
@index@|@indeks, register, sisujuht, viit@
@index card@|@kartoteegikaart@
@index finger@|@nimetissõrm@
@index hand@|@osuti@
@Index Librorum Prohibitorum@|@keelatud raamatute nimekiri@
@index pin@|@seadetihvt@
@indexation@|@indekseerimine@
@indexed@|@indekseeritud@
@indexical@|@indeksikaal@
@indexing@|@indekseerimine@
@India@|@India@
@india ink@|@tu@
@India ink@|@tu@
@Indian@|@India ; indiaanlane, indiaani, indialane@
@Indian agency@|@Indiaani amet (Am, valitsusasutus)@
@Indian club@|@kurikas (iluvõimlemises)@
@Indian corn@|@mais, viski@
@Indian cress@|@mungalill@
@Indian file@|@hanerivi@
@indian ink@|@tu@
@Indian ink@|@tu@
@Indian Ocean@|@India ookean@
@Indian summer@|@vananaistesuvi@
@Indian turnip@|@tulivõhk (Arisaema triphyllum)@
@Indian yellow@|@india kollane (värvaine)@
@Indianan@|@indianalane@
@Indianian@|@indianalane@
@india-rubber@|@kautuk@
@indicate@|@(suunda) näitama, osutama@
@indicated@|@instrumentaal-, näidatud@
@indicating@|@näidates, osutades@
@indication@|@ilming, märk, näidustus, näit, näitamine@
@indicative@|@kindel (kõneviis), osundav@
@indicative mood@|@indikatiiv, kindel kõneviis@
@indicator@|@indikaator, näidik, näitaja@
@indicator card@|@indikaatordiagramm@
@indicator diagram@|@indikaatordiagramm@
@indicator lamp@|@signaallamp@
@indicatrix@|@indikatriss@
@indicia@|@impressum, kirjastuse andmed, trükimärk, täht@
@indict@|@süüdistama@
@indictable@|@karistatav, süüks pandav@
@indifference@|@ükskõiksus@
@indifferently@|@ükskõikselt@
@indigence@|@laostumine@
@indigene@|@loom, pärismaalane), põliselanik (taim, põlisvorm@
@indigenous@|@kohalik, pärismaine, põline, põlis-@
@indigenous language@|@põliskeel@
@indigent@|@ülivaene ; puudustkannataja@
@indigestibility@|@seedimatus@
@indigestible@|@raskseeduv@
@indigestion@|@seedehäire@
@indignant@|@nördinud@
@indignantly@|@nördinult@
@indignation@|@loobumine, meelepaha, nördimus, ükskõiksus@
@indignity@|@häbistus@
@indigo@|@indigo (sinine värvaine)@
@indigo blue@|@indigosinine, kahjasinine@
@indigoid@|@indigoidvärvaine@
@indirect@|@kaudne@
@indirect command@|@kaudne käsk@
@indirect costs@|@kaudsed kulud@
@indirect evidence@|@kaudne tõend@
@indirect lighting@|@kaudvalgustus@
@indirect object@|@kaudsihitis@
@indirect primary@|@valimine esindajate kaudu@
@indirect proof@|@kaudne tõestus@
@indirect question@|@kaudne küsimus@
@indirect speech@|@kaudkõne, kaudne kõne@
@indirect tax@|@kaudne maks@
@indirectly@|@kaudselt@
@indiscernibility@|@eristamatus@
@indiscernible@|@eristamatu@
@indiscipline@|@distsiplineerimatus@
@indiscretion@|@ebadiskreetsus, mõtlematus@
@indiscriminate@|@valimatu@
@indiscriminately@|@huupi, vahet tegemata, valimatult@
@indiscrimination@|@valimatus@
@indispensable@|@asendamatu@
@indispensably@|@asendamatult@
@indisposed@|@mitte kalduv, soovimatu, vastu olev@
@indisposition@|@kerge haigus@
@indisposition to speak@|@soovimatus vestelda@
@indisputable evidence@|@vaieldamatu tõend@
@indisputable fact@|@vaieldamatu tõsiasi@
@indissoluble@|@lagunematu, lahustamatu, siduv@
@indistinct@|@ebaselge@
@indistinctly@|@ebaselgelt, ähmaselt@
@indistinctness@|@ebaselgus@
@indistinguishability@|@eristamatus@
@indistinguishable@|@eristamatu@
@indistinguishably@|@eristamatult@
@indite@|@(raamatut) kirjutama, kirja panema, koostama@
@indium@|@indium (In)@
@individual@|@ainik- ; indiviid, individuaalne, üksik-, üksikisik@
@individual case@|@üksikjuhtum@
@individual name@|@individuaalnimi@
@individual responsibility@|@isiklik vastutus@
@individual retirement account@|@(üksikisiku) pensionifond@
@individualistic@|@individualistlik@
@individualistically@|@individualistlikult@
@individuality@|@individuaalsus, isikupära, omapära@
@individualization@|@individualiseerimine, isikupärastamine@
@individualize@|@eripäraseks tegema, individualiseerima@
@individually@|@eraldi, üksikult@
@individuate@|@eristama, isikupära andma@
@indivisibility@|@jagamatus@
@indivisible@|@jagamatu@
@indivisible by@|@(millegagi jäägita) jagumatu@
@Indo-@|@Indo- (India)@
@Indo-Aryan@|@Indo-aaria@
@Indochina@|@Indohiina@
@Indo-Chinese@|@Indohiina (omaduss)@
@indocile@|@(koolis) sõnakuulmatu@
@indoctrinate@|@jutlustama, põhialuseid selgeks õpetama@
@Indo-European@|@indoeuroopa ; indoeuroopa keel@
@indo-european languages@|@indoeuroopa keeled@
@Indo-Gangetic@|@Induse-Gangese@
@Indo-Germanic@|@indogermaani (keelerühm)@
@Indo-Iranian@|@indoiraani (keelerühm)@
@indolence@|@tööpõlgus@
@indolent@|@aeglane (arengus), laisk, pingutusi vältiv, valutu@
@indolently@|@töötegemist vältides@
@indomitability@|@taltsutamatus@
@indomitable@|@alistamatu, taltsutamatu@
@Indonesia@|@Indoneesia@
@Indonesian@|@indoneesia keel@
@indoor@|@sise-, toa-@
@indoor championship@|@sisevõistlus@
@indoor court@|@siseväljak@
@indoor pool@|@siseujula@
@indoors@|@sees, toas, tuppa@
@indorse@|@< endorse@
@Indra@|@Indra@
@indrawn@|@endassetõmbunud, sisse tõmmatud@
@indri@|@indri@
@indubitability@|@kaheldamatus@
@indubitable@|@kaheldamatu@
@indubitably@|@kahtlemata, kahtlematult@
@induce@|@tekitama, ärgitama, üldistama@
@induced@|@esile kutsutud, indutseeritud, põhjustatud@
@induced drag@|@induktiivtakistus@
@induced radioactivity@|@indutseeritud radioaktiivsus@
@inducement@|@ajend, peibutis, saavutamine@
@inducing@|@esile kutsumine@
@induct@|@(ametisse, seltskonda) vastu võtma@
@inductance@|@induktiivsus@
@induction@|@induktsioon, sisselask, vastuvõtmine@
@induction coil@|@induktsioonpool@
@induction furnace@|@induktsioonahi@
@induction heater@|@induktsioonkuumuti@
@induction heating@|@induktsioonkuumutamine@
@inductive@|@induktiivne@
@inductive reasoning@|@induktiivne arutluskäik, üldistav mõtlemine@
@inductive to@|@(millenigi) viiv@
@inductor@|@induktor@
@indue@|@võimet andma@
@indulge@|@endale lubama, järele andma, kõike lubama@
@indulge in@|@endale lubama, vaba voli andma@
@indulge your appetite@|@isu rahuldama@
@indulge yourself@|@oma soovidele järele andma@
@indulgence@|@(himu) rahuldamine, indulgents, pattude andeksand@
@indulgent@|@andestav, järeleandlik, soosiv@
@indurate@|@kõvastuma ; kalk@
@induration@|@kõvastumine, lupjumine@
@Indus@|@Indiaanlane (tähtkuju), Indus (jõgi)@
@Indus Valley@|@Induse org@
@industrial@|@industriaal-, töö-, tööstus-, tööstuslik@
@industrial action@|@(Br) töövõitlusüritus (streik, protest vms)@
@industrial arts@|@tööõpetus (koolis)@
@industrial chemistry@|@tööstuskeemia@
@industrial court@|@töövahekohus@
@industrial design@|@tootekujundus, tööstusdisain@
@industrial disease@|@kutsehaigus@
@industrial dispute@|@töövaidlus (er kollektiivne)@
@industrial enterprise@|@tööstusettevõte@
@industrial estate@|@tööstusrajoon@
@industrial insurance@|@tööõnnetuskindlustus@
@industrial park@|@tööstuspark@
@industrial relations@|@töösuhted@
@industrial revolution@|@tööstusrevolutsioon@
@industrial union@|@tööliste ametiühing@
@industrial waste@|@tootmisjäätmed, tööstusjäätmed@
@industrial worker@|@tööstustööline@
@industrial zone@|@tööstuspiirkond@
@industrialisation@|@industrialiseerimine@
@industrialise@|@industrialiseerima@
@industrialist@|@tööstur@
@industrialization@|@industrialiseerimine@
@industrialize@|@industrialiseerima, linnastuma@
@industrialized@|@industrialiseeritud, tööstuslik@
@industrially@|@tööstuslikult@
@industries@|@tööstusharud@
@industrious@|@töökas, usin@
@industriously@|@töökalt@
@industry@|@majandusharu, tööstus, usinus@
@indwell@|@seesmiselt omane olema@
@indwelling@|@sisemine@
@inebriant@|@alkohoolne jook@
@inebriate@|@joovastama, purju jääma ; viinanina@
@inebriation@|@joobumus@
@inebriety@|@ebakaine olek, purjusolek@
@inebrious@|@ebakaine, joobnud@
@inedible@|@mittesöödav, söögikõlbmatu@
@ineducable@|@õppimisvõimetu@
@ineffable@|@sõnulseletamatu, tabu (sõna)@
@ineffably@|@kirjeldamatult@
@ineffective@|@ebaefektiivne, ebatõhus@
@ineffectively@|@tagajärjetult@
@ineffectiveness@|@ebaefektiivsus@
@ineffectual@|@mõjutu, tagajärjetu@
@ineffectually@|@tagajärjetult@
@ineffectualness@|@tagajärjetus@
@inefficacious@|@ebapiisav, tagajärjetu@
@inefficacy@|@tulemusetus@
@inefficiency@|@ebatõhusus, saamatus@
@inefficient@|@ebaefektiivne, tulemusetu@
@inefficiently@|@ebatõhusalt@
@inelaborate@|@detailivaene, robustne@
@inelastic@|@mitteelastne@
@inelegance@|@elegantsitus, maitsetus@
@inelegantly@|@räpakalt@
@ineligible@|@-õiguseta, ebapädev, mitteõigustatud, sobimatu@
@ineligible for@|@sobimatu@
@ineligible to@|@õiguseta@
@ineligible to vote@|@hääleõiguseta@
@ineloquent@|@kidakeelne, väljendusjõuta@
@ineluctable@|@möödapääsmatu, paratamatu, vältimatu@
@ineluctably@|@vältimatult@
@inenarrable@|@sõnulseletamatu@
@inept@|@kohatu, oskamatu, taktitu@
@ineptitude@|@oskamatus@
@ineptness@|@kohatus, oskamatus@
@inequality@|@ebavõrdsus, võrratus@
@inequitable@|@ebavõrdne, ebaõiglane@
@inequitably@|@ebavõrdselt@
@inequity@|@ebavõrdsus, ebaõiglus@
@ineradicable@|@krooniline, väljajuurimatu@
@inerrant@|@eksimatu@
@inert@|@inert-, inertne, loid@
@inert gas@|@inertgaas, väärisgaas@
@inertia@|@inerts, loidus@
@inertial@|@inertsiaal-@
@inertial guidance@|@< inertial navigation@
@inertial mass@|@seisumass@
@inertial navigation@|@inertsiaalnavigatsioon, inertsnavigatsioon@
@inertial system@|@inertsiaalsüsteem@
@inertia-reel seat-belt@|@rullturvavöö@
@inertness@|@inertsus, loidus@
@inescapable@|@möödapääsmatu@
@inescapable fact@|@möödapääsmatu tõsiasi@
@inescapably@|@vältimatult, vääramatult@
@inessential@|@vähemtähtis@
@inessive@|@seesütlev@
@inessive case@|@inessiiv, seesütlev kääne@
@inestimable@|@hindamatu@
@inevitability@|@möödapääsmatus, paratamatus@
@inevitable@|@vältimatu ; paratamatus@
@inevitable accident@|@force majeure@
@inevitably@|@vältimatult@
@inexact@|@ebatäpne@
@inexactly@|@ebatäpselt@
@inexcusable@|@andestamatu@
@inexcusably@|@andestamatult, õigustamatult@
@inexhaustibility@|@ammendamatus@
@inexhaustible@|@ammendamatu@
@inexhaustibly@|@ammendamatult@
@inexorable@|@otsusekindel@
@inexorably@|@halastamatult, otsusekindlalt@
@inexpediency@|@kohatus, otstarbekohatus@
@inexpedient@|@asjakohatu@
@inexpensive@|@odav, sugugi mitte kallis, taskukohane@
@inexpensively@|@odavalt, taskukohaselt@
@inexperience@|@kogenematus@
@inexperienced@|@kogenematu@
@inexpert@|@võhiklik@
@inexpertly@|@asjatundmatult@
@inexpiable@|@andestamatu (tegu)@
@inexplicably@|@seletamatult@
@inexplicit@|@väljendumata@
@inexpressible@|@väljendamatu@
@inexpressibly@|@väljendamatult@
@inexpressive@|@ilmetu, mittemidagiütlev@
@inexpressively@|@ilmetult, kirjeldamatult@
@inexpressiveness@|@mittemidagiütlevus@
@inexpugnable@|@(tormijooksuga) vallutamatu@
@inexpungible@|@tõrjumatu@
@inextinguishable@|@hävimatu, kustumatu@
@inextirpable@|@hävimatu@
@inextricable@|@lahti harutamatu, lahutamatu@
@infallibility@|@eksimatus@
@infallible@|@eksimatu, kahtlematu@
@infamous@|@kurikuulus@
@infancy@|@imikuiga@
@infandous@|@jõletu, kirjeldamatult õudne@
@infant@|@infant (printsi tiitel), laps, titt@
@infanthood@|@varane lapsepõlv@
@infanticide@|@lapsetapp@
@infantile@|@infantiilne@
@infantilism@|@infantilism, lapsikus@
@infantry@|@jalavägi@
@infantryman@|@jalaväelane@
@infarct@|@infarkt (kudede kärbus), nekroos@
@infarction@|@(kudede) kärbumine@
@infatuate@|@pead segi ajama@
@infatuated@|@kiindunud, lummatud@
@infatuation@|@sõge armumine@
@infeasible@|@ebamõistlik, mitte elluviidav@
@infect@|@nakatama, nakkama@
@infection@|@infektsioon, nakkus@
@infectious@|@nakkav (er õhu vm kaudu), nakkusohtlik@
@infectiously@|@nakatavalt, nakkavalt@
@infer@|@järeldama@
@inference@|@järeldus, tulenemine, tuletamine@
@inferential@|@asjaoludest tuletatav, järelduslik@
@inferior@|@alamast klassist, horisondialune, madalasordiline@
@inferiority@|@alaväärsus@
@inferiority complex@|@alaväärsuskompleks@
@infernal@|@põrgu-, põrgulik@
@infernal machine@|@põrgumasin@
@infernal pit@|@põrguauk@
@inferno@|@põrgu, põrgutuli@
@Inferno@|@Inferno, Põrgu@
@inferring@|@järeldamine@
@infertility@|@sigimatus, viljatus@
@infestive@|@rõõmutu@
@infibulation@|@kinninõelumine, voorusevöö panek@
@inficete@|@igav, surmtõsine@
@infidel@|@sõnamurdja, uskmatu, usust taganeja@
@infidelity@|@truudusetus@
@infilling@|@täitematerjal@
@infiltrate@|@läbi imbuma@
@infiltration@|@märkamatu sissetung@
@infinite@|@igavene, lõpmatu@
@infinite justice@|@lõputu õiglus@
@infinite regress@|@lõpmatu regress@
@infinitely@|@lõpmatult@
@infiniteness@|@lakkamatus, lõpmatus@
@infinitesimal@|@diferentsiaal-, lõpmata väike@
@infinitesimal calculus@|@diferentsiaalarvutus@
@infinitesimally@|@lõpmata väikselt@
@infinitive@|@infinitiiv@
@infinity@|@lõpmatus@
@infirm@|@nõrga tervisega, rabe@
@infix@|@infiks@
@inflame@|@sütitama, süütama@
@inflammability@|@süttivus, tuleohtlikkus@
@inflammable@|@kergesti ärrituv, kergsüttiv, tulekindel@
@inflammation@|@süttimine@
@inflammatory@|@põletikuline, sütitav@
@inflatable@|@kummi-, täispuhutav@
@inflate@|@täis puhuma@
@inflated@|@inflatsiooniline, täispuhutud@
@inflation@|@inflatsioon@
@inflationary@|@inflatsiooniline@
@inflationary spiral@|@inflatsioonispiraal@
@inflator@|@hinnatõusu põhjustaja@
@inflection@|@käänamine@
@inflection stem@|@muutetüvi@
@inflection type@|@muutkond, muuttüüp@
@inflectional@|@fleksiooni-@
@inflexibility@|@paindumatus@
@inflexible@|@jäik@
@inflict@|@tekitama@
@inflight@|@õhus@
@in-flight@|@lennu pealt, õhus@
@in-flight refueling@|@õhus tankimine@
@inflorescence@|@õiekobar, õisik, õitseaeg@
@inflow@|@juurdevool, sissevool@
@influence@|@mõju ; mõjutama@
@influential@|@mõjukas, mõjuvõimas@
@influenza@|@gripp, külmetus, nohu@
@influx@|@sissevool@
@info@|@info@
@inform@|@informeerima, teatavaks tegema@
@informal@|@mitteametlik@
@informally@|@mitteametlikult@
@informant@|@informant, koputajad, küsitletav@
@informatics@|@informaatika@
@information@|@informatsioon, teave@
@information agency@|@teabeteenistus@
@information center@|@teabekeskus@
@information interchange@|@infovahetus@
@information retrieval@|@infootsing@
@information service@|@infotalitus, infoteenindus, teabetalitus@
@information technology@|@infotehnoloogia@
@information theory@|@infoteooria@
@informative@|@informatiivne@
@informatory@|@informeeriv, teabe-@
@informed@|@haritud, teadlik@
@informer@|@informaator, kits, koputaja@
@infra-@|@infra-@
@infra dig@|@allpool eneseväärikust, eneseväärikust alandav@
@infrangible@|@murdmatu, purunematu@
@infrared@|@infrapuna-, infrapunane@
@infra-red@|@infrapuna-, infrapunane@
@infrared heater@|@infrapunakuumuti@
@infrared lamp@|@infrapunalamp@
@infrared photography@|@infrapunafotograafia@
@infrared ray@|@infrapunakiir@
@infrastructure@|@infrastruktuur@
@infrequency@|@harvaesinevus@
@infrequent@|@ebakorrapärane, harv@
@infrequently@|@ebakorrapäraselt, harva@
@infringe@|@rikkuma@
@infringe a copyright@|@autoriõigust rikkuma@
@infringement@|@rikkumine@
@infringement of copyright@|@autoriõiguse rikkumine@
@infructuous@|@viljatu@
@infucate@|@nägu värvima@
@infucation@|@meikimine, näo värvimine@
@infundibular@|@lehtrikujuline@
@infuriate@|@marru ajama@
@infuriated@|@marus, vihale aetud@
@infuscate@|@uduloori peitma, varjutama@
@infusible@|@sulamatu@
@infusion@|@infusioon, leotis, sissepritse@
@infusions@|@infusioonvedelikud@
@Infusoria@|@ripsloomad@
@ingenious@|@geniaalne@
@ingeniously@|@geniaalselt@
@ingenue@|@naiivitar, süütu tütarlaps@
@ingénue@|@< ingenue@
@ingenuity@|@leidlikkus, nupukus@
@ingenuous@|@rikkumata@
@ingenuously@|@lihtsameelselt, siiralt@
@ingest@|@sisse sööma@
@ingestion@|@sissevõtmine, suu kaudu manustamine@
@ingle@|@kolle@
@inglenook@|@(toa) kaminanurk, kaminaesine@
@inglorious@|@kuulsusetu, üldsusele tundmatu@
@inglorious defeat@|@kuulsusetu kaotus@
@inglorious writer@|@tundmatu kirjanik@
@ingot@|@kang (valatud metalli, kulla), valuplokk@
@ingot iron@|@tehniline raud@
@ingrain@|@eelnevalt värvitud@
@ingratiate@|@end meeldivaks tegema, soosingut taotlema@
@ingratiatingly@|@meeldida püüdvalt, meelitavalt@
@ingratitude@|@tänamatus@
@ingravescence@|@halvenemine, ägenemine@
@ingredient@|@koostisaine, koostisosa@
@ingredients@|@koostisained, koostisosad@
@ingress@|@artiklipea, varjutumine@
@Ingria@|@Ingeri(maa)@
@ingrowing@|@lihassekasvanud, sissekasvanud@
@ingrown@|@sissekasvanud@
@Ingush@|@ingui keel, ingu@
@Ingushetia@|@Inguia@
@inhabit@|@asustama@
@inhabitable@|@asustatav, elamiskõlbmatu, elamiskõlbulik@
@inhabitant@|@asunik, elanik@
@inhabitate@|@asustama@
@inhabited@|@asustatud@
@inhalation@|@inhalatsioon, sissehingamine@
@inhale@|@sisse hingama@
@inhaler@|@inhalaator@
@inhere@|@juurde kuuluma, loomuses olema@
@inhere in@|@kaasasündinud olema, loomuses olema@
@inherent@|@kaasasündinud, sisemine@
@inherent stability@|@loomulik stabiilsus@
@inherently@|@loomupäraselt@
@inherit@|@pärandama, pärima@
@inheritable@|@pärilik, päritav@
@inheritance@|@pärand, pärandumine, pärilikkus@
@inheritance tax@|@pärandimaks@
@inherited@|@pärilik, päritud@
@inhibition@|@piirang, seesmine tõke@
@inhibitor@|@inhibiitor@
@inhomogeneity@|@ebaühtlus, mittehomogeensus@
@inhospitable@|@külalislahkusetu@
@in-house@|@firmasisene, kohal-, oma töötajate@
@in-house use@|@kohalkasutus@
@inhuman@|@ebainimlik@
@inhumane@|@ebainimlik@
@inhumanely@|@ebainimlikult@
@inhumaneness@|@ebainimlikkus@
@inimical@|@mitteomane, vaenulik@
@iniquitous@|@nurjatu, ülekohtune@
@initial@|@alg- ; initsiaal, algus-, esialgne, suur algustäht@
@initial form@|@algvorm@
@initial rhyme@|@algriim@
@initial state@|@alsseisund@
@initial stem@|@lähtetüvi@
@initial string@|@algrida@
@initialism@|@..), IEC@
@initialize@|@algatama, algväärtustama@
@initially@|@algselt@
@initials@|@esitähed, initsiaalid@
@initiate@|@algatama@
@initiating@|@algatav@
@initiation@|@algatamine@
@initiative@|@algatus@
@initiator@|@algataja@
@inject@|@süstima@
@injection@|@injektsioon, sisestamine, süst@
@injector@|@kütusepihusti@
@injudicious@|@mõtlematu@
@injunction@|@kohtu ettekirjutus, kohtulik keeld@
@injunctive relief@|@kohtuliku keelu määramine@
@injure@|@kahju tegema, vigastama@
@injured@|@vigastatud@
@injurious@|@kahjulik@
@injury@|@trauma, vigastus@
@injustice@|@ebaõiglus@
@injustly@|@ebaõiglaselt@
@ink@|@tint, trükivärv@
@ink bottle@|@tindipott@
@ink printer@|@tindiprinter@
@ink ribbon@|@trükilint, värvilint@
@ink roller@|@värvitela@
@inker@|@kontuurija@
@inkfish@|@seepia, tindikala@
@inkhorn@|@tähenärijalik, õpetlaslik ; tindinõu@
@inkhorn term@|@raamatusõna@
@inking@|@värvikiht@
@inkjet@|@tindiprits@
@inkjet printer@|@jugaprinter, tindiprinter@
@inkpad@|@templipadi@
@inkpot@|@tindipott@
@inkstain@|@tindiplekk@
@inkstand@|@lauagarnituur, tindipotialus@
@inkwell@|@tindipott@
@inland@|@maa-, sisemaa@
@inland sea@|@sisemeri@
@Inland Sea@|@Jaapani Sisemeri, Seto@
@inland waters@|@siseveed@
@inlander@|@sisemaa elanik@
@in-law@|@lang (sugulane abielu kaudu)@
@-in-law@|@abielu kaudu@
@in-laws@|@hrl vanemad), langud (mehe/naise sugulased@
@inlet@|@abajas, sisselase, tuts@
@in-line@|@koridor-, masin-, rida-@
@in-line engine@|@ridamootor@
@inmate@|@kaasvang, kongikaaslane@
@inmost@|@sisim@
@inn@|@onn@
@innate@|@kaasasündinud@
@innately@|@kaasasündinult@
@innateness@|@kaasasündinud võime@
@innavigable@|@mittelaevatatav@
@inner@|@seesmine ; poogna sisekülg, sise-@
@Inner@|@Sise-@
@inner circle@|@sisering@
@inner ear@|@sisekõrv@
@Inner Hebrides@|@Sise-Hebriidid@
@Inner Mongolia@|@Sise-Mongoolia@
@inner planet@|@Maa, Marss), siseplaneet (Merkuur, Veenus@
@inner tube@|@lohv, sisekumm@
@inner-city@|@kesklinna elamurajoonid@
@innings@|@polder@
@innocence@|@süütus@
@innocent@|@süütu@
@innocent as a lamb@|@süütu kui talleke@
@innocently@|@süütult@
@innocuous@|@kahjutu, leebe, ohutu, süütu (märkus)@
@innovate@|@uuendama@
@innovation@|@innovatsioon, uuendus@
@innovative@|@innovatiivne, uuenduslik@
@innubilous@|@pilvitu@
@innuendo@|@mõistaandmine@
@innumerable@|@kokkuarvamatu, loendamatu@
@inoculate@|@nakatama, pookima@
@inoffensive@|@kahjutu, pahakspandamatu@
@inoperative@|@mitte töökorras, mittetöötav, mõjutu@
@inordinate@|@ebaharilikult suur@
@inorganic@|@anorgaaniline@
@inorganic chemistry@|@anorgaaniline keemia@
@inorganic matter@|@anorgaaniline aine@
@inorganic substance@|@anorgaaniline aine@
@inpatient@|@haiglaravihaige@
@in-patient@|@statsionaarne haige@
@inpatient clinic@|@ravihaigla, statsionaarne haigla@
@input@|@lähteandmed, sisend, toide@
@input voltage@|@sisendpinge@
@input/output@|@sisend-väljund@
@input-output@|@sisend-väljund-@
@input-output device@|@sisend-väljundseade@
@inquiline@|@(loom) võõras pesas elav@
