@English@|@Gothic@
@instruction@|@talzeins, sf.@
@intend@|@munan, wv.@
@intention@|@muns, sm.@
@interpret@|@ga-skeirjan, wv.@
@invitation@|@laþôns, sf.@
@invite@|@ga-laþôn, wv., háitan, sv., laþôn, wv.@
@iron@|@eisarn, sn., eisarneins, adj.@
@issue@|@runs, sm.@
@itch@|@suþjôn, wv.@
@its@|@sein poss. pr.@
@jail@|@karkara, sf.@
@jenny@|@asilus, sf.@
@Jewish@|@iudaíwisks, adj.@
@join@|@ga-haftjan sik, wv., haftjan, wv.@
@join oneself@|@ga-haftjan sik, wv.@
@join together@|@ga-widan, sv.@
@journey@|@wigs, sm., wratôdus, sm.@
@joy@|@fahêþs, sf.@
@judge@|@dômjan, wv., ga-dômjan, wv., staua, wm., stôjan, wv.@
@judgement@|@dôms, sm., staua, sf.@
@Judgement Day@|@stûa-tago@
@judgment@|@ragin, sn.@
@jug@|@aúirkeis sm.@
@just@|@ga-raíhts, adj., us-waúrhts, adj.@
@just as@|@swa-swê, adv., swê, adv. and conj.@
@just so@|@swa, swah, adv.@
@justify@|@sunjôn, wv.@
@keep@|@baírgan, sv., fastan, wv., ga-fastan, wv., haban@
@keep watch@|@þaírh-wakan, sv., witan, wv.@
@kettle@|@katils, sm.@
@kid@|@gáitein@
@kill@|@af-dáuþjan, wv., af-slahan, sv., af-sneiþan, sv., uf-sneiþan, sv., us-qiman, sv. dat. or acc., us-qistjan@
@kind@|@bleiþs, adj., sêls, adj.@
@kindle@|@tandjan, wv.@
@kindness@|@arma-hairtiþa, sf., mildiþa, sf.@
@king@|@þiudans, sm.@
@kingdom@|@reik sn., þiudan-gard sf., þiudinassus, sm.@
@kinsman@|@ga-niþjis, sm., niþjis, sm.@
@kiss@|@kukjan, wv.@
@knead@|@deigan, sv.@
@knee@|@kniu, sn.@
@kneel@|@knussjan kniwam, knussjan, wv.@
@knew: I ~@|@kunþa, pret.@
@know@|@finþan, sv., fraþjan, sv., kunnan, pret.-pres., uf-kunnan, wv., witan, pret.-pres.@
@know: I ~@|@kann, pret.-pres., láis, pret.-pres.@
@knowledge@|@kunþ sn., uf-kunþ sn., witubn sn.@
@knowledgeable@|@weis@
@known@|@kunþs, pp. of kunnan, mêrs, adj., wiss adj.@
@known: make ~@|@and-huljan, wv., kannjan, wv.@
@labor@|@arbáiþs, sf.@
@lack@|@gáidw, sn., þaúrban, pret.-pres., wan, sn.@
@lacking@|@wans@
@lade@|@hlaþan, sv.@
@lair@|@filigri sn.@
@lake@|@sáiws, sm.@
@lamb@|@lamb, sn., wiþrus, sm.@
@lame@|@halts, adj.@
@lament@|@flôkan, sv., gáunôn, wv., grêtan, sv., qáinôn, wv.@
@lament loudly@|@wái-faír£jan, wv.@
@lamentation@|@gáunôþus, sm., grêts, sm.@
@land@|@aírþa, sf., gaw sn., land, sn., staþs sm.@
@lands@|@háimôþl sn.@
@language@|@razda, sf.@
@lap@|@barms@
@large basket@|@spyreida, wm.@
@larger: become ~@|@bi-áuknan, wv.@
@lasciviousness@|@agláite wf.@
@last@|@aftuma, adj., aftumists, adj., spêdumists, adj.@
@late@|@seiþus, adj., spêþs, adj.@
@later on@|@bi-þê conj.@
@laugh.@|@hlahjan, sv.@
@law@|@witôþ, sn.@
@lawful: it is ~@|@bi-nah, pret.-pres.@
@lawfully@|@witôdeigô, adv.@
@lawless@|@un-sibjis, adj., witôda-láus, adj.@
@lay@|@ga-lagjan, wv., us-lagjan, wv.@
@lay back@|@ana-kumbjan, wv.@
@lay down@|@ana-hnáiwjan, wv., ga-lagjan, wv., lagjan, wv.@
@lay hold of@|@greipan, sv., und-greipan, sv.@
@lay on@|@ana-lagjan, wv., at-lagjan, wv.@
@lay out@|@us-lagjan, wv.@
@lay upon@|@us-lagjan, wv.@
@laying on@|@ana-lageins, sf.@
@lazy@|@lats, adj.@
@lead@|@ga-tiuhan, sv., tiuhan, sv.@
@lead astray@|@aírzjan, wv.@
@lead out@|@us-tiuhan, sv.@
@leader@|@faúr-stasseis, sm., faúra-maþleis, sm.@
@leader of a thousand men@|@þûsundi-faþs, sm.@
@leader of the synagogue@|@synagôga-faþs, sm.@
@leaf@|@láufs, sm.@
@leap@|@hláupan, sv.@
@leap for joy@|@láikan, sv.@
@leap up@|@us-hláupan, sv.@
@learn@|@finþan, sv.@
@learn by inquiry@|@ga-fraíhnan, sv.@
@learned@|@weis@
@least@|@minnists, adj.@
@leather thong@|@skáuda-ráips, sm.@
@leathern@|@filleins, adj.@
@leave@|@af-gaggan, sv., af-linnan, sv., bi-leiþan, sv., fra-lêtan, sv., láibjan, lêtan, sv.@
@leaven@|@beist, sn.@
@left@|@hleiduma, adj.@
@left hand or side@|@hleiduma, adj.@
@legion@|@laígaíôn@
@lend@|@lei£an, sv.@
@length@|@lagge wf.@
@leprosy@|@þrûts-fill, sn.@
@leprous@|@þrûts-fills, adj.@
@less@|@minniza, adj., mins, adv.@
@lest at any time@|@nibái £an@
@let@|@lêtan, sv.@
@let down with cords@|@in-sáiljan, wv.@
@liberate@|@fra-lêtan, sv.@
@licentiously@|@us-stiuriba, adv.@
@lie@|@ga-liug, sn., galiug weit-wôdjan, ligan, sv., liugan, sv.@
@lie down@|@ana-kumbjan, wv., ligan, sv.@
@lie hid@|@ga-láugnjan, wv.@
@lie under@|@uf-ligan, sv.@
@liesure: at ~@|@ûhtiugs, adj.@
@life@|@ealdor, libáins, sf., sáiwala, sf.@
@lift@|@hafjan, sv.@
@lift up@|@uf-rakjan, wv.@
@light@|@ga-liuhtjan, wv., liuhaþ, sn., lukarn, sn., tandjan, wv.@
@lighten@|@laúhatjan, wv.@
@like@|@swê, adv. and conj.@
@like unto what?@|@£ê galeiks?@
@liken@|@ga-leikôn, wv.@
@likewise@|@sama-leikô, adv.@
@liking@|@leikáins, sf.@
@limb@|@liþus, sm.@
@lineage@|@fadreins, sn., ga-baúrþi-waúrda@
@linen@|@lein, sn.@
@lip@|@waírilô, wf.@
@listen@|@háusjan, wv., uf-háusjan wv.@
@little@|@leitils, adj.@
@little boy@|@magula, wm.@
@little child@|@barnilô wn.@
@live@|@liban, wv.@
@living@|@qius, adj.@
@load@|@af-hlaþan, sv., hlaþan, sv.@
@loaf@|@hláifs, sm.@
@loathe@|@fijan, wv.@
@lock@|@ga-lûkan, sv.@
@locquacious@|@filu-waúrdjan, wv.@
@locust@|@þramste wf.@
@loins@|@hups, sm.@
@long@|@laggs, adj.@
@long-abiding@|@us-beisneigs, adj.@
@long-suffering@|@lagga-môde wf., us-beisne wf., us-beisneigs, adj., us-beisns, sf.@
@look@|@bi-sai£an, sv.@
@look about@|@faír-weitjan, wv.@
@look for@|@beidan, sv. c. gen., us-beidan, sv.@
@look on@|@us-saí£an, sv.@
@look round@|@in-saí£an, sv.@
@look round about@|@wláitôn, wv.@
@look up@|@us-saí£an, sv.@
@look upon@|@in-saí£an, sv.@
@loose@|@and-bindan, sv., ga-láusjan, wv.@
@loosen@|@ga-láusjan, wv.@
@loosened: be ~@|@and-bundnan, wv.@
@lord@|@fráuja, wm.@
@lord: be ~@|@fráujinôn, wv.@
@lose@|@fra-liusan, sv.@
@lost@|@aírzeis, adj.@
@lot@|@hláuts, sm.@
@love@|@frijaþwa, frijôn, wv., lubô, wf.@
@low@|@hnáiws, adj.@
@lower@|@ga-hnáiwjan, wv., hnáiwjan, wv.@
@lust@|@lustus, sm.@
@mad@|@wôþs adj.@
@made alive: be ~@|@ga-qiunan, wv.@
@made manifest@|@swikunþs waírþan@
@made of dirt@|@digans, pp.@
@made real@|@swikunþs waírþan@
@magnified: be ~@|@mikilnan, wv.@
@magnify@|@mikiljan, wv.@
@maid@|@magaþs, sf., taleiþa@
@maiden@|@mawi@
@maidenhood.@|@magaþe wf.@
@maimed@|@hamfs, adj.@
@make@|@ga-lagjan, wv., ga-skapjan, sv., ga-táujan, wv., ga-waúrkjan, wv., skapjan, sv., táujan, wv., waúrkjan, wv.@
@make a noise@|@aúhjôn, wv.@
@make ashamed@|@ga-áiwiskôn, wv.@
@make clean@|@ga-hráinjan, wv.@
@make clear@|@ga-skeirjan, wv.@
@make common@|@ga-máinjan, wv.@
@make high@|@háuhjan, wv.@
@make known@|@ga-kannjan, wv., ga-swêran, wv., ga-swi-kunþjan, wv., kunþjan, wv.@
@make ready@|@skaftjan, wv.@
@make war@|@stigqan, sv.@
@make wet@|@natjan, wv.@
@malady@|@sauil, sn. sun@
@male@|@guma-kunds, adj., gumeins, adj.@
@malefactor@|@wái-dêdja, wm. w-dr@
@malign@|@ubil-waúrdjan, wv., ubil qiþan@
@maligning@|@ubil-waúrds, adj.@
@mammon@|@mammôna, wm.@
@man@|@guma, wm., manna, wm., waír, sm.@
@manger@|@uz-êta, wm.@
@manifest@|@baírhts adj., ga-baírhtjan, wv., swi-kunþs, adj., us-kunþs, adj.@
@manifestation@|@ga-baírhteins, sf.@
@manifestly@|@swi-kunþaba, adv.@
@mankind@|@mana-sêþs, sf.@
@manlike@|@gumeins, adj.@
@manner@|@háidus, sm.@
@manner of life@|@us-mêt, sn.@
@mansion@|@saliþwôs, sf. pl.@
@manuscript@|@maímbrana, wm.@
@manyfold@|@manag-falþs, num.@
@market@|@maþl, sn.@
@marketplace@|@maþl, sn.@
@market-place@|@ga-runs, sf.@
@marry@|@ga-liugan, wv., liugan, wv.@
@marvel@|@silda-leikjan, wv.@
@master@|@faþs, sm. (suffix-ending), fráuja, wm., láisareis, sm., rabbe@
@master of a house@|@heiwa-fráuja, wm.@
@master of the house@|@garda-waldands, m.@
@meanwhile@|@und þate@
@measure@|@mêla, wm., metemên, mitan, sv., mitaþs, sf.@
@meat@|@fôdeins, sf., mats, sm., mims sn.@
@meditate@|@þagkjan, wv.@
@meekness@|@qaírre wf.@
@meet@|@ga-môtjan, wv.@
@meet with@|@bi-gitan sv.@
@meet: go ~@|@wiþra-ga-môtjan, wv., wiþra-gaggan, sv.@
@meeting.@|@mæþel@
@menace@|@us-þriutan, sv.@
@merciful@|@arma-hairts, adj., bleiþs, adj.@
@mercy@|@arma-hairte wf., arma-hairtiþa, sf., armaiô, wf., bleiþe wf.@
@merry: be ~@|@waíla wisan@
@merry: make ~@|@bi-wisan, sv.@
@messenger@|@aggilus, sm., áirus, sm.@
@messenger: be a ~@|@áirinôn, wv.@
@middle@|@midjis, adj.@
@midst@|@miduma, sf.@
@might@|@mahts, sf., swinþe wf.@
@might: I ~@|@mahta, pret.@
@mightiest@|@reikista@
@mighty@|@abrs, adj., mahteigs, adj., reiks, adj.@
@mildness@|@mildiþa, sf.@
@milk@|@miluks, f.@
@mill: a ~@|@asilu-qaírnus, sf.@
@mind@|@aha, wm., ga-hugds, sf.@
@minister@|@and-bahtjan, wv.@
@ministry@|@andbaht sn.@
@miracle@|@táikns, sf.@
@mirror@|@skuggwa, wm.@
@misdeed@|@missa-dêþs, sf.@
@mislead@|@af-airzjan, wv.@
@misled@|@aírzeis, adj.@
@mistake@|@ga-twola@
@mistaken: be ~@|@aírzeis wisan, uswiss usmitan@
@mix@|@blandan, sv., ga-wagjan, wv.@
@mock@|@bi-láikan, sv.@
@moment@|@stiks, sm.@
@moment of time@|@stiks mêlis@
@money@|@áiz, sn., skatts, sm.@
@money-box@|@arka, sf.@
@money-changer@|@skattja, wm.@
@month@|@mênôþs, m.@
@moon@|@mêna, wm.@
@more@|@máis, adv., þana-seiþs, adv.@
@more than@|@máis þáu@
@morning@|@maúrgins, sm.@
@-morrow@|@gistra-dagis, adv.@
@mortal@|@þata diwanô@
@mortality@|@þata diwanô@
@moth@|@malô, wf.@
@mother@|@áiþe wf.@
@mount@|@us-steigan sv.@
@Mount of Olives.@|@fairguni alêwjô@
@mount up@|@steigan, sv., ufar-steigan, sv.@
@mountain@|@faírgun sn.@
@mountain goat@|@firgen-gât@
@mourn@|@flôkan, sv., ga-nipnan, wv., maúrnan, wv., qáinôn, wv.@
@mourning@|@gáunôþus, sm.@
@mouth@|@munþs, sm.@
@move@|@wagjan, wv.@
@moved with compassion: be ~@|@in-feinan,@
@much@|@mnags, adj.@
@much more@|@filu máis, und filu máis@
@much talking@|@filu-waúrde wf.@
@multitude@|@filusna, sf., hansa, sf., hiuhma, wm., iumjô, wf., mana-sêþs, sf., manage wf.@
@mumble@|@bi-rôdjan, wv.@
@murder@|@maúrþr, sn., maúrþrjan, wv.@
@murmur@|@bi-rôdjan, wv.@
@music@|@saggws, sm.@
@must@|@skulan, pret.-pres.@
@mustard@|@sinaps, sm. or sinap, sn.@
@muted@|@un-rôdjands, pres. part.@
@mutter against@|@and-staúrran, wv.@
@my@|@meins@
@myrrh@|@smyrn, sn.@
@mystery@|@rûna, sf.@
@n the head@|@háubiþ wundan briggan@
@naked@|@naqaþs, adj.@
@name@|@háitan, sv., namnjan, wv., namô, wn.@
@naming@|@háit, sn.(-hait)@
@nard@|@nardus, sm.@
@narrate@|@spillôn, wv.@
@narrow@|@aggwus, adj.@
@native land@|@ga-baúrþs, sf.@
@naught@|@ni waíhts, waíht n.@
@nay@|@nê, adv.@
@near@|@bi-sunjanê, adv., nê£, adv., nê£a, prep. c. dat.@
@near at hand@|@in-wisan, sv.@
@nearer@|@nê£is, adv.@
@necessary@|@naúdi-þaúrfts, adj., þaúrfts, adj.@
@necessity@|@þaúrfts, sf.@
@neck@|@hals, sm.@
@need@|@þarba, sf., þaúrban, pret.-pres., þaúrfts, sf.@
@needle@|@nêþla, sf.@
@needy@|@þaúrfts, adj.@
@needy one@|@þarba, wm.@
@neglectful@|@un-karja, w. adj.@
@neighbour@|@bi-sitands, m., ga-razna, wm., nê£undja, wm.@
@neighbourhood@|@staþs sm.@
@neither ... nor@|@nih...nih@
@neither...but also@|@nih...ak jah@
@neither...nor@|@ni...ni or nih,@
@neither: for ~@|@nih allis@
@nest@|@sitls, sm.@
@net@|@ga-niutan, sv., nat sn.@
@never@|@ni áiw, ni áiw, niu áiw@
@nevertheless@|@ake conj.@
@new@|@niuja-satiþs, sm.@
@newness@|@niujiþa, sf.@
@next@|@iftuma, adj.@
@nigh@|@nê£a, prep. c. dat.@
@night@|@nahts, f.@
@nine@|@niun, num@
@ninety@|@niuntêhund, num.@
@ninth@|@niunda, num.@
@no@|@áins-hun, indef. pr., nê, adv., ni áinshun@
@no longer@|@ni þanamáis@
@no more@|@ni þanamáis@
@no one@|@£as-hun, indef. pr w/ neg., áins-hun, indef. pr., manna-hun, ni áinshun@
@noble birth: of ~@|@gôda-kunds, adj.@
@none@|@áins-hun, indef. pr., ni áinshun@
@not@|@n adv. neg., niu, interr. particle@
@not as yet@|@ni naúh@
@not at all@|@ni allis, waíhtá ni in waíhtá@
@not even@|@nih, conj.@
@not in the least@|@ni allis@
@not only...but also@|@ni þatáinei...ak jah, ni þatainei...ak jah,, nih...ak jah@
@not other...than@|@ni alja ... alja@
@not the more so@|@niþê haldis@
@not yet@|@ni naúh@
@not...but@|@ni...ak,@
@nothing@|@ni waíhts, waíht n.@
@nourishment@|@us-fôdeins, sf.@
@novice@|@niuja-satiþs, sm.@
@now@|@ju, adv., nu, adv.@
@num. two@|@twái@
@number@|@rahnjan, wv., raþjô, wf.@
@numerous@|@ga-nôhs, adj.@
@nurse@|@daddjan, wv.@
@oath@|@áiþs, sm.@
@obedience@|@uf-háuseins, sf.@
@obey@|@and-háusjan, wv., uf-háusjan wv.@
@observance@|@fastubn sn.@
@observation@|@at-witáins, sf.@
@observe@|@at-sai£an, sv., haban@
@obtain@|@and-niman, sv., fra-niman, sv., ga-tilôn, wv.@
@obvious@|@swi-kunþs, adj., us-kunþs, adj.@
@occasion@|@lêw, sn.@
@occur@|@waírþan, sv.@
@of@|@af, prep. c. dat., at, prep. c. acc. and dat.@
@of a sudden@|@anaks, adv.@
@of consequence@|@wulþrs, adj.@
@of man@|@mannisks, adj.@
@of stone@|@stáineins, adj.@
@of the male sex@|@guma-kunds, adj.@
@of us two@|@ugkar, poss. pr.@
@of wood@|@triweins, adj.@
@of you two@|@igqar, poss. pr.@
@offend@|@ga-marzjan, wv., marzjan, wv.@
@offer@|@at-satjan, wv., biudan, sv.@
@office of priest@|@gudjinassus, sm.@
@often@|@ufta, adv.@
@Oh!@|@ô, interj.@
@ointment@|@salbôns, sf.@
@old@|@alþeis (comp. alþiza) adj., faírneis, adj., sineigs, adj.@
@oldest@|@sinista, adj.@
@olive oil@|@alêw, sn.@
@olives: from ~@|@alêws, adj.@
@omen@|@faúra-tan sn.@
@on@|@ana, prep. c. acc./dat.@
@on account@|@fram, prep. c. dat.@
@on account of@|@du þamma, þaírh, prep. c. acc.@
@on guard@|@us-skáus, adj.@
@on this day@|@himma daga@
@once@|@simlê, adv.@
@once more@|@aftra, adv.@
@one@|@áins, num.@
@one  another@|@missô, adv.@
@one possessed by a demon@|@daimônareis, sm.@
@one who whitens wool@|@wullareis, sm.@
@one with another@|@samana, adv.@
@one-eyed@|@háihs, adj.@
@onefold@|@áinfalþs, num.@
@one-handed@|@hamfs, adj.@
@one's own possession@|@swês, adj.@
@oneself@|@sik, refl. pr.@
@ongly@|@af-aikan, sv.@
@only@|@áinaha, w. adj., þat-áin-e adv.@
@only child@|@áina-baúr, sm.@
@only-born@|@áina-baúr, sm.@
@onward@|@framis, adv.@
@open@|@swi-kunþs, adj., us-lûkan, sv., us-luknan, wv.@
@openly@|@and-áugjô, adv., in baírhtein, swi-kunþaba, adv.@
@opinion@|@dôms, sm., ragin, sn.@
@opponent@|@anda-staþjis, sm., fijands m.@
@opportunely@|@ûhteigô, adv.@
@opportunity@|@lêw, sn.@
@opposite@|@anda-neiþs, adj., wiþra-waírþs, adj.@
@oppress@|@ana-praggan, sv.@
@or@|@aíþþáu, conj.@
@order@|@ana-b sf., ana-biudan, sv., biudan, sv., ga-grêfts, sf., háit sf., ráidjan, wv.@
@orphan@|@widuwaírna, wm.@
@other@|@aljis, adj., anþar, adj.@
@other-in-law@|@swaíhrô, wf.@
@otherwise@|@aíþþáu, conj., alja-leikôs, adv.@
@our@|@unsar, poss. pr.@
@out@|@us, prep. c. dat., ût, adv.@
@out of@|@faúr, us, prep. c. dat.@
@outermost@|@hindumists, adj.@
@oven@|@aúhns, sm.@
@over@|@ana, prep. c. acc./dat., hindar, ufar, prep. c. acc. and dat., wiþra-waírþs, adj.@
@over the land@|@landis@
@over there@|@jáins, dem. pr.@
@overfull@|@ufar-fulls, adj.@
@overly proud@|@un-tila-malsks, adj.@
@overshadow@|@ufar-skadwjan, wv.@
@overtake@|@ga-fâhan, sv.@
@overthrow@|@us-waírpan, sv., us-walteins, sf., us-waltjan, wv.@
@overturn@|@us-waltjan, wv.@
@owe@|@skulan, pret.-pres.@
@owing@|@skula, adj.@
@own@|@áihan, pret.-pres.@
@ox@|@aúhsa, wm.@
@pair@|@ga-juk, sn.@
@pair of shoes.@|@ga-skôh sn.@
@palace@|@þiudan-gard sf.@
@palm of the hand@|@lôfa, wm.@
@palm-tree@|@peika-bagms, sm.@
@parable@|@ga-jukô, wf.@
@paralytic person@|@us-liþa, wm.@
@parched: be ~@|@þaírsan, sv.@
@parchment@|@maímbrana, wm.@
@pardon@|@af-lêts, sm., fra-lêts, sm.@
@parents@|@bêrusjôs, sm. pl.@
@partake@|@brûkjan, wv.@
@partake of@|@faír-áihan, pret.-pres.@
@particle@|@hun (-hun)@
@particularly@|@þis-hun, adv.@
@partition wall@|@miþ-gardi-waddjus, sf.@
@partner@|@ga-juka, wm., ga-man, sn.@
@paschal feast@|@paska, sf.@
@pass@|@faúr-gaggan, sv.@
@pass by@|@£arbôn, wv., us-leiþan, sv.@
@patch@|@plats, sm.@
@patch of cloth@|@fana, wm.@
@paternity@|@fadrein, sn.@
@path@|@stáiga, sf.@
@patience@|@þuláins, sf.@
@pauper@|@þarba, wm.@
@pay@|@láun, sn.@
@payment@|@annô, wf.@
@peace@|@ga-waírþ sn.@
@peace: at ~@|@ga-waírþeigs, adj.@
@pedagogue@|@talzjands, m.@
@pelt@|@fill, sn.@
@people@|@þiuda, sf.@
@perceive@|@fraþjan, sv., ga-saí£an, sv., gáumjan, wv., háusjan, wv.@
@perdition@|@fra-lusts, sf.@
@perfect@|@fulla-tôjis, adj.@
@perform@|@ga-táujan, wv., waúrkjan, wv.@
@perhaps@|@áuftô (aúftô?), adv.@
@perish@|@fra-lusnan, wv., fra-qistnan, wv., ga-dáuþnan, wv.@
@permit@|@fra-lêtan, sv., lêtan, sv., us-láubjan, wv.@
@permitted: it is ~@|@bi-nah, pret.-pres.@
@persecute@|@wrikan, sv.@
@persecution@|@wraka, sf., wrakja, sf.@
@persecutor@|@wraks, sm.@
@persist@|@in-standan, sv.@
@person@|@and-waírþ sn.@
@persuasion@|@ga-kunþs, sf.@
@physician@|@lêkeis, sm.@
@picture@|@man-leika, wm.@
@piece of cloth@|@fana, wm., plats, sm.@
@piety@|@ga-gude wf.@
@pig@|@swein sn.@
@pile up@|@ga-dragan, sv., rikan, sv.@
@pilfer@|@bi-ráubôn, wv.@
@pillage@|@dis-wilwan, sv.@
@pillow@|@waggar sn.@
@pine away@|@ga-staúrknan, wv.@
@pinnacle@|@gibla, wm.@
@pious@|@ga-guþs adj.@
@piper@|@swiglja, wm.@
@pitcher@|@kas, sn.@
@pity@|@arma-hairtiþa, sf., armaiô, wf., arman, wv., ga-bleiþjan, wv., in-feinan,@
@pity: have ~@|@arman, wv., bleiþe wf.@
@place@|@ga-lagjan, wv., ga-satjan, wv., lagjan, wv., satjan, wv., staþs sm.@
@place creedence in@|@ga-láubjan, wv.@
@place upon@|@us-satjan, wv.@
@plague@|@balwjan, wv., slahs, sm., wundufn sf.@
@plait@|@us-windan, sv.@
@play@|@lâcan@
@pleasant@|@anda-nêms, adj.@
@please@|@ga-leikan, wv., leikan, wv.@
@pleasure@|@ga-baúrjôþus, sm., leikáins, sf.@
@pledge@|@ga-wadjôn, wv., wad sn.@
@plough@|@arjan, wv.@
@pluck@|@ráupjan, wv.@
@plunder@|@dis-wilwan, sv., wilwan, sv.@
@point@|@stiks, sm.@
@point out@|@táiknjan, wv.@
@ponder@|@mitôn, wv.@
@poor@|@arms, adj., un-lêþs, adj.@
@poor: be ~@|@armên@
@portent@|@bandwa, sf., bandwô, wf.@
@portion@|@dáils, sf.@
@possess@|@áihan, pret.-pres., ga-haban, wv., ga-staldan, sv., haban@
@possessed@|@wôþs adj.@
@possible@|@mahts, adj.@
@posterior@|@aftuma, adj.@
@pound@|@pund, sn.@
@pour@|@giutan, sv.@
@poured out@|@us-gutnan, wv.@
@poverty@|@þarba, sf.@
@power@|@mahts, sf., reik sn., swinþe wf., waldufn sn.@
@powerful@|@reiks, adj.@
@practise@|@sidôn, wv.@
@praise@|@háuheins, sf., háuhjan, wv., hazjan, wv., waíla qiþan@
@pray@|@bidjan, sv.@
@pray for@|@áihtrôn, wv.@
@prayer@|@bida, sf.@
@preach@|@mêrjan, wv., waíla-mêrjan, wv.@
@preach the gospel@|@aíwaggêljan, wv.@
@preaching@|@háuseins, sf.@
@precede@|@faúr-bi-gaggan, sv., faúra-gaggan, sv.@
@pregnant@|@in-kilþô, w. adj., qiþu-hafts, adj.@
@prep. c. acc. in@|@in, prep. c. acc.@
@preparation@|@manwiþa, sf.@
@prepare@|@ga-manwjan, wv., ga-waúrkjan, wv., manwjan, wv., skaftjan, wv., skapjan, sv.@
@Prertorium@|@praitôriaún@
@presence@|@and-waírþ sn.@
@present@|@and-waírþs, adj., at-satjan, wv., in-wisan, sv.@
@present before@|@in and-waírþja@
@preserve@|@baírgan, sv.@
@pretence@|@inilô, wf.@
@priceless@|@filu-ga-láufs@
@pride@|@háuh-haírte wf.@
@priest@|@gudja, wm., weiha, wm.@
@priest: be a ~@|@gudjinôn, wv.@
@prince@|@faúra-maþleis, sm., reikista, reiks, m.@
@prior@|@faúr-þis, adv., faúra, fruma, adj.@
@prison@|@karkara, sf.@
@prisoner@|@bandja, wm., fra-hunþans@
@prize@|@sigis-láun, sn.@
@proceed@|@ur-rinnan, sv.@
@proclaim@|@ga-swi-kunþjan, wv., ga-teihan, sv., mêrjan, wv., us-qiþan, sv.@
@proclaimed: be ~@|@us-mêrnan, wv.@
@proclaimer@|@mêrjands, m.@
@produce@|@us-keinan, sv.@
@profane@|@us-weihs, adj.@
@profanity@|@agláiti-waúrde wf.@
@profess@|@and-háitan, sv.@
@profit@|@dugan, pret.-pres., ga-batnan, wv.@
@profits@|@dáug, pret.-pres.@
@progress@|@fram-gâhts, sf.@
@prohibit@|@warjan, wv.@
@promise@|@ga-háit, sn., ga-háitan, sv.@
@pronounce judgment@|@ga-dômjan, wv.@
@proof@|@kusts, sf., kustus, sm.@
@proper@|@gi-burren, us-waúrhts, adj.@
@property@|@áigin, sn., áihts, sf., faíhu, sn., swês, adj.@
@prophesy@|@faúra-qiþan, sv., praúfêtjan, wv.@
@prophet@|@praúfêtus@
@prophetess@|@praúfêteis, fem.@
@prosper@|@þeihan, sv.@
@proud@|@háuh-þûhts, adj., mikil-þûhts, adj., muotig@
@proud-hearted@|@háuh-haírts, adj.@
@prove@|@káusjan, wv., us-kiusan, sv., us-táiknjan, wv.@
@provide@|@und-rêdan, sv.@
@publican@|@môtareis, sm.@
@puff up@|@uf-báuljan, wv., uf-blêsan, sv.@
@pull out@|@ráupjan, wv.@
@pull towards@|@at-tiuhan, sv.@
@pupil@|@sipôneis, sm.@
@pure@|@hlûtrs, adj., hráins, adj., pistikeins, adj.@
@purification@|@hráineins, sf.@
@purity@|@hlûtre wf., swikniþa, sf.@
@purple@|@paúrpura, sf.@
@pursue@|@afargaggan, sv.@
@push@|@stigqan, sv.@
@push aside@|@af-skiuban, sv.@
@push off@|@af-tiuhan, sv.@
@put@|@lagjan, wv., satjan, wv.@
@put  death@|@af-dáuþjan, wv.@
@put asunder@|@skáidan, sv.@
@put away@|@af-waírpan, sv.@
@put forth@|@us-keinan, sv.@
@put in the fire@|@in-brannjan, wv.@
@put on@|@us-satjan, wv.@
@put on clothes@|@at-lagjan, wv.@
@putting aside@|@af-lageins, sf.@
@putting before@|@faúr-lageins, sf.@
@quarrel@|@háifstjan, wv.@
@quench@|@af-£apjan, wv.@
@quenched: be ~@|@af-£apnan, wv.@
@quick@|@qius, adj.@
@quickly@|@snêome, sniumundô, adv., spráutô, adv.@
@quiet: be ~@|@ana-silan, wv.@
@race@|@kun sn.@
@rain@|@rign, sn.@
@raise@|@aljan, wv., fôdjan, wv., hafjan, sv., mikiljan, wv., ráisjan, wv., ur-ráisjan, wv.@
@ransom@|@anda-baúhts, sf., lun, sn.@
@rash@|@un-tila-malsks, adj.@
@rather@|@máis, adv.@
@rather more@|@haldis, adv.@
@rather than@|@máis þáu@
@read@|@ga-kunnan, wv., us-siggwan, sv.@
@readiness: in ~@|@manwuba, adv.@
@ready@|@manwus, adj.@
@ready: make ~@|@ga-manwjan, wv.@
@reap@|@sneiþan, sv.@
@rear@|@aljan, wv., fôdjan, wv.@
@reasoning@|@mitôns, sf.@
@rebuke@|@£ôtjan, wv., ga-£ôtjan, wv., ga-sahts, sf., ga-sakan, sv., sakan, sv.@
@receive@|@and-niman, sv., fra-niman, sv., miþ niman, niman, sv.@
@reciprocally@|@missô, adv.@
@reckon@|@rahnjan, wv.@
@recognize@|@ga-kunnan, wv., uf-kunnan, wv.@
@recommendation@|@ana-filh, sn.@
@recover@|@ga-nisan, sv.@
@red@|@ráuþs, adj.@
@redemption@|@faúr-baúhts, sf.@
@reed@|@ráus, sn.@
@reflect@|@þagkjan, wv.@
@reflect upon@|@ga-rêdan, sv.@
@refuse@|@in-widan, sv.@
@regard@|@in-saí£an, sv., uf-háuseins, sf.@
@regarding@|@faúr@
@region@|@fêra, sf., gaw sn.@
@reign@|@þiudanôn, wv.@
