@Somali@|@English@
@duceyso@|@pray for oneself@
@duco@|@prayer@
@duddo@|@settlement@
@dug@|@falling face-down, shelter@
@dugaag@|@wild animal@
@duggaal@|@shelter@
@dugsi@|@school@
@duhur@|@midday@
@duji@|@finish@
@dukaan@|@shop@
@dukaanle@|@shopkeeper@
@dukaanle@|@shore@
@dul@|@nostril, patience@
@dulbadi@|@patience@
@dulitaan@|@flight@
@dulmi@|@wrong@
@dulqaad@|@patience@
@duluc@|@argument@
@dulxumo@|@impatience@
@dulyeelasho@|@having patience@
@dulyeelo@|@be patient@
@dum@|@push down@
@dum@|@be destroyed@
@dumaashi@|@womankind@
@dumaashi@|@women@
@dumar@|@women@
@dummad@|@cat@
@duni@|@world@
@dunji@|@whole@
@dunmi@|@organize@
@dunqaaro@|@animals@
@duq@|@old woman@
@duq@|@old man@
@duqnimo@|@old age@
@duqsi@|@fly@
@duraamo@|@pray@
@durbaan@|@drum@
@durdur@|@run@
@durk@|@shift@
@durk@|@push@
@durqun@|@misunderstanding@
@durriyad@|@offspring@
@durug@|@shift@
@durug@|@push@
@duruuf@|@conditions@
@duruus@|@lectures@
@duub@|@fold, turban, ring@
@duuban@|@be wrapped@
@duubis@|@act of folding, leader, leader (2), chief (1)@
@duubnaan@|@state of being folded@
@duud@|@forest (1)@
@duud@|@mountain top@
@duudsi@|@refutation, refute@
@duudsi@|@refute@
@duudsi@|@deny, denial@
@duufan@|@storm@
@duug@|@burial, worn@
@duug@|@bury@
@duugis@|@burial@
@duugoob@|@become worn@
@duul@|@raid, people@
@duule@|@flier@
@duulimaad@|@flight@
@duunyo@|@self, stock@
@duur@|@impartial person@
@duur@|@jungle@
@duwanaan@|@state of being different@
@eber@|@emptiness@
@ebi@|@complete@
@ebyoonaan@|@completion@
@ebyoonaansho@|@completion@
@edbi@|@teach manners@
@eddo@|@paternal aunt@
@eddo@|@aunt@
@edeb@|@good manners@
@eebbe@|@God@
@eed@|@accusation, blame@
@eedaad@|@difficulty, sigh@
@eedee@|@accuse@
@eedid@|@oppresion@
@eedid@|@hardship@
@eeg@|@now, look@
@eegeeg@|@search@
@eel@|@misery@
@eel@|@hardship@
@eelo@|@gazelle@
@eeray@|@speech@
@eexasho@|@bias@
@eexasho@|@partiality, state of being biased@
@eexaysi@|@favoritism@
@eey@|@dog@
@ehel@|@relative@
@ekaan@|@similarity@
@ekaansho@|@similarity@
@ekaansho@|@likeness@
@ekow@|@resemble@
@engeg@|@dry@
@engeji@|@dry@
@eray@|@word@
@ereg@|@loan@
@ereg@|@credit@
@erey@|@word@
@ergey@|@representative@
@ergo@|@mission@
@eri@|@chase, goat@
@ey@|@dog@
@eyni@|@kind@
@eyni@|@equal@
@eyni@|@peer@
@eyni@|@type@
@faa@|@type of small bird@
@faad@|@go bad, goal, intention, purpose@
@faaf@|@spread@
@faaf@|@spreading@
@faafiye@|@distributor@
@faahfaahin@|@explanation@
@faal@|@omen@
@faalal@|@creeping plant, grow sideways@
@faallo@|@commentary@
@faan@|@boast, praise@
@faani@|@commend@
@faanto@|@urine of cattle@
@faaqidaad@|@search@
@faarax@|@be happy@
@faas@|@axe@
@faay@|@be well@
@fac@|@age@
@facaad@|@age@
@face@|@fool@
@fadeexee@|@insult@
@fadh@|@scrape away@
@fadhdhi@|@conference@
@fadhi@|@conference, sit@
@fadhiiso@|@sit down@
@Fadlan@|@please@
@fadli@|@reward (religious)@
@fadli@|@favor@
@fagaare@|@sports ground@
@fagaaree@|@embarrass@
@fahan@|@understand@
@fahmad@|@intelligence@
@fahmada maskaxda@|@achivement domanin@
@fahmayso@|@be clear headed@
@fahmo@|@intelligence@
@fajac@|@be amazed, amazement@
@fajar@|@dawn@
@fajic@|@be amazed@
@fajici@|@amaze@
@fajicin@|@amazing someone@
@fal@|@deed, do, make@
@falan@|@be bewitched@
@falanqeey@|@analize, analyze@
@falanqo@|@explanation@
@falasho@|@plowing@
@faleen@|@sap@
@falkaab@|@adverb@
@falki@|@weave@
@fallaar@|@arrow@
@fallaax@|@cheerful person@
@falli@|@blessing@
@falli@|@divine favor, blessing@
@falliir@|@splinter@
@falsafad@|@philosophy@
@falsami@|@project, design@
@falsami@|@design, project@
@fan@|@croup of a horse@
@fanax@|@crack between teeth@
@fantatiir@|@great effort@
@faq@|@secret meeting, talk secretly@
@faquuq@|@separate@
@far@|@finger, toe, send a message@
@farabbadan@|@centipede@
@faraca@|@branch@
@farageli@|@interfere@
@faragelin@|@interference@
@faraggubyo@|@reward@
@farammaggaad@|@impatience@
@farammaggaadho@|@impatience@
@farammaggaadho@|@antecipation@
@faranji@|@European person@
@faraq@|@cracks in trees@
@faras@|@horse@
@faraw@|@zebra@
@farax@|@be joyful, happiness@
@farayarayso@|@do something carefully@
@farbarasho@|@literacy@
@farcan@|@have many offspring@
@fardo@|@horse@
@fariid@|@good person@
@farkuddoon@|@something hard to obtain@
@farmaajo@|@cheese@
@farmashiye@|@pharmacy@
@faro@|@toes@
@faro/@|@fingers@
@farqi@|@difference, put a fringe on@
@farriin@|@message@
@farsamayaqaan@|@expert@
@farsamee@|@manage@
@farsameeye@|@master@
@farsamo@|@technique@
@farshaxan@|@skill@
@farsung@|@peach@
@fartoon@|@obey@
@faruur@|@lip@
@farxad@|@happiness@
@farxi@|@make happy@
@fasal@|@section@
@fasax@|@give leave@
@fashiiste@|@facist@
@fasir@|@describe, explanation@
@fasirid@|@clarification@
@fasirid@|@explaining@
@fatuurad@|@automibile@
@fatuurad@|@car, automobile@
@fatuurad@|@motor@
@faxdi@|@charity@
@faxdi@|@present@
@faxdi@|@gift (1)@
@fayl@|@achilles tendon@
@fayo@|@good health@
@fayoobi@|@good health@
@feasibility@|@suuraggelin@
@feast@|@karan, balashi@
@feces of newborns@|@mal@
@federid@|@thinking@
@feejigaan@|@carefulness@
@feer@|@blow, rib, punch@
@feeraar@|@separation@
@feeraari@|@move apart@
@feeraari@|@separate@
@feeraarin@|@development@
@feeraaris@|@separation@
@feeyigaan@|@carefulness@
@feeyignaan@|@carefulness@
@feeyignoow@|@be alert@
@feker@|@reflection, think@
@fennid@|@search@
@ferenji@|@European person@
@feynuus@|@light@
@ffic@|@belly@
@ficil@|@siding with@
@fid@|@stretch@
@fiddo@|@silver@
@fidh@|@dust@
@fidhig@|@accent marker, comma@
@fidi@|@comma@
@fidin@|@stretching@
@fiic@|@skilled person@
@Fiicaan@|@I'm fine@
@fiicnaan@|@cleverness@
@fiicnee@|@make clever@
@fiid@|@evening, flower, twinlight@
@fiidimo@|@evening meal@
@fiidnimo@|@dusk@
@fiigtaal@|@wild animal@
@fiindhee@|@ostracize@
@fiindhee@|@separate@
@fiindho@|@separateness@
@fiiq@|@sharpen, scratch@
@fiirfiiri@|@examine@
@fiiri@|@look at@
@fiiro@|@sight@
@fiirsad@|@act of looking at@
@fiitamiin@|@vitamin@
@fikir@|@think@
@fikrad@|@thought@
@fil@|@age, to expect@
@fil u dhig@|@age equivalent@
@filad@|@expectation (1)@
@filasho@|@expectation@
@filaysasho@|@equalization@
@filaysi@|@equalization@
@Filibiin@|@Philippine@
@filim@|@film@
@filin@|@film@
@filiq@|@throw@
@fillaan@|@sufficiency@
@filo@|@expect@
@finland@|@Finland@
@firaaqo@|@space@
@firfircooni@|@alertness@
@firikuwansi@|@frequency@
@firqo@|@group of people@
@fisigis@|@physics@
@fogaan@|@remoteness@
@food@|@forehead@
@foog@|@tomorrow, morning@
@fool@|@face, labour pains@
@foolad@|@childbirth@
@foolbaxsi@|@breakfast@
@foolxumo@|@ugliness@
@foolxun@|@fish (1)@
@foom@|@form@
@foor@|@win@
@foorad@|@winning@
@foox@|@frankincense@
@fud@|@lump@
@fududaan@|@lightness@
@fududee@|@make easy@
@fududeyn@|@easing@
@fududeynta jimicsiga@|@adaptative physical@
@fujaan@|@cup@
@fujaan@|@mug@
@fuli@|@fulfill@
@fulin@|@fulfillment@
@funaanad@|@sweater@
@fuq@|@jaw@
@fur@|@cork, open, free, untie@
@furaad@|@sling to carry baby@
@furan@|@open itself@
@furayya@|@untie@
@furayya@|@disengage@
@furayya@|@open@
@furdad@|@customs operations@
@fure@|@key@
@furfur@|@couscous@
@furfuro@|@come untied@
@furin@|@scrap of cloth@
@furitaan@|@act of opening@
@furnaan@|@openness@
@furo@|@rob@
@furriin@|@divorce@
@fursad@|@chance@
@furuqa@|@smallpox@
@fushade@|@first month of the Gu season@
@futo@|@vulva@
@futo@|@anus, vulva@
@fuud@|@drink broth@
@fuul@|@get on top of@
@fuundi@|@builder@
@fuuruq@|@smallpox@
@fuxshi@|@insult (1)@
@fuyuul@|@fuel@
@gaab@|@short@
@gaabin@|@becoming short@
@gaad@|@ambush, plant with edible fruit, stalk@
@gaadasho@|@selection@
@gaadasho@|@choice@
@gaaddo@|@chest@
@gaadh@|@arrive@
@gaadhi@|@car@
@gaadhsii@|@make last@
@gaadiid@|@transportation@
@gaadiidsi@|@act of carrying@
@gaadiidsi@|@act of transporting@
@gaado@|@elect@
@gaado@|@character, choose@
@gaado@|@personality, character@
@gaado@|@choose@
@gaafeysi@|@taking turns@
@gaafo@|@prepare@
@gaafo@|@plenty@
@gaafo@|@frequent@
@gaajaysnaan@|@hunger@
@gaajo@|@hunger@
@gaajood@|@be hungry@
@gaal@|@disposition, non-Muslim@
@gaan@|@strength@
@gaar@|@reach, singularity@
@gaari@|@car, good housewife@
@gaarnin@|@achievement@
@gaaroodi@|@forest@
@gaarsii@|@inflicting, make reach@
@gaas@|@gas, large group of warriors@
@gaashaan@|@shield@
@gaashaanbuur@|@alliance@
@gaashaandhig@|@defense, defend onself@
@gaashaanle@|@major@
@gaayimad@|@notebook@
@gab@|@neglect@
@gab@|@fail to do, neglect@
@gabaddanaysnaan@|@cold@
@gabaddanaysnaan@|@chilliness, cold@
@gabaddano@|@chilly@
@gabaddano@|@cold weather, chill@
@gabadh@|@daughter, girl@
@gabagabee@|@conclude@
@gabaggabo@|@conclusion@
@gabal@|@portion@
@gabaldhac@|@sunset@
@gabar@|@daugther, girl, pay in part@
@gabarnimo@|@girlhood@
@gabay@|@recite a poem, poem@
@gabayaa@|@poet@
@gabbaad@|@shelter@
@gabbal@|@daylight, spot@
@gabbaldhac@|@sunset@
@gabbaldhacsi@|@sunset@
@gabbalgaab@|@evening@
@gabbaro@|@tax@
@gabbo@|@hide@
@gabdho@|@girls@
@gabey@|@recite a poetry, poem, song@
@gaboob@|@grow old@
@gabow@|@old (not young), old age@
@gabownimo@|@old age, age@
@gabyaa@|@poet@
@gacal@|@beloved person@
@gacaliso@|@beloved female@
@gacaliye@|@beloved male relative@
@gacalnimo@|@kinship@
@gacalo@|@lover@
@gacaltooyo@|@affection@
@gacan@|@arm, hand@
@gacantir@|@towel@
@gacanyare@|@assistant@
@Gacmaha madaxa saar!@|@Put your hands over your head!@
@gad@|@sell, chin, beard@
@gadaal@|@back@
@gadasho@|@buying@
@gade@|@vendor@
@gade@|@seller@
@gado@|@buying@
@gadood@|@anger (1)@
@gaf@|@err@
@gafootan@|@take turns@
@gafootan@|@alternation@
@gafootan@|@alternate@
@gafuur@|@muzzle@
@gahayr@|@unripe fruit@
@gal@|@container, enter@
@galaas@|@glass@
@galaas@|@tumbler, glass@
@galab@|@afternoon@
@Galab wanaagsan@|@good afternoon@
@galabgaad@|@late afternoon@
@galabnimo@|@afternoon@
@galahi@|@baldness@
@galahi@|@bald spot@
@galbeed@|@west@
@galeen@|@cover@
@gallad@|@favour, gratitude@
@gallad@|@gratitude@
@galley@|@maize@
@galmo@|@sexual intercourse@
@galti@|@foreigner@
@galtibbax@|@education@
@gama@|@mane@
@ganaax@|@fine, punish@
@ganac@|@price@
@ganacsade@|@merchant@
@ganacsato@|@trader@
@ganacsi@|@trader@
@ganacso@|@trade@
@ganbooley@|@women@
@gar@|@chin, beard, lawsuit@
@gar@|@beard, chin@
@garaab@|@be sympathetic@
@garaac@|@beat@
@garaacid@|@blow@
@garaacis@|@act of beating@
@garaad@|@understanding@
@garaamme@|@gram@
@garaash@|@garage@
@garab@|@shoulder, back@
@garabsasho@|@support (1)@
@garan@|@sweater@
@garansho@|@understanding@
@garansiin@|@warning@
@garansiin@|@convincing@
@garansiin@|@reminding@
@garasho@|@wisdom@
@garasho@|@understanding, wisdom@
@garawsasho@|@reasonableness@
@garawsho@|@act of accepting blame@
@garbaggale@|@jacket@
@garbaggale@|@shirt@
@gardarra@|@offense@
@gardarraysasho@|@intimidation@
@gardarrayso@|@provoke@
@gardarrayso@|@do wrong, provoke@
@gardarrayso@|@intimidate@
@gardarro@|@wrong, offense@
@gardarro@|@offense@
@gardarro@|@intimidation@
@gardarro@|@injustice@
@gargaar@|@help@
@gargaarto@|@nurse@
@gargeyr@|@elders@
@gariir@|@trembling@
@garnaqe@|@mediator@
@garnaqe@|@judge@
@garo@|@know, understand@
@garo@|@understand@
@garo@|@know how, know@
@garo@|@recognize, understand@
@garo@|@be able@
@garoob@|@become@
@garoon@|@field@
@garqayb@|@judging@
@garqayb@|@mediation@
@garqaybi@|@settle@
@garqaybi@|@decide@
@garran@|@accuse@
@garsoor@|@judge, justice@
@garsoore@|@judge@
@garwaaqso@|@remember@
@garyaqaan@|@lawyer@
@gas@|@hair@
@gasariir@|@severe drought@
@gash@|@equipment@
@gashaan@|@lover@
@gashi@|@shirt@
@gashi@|@jacket, shirt@
@gashiisho@|@couscous, flour@
@gashin@|@nutrition@
@gasiin@|@food (1)@
@gasiirad@|@island@
@gathering@|@mahrajaan@
@gawra@|@throat@
@gawrac@|@slaughter@
@gayi@|@world@
@gayi@|@country@
@gayi@|@universe, world, country@
@gayood@|@judgement@
@gebaggebo@|@conclusion@
@gebi@|@forehead, pier, riverbank, next to, near, beside@
@ged@|@aspect@
@ged@|@norm, aspect@
@ged@|@character, norm@
@gedaad@|@be angry, anger@
@geddis@|@changed@
@geddisley@|@businessman@
@geddisley@|@trader@
@geddiso@|@exchange@
@gedef@|@circle@
@gedmo@|@be confused@
@geed@|@tree@
@geedo@|@grass@
@geel@|@camel, camels@
@geenyo@|@mare@
@geeraar@|@recite, Somali epic poem@
@geeresh@|@garage@
@geeri@|@death@
@gees@|@direction, horn, side@
@geesi@|@brave man@
@geesinnimo@|@bravery@
@geey@|@convey@
@geey@|@take@
@geey@|@transport@
@geeyn@|@transporting@
@gef@|@make an error, mistake@
@gefer@|@run loose@
@geftin@|@border@
@geftin@|@edge@
@gegi@|@open space@
@Gegida Dayuuradaha@|@airport@
@gel@|@enter@
@geli@|@put in@
@gelid@|@entry@
@gelin@|@insecting, half of day, half of night@
@gelis@|@insertion@
@genyo@|@mule@
@geri@|@giraffe@
@gesh@|@equipment@
@geshin@|@nutrition@
@gesiin@|@food (1)@
@geyi@|@land@
@geyr@|@anger@
@gguto@|@crowd of people@
@ghee@|@liquefied butter@
@gibilcad@|@light-skinned@
@gibilmadow@|@dark-skinned@
@gidaad@|@be angry, anger@
@gidaar@|@wall@
@giddi@|@whole@
@giirbaq@|@color@
@gir@|@exist@
@gir@|@be@
@giyi@|@land@
@giyi@|@country@
@glungulco@|@rounded shape@
@gobannimadoon@|@freedom seekers@
@gobannimadoon@|@liberation front@
@gobel@|@province@
@gobel@|@region@
@gobol@|@region@
@gocasho@|@remembrance@
@god@|@bend, hole in the ground@
@godob@|@injury@
@godob@|@harm@
@gogol@|@put down mats@
@gogoldhig@|@introductions@
@gol@|@fold in a dress@
@gol daloolo@|@area of wekness@
@golah@|@baldness@
@golax@|@bald spot@
@golo@|@council@
@golongol@|@work-team@
@goob@|@open space, search for@
@goobaab@|@zero, circle (1)@
@goobo@|@circle@
@good@|@python@
@gooddi@|@threat@
@gooddi@|@threaten@
@googgarad@|@skirt@
@googooy@|@break a date@
@gool@|@fat she-camel@
@goon@|@chop@
@goor@|@time (1)@
@Goorma ayaad xanuunsatay?@|@When did you become ill?@
@goorma?@|@when?@
@goorta@|@when@
@gooryaan@|@worm@
@gooy@|@cut@
@gorgor@|@eagle@
@gorgori@|@bargain@
@gorgoro@|@bargain@
@gorgortan@|@bargaining@
@gorma@|@when@
@gorom-saa@|@young man@
@goror@|@bleed@
@gosh@|@ply between two places@
@gosido@|@system@
@gow@|@section, part@
@gow@|@part@
@gowriir@|@bend over something, bending over@
@goy@|@cut off@
@gu@|@rainy season@
@gu'@|@sringtime@
@gub@|@burn@
@gubad@|@something burning@
@gubid@|@arson@
@gubnood@|@burnt food@
@gubo@|@burn@
@gubun@|@cheese@
@guclee@|@run slowly@
@guclee@|@job@
@gud@|@almond tree, cut off@
@gudaal@|@payment of a debt@
@gudasho@|@performance of an obligation@
@gudbi@|@send across@
@gudboonaan@|@equality@
@gudcur@|@darkness@
@guddi@|@committee@
@guddoomi@|@verdict@
@guddoomi@|@give a decision@
@guddoomiye@|@chairman@
@guddoomiye@|@executive@
@guddoon@|@accept, decision@
@guddoonsad@|@reaching a decision@
@guddoonsasho@|@act of reaching a decision@
@guddoonshe@|@chairman@
@gude@|@inside@
@gudihiisa@|@inside@
@gudimo@|@axe@
@gudin@|@axe@
@gudo@|@discharge, inside@
@gudub@|@cross@
@guduud@|@the color red@
@guduudi@|@dye@
@guduudi@|@stain red@
@guduudi@|@stain brown@
@guduudi@|@paint@
@guduudo@|@fish (1)@
@guf@|@stopper@
@guf@|@plug@
@gufee@|@plug@
@guguc@|@thunder@
@guhaad@|@moaning@
@guho@|@something bent@
@guho@|@concave@
@gujee@|@punch@
@gujo@|@punch@
@guluus@|@button@
@gumeysad@|@colonialization@
@gumeysasho@|@colonizing@
@gumeysasho@|@enslaving@
@gumeysi@|@neo-colonialism@
@gumeyste@|@colonialist@
@gun@|@administration@
@gunaanad@|@recitation of Koran to death@
@gundhi@|@raise@
@gundhi@|@lift@
@gundhi@|@jerk@
@gundhig@|@beginning, start@
@gundhigasho@|@act of starting@
@gundhigo@|@base@
@gundhigo@|@found@
@gundho@|@bottom@
@gundho@|@foundation@
@gundho@|@base@
@gunnad@|@handbag@
@gunnad@|@bag@
@gunnimo@|@inferior rank@
@gunno@|@bonus@
@guntin@|@bundle@
@guntin@|@knot@
@guntin@|@something wrapped@
@guntin@|@something tied@
@gunto@|@tie round oneself@
@gunto@|@wrap round oneself@
@gunud@|@knot, tie a knot@
@gunuunuc@|@grumbling, murmur, mutter, whisper, grumble@
@gunuunuc@|@murmur, whisper@
@gunuunuc@|@whispering@
@gunuus@|@grumble, growl@
@gur@|@collect, left hand, insult (1), cut@
@gur@|@pack up@
@gurasho@|@act of collecting@
@gurbaan@|@drum@
@gurbi@|@sweep up@
@gurbi@|@collect@
@gurbo@|@bite@
@gurbo@|@peck@
@gurbood@|@children (1)@
@gurdanraac@|@follow ignorantly@
@gure@|@ladle, scoop@
@gure@|@scoop@
@gurey@|@left-handed person@
@gurgur@|@carry things one by one@
@gurguurad@|@crawl@
@guri@|@house, cause to run dry@
@Guriga ku samee!@|@Do it at home!@
@gurmad@|@emergency force@
@guro@|@pick for oneself@
@guro@|@place cleared for people sit@
@gurrac@|@bentness@
@gurranaan@|@left-handedness@
@gurranaansho@|@state of being left handed@
@gurubsasho@|@act of gathering up@
@gurubso@|@gather up@
@guruddanbays@|@last child of a family@
@gurux@|@eyeball@
@gurxan@|@growl@
@guryan@|@idle chatter@
@guubaabi@|@stir up@
@guubaabi@|@encite, encourage@
@guubaabi@|@encourage@
@guubaabo@|@incendiary speeches@
@guud@|@mane@
@guudmar@|@hint@
@guudmar@|@speak indirectly@
@guudo@|@intestines@
@guuhaad@|@conduct, behavior (1)@
@guuhaad@|@behavior (1)@
@guul@|@success, spend night at watering place@
@guul@|@victory, success@
@guulaamee@|@be about to rain@
@guulaamo@|@storm clouds@
@guulan@|@be terrified@
@guuldarraysasho@|@state of defeat@
@guuldarrayso@|@lack of success@
@guuldarrayso@|@defeat@
@guuldarro@|@state of defeat@
@guuleysasho@|@act of  being victorious@
@guuleyso@|@win, be victorious, be win@
@guulguul@|@terrorize@
@guulguul@|@threaten@
@guulguul@|@threat@
@guumees@|@owl@
@guumeys@|@owl@
@guumeys@|@old ugly man@
@guumeys@|@old bachelor@
@guumeys@|@old maid@
@guur@|@marriage, migrate@
@guuree@|@nighttime travel@
@guurguurasho@|@crawling@
@guuri@|@arrange a marriage, wall@
@guurid@|@migration@
@guuris@|@migration@
@guursad@|@getting married@
@guursasho@|@act of getting married, marriage@
@guurso@|@marry@
@guurso@|@get married@
@guurti@|@wise men@
@guux@|@appreciate@
@guux@|@be pleased with@
@guux@|@grunt@
@guuyo@|@dwarf@
@guuyo@|@midget@
@guuyo@|@wealth (1)@
@guxuun@|@bluntness, make blunt@
@Ha baqin@|@Do not be afraid@
@Ha i taaban!@|@Don't touch me there!@
@haa@|@yes@
@haabasho@|@act of feeling, groping@
@haabhaabasho@|@groping about@
@haabhaabo@|@groping about@
@haabo@|@feel for something one cannot@
@haad@|@birds@
@haad@|@insecure place, fly@
@haadun@|@poor people@
@haadun@|@the poor@
@haajir@|@emigrate@
@haal@|@responsability@
@haal@|@position@
@haalaati@|@craving@
@haalhee@|@take responsibility (for), organize (1)@
@haami@|@make a plan or decision@
@haan@|@water vessel, throat@
@haaneedi@|@tidy@
@haaneedi@|@put in order@
@haar@|@persitence, persistence, scar, weal, excrements@
@haar@|@zeal, be zealous, be persistent@
@haaraan@|@reproof@
@haaraan@|@blame, reproof@
@haaraan@|@reprove@
@haasaawe@|@conversation@
@haasaawi@|@chat@
@haasaawi@|@tell stories@
@haasaw@|@discuss@
@haasaw@|@converse@
@haashaar@|@beautiful appearance@
@haati@|@wave@
@haawasho@|@neglect@
@haawey@|@the poor@
@haawo@|@leave open to the air@
@haayid@|@intention@
@haayir@|@emigrate@
@haayir@|@immigrate, large enemy force@
@hab@|@feed a baby, method@
@habaab@|@be lost@
@habaabi@|@mislead@
@habaar@|@curse@
@habaas@|@dust@
@habaasi@|@blow dust@
@habagsi@|@vagueness@
@habal@|@retain@
@habal@|@preserve@
@habar@|@cover, mother@
@habarwadaag@|@siblings having the same mom@
@habaryar@|@maternal aunt@
@habaw@|@lost person@
@habay@|@leak@
@habayo@|@leaky vessel@
@habays@|@act of ordering, arranging@
@habayso@|@plan (1)@
@habayso@|@organize (1)@
@habbanaan@|@correctness@
@habbi@|@weigh down@
@habbi@|@press down@
@habbis@|@act of weighing down@
@habbiso@|@weight@
@habboonaan@|@appropriateness@
@habboonoow@|@be suitable@
@habdarro@|@disorder@
@habdarro@|@untidiness, disorder@
@habee@|@plan@
@habee@|@arrange, order@
@habeeb@|@night@
@habeen@|@night@
@habeen hore@|@the night before last@
@Habeen wanaagsan@|@good evening@
@habeennimo@|@darkness@
@habeennimo@|@night@
@habi@|@intelligence, thought@
@habi@|@thought@
@habilaawe@|@unintelligent person, stupid@
@hablo@|@girls@
@habmaamuus@|@protocol@
@habqan@|@walk in succession@
@habrasho@|@hesitation from fear@
@habsami@|@good order@
@habsasho@|@act of collapsing@
@habso@|@collapse@
@had@|@understand, guide a blind person, time@
@hadaadun@|@discouragement@
@hadaaf@|@walk slowly, slow pace@
@hadaayad@|@gift@
@hadaayad@|@talent@
@hadaf@|@failure@
@hadal@|@talk@
@hadaltiro@|@loquacity@
@hadaltiro@|@talkativeness@
@hadarinan@|@boredom@
@haddiddaad@|@threat@
@haddii@|@if@
@haddii@|@if (condition)@
@hadh@|@shade@
@hadhud@|@corn@
@hadimo@|@death (1)@
@hadiyad@|@present@
@hadiyad@|@gift (1)@
@hadlay@|@he said@
@hadli@|@induce someone to talk@
@hado@|@gift@
@hado@|@talent@
@hadur@|@triviality@
@hadur@|@small matter@
@haf@|@forget@
@hafad@|@drowning@
@hafad@|@being overwhelmed@
@hafi@|@sink something@
@hafi@|@drown someone@
@hafo@|@drown@
@hafo@|@sink@
@hafto@|@breathlessness@
@haftood@|@be out of breath, gasp@
@Hagaad ka timid?@|@Where are you from?@
@hagaag@|@go straight ahead, straightness@
@hagaajin@|@putting in order@
@hagabsi@|@dimness@
@hagag@|@argue@
@hagag@|@argument (2)@
@hagagaaji@|@regulate@
@hagagaaji@|@put in order@
@hagagaajin@|@putting in order@
@hagagaajiye@|@one who puts in order@
@hagar@|@neglect of responsibility@
@hagarbax@|@great effort@
@hagarbixi@|@relieve responsibility@
@hagardaamo@|@trouble@
@hagardaamo@|@burden, trouble@
@hagardamo@|@pester, pestering@
@hagardamo@|@pestering, pester@
@hagrasho@|@acting half-heartedly@
@hagro@|@act half-heartedly@
@hah@|@hot@
@hah@|@pungent taste@
@hakad@|@pause@
@hakad@|@comma@
@hakasho@|@pausing@
@haki@|@pause@
@hako@|@pause@
@hal@|@one, she-camel, wash (1)@
@halaag@|@annihilation, destruction, anihilation@
@halaaji@|@bring to destruction@
@halaalac@|@twinckling, shine, sparkle@
@halaammacays@|@act of grilling, roasting@
@halaammacoodi@|@grill@
@halaanhal@|@song@
@halabaysasho@|@act of stealing@
@halabayso@|@steal animals@
@halabo@|@stolen animals@
@halakee@|@severily@
@halakee@|@wound@
@halako@|@severe harm@
@halalaac@|@glitter@
@halalaac@|@twickle@
@halaq@|@reptile@
@halaq@|@snake@
@halaqdile@|@leading warrior@
@halaqdile@|@champion@
@haldhac@|@indiscretion@
@haldhacsasho@|@tactlessness@
@haldhacsasho@|@indiscretion@
@haldhacso@|@let out a secret@
@haleel@|@making it in time@
@haleel@|@make it in time@
@halgaad@|@throw@
@halgaad@|@throw@
@halgamid@|@struggle@
@halgan@|@struggle@
@halgan@|@compete@
@halhaleel@|@promptness@
@halhaleel@|@speed@
@haliil@|@act without hesitating@
@halis@|@danger, risk@
@halkan@|@here@
@Halkuu telefoonku ku yaal@|@Where is the telephone?@
@hallaab@|@be lost@
@halladaadi@|@leave unguarded@
@halladaado@|@unprotectedness@
@hallaw@|@act of getting lost, be lost@
@hallayeelo@|@agreement (1)@
@hallayn@|@losing@
@hallee@|@spoil@
@hallig@|@destruction@
@halloob@|@be lost@
@hallow@|@state of being lost@
@halmaan@|@forgetting@
@haloosi@|@broad road@
@halow@|@flame@
@halqaf@|@act of capturing, clutch at@
@halqafi@|@capture@
@halrarasho@|@act of causing@
@halraro@|@cause@
@halwad@|@wobbling@
@halwi@|@scorch@
@halwi@|@singe@
@hamaansasho@|@act of yawning@
@hamaansasho@|@act of gaping@
@hambalyee@|@congratulate@
@hambalyo@|@congratulations@
@hambo@|@remaider@
@hambo@|@leftovers@
@hammi@|@problem@
@hammi@|@worry (1)@
@hammuun@|@hunger@
@hamuumanaan@|@fasting@
@hamuumanaan@|@hunger (1)@
@hamuun@|@state of fasting@
@hamuun@|@hunger (1)@
@hamuungorgor@|@insatiable hunger@
@hamuuntirasho@|@breakfast@
@hamuuntiro@|@have breakfast@
@han@|@pride@
@han@|@ambition, pride@
@hanaayo@|@blame, accusation@
@hanasho@|@prospering@
@hanbalyee@|@congratulate@
@hanbalyo@|@congratulations@
@hanbee@|@save remains of food@
@hanbo@|@leftovers@
@hanboorri@|@forward push, push forwards@
@handad@|@start@
@handad@|@jump, start@
@hanfad@|@be threatened@
@hanfad@|@be startled, threat, start@
@hanfadi@|@startle@
@hanfadi@|@threaten@
@hanfaf@|@start@
@hanfaf@|@jump@
@hanfaf@|@start@
@hanfaf@|@jump, start@
@hangaggurree@|@berate@
@hangaggurree@|@scole@
@hangaggurro@|@scolding@
@hanjab@|@threaten@
@hanjabo@|@threat@
@hankaag@|@be disappointed@
@hannaan@|@appearence, shape@
@hannaansho@|@organization, order@
@hannani@|@set in order@
@hannas@|@desert@
@hannas@|@empty country@
@hanqaaran@|@fail to get@
@hanqaaran@|@failure to find something@
@hanqal@|@chest@
@hanqar@|@thunder@
@hantaaqo@|@hurt caused by a fall@
@hantaatac@|@rambling talk@
@hantaatac@|@vague@
@hanti@|@own@
