@English@|@Yoruba@
@hermit@|@aládàágbéàdágbáanìkanje@
@hernia@|@ìyô ìfun@
@hero@|@akôni, alágbára@
@heroic@|@ìÿe akôni@
@heroin@|@akôni obìnrin@
@hesitation@|@iyèméjìàníàní@
@hexagon@|@nkan onígun mêfà@
@hibernation@|@ìdágbéàsémôraàsémô@
@hiccup@|@òsúkèsúkèsúkè@
@hidder@|@dá lôwô dúródíwôdí lí önà@
@hide@|@ìpamô@
@high@|@ga@
@high school@|@ilé ëkô@
@highway@|@önà gbàngbàòpópó@
@hijack@|@dè nà dègbà ní tipá@
@hiker@|@arìnrìn fàájì nínú aginjù@
@hill@|@òkè kékeré@
@hilly@|@kìkì òkè@
@him@|@ó, òun@
@hinderance@|@ìdínàìdádúróìdíwô@
@Hindu@|@Hííndù@
@Hindu(1)@|@ti ësìn Hííndù@
@hinge@|@ohun àgbékô@
@hint@|@ìfenulé@
@hip@|@ìbàdí@
@hippopotamus@|@eÿin omieÿin odòjomijoke@
@hire@|@gbaÿê ôwôháyàgbàlôyà@
@his@|@rê, tirê@
@hiss@|@pòÿé@
@historian@|@òpìtàn òkòwé ìtàn ìjôba@
@historic@|@ti íwé itan@
@history@|@íwé ìtàn@
@hit@|@gbá  nàlù@
@hitch@|@kôfi ìwo kô@
@hoarse@|@lë@
@hobby@|@iÿê ìdera fún ìgbádùn ara eni@
@hoe@|@ôkö@
@hog@|@eld@
@home@|@ile@
@honey@|@oyin@
@horse@|@eÿin@
@hour@|@wákàtí@
@house@|@ilé@
@how@|@bí@
@human being@|@ènìyàn@
@hunger@|@ebi@
@husband@|@ôkô@
@I@|@émi, mo@
@ice@|@omi dídì, yìnyín@
@ice cream@|@wàrà dídì aláàdúùn@
@icicle@|@yìnyín têrê@
@idea@|@ìròiyè inú@
@ideal@|@àpere aláìlêgbê@
@identical@|@bámubákanñà gêgê@
@identification@|@ìdámöàmì ìdámöàmìorúkô@
@identify@|@ÿèdámömö dájúsàmìsí@
@idiom@|@ësô örö@
@idiot@|@aÿiwèrèòmùgöapôdà@
@idiotic@|@tíí hùwà aÿiwèrèbíi ti òmùgö@
@idle@|@leáìÿiÿê@
@idol@|@èreòrìÿà@
@idolize@|@kêsôdòrìÿà@
@if@|@bíbí ó bábóÿepé@
@ignite@|@tinábökùn@
@ignorance@|@àìmöàìlóyeòpe@
@ignorant@|@láìmöyeláìmöòpe@
@ill@|@ÿàìsàn@
@illegal@|@lòdì sí òfinàìtôsófinàìbófinmu@
@illegitimate@|@ômô àlè, õnà àìtö@
@illiterate@|@aláìmöwéaláìköwéàìkô@
@illness@|@àìsàn, àrùn@
@illuminate@|@tàn ìmôlëÿe lôÿöôfi òye yé@
@illumination@|@ìmôlëìtànòye@
@illusion@|@ìÿìnàëtànìrújú@
@image@|@àwòrán, àwòrán, àwòráneré@
@imagine@|@fojú inú wò, rò gbèrò@
@imbalance@|@àìpéàìdôgba@
@imitate@|@tëlêÿe àfarawéfarawésínje@
@imitation@|@àfarawéàpere  ìsínjeìÿàwòta@
@immagination@|@ojú-inúìròòyé@
@immaginative@|@àfojú-inú-wò@
@immaterial@|@láìníláríÿàìtó túnòtúbántê@
@immature@|@àìpônàìgbôàìgbôn@
@immaturity@|@ìwà àìgbônìwà ômôdebí ômôdé@
@immediate@|@lójúkannáàlôgánní kíá@
@immense@|@láìníwönláìníyetítóbinlá@
@immerse@|@tê bomi@
@immersion@|@ìtëbomiìteríbomi@
@immigration@|@ìÿílô sí ìlú míràn@
@imminent@|@léwu lórísúnmô ìtòsí@
@immortal@|@láìkútí kò lè kú@
@immortality@|@áìkúàìdìbàjê@
@immune@|@lánfàníní ìdásíní ìtúsílë@
@impact@|@agbárakíkàn, ìwólù@
@impair@|@bàjêfàsêhìn@
@impassable@|@láìÿeé là kôjá@
@impatience@|@àìnísùúrùìkánjúàìfarabalë@
@impatient@|@láìnísùúrùníkàánjúláìfarabalë@
@imperial@|@ti ìjôbati ôba@
@implement@|@ÿemú ÿç lë@
@imply@|@wí láìsôfà yô@
@importance@|@ohun  pàtàkìlárí@
@important@|@pàtàkìtóbilárí@
@impossible@|@ÿòroláìÿeéÿe@
@impress@|@pôntàn, të môwö lôkàntenumô@
@impression@|@èroàfiyé, ìsàmìsítítë@
@imprint@|@títëmôfífisí ìrántíìsàmìsí@
@imprison@|@há môsé môtí môlé@
@imprisonment@|@ìhámô inú túbúìfisêwön@
@improbable@|@láìlèríbëÿàìríbë@
@improper@|@láìtôláìye@
@improve@|@mú sàntún ÿemú dára@
@improvement@|@ìmúsànàtúnÿeìmúdára síwájú@
@improvise@|@dá-sílëdá ôgbón sifi ôgbón ÿe@
@impulse@|@agbára ìrôlùòòfà ôkàn@
@in@|@ní, nínú@
@in what way@|@bí@
@inability@|@àìnípaàìlágbára@
@inaccessible@|@láìlèsúnmôláìlèlàkôjá@
@inaccurate@|@láìpeláìkàpéníÿìÿe@
@inactive@|@láìÿe nkanleláìÿiÿê@
@inadequate@|@láìtôláìtôõkan@
@inadvertently@|@láìfiyèsíláfojú-fòdá@
@inauguration@|@ìdásílëìbërëìpìlëìjôbaìfijôba@
@incapable@|@láìlèÿeláìlágbára@
@incense@|@láìlèÿeláìlágbára, òórùn tùràrí@
@incentive@|@ìmóríyáìÿíni lórí@
@incident@|@alábàápàdéìÿelëìtàn@
@incidentally@|@ÿalábàápàdé@
@incite@|@gbé dìderú ôkàn sókè@
@inclination@|@ìtësíìfa ôkàn sí@
@incline@|@kìkì òkèòkè@
@include@|@kà kún fi pëlúkàmôfikún@
@including@|@áti, pêlú@
@inclusive@|@níti àkójôpöti ëkúnnípa kíkún@
@income@|@èrèowó ôdúnèléowó-iÿêowó-öya@
@incompetent@|@láìlágbáraláìtôÿàìtó@
@incomplete@|@láìpéÿàìkún@
@inconvenience@|@ohun àìrôrùn@
@inconvenient@|@àìrôrùnláìye@
@incorrect@|@láìpé@
@increase@|@ìbísiàsunkúnìpösi@
@increasing@|@bí si, pípõ siì@
@incredible@|@láìÿeégbàgbô@
@incriminate@|@fi sùnka ëÿë sí lôrùn@
@incurable@|@láìlèwòsànjingíri@
@indecent@|@àìtôàìwòàìye@
@indecision@|@iyèméjìàìpinnuàníàni@
@indeed@|@gidi, nítòótö@
@indefinite@|@láìlópintí kò dájú@
@indefinitely@|@láláìlópintítíláí@
@indian corn@|@àgbàdo@
@indicate@|@fihàn tôkasí yàn@
@indication@|@ìfihànàpere@
@indict@|@fi sùnka ëÿë sí lôrùn@
@indictment@|@ìwé ësùn@
@indigestion@|@àìda onje@
@indirectly@|@láìÿetàrà@
@individual@|@olúkúlùkúeni kökan@
@industrial@|@láìsimiláápôn@
@industry@|@aápôniÿê oníÿòwò@
@ineffective@|@láìní àÿeláìmúrôláìlágbára@
@inefficient@|@láìwúlò@
@inexpensive@|@láìnì ìnáwó púpö@
@infamous@|@burú rékôjálêgàn@
@infant@|@ômô ôwôômô-ômu@
@infantary@|@ômô-ogun elêsë@
@infect@|@rán môkó ràntàn ká@
@infection@|@ìránmôàkórànëràn@
@infectious@|@tíí ràntí ígbéràn@
@inferior@|@rçlë jùômô-ëhìnrëhìn@
@ingnition@|@ìtinábökíkùn@
@in-law@|@àna@
@insect@|@kòkòrò@
@iron@|@irin@
@island@|@erékúsù@
@jacket@|@êwù àwõlékè@
@jail@|@ilé êwõn, ilé túbú@
@jam@|@èso igi tí a ti sè, ìnira, ìyônu, ìÿòro@
@jammed@|@fífún põ, títì põ@
@janitor@|@olùtöjú ilé iÿë@
@January@|@oÿù kìnínní ôdún@
@jar@|@ebà, ìdê, ìgò@
@jaw@|@egungun párí êrêkë@
@jealous@|@olójowú, owú@
@jealously@|@owú, owú-jíje@
@jeep@|@irú ôkõ kan@
@jelly@|@omi èso tí a fi iyõ òyìnbó dì@
@jellyfish@|@irú eja kan@
@jet@|@ìÿàn omi ìrúkè omi, ôkõ òfúrufú@
@jetty@|@afárá tí ó yô sínú omi@
@Jew@|@Hébérù, olùgbé Jùdéà, ômô Ísráëlì@
@jewel@|@àlùmônì, òkúta iyebíye@
@jeweler@|@olùtà òkúta iyebíye@
@jewelry@|@ohun öÿô olókúta iyebíye@
@Jewish@|@ômô Ísráëlì@
@job@|@is, iÿë, iÿë kékeré@
@jobless@|@láìÿeÿë@
@join@|@dì, dì, fi kún, so mô, so põ@
@joint@|@oríkèé@
@joke@|@àpárá, àwàdà, àÿàyà, êfê, õrõ êrín, yêyë@
@journal@|@ìwé ìròhìn@
@journalism@|@iÿë kíkô ìwé ìròhìn@
@journalist@|@akõwé ìròhìn@
@journey@|@àjò, àjò, ìrìnàjò@
@joy@|@ay, ayõ@
@joyful@|@kún fún ayõ, ÿàríyá@
@judge@|@adájö, dájö, dálëjö, fojú wõn, onídájö@
@judgement@|@ìdájö@
@juice@|@oje, omi inú èso@
@juicy@|@kún fún omi, lëtù lójú, olóje, rin@
@July@|@oÿù keje ôdún@
@jump@|@bë, fò@
@junction@|@ìdàpõ ìsolù, ìpàdé õnà@
@June@|@oÿù kçfà ôdún@
@jungle@|@aginjù, igbó@
@junior@|@àbúrò kékeré, àtêlé@
@juror@|@aÿegbë ìgbímõ@
@just@|@dídúró ÿinÿinní, láìníbàáwí, olódodo, tòótö@
@just (1)@|@gan, gêgê, nísisìyí, níwòyí kúkú, pátápátá, ÿêÿê@
@justice@|@òtítö òdodo onídájö@
@justification@|@ìdáláre@
@justify@|@dá láre@
@juvenile@|@ti èwe, ti ômôdé@
@kangaroo@|@eranko  afikùn gbömô rê põn@
@keep@|@fi pamö, töjú@
@kennel@|@ilé ajá@
@ketchup@|@onje oní tùmátì dídùn@
@kettle@|@ìkòkò bíbô omi, ohun èlò omi@
@key@|@ìtumõ, kökörö, ômô àgàdàgodo, ômô ìÿíkà@
@keyboard@|@dùrù, èlò àfôwôte@
@kick@|@ìtàpá, tàpá@
@kidnap@|@jí ènìyàn gbé, jí ènìyàn tà, jítà@
@kidnapping@|@ìdánà, jíjí ènìyàn gbé, jíjínità@
@kidney@|@ere, iwe, ôlô-inú@
@kill@|@gbé lëmìí, pa@
@killer@|@apànìyàn@
@kilo@|@ìwõn, kilo, òÿùwõn@
@kilometer@|@ìjìnà, ìwõn@
@kind@|@irù egbë õwö, nínú rere, ÿènìyàn@
@kindness@|@inú rere ôre, ìÿeun@
@king@|@ôba@
@kingdom@|@ìjôba ilé ôba ìlú@
@kiss@|@fi enu konu, ìfenukonu@
@kitchen@|@ibi ìdáná, ilé ìseñje@
@kitten@|@ômô ológbò, ômô ológìnní@
@knead@|@pò@
@knee@|@ekún, orúkún@
@kneecap@|@egungun ekún@
@kneel@|@kúnlê@
@knife@|@õbç, òbe@
@knight@|@irú olóyè kan@
@knit@|@dàpõ, fi ôwö hun@
@knob@|@kókó@
@knock@|@kàn, kànkùn, lù@
@knot@|@ìdìjú, ìsolù, kókó@
@know@|@mõ@
@knowledge@|@ìmõ, mímõ, ôgbön êkö, òye@
@knuckle@|@kókó ôwö, oríìké ìka@
@Koran@|@Àlkùránì, ìwé-mímö Ìmàle@
@kow-how@|@ìmõ, ìmõ iÿë ônà, ôgbön ìmõ@
@lake@|@adágún@
@lamb@|@òdó-àgùntàn@
@lamp@|@àtùpà@
@land@|@il@
@language@|@èdè@
@lay hold of@|@gbà@
@leader@|@ìjòyè@
@leaf@|@ewé@
@learned person@|@õjögbön@
@leather@|@awo@
@leg@|@es, esè, esê@
@leopard@|@ekùn@
@letter (alphabet)@|@ábídí; létà@
@letter (mail)@|@létà; ìwé tí a ko sí ènìyàn@
@light@|@iná@
@like@|@bí@
@likewise@|@w@
@lion@|@kìnìún@
@lip@|@ètè@
@liver@|@êdö@
@load@|@eru@
@location@|@ibi@
@locust tree@|@ìgbá@
@long time no see@|@o t'ojo meta@
@looking-glass@|@dígí@
@lord@|@oluwa@
@louse@|@iná@
@love@|@f ràn@
@luggage@|@eru@
@lunatic@|@asiwèrè@
@machine@|@êrô, ohun èlò, ro@
@machine gun@|@ìbôn etù@
@machinery@|@êrô, ohun èlò@
@machinist@|@elërô@
@mad@|@asínwín, bíbàjë orí, ÿiwèrè@
@magazine@|@àpò etù, ìwé ìròhìn@
@maggot@|@ìdin@
@magic@|@idán@
@magician@|@aláfõÿe, alálùpàyídà, onídán@
@magistrate@|@adájö, onídàájö@
@magnet@|@òkúta ìmúrin, òòfà@
@magnificent@|@lógo, níyìn púpõ, tóbi@
@magnify@|@gbé-ga, mú-tóbi, yìn lógo@
@magnifying glass@|@dígí ìmútóbi@
@maid@|@obìnrin, omidan, ômô-õdõ obìnrin, wúndíá@
@mail@|@ìwé, lëtà@
@mail box@|@àpótí tí a fi lëtà pamö sí@
@mailman@|@òÿìÿë tí pín ìwé (lëtà) kiri@
@main@|@olórí, pàtàkì@
@mainland@|@ìlú gan, olú ìlú@
@mainly@|@pàtàkì, pàtàkì jùlô@
@maintain@|@dì mú, töjú, ÿe ìtöjú@
@maintenance@|@ìtöjú@
@maize@|@àgbàdo@
@major@|@oyè õgágun àgbà@
@majority@|@õpõ ènìyàn@
@make@|@dá, ÿe@
@make-up@|@fi ÿe fáàrí, ìfi àtíkè ku ojú, ìpadàbõwá ÿe parí@
@male@|@akô@
@malice@|@arankan, êtê, kùnrùngbùn, odì@
@malignant@|@ní ìkà, ní ìrò búburú, ní oró nínú@
@mammal@|@ènìyàn/eranko àfômúbömô@
@man@|@ènìyàn, ôkùnrin@
@manage@|@kápá, kawo, tö, ÿe àbójútó, ÿe àkóso, ÿe ìtöjú@
@manageable@|@níkáwô, rôrùn láti tó, ÿe ìÿàkôso@
@management@|@ìbójútó@
@manager@|@alábójútó, olórí@
@mandatory@|@àÿe dandan, àÿe ní túláàsì@
@mane@|@gõgõ eÿin@
@manhood@|@dídi ôkùnrin, ìgbà ìdôkùnrin, ìwà ôkùnrin@
@manipulate@|@dà ríborìbo, fi ôwö ÿisë@
@mankind@|@aráyé@
@manner@|@irú, ìwà  ìÿe, õnà@
@manners@|@ìhùwà@
@manoeuvre@|@ôgbön ìlò@
@manslaughter@|@ìpànìyàn@
@manual@|@ìwé àpèjúwe, ìwé àÿe, ìwé ìtökasí, ìwé kékeré@
@manual (1)@|@àfôwöÿe@
@manufacture@|@fi ônà ÿe nýkan títà, rô, ÿe@
@manufacturer@|@olùÿiÿë ônà títà@
@manure@|@àtàn, ìlêdú@
@many@|@õpõlôpõ, põ, púpõ@
@map@|@àwòrán ayé, ìwé ìfõnàhàn@
@marble@|@òkúta dídán@
@march@|@oÿù kçta ôdún, rìn lësese, yan, yíyan àwôn ômô ogun@
@mare@|@abo eÿin@
@marginal@|@bëêbëê@
@marina@|@òkun@
@mark@|@àmì orin, àpá@
@market@|@ôjà@
@marksman@|@ayìnbôn, õta@
@marriage@|@ìgbéyàwó@
@marriage certificate@|@ìwé êrí ìgbéyàwó@
@married@|@tí ó ní ôkô tàbí aya@
@marry@|@gbé ní ìyàwó@
@marsh@|@àbàtà, erê, erõfõ, ìrà@
@martyr@|@ajëêríkú, jëêríkú@
@marvellous@|@alárà, ya ni lënu@
@masculine@|@akô, akô ôkùnrin@
@mask@|@àgõ, ìbojú ìparadà@
@mass@|@àkópõ, ìÿù@
@mass(1)@|@ìsìn àdúrà ìsìnkú, oúnje alë Olùwa ní ìjô Róòmù@
@massacre@|@àföbàjë, àpafön, àpalù, ìpakúpa, ìparun@
@massage@|@ìpara ìtunilára, ìpara oníwòsàn, ìwöra@
@massive@|@jõýjõn, tóbi, wúwo@
@mast@|@òpó ôkõ@
@master@|@alákoso, baba, baba, õgá, olórí@
@mat@|@ení, pàkìtí@
@match@|@bá dögba, eré ìje, ìdíje, ìdögba, ìÿáná@
@matching@|@irúkannáà, rí bákannáà@
@material@|@ôjàaÿônkan èlò tí a fi ÿe nkan@
@maybe@|@b yá, bóyá@
@mayhap@|@bóyá@
@mealies@|@àgbàdo@
@mean@|@àárín@
@meat@|@eran@
@medicine@|@egbòogi@
@meet@|@bá@
@meeting@|@àwùjo@
@metal@|@irin@
@middle@|@àárín@
@milk@|@wàrà@
@minute@|@ìséú@
@mirror@|@dígí@
@mistake@|@àsìse@
@misunsderstand@|@èdèàìyédè@
@money@|@owo, owó@
@monkey@|@öbô@
@month@|@osù, oÿù@
@morning@|@àár@
@mother@|@ìyá, mama@
@mountain@|@òkè gíga@
@mouse@|@èkúté@
@mouth@|@enu@
@music@|@orin@
@nail@|@ìÿó@
@naked@|@láìláÿô, níhòhò@
@name@|@orúkô@
@nap@|@ògbé, orun yë@
@napkin@|@aÿô ìnuwöô@
@narration@|@ìhìn, ìròhìn, ìtàn@
@narrative@|@ìtàn@
@narrow@|@há, híhá, tóró@
@nasty@|@korò, léerí lëêgbin@
@nation@|@orílê-èdè@
@national@|@ti ilê, ti orílë-èdè@
@nationality@|@ará ìlú, ìlú, orílê-èdè@
@nationalize@|@sô di tì ìlú@
@nationally@|@bí ará ìlú, nípa ti ìlú@
@native@|@ará ìlú, ômô ìbílê, onílê, ti êdá, ti ìbí@
@natural@|@adánidá, àìfagbáraÿe, ti ìwà ëdá@
@naturally@|@láìfagbáraÿe, tinú-tinú@
@nature@|@ëdá, ëdá ohunkóhun, ìwà@
@nausea@|@èébì, ìrìndõ, ìÿu@
@naval@|@ti ôkõ, ti ôkõ ogun@
@navel@|@ìdodo, ìwõ@
@navigate@|@tukõ, wa ôkõ@
@navigation@|@ìtukõ lójú omi@
@navy@|@õwö ôkõ-ogun@
@near@|@ìtòsí, õdõ, súnmöra@
@nearly@|@fërê, kù díê, kù fërë@
@neat@|@afínjú, fífínjú, já fáfá@
@necessary@|@laáìÿe àìní, tí kò lè rí bámiràn, tí kò lè ÿàìwà@
@necessity@|@àìgbôdõ máÿe, àìní, õrõnyõn@
@neck@|@êmí, ôrùn@
@necklace@|@ìkárùn, ilêkê@
@need@|@fë, fë kù, ní-lò@
@needle@|@abërë@
@needless@|@láìnílárí, ÿaláìye@
@needy@|@aláìní, òtòÿì, tálákà@
@negative@|@õrõ ìyàn, õrõ òdì, õrõ sísë@
@neglect@|@àìbìkítà, àìfiyèsí, ìfojúfòdà, ìgbàgbé, ìjáfara@
@negligence@|@ìfifalê, ìjáfara, ìwà àìfiyèsí@
@negligent@|@aláfara, onígbàgbé@
@negotiate@|@sô ti ìÿòwò, ÿe àdéhún@
@negotiation@|@àdéhún ìÿòwò@
@neighbor@|@aládúgbò, ômônìkejì@
@neighborhood@|@àdúgbò ìlú, gbëgbëlê, sàkani@
@neither@|@bëê ni, kì@
@nephew@|@ômô (ôkùnrin) arábìnrin, ômô (ôkùnrin) arákùnrin@
@nerve@|@agbára ôgbön, iÿan@
@nervous@|@àìnídájú, tí gbõn, tí ÿara gbígbõn  àìdá-ara@
@nest@|@ìtë eye@
@net@|@àwõn, òbìrìkí@
@neuter@|@àìÿe akô tàbí abo, kì íÿe akô kì íÿe abo@
@neutral@|@láìpõ síha enìkan, láìÿe akô tàbí abo@
@never@|@bëêkö láí, bëêkô tëlê@
@new@|@titun àkõtun@
@news@|@ìhìn ìròhìn ìró làbárè ìgbúùró@
@newspaper@|@ìwè ìròhìn@
@next@|@èkejì, elëêkejì, nítòsí@
@nice@|@dára, dùn, sunwõn@
@niece@|@ômô (obìnrin) arábìnrin, ômô (obìnrin) arákùnrin@
@night@|@alë, òru@
@nightmare@|@àlá búburú, ìhanrun@
@nine@|@êsan, mêsàn@
@nine hundred@|@ogorun mesan@
@nineteen@|@mökàndílógún, ökàn-dín-lógún@
@ninety@|@àádörun@
@ninth@|@êkesan@
@nipple@|@ômú ÿóÿó orí ômú@
@no@|@agbêdö, bëê kö, rárá@
@nobody@|@enì kankanenìkankanènìà lásán@
@nod@|@mi orí sí@
@noise@|@ariwoirôòkìkí àtó@
@noisy@|@láriwonírôaláriwo@
@nomally@|@dédéìwàwíwàbí ìlànà@
@nominative@|@pè lórúkôyàndárúko@
@none@|@õkankan kò sí õkan@
@nonsense@|@õrõ ìÿôkúsôbóro-bòroörökôrö@
@noodle@|@irú onje ìla-òrun kan@
@normal@|@gêgê bí ìlànàgêgê bí ìwön@
@north@|@àríwá ìhá òkè@
@northern@|@ní àríwáníha òkè@
@northwards@|@níha àríwá@
@nose@|@ariwo, imú@
@nosey@|@ÿôwòti imú bö ejôelêjô@
@nostril@|@ihò imú@
@notable@|@níyìnlókìkíàfiyèsí@
@note@|@àmì orin, ìwé kúkúrú, ìwé owó, kô@
@notebook@|@ìwé ìfiyèsíìwé ìrántí@
@nothing@|@àìsíõkanàìsíàìwààìníláríófo@
@notice@|@àfiyèsíìkìlöìròhìn@
@noticeable@|@nífiyèsípeterí@
@notification@|@ìkìlöìfihàn@
@notion@|@ìmö ìrô@
@notorious@|@mímö ní gbangbalókìkí@
@nourish@|@bôfi onje fúntó-dágbakê@
@nourishing@|@nípa ìtôdàgbàoníìkêìmárale@
@novel@|@ìwé ìtàn@
@novelty@|@otunìÿe titun@
@november@|@oÿù kôkànlá ôdún@
@now@|@ìgbà ìsisìyíwàyí@
@nowhere@|@láìsíníbìkan@
@nozzle@|@imúenu@
@nude@|@níhòhòláìláÿô@
@nuisance@|@ìyônuìriraìpaniláraèéríëgbin@
@number@|@iye@
@numeral@|@iye@
@numerical@|@níye@
@numerous@|@pölôpölôpöògidigbó@
@nun@|@obínrin àlùfáà nínú ìjô Àgùdà@
@nurse@|@olùtôolójöjö ômôalágbàtô@
@nursery@|@ilé ìtôjú igioko-igi, ilé ìtôjú ômô wëwë@
@nursery(1)@|@ilé ìtôjú  ohun ögbìnoko-ögbìn@
@nursing@|@ìtôjúìwòsàn@
@nut@|@kóró éso igièkùrôëpà@
@oak@|@igi apádò, igi óàkù@
@oar@|@àjê, òbèlè@
@oath@|@èpè, ìbúra@
@oats@|@ôkà@
@obedience@|@ìforíbalê, ìgbôràn@
@obedient@|@nígbôràn, nítçríba@
@obituary@|@ìhìn ìsìnkú@
@object@|@já ní koro, kõ, ohun rírí, ÿòdì sí@
@objection@|@ìkõ, ìÿodì sí@
@objective@|@láìní ojúsàájú  ènìyàn, láìÿègbé, láìÿõtún-láìÿòsì@
@obligation@|@ìdè ohun ýkaÿàìÿe, igbèsè ore, õrànyàn, ore@
@obscene@|@èríí, láìnítìjú, nírira, öbùn@
@obscenity@|@èríí, ìrira, ohun ìtìjú@
@observant@|@wíwòyetí ó fojúsílëÿíÿô@
@observation@|@ìkíyèsíìfojúsílëgbólóhùn örö@
@obsolete@|@gbó, ti àtijö, tí kò wúlò mö@
@obssession@|@àìmökàn kúrò, ìfë àf, ìfôkànsí láìnídìí, kún lökàn@
@obssessive@|@nífêë àfëjù@
@obstacle@|@ìdálöwökö, ìdíwö, ohun ìdínà@
@obstruct@|@dá dúró, dí lönà, ìdíwö@
@obstruction@|@ìdílönà, ìdíwö@
@obtain@|@gbà, ní, rí-gbà@
@obtainable@|@gbígbà, rírí, rírí gbà, ÿeé gbà@
@obvious@|@farahàn, híhàn gbañgba, láìÿòro rí@
@obviously@|@dájúdájú, láláìÿòro rí@
@occasion@|@àyè õnà, ìdí@
@occasionally@|@láìÿègbàgbogbo, lëêkõõkan, nílàrenílàre@
@occupation@|@ìbùdó, ìdawöbò, ìní, iÿë@
@occupy@|@bùdó, dawö bò, gba ipò, gbé, ÿiÿë@
@occur@|@dé, dé, hàn, ÿê, ÿelê@
@occurrence@|@ìÿelê@
@ocean@|@òkun nlàagbami òkun@
@october@|@oÿù kçèwá ôdún@
@octopus@|@eea elêsë mêjô@
@odd@|@àjèjì, àjèjì, láìgún gêgêláìbámu, pandanláìbámu@
@odor@|@òórùnokiki@
@of@|@nípa, níti, ti@
@off@|@pa@
@offend@|@bà nínú-jêÿë mú kôsë@
@offense@|@êÿê@
@offer@|@ebô ìfilö@
@office@|@iÿêibi iÿêipò iÿê oyè@
@officer@|@ögágun@
@official@|@lábê àÿçnípa agbára oyè, oníÿê@
@often@|@nígbà-kúgbáà nígbà púpö@
@oil@|@epoòróróörá@
@oily@|@lépo@
@old@|@ìdarúgbóìdàgbàgbóìhewú@
@old man@|@arúgbó@
@olive@|@igi òróró ní ilê àwôn Júù@
@omit@|@fò-kôjágbàgbéfi-sílë@
@on@|@lórí@
@once@|@êêkan, kan, lëêkàn, nígbà kan@
@one@|@ení, enìkan, ìkan, õkan@
@one hundred@|@ogorun@
@one thousand@|@egberun@
@onion@|@àlùbösà@
@only@|@kan, kan yoyo, nìkan, õkan yoyo, péré, péré, ÿa@
@only (1)@|@àfi, àfibí, nìkan@
@open@|@gbangba, ÿí ÿílëyàtúmö, yíya, ÿíÿí@
@opening@|@ìÿínúìÿíÿílëìbërë@
@openly@|@nígbangbagedegbekedere@
@opera@|@eré onítàn olórin@
@operate@|@mú ÿiÿê, ÿe iÿë abe fún@
@operation@|@iÿë abe, ìÿiÿë@
@operator@|@òÿìÿë@
@opinion@|@èrò@
@opponent@|@alátàkò, ataniláyà, aÿodì, õtá@
@opportunity@|@alábàpàdé, àyè õnà, àyè tí ó wõ, ìgbà gan@
@opposite@|@dojúkô, kôjú sí, õkánkán, tirísí@
@opposition@|@àtàkò, ìdènà, ìdojúkô, ìjiyàn, ìkôjúsí, ìÿõtásí@
@oppression@|@ìdálóró, ìnilára, ìrëje, ìtêmölê@
@optical@|@nìpa tojú, ti ojú@
@optician@|@aláwò@
@optimistic@|@ti ìrètí ìdára ìgbêhìn@
@option@|@ìfë, ìwù, ìyàn@
@optional@|@èyí tí ó wu ni, wõfún, yíyàn@
@or@|@àbí, tàbí@
@oral@|@fífenusô, ti enu@
@orange@|@bí òrobó, bí ôsàn, bó, òro, òro¸bó, ôsán, pupa bí epo@
@order@|@ese, ìtò@
@over there@|@ib@
@owl@|@òwìwí@
@ox@|@màálù màlúù@
@pack@|@di erù@
@package@|@èdìdì, erù@
@packing@|@ìdi-erù, ìpalêmö, palêmö@
@pact@|@àdéhùn, ìmùlë@
@paddle@|@àjê, wà-jê, ÿiré nínú omi@
@page@|@akápò, aködà, ewé ìwé, ìránÿêkùnrin@
@pain@|@êdùn, ìrora, rírí@
@painful@|@dídun-ni, ìrora, níròjú@
@painless@|@àìlëdùn, àìro, ÿàìní ìrora@
@painter@|@afõdà kun, akun-èsè, akun-õdà, apödà@
@painting@|@àwòrán ôlödà, ìkun-õdà, kíkun-õdà@
@pair@|@awë méjì, ènìyàn méjì põ, tôkôtaya@
@palace@|@ààfin, ilé ôba@
@pale@|@fúwöfúwö, jíjorò, rõndönrõndön@
@palm@|@àtëlë ôwö, õpç@
@palm tree@|@igi õpe@
@palm wine@|@emu@
@pamper@|@fi oúnje dídùn bö, je àjekì, kë, këra@
@pamphlet@|@iwé kékeré aláìdìlù@
@pan@|@àwo, ìkòkò, páànù@
@paneling@|@igi ìbògiri inú yàrá@
@panic@|@ìdágìrì, ìpààyà@
@panther@|@akátá, àmõtëkùn@
@pantry@|@ilé àwo oúnje, yàrá tí à þ palê oúnje mö sí@
@pants@|@ÿòkòtò@
@paper@|@ìwé, tákààdá@
@paperclip@|@èlò ìdìmú ìwé@
@parade@|@àÿehàn, fáàrí, ìfihàn, ìtòlësê omô-ogun@
@paradise@|@ôgbà dáradára onítura, õrun rere@
@paragraph@|@gbólóhùn õrõ, orí õtò@
@parallel@|@lëgbêgbë, tí ó jôra, tó ÿe dédé@
@paralysis@|@ààrún êgbà, àìní-agbára, àrùnkárùn tí gba okun ara@
@paralyze@|@pasára, rô, sô-di òkú@
@parasite@|@àfòmö, ajenirun-láìdáwó, apönni, onírárà@
@parcel@|@èdìdì erù kékeré@
@pardon@|@dáríjì, ìdáríjì, ìfijì@
@parents@|@òbí, ôlömô@
@parking@|@ìdá ôkõ dúró sí ojú kan@
@parliament@|@àjô ôba, ìgbìmõ ôba@
@parole@|@õrõ enu, õrõ ôlá@
@parrot@|@ayékòótö@
