@English@|@Russian@
@polystyrene@|@полистрол@
@polysyllabic@|@многосложный@
@polysyllable@|@многосложное слово@
@polytechnic@|@политехнический@
@polytheism@|@политеизм@
@polyuria@|@полиурия@
@polyvalent@|@многоатомный@
@pomace@|@жмыхи@
@pomander@|@ароматический шарик@
@pomegranate@|@гранат@
@pomelo@|@помелло@
@pomeranian@|@померанский@
@pomiculture@|@плодоводство@
@pommel@|@головка@
@pomology@|@помология@
@pomp@|@помпа@
@pompadour@|@высокая прическа с валиком@
@pompon@|@помпон@
@pompous@|@помпезный@
@ponce@|@сутенер@
@poncho@|@пончо@
@pond@|@пруд@
@ponder@|@пестик@
@ponderable@|@весомый@
@ponderous@|@увесистый@
@pone@|@кукурузная лепешка@
@pongee@|@эпонж@
@poniard@|@кинжал@
@pontiff@|@епископ@
@pontifical@|@епископский@
@pontificate@|@понтификат@
@ponton@|@двадцать одно@
@pontoon@|@понтон@
@pony@|@вспомогательный@
@pooch@|@дворняжка@
@pood@|@пуд@
@poodle@|@пудель@
@pool@|@бассейн@
@poolroom@|@где заключают пари@
@poop@|@корма@
@poor@|@бедный, несчастный, низкий (adj)@
@poorly@|@нездоровый@
@pop@|@популярный@
@popcorn@|@воздушная кукуруза@
@popery@|@папизм@
@popeyed@|@пучеглазый@
@pop-eyed@|@напуганный@
@popgun@|@пугач@
@popinjay@|@попугай@
@popish@|@папский@
@poplar@|@тополь@
@poplin@|@поплин@
@popliteal@|@подколенный@
@poppa@|@отрывистый звук@
@poppet@|@марионетка@
@popple@|@плескание@
@poppy@|@мак опийный@
@poppy seed@|@мак@
@poppycock@|@ерунда@
@pops@|@песенки в стиле поп@
@populace@|@население@
@popular@|@популярный@
@popularity@|@популярность@
@popularize@|@популяризировать@
@populate@|@населять@
@populated@|@населенный@
@populating@|@начальная загрузка@
@population@|@население@
@populist@|@народник@
@populous@|@густонаселенный@
@porbeagle@|@сельдевая акула@
@porcelain@|@фарфор@
@porch@|@крыльцо@
@porcine@|@свиной@
@porcupine@|@дикобраз@
@pore@|@отверстие@
@poriferous@|@пористый@
@pork@|@свинина@
@porker@|@откормленная на убой свинья@
@porky@|@жирный@
@porn@|@порнография@
@pornography@|@порнография@
@porosity@|@пористость@
@porous@|@пористый@
@porphyry@|@порфир@
@porpoise@|@морская свинья@
@porridge@|@овсяная каша@
@porringer@|@суповая чашка@
@port@|@порт@
@portable@|@переносный@
@portage@|@транспортировка@
@portal@|@портальный@
@portative@|@портативный@
@portcullis@|@опускная решетка@
@portend@|@предвещать@
@portent@|@предзнаменование@
@portentous@|@зловещий@
@porter@|@грузчик, носильщик@
@porterage@|@переноска@
@porterhouse@|@пивная@
@porthole@|@амбразура, иллюминатор@
@portico@|@портик@
@portion@|@порция, часть@
@portland@|@портландцемент@
@portly@|@солидный@
@portrait@|@вертикальный@
@portraitist@|@портретист@
@portray@|@рисовать портрет@
@portrayal@|@изображён, рисование@
@portress@|@привратница@
@portsmouth@|@портсмут@
@portugal@|@португалия@
@portuguese@|@португальский@
@pose@|@поза, позировать@
@poser@|@трудный вопрос@
@poseur@|@позер@
@posh@|@шикарный@
@position@|@место, позиция, положении@
@positive@|@положительный@
@positively@|@решительно@
@positivism@|@позитивизм@
@positron@|@позитрон@
@posology@|@дозировка@
@posse@|@отряд@
@possess@|@владеть, имеешь, иметь (verb: ia/inf), имею, имеют@
@possess/are possessing@|@имеем (verb: ia/pres/1pp), имеете (verb: ia/pres/2pp)@
@possessed@|@одержимый@
@possesses/is possessing@|@имеет (verb: ia/pres/3ps)@
@possession@|@владение@
@possessions@|@имущество (noun)@
@possessive@|@притяжательный@
@possessory@|@относящийся к владению@
@posset@|@свертываться@
@possibility@|@вероятность, возможность@
@possible@|@возможный@
@possum@|@опоссум@
@post@|@подайте (verb), после, почтовый@
@post exchange@|@гарнизонный магазин@
@post meridiem@|@после полудня@
@post mortem@|@после смерти@
@post office@|@почта@
@postage@|@почтовый сбор@
@postal@|@почтовый@
@postbellum@|@послевоенный@
@postcard@|@открытка@
@postdate@|@датировать поздним числом@
@postdiluvial@|@постделювиальный@
@poste restante@|@до востребования@
@poster@|@плакат@
@posterior@|@последующий@
@posteriority@|@следование@
@posterity@|@потомство@
@postern@|@задний@
@postglacial@|@послеледниковый@
@postgraduate@|@аспирантский@
@posthaste@|@весьма спешно@
@posthumous@|@посмертный@
@postiche@|@подделка@
@postilion@|@форейтор@
@posting@|@почтовое отправление@
@postman@|@почтальон@
@postmark@|@почтовый штемпель@
@postmaster@|@почтмейстер@
@postmeridian@|@послеполуденный@
@postmistress@|@начальница почтового отделени@
@postmortem@|@вскрытие трупа@
@postnatal@|@постнатальный@
@postoperative@|@послеоперационный@
@postpartum@|@после родов@
@postpone@|@откладывать@
@postposition@|@помещение позади@
@postpositive@|@постпозитивный@
@postprandial@|@послеобеденный@
@postscript@|@постскриптум@
@postulant@|@кандидат@
@postulate@|@обусловливать, постулат@
@posture@|@поза, позировать@
@postwar@|@послевоенный@
@posy@|@букет цветов@
@pot@|@горшок@
@potable@|@питьевой@
@potash@|@поташ@
@potassium@|@калий@
@potation@|@глоток@
@potato@|@картофель, картошка (noun:)@
@potatory@|@питейный@
@potbelly@|@большой живот@
@potboiler@|@халтура@
@poteen@|@ирландский самогон@
@potency@|@потенция@
@potent@|@могущественный@
@potentate@|@властелин@
@potential@|@возможность, потенциальный@
@potentiate@|@делать возможным@
@potentiometer@|@потенциометр@
@pother@|@удушливый дым@
@potherb@|@овощ@
@pothole@|@рытвина@
@pothook@|@крюк над очагом@
@pothouse@|@пивная@
@pothunter@|@браконьер@
@potion@|@питье@
@potpourri@|@ароматическая смесь@
@potsherd@|@черепок@
@potshot@|@выстрел наугад@
@pottage@|@похлебка@
@potted@|@комнатный@
@potter@|@гончар@
@pottery@|@глиняная посуда@
@pottle@|@корзинка@
@potto@|@кинкажу@
@potty@|@мелкий@
@pouch@|@мешочек, сумка@
@pouched@|@мешковидный@
@poulard@|@пулярка@
@poult@|@птенец@
@poultice@|@припарка@
@poultry@|@птицеводство@
@pounce@|@прыжок@
@pound@|@бить (verb: ia/inf), побить (verb: pa/inf), фунт@
@pound/am pounding@|@бью (verb: ia/pres/1ps)@
@pound/are pounding@|@бьём (verb: ia/pres/1pp), бьёте (verb: ia/pres/2pp), бьёшь (verb: ia/pres/2ps), бьют (verb: ia/pres/3pp)@
@poundage@|@пошлина с веса@
@pounded@|@побил (verb: pa/past/mas), побила (verb: pa/past/fem), побили (verb: pa/past/plu)@
@pounded/had pounded/has pounded@|@побило (verb: pa/past/neu)@
@pounding@|@дробление@
@pounds/is pounding@|@бьёт (verb: ia/pres/3ps)@
@pour@|@лью, разливать@
@pour in@|@наливать, налить@
@pour out@|@выливать@
@poured@|@вылили, нальют, пролитый (adj), разлитый@
@poured in@|@налили@
@pouring@|@разливочный@
@pours@|@наливает, наливают, насыпает@
@pours in@|@наливают@
@pout@|@гримаса@
@pouter@|@зобастый голубь@
@poverty@|@бедность@
@powder@|@порох, порошок, присыпка, пудра, пыль@
@powdered@|@истолченный в грубый порошок@
@powdering@|@присыпка@
@powdery@|@порошкообразный@
@power@|@влияние, сила@
@power dive@|@пикирование с работ мотором@
@powerboat@|@моторный катер@
@powered@|@самоходный@
@powerful@|@могущественный, сильный@
@powerhouse@|@электростанция@
@powerless@|@бессильный@
@powwow@|@заниматься знахарством@
@pox@|@сифилис@
@praam@|@плоскодонное судно@
@practicable@|@осуществимый@
@practical@|@практический@
@practically@|@практически@
@practice@|@практика, привычка (noun), привычке (noun)@
@practiced@|@опытный@
@practise@|@тренировать@
@practitioner@|@практикующий врач@
@praetor@|@претор@
@praetorian@|@преторианский@
@pragma@|@псевдокомментарий@
@pragmatic@|@прагматический@
@pragmatism@|@догматизм@
@prague@|@прага@
@prairie@|@степной@
@praise@|@похвала@
@praiseworthy@|@похвальный@
@prakrit@|@пракрит@
@praline@|@пралине@
@pram@|@детская коляска@
@prance@|@скачок@
@prance fot it@|@танцевать@
@prancing@|@важный@
@prandial@|@обеденный@
@prang@|@авария@
@prank@|@проделка@
@prankish@|@капризный@
@prase@|@празем@
@praseodymium@|@празеодим@
@prat@|@ягодицы@
@prate@|@пустословие@
@pratincole@|@тиркушка луговая@
@prattle@|@лепет@
@prawn@|@креветка@
@praxis@|@обычай@
@pray@|@молитва@
@prayer@|@молящийся@
@prayer meeting@|@молитвенное собрание@
@prayerful@|@богомольный@
@praying@|@моление@
@preach@|@проповедовать@
@preacher@|@проповедник@
@preachify@|@читать нудные проповеди@
@preaching@|@проповедь@
@preachment@|@проповедь@
@preachy@|@любящий проповедовать@
@preamble@|@предисловие@
@prearrange@|@заранее подготавливать@
@prearranged@|@заранее подготовленный@
@prebend@|@пребенда@
@prebendary@|@пребендарий@
@precancerous@|@предраковый@
@precast@|@заводского изготовления@
@precatory@|@просительный@
@precaution@|@предосторожность@
@precautionary@|@предупредительный@
@precede@|@предшествовать@
@precedence@|@предшествование@
@precedent@|@предшествующий@
@precentor@|@регент хора@
@precept@|@предписание@
@preceptive@|@наставительный@
@preceptor@|@наставник@
@precession@|@прецессия@
@pre-christian@|@дохристианский@
@precinct@|@избирательный участок@
@preciosity@|@изысканность@
@precious@|@дорогой, драгоценный@
@precipice@|@пропасть@
@precipitance@|@опрометчивость@
@precipitant@|@стремительный@
@precipitate@|@стремительный, ускорять@
@precipitation@|@осадки@
@precipitous@|@обрывистый@
@precis@|@конспект@
@precise@|@точный@
@precisely@|@точно@
@precisian@|@пуританин@
@precision@|@точный@
@preclude@|@устранять@
@precocious@|@скороспелый@
@precognition@|@предвидение@
@preconceive@|@заранее составить себе мнение@
@preconceived@|@предвзятый@
@preconception@|@предвзятое мнение@
@preconcert@|@уславливаться заранее@
@preconcerted@|@обусловленный заранее@
@precondition@|@предварительное условие@
@precontract@|@заключить контракт заранее@
@precursor@|@предшественник@
@precursory@|@предварительный@
@predacious@|@хищный@
@predator@|@хищник@
@predatory@|@грабительский@
@predawn@|@предутренний@
@predecease@|@умереть раньше@
@predecessor@|@предшественник@
@predestination@|@предопределение@
@predestine@|@предопределять@
@predetermine@|@предопределять@
@predetermined@|@предопределенный@
@predial@|@земельный@
@predicament@|@затруднительное положение@
@predicate@|@сказуемое@
@predict@|@предсказывать@
@prediction@|@предсказание@
@predigest@|@готовить к употреблению@
@predilection@|@пристрастие@
@predispose@|@предрасполагать@
@predisposition@|@предрасположение@
@predominance@|@преобладание@
@predominant@|@преобладающий@
@predominate@|@преобладать@
@preeclampsia@|@преэклампсия@
@preeminent@|@выдающийся@
@preempt@|@приобретать раньше других@
@preemption@|@преимущественное право покупк@
@preemptive@|@преимущественный@
@preen@|@чистить клювом@
@preestablish@|@устанавливать заранее@
@pre-establish@|@устанавливать заранее@
@preexist@|@существовать до@
@prefab@|@разборный дом@
@prefabricate@|@изготовлять заводским способо@
@preface@|@предисловие@
@prefatory@|@вводный@
@prefect@|@префект@
@prefecture@|@префектура@
@prefer@|@предпочитать@
@preferable@|@предпочтительный@
@preferably@|@лучше@
@preference@|@предпочтение@
@preferential@|@льготный@
@preferment@|@предпочтение@
@preferred@|@привилегированный@
@prefiguration@|@прообраз@
@prefix@|@приставка@
@preform@|@формировать заранее@
@pregnable@|@ненадежно укрепленный@
@pregnancy@|@беременность@
@pregnant@|@беременная@
@preheat@|@предварительно нагревать@
@preheating@|@предварительное нагревание@
@prehensile@|@хватательный@
@prehension@|@хватание@
@prehistoric@|@доисторический@
@prejudge@|@предрешать@
@prejudice@|@предубеждение@
@prejudiced@|@предвзятый@
@prelacy@|@прелатство@
@prelect@|@читать лекцию@
@preliminary@|@предварительный@
@prelude@|@вступление@
@premature@|@поспешный@
@premeditate@|@преднамеренный@
@premeditated@|@обдуманный заранее@
@premeditation@|@преднамеренность@
@premier@|@первый@
@premise@|@посылка, предпосылка@
@premises@|@преамбула@
@premium@|@награда@
@premolar@|@малый коренной зуб@
@premonition@|@предупреждение@
@prenatal@|@предродовой@
@prentice@|@подмастерье@
@preoccupation@|@занятие места@
@preoccupied@|@поглощенный мыслями@
@preoccupy@|@занять@
@preordain@|@предопределять@
@prep@|@приготовительный@
@prep:  in@|@во@
@prep: about@|@насчет, о, об, про@
@prep: around@|@вокруг@
@prep: because of@|@из-за@
@prep: behind@|@за, позади@
@prep: except@|@кроме@
@prep: from@|@от@
@prep: from under@|@из-под@
@prep: in front of@|@перед@
@prep: including@|@в том числе@
@prep: on@|@относительно@
@prep: opposite@|@напротив@
@prep: past@|@мимо@
@prep: such@|@такое@
@prep: through@|@через@
@prep: to@|@до@
@prep: what@|@какое@
@prep: whom@|@которово@
@prepack@|@расфасованный товар@
@prepackage@|@расфасовать@
@prepaid@|@оплаченный заранее@
@preparation@|@подготовка@
@preparative@|@приготовление@
@preparator@|@антитело@
@prepare@|@готовиться, собираемся@
@prepare to@|@собираюсь@
@prepare/am preparing@|@готовлю (verb: ia/pres/1ps)@
@prepare/are prepare@|@готовите (verb: ia/pres/2pp)@
@prepare/are preparing@|@готовим (verb: ia/pres/1pp), готовишь (verb: ia/pres/2ps), готовят (verb: ia/pres/3pp)@
@prepared@|@готовый@
@prepared (for a trip)@|@соипал@
@prepared (for a trip)/had prepared (for a trip)/has prepared (for a trip)@|@собрало (verb: pa/past/neu)@
@prepared (for a trip)/had prepared (for a trip)/have prepared (for a trip)@|@собрали (verb: pa/past/plu)@
@prepared (for a trip)/had prepared (for a trip)/have prepared (for a trip)/has prepared (for a trip)@|@собрал (verb: pa/past/mas), собрала (verb: pa/past/fem)@
@preparedness@|@готовность@
@prepares/is preparing@|@готовит (verb: ia/pres/3ps), готовить (verb: ia/pres/3ps)@
@prepay@|@предоплата@
@prepense@|@преднамеренный@
@preponderance@|@превосходство@
@preponderant@|@перевешивающий@
@preponderate@|@перевешивать@
@preposition@|@предлог@
@prepositional@|@предложный@
@prepositive@|@препозитивный@
@prepossess@|@внушать@
@prepossessing@|@располагающий@
@prepossession@|@предвзятое отношение@
@preposterous@|@нерациональный@
@prepotency@|@доминирование@
@prepotent@|@более сильный@
@preproduction@|@выпуск опытной серии@
@prepuce@|@крайняя плоть@
@prerequisite@|@предпосылка@
@prerogative@|@исключительное право@
@pres@|@возвращается, входит, входите, вынимаем, вынимает, вынимаете, вынимаешь, вынимаю, вынимают, выходить, глотает, делаете, живёт, жуём, жуёт, жуёте, жуёшь, жую, жуют, за́втракаю, завтракают, завязывает, загораем, загорает, загораете, загораешь, загораю, загорают, закрываем, закрывает, закрываете, закрываешь, закрываю, закрывают, застёгивает, издаём, издаёт, издаёте, издаю, издают, изучает, имеешь, имею, имеют, лаем, лает, лаете, лаешь, лазают, лаю, лают, лежит, мажет, мяукаем, мяукает, мяукаете, мяукаешь, мяукаю, мяукают, наливают, обмениваем, обменивает, обмениваете, обмениваешь, обмениваю, обменивают, обнимает, обозначаем, обозначает, обозначаете, обозначаешь, обозначаю, обозначают, подойдите, подходишь, подхожу, пожимают, показываем, показывает, показываете, показываю, показывают, помогаем, помогает, помогаете, помогаешь, помогаю, помогают, понимаем, понимаете, понимаешь, понимаю, понимают, появляемся, появляется, появляешься, появляюсь, прыгаю, рвёт, слезает, смотрим, смотрит, смотрите, смотришь, смотрю, смотрят, спрашиваем, спрашивает, спрашиваете, спрашиваешь, спрашиваю, спрашивают, стоите, упаковывают, ухожу, читаем, читает, читаете, читаешь, читаю, читают@
@pres. 2ps): show@|@показываешь@
@presage@|@предчувствие@
@presbyopia@|@пресбиопия@
@presbyterian@|@пресвитерианский священник@
@presbytery@|@дом католического священника@
@preschool@|@дошкольный@
@prescience@|@предвидение@
@prescient@|@предвидящий@
@prescind@|@абстрагировать@
@prescribe@|@предписывать@
@prescript@|@предписание@
@prescription@|@рецепт@
@prescriptive@|@предписывающий@
@preselect@|@предварительно отбирать@
@presence@|@присутствие@
@present@|@данный, настоящий, настоящий; присутствующий; данный; нынешний; современный; существующий, представлять (verb), присутствующий, современный@
@present day@|@сегодня@
@presentable@|@приличный@
@presentation@|@представление@
@presenter@|@ведущий программу@
@presentiment@|@предчувствие@
@presently@|@сейчас (adv), теперь@
@presentment@|@заявление@
@preservative@|@предохранительный@
@preserve@|@консервы, охранять@
@preserved@|@консервированный@
@preserves@|@варенье@
@preserving@|@консервирование@
@preset@|@стандартный@
@preside@|@председательствовать@
@presidency@|@президентство@
@president@|@президент@
@presidential@|@президентский@
@presidio@|@крепость@
@presidium@|@президиум@
@press@|@пресса@
@pressboard@|@прессшпан@
@pressed@|@прессованный@
@presser@|@гладильщик@
@press-gang@|@отряд вербовщиков@
@pressing@|@сжатие@
@pressman@|@журналист, печатник@
@pressmark@|@шифр@
@pressroom@|@комната для журналистов@
@pressure@|@давление@
@pressure cooker@|@скороварка@
@pressurize@|@герметизировать@
@pressurized@|@герметический@
@prest@|@прыгают@
@prestidigitation@|@жонглирование@
@prestige@|@престиж@
@prestigious@|@престижный@
@presto@|@престо@
@presumable@|@возможный@
@presume@|@осмеливаться, предполагать (verb)@
@presuming@|@самонадеянный@
@presumption@|@основание для предположения@
@presumptive@|@предполагаемый@
@presumptuous@|@самонадеянный@
@pretence@|@притворство@
@pretend@|@притворяться@
@pretender@|@притворщик@
@pretense@|@отговорка@
@pretension@|@претензия@
@pretentious@|@претенциозный@
@pretermit@|@пренебречь@
@preternatural@|@противоестественный@
@pretext@|@отговорка@
@prettily@|@красиво@
@pretty@|@достаточно (adv), прелестный@
@pretzel@|@сухой кренделек@
@prevail@|@господствовать@
@prevailing@|@господствующий@
@prevalence@|@распространение@
@prevalent@|@преобладающий@
@prevaricate@|@увиливать@
@prevent@|@мешает, предотвращать@
@preventative@|@предупредительный@
@prevention@|@предотвращение@
@preventive@|@предупредительный@
@preview@|@предварительный просмотр@
@previous@|@предыдущий@
@prewar@|@довоенный@
@prey@|@вымогать, грабить, добыча, ловить, мучить, охотиться, терзать@
@priapism@|@приапизм@
@price@|@цена@
@price-cutting@|@снижение цен@
@priced@|@оцененный@
@priceless@|@бесценный@
@pricey@|@дорогой@
@pricing@|@калькуляция цен@
@prick@|@острие@
@pricker@|@острый инструмент@
@pricket@|@годовалый олень@
@pricking@|@покалывание@
@prickle@|@колючий@
@prickly@|@имеющий шипы@
@pride@|@гордость@
@priestess@|@жрица@
@priesthood@|@священство@
@priestly@|@священнический@
@prig@|@формалист@
@prim@|@чопорный@
@prima donna@|@примадонна@
@prima facie@|@кажущийся достоверным@
@primacy@|@первенство@
@primal@|@главный@
@primarily@|@первоначально, сначала@
@primary@|@начальный@
@primate@|@архиепископ@
@prime@|@первичный@
@prime; former; pioneer; virgin@|@первая@
@primer@|@букварь@
@primeval@|@первобытный@
@priming@|@заливка@
@primipara@|@первородящая@
@primitive@|@первичный@
@primogenitor@|@предок@
@primogeniture@|@первородство@
@primordial@|@исконный@
@primp@|@наряжать@
@primrose@|@бледно-желтый@
@primus@|@примус@
@prince@|@принц@
@princedom@|@княжество@
@princeling@|@князек@
@princely@|@царственный@
@princess@|@принцесса@
@principal@|@основной@
@principality@|@княжество@
@principle@|@закон, принцип@
@principled@|@принципиальный@
@prink@|@наряжаться@
@print@|@отпечаток, печатает@
@printable@|@пригодный для печатания@
@printed@|@бандероль@
@printer@|@печатающее устройство, печатник, печатное устройство, принтер, типограф@
@printing@|@печатание@
@printout@|@распечатка@
@prints@|@печатает@
@prior@|@предшествующий@
@prior to@|@до@
@prioress@|@настоятельница@
@priority@|@порядок срочности@
@priory@|@монастырь@
@prise@|@реквизиция@
@prism@|@призма@
@prismatic@|@призматический@
@prison@|@тюрьма@
@prison house@|@тюрьма@
@prisoner@|@заключенный@
@pristine@|@древний@
@privacy@|@конфиденциальность@
@private@|@частный@
@privateering@|@каперство@
@privation@|@лишения@
@privative@|@отрицательный@
@privet@|@бирючина@
@privilege@|@привилегия@
@privileged@|@привилегированный@
@privity@|@осведомленность@
@prize@|@приз@
@prizefight@|@состязание на приз@
@prizewinner@|@призер@
@pro@|@сторонник@
@pro and con@|@за и против@
@pro rata@|@в соответствии@
@pro tempore@|@временно@
@pro: it@|@зто@
@probability@|@вероятность@
@probable@|@вероятный@
@probably@|@вероятно@
@probate@|@заверенная копия завещания@
@probation@|@испытание@
@probationer@|@испытуемый@
@probative@|@доказательный@
@probe@|@зонд@
@probity@|@неподкупность@
@problem@|@задача, задаче, задачу, проблема@
@problematic@|@проблематичный@
@proboscidean@|@хоботный@
@proboscis@|@хобот@
@procedural@|@процедурный@
@procedure@|@процедура@
@proceed@|@возобновлять, действовать@
@proceedings@|@судопроизводство@
@proceeds@|@доход@
@process@|@процесс, способ@
@process cheese@|@плавленый сыр@
@processed@|@обработанный@
@processing@|@обработка@
@procession@|@процессия@
@processional@|@относящийся к процессии@
@proclaim@|@обнародовать@
@proclamation@|@провозглашение@
@proclitic@|@проклитический@
@proclivity@|@склонность@
@proconsul@|@губернатор колонии@
@procrastinate@|@откладывать@
@procreate@|@порождать@
@procrustean@|@прокрустов@
@proctitis@|@проктит@
@proctor@|@поверенный@
@proctoscope@|@ректоскоп@
@procumbent@|@лежащий ничком@
@procurator@|@адвокат@
@procure@|@обеспечивать@
@procurer@|@поставщик@
@prod@|@шило@
@prodigal@|@расточительный@
@prodigality@|@расточительный@
@prodigious@|@огромный@
@prodigy@|@необыкновенно одаренный@
@prodrome@|@предвестник@
@produce@|@вызывать, давать, издавать, издаём, издаёте, издаёшь, издаю, издают, продукция@
@producer@|@режиссер@
@produces@|@издаёт@
@product@|@продукт, продукция@
@production@|@изделия, продукция@
@productive@|@производительный@
@productivity@|@продуктивность@
@products@|@продукции@
@profanation@|@профанация@
@profane@|@языческий@
@profanity@|@богохульство@
@profess@|@открыто признавать@
@professed@|@мнимый@
@profession@|@профессиональный@
@professional@|@профессиональный@
@professionalism@|@профессионализация@
@professionalize@|@превращать в профессию@
@professor@|@профессор@
@proffer@|@предложение@
@proficiency@|@умение@
@proficient@|@искусный@
@profile@|@контур@
@profiling@|@копирование@
@profit@|@выгода@
@profitable@|@прибыльный@
@profiteer@|@спекулянт@
@profiteering@|@спекуляция@
@profligate@|@распутный@
@profound@|@глубокий@
@profundity@|@глубина@
@profusion@|@обилие@
@progenitor@|@прародитель@
@progeny@|@потомок@
@proglottis@|@проглоттида@
@prognathous@|@выдающийся@
@prognosis@|@прогноз@
@prognostic@|@предвещающий@
@prognosticate@|@предсказывать@
@program@|@программа@
@programmer@|@программист@
@programming@|@программирование@
@progress@|@развитие@
@progression@|@продвижение@
@progressive@|@прогрессивный@
@prohibit@|@запрещать@
@prohibition@|@запрет@
@prohibitive@|@запретительный@
@prohibitory@|@запретительный@
@project@|@проект@
@projectile@|@снаряд@
@projecting@|@выступающий@
@projection@|@проектирование@
@projector@|@проектировщик@
@projects@|@дома для бедных@
@prolapse@|@выпадение@
@prolate@|@вытянутый@
@proletarian@|@пролетарский@
@proletariat@|@пролетариат@
@proliferate@|@размножаться@
@proliferation@|@количественный рост@
@proliferous@|@отпрысковый@
@prolific@|@плодородный@
@prolix@|@нудный@
@prolog@|@пролог@
@prologue@|@пролог@
@prolong@|@продлевать@
@prolonged@|@длительный@
@prolusion@|@вступительная статья@
@prom@|@прогулка@
@promenade@|@прогуливаться@
@promenades@|@прогулок@
@prometheus@|@прометей@
@prominence@|@выдающееся положение@
@promiscuiti@|@безразборчивое половое общени@
@promiscuity@|@разнородность@
@promiscuous@|@разнородный@
@promise@|@обещание@
@promised@|@обещанный@
@promising@|@подающий надежды@
@promissory@|@обещающий@
@promontory@|@мыс@
@promote@|@продвигать по службе@
@promoter@|@активатор покровитель@
@prompt@|@незамедлительный@
@promptbook@|@суфлерский экземпляр пьесы@
@prompter@|@побудитель к действию@
@prompting@|@побуждение@
@promptly@|@сразу@
@promptness@|@быстрота (noun)@
@promulgate@|@обнародовать@
@pronation@|@повертывание внутрь@
@pronator@|@пронатор@
@prone@|@склонный@
@prong@|@вилы@
@pronged@|@снабженный зубцами@
@pronoun@|@местоимение@
@pronoun: both@|@обе@
@pronounce@|@произносить@
@pronounced@|@явный@
@pronouncement@|@официальное заявление@
@pronouncing@|@произношение@
@pronunciation@|@произношение@
@proof@|@доказательство@
@proofing@|@придание непроницаемости@
@proofread@|@читать гранки@
@proofreading@|@чтение корректуры@
@prop@|@подпорка@
@propaedeutic@|@пропедевтический@
@propaganda@|@пропаганда@
@propagandize@|@пропагандировать@
@propagate@|@распространять@
@propagation@|@распространение@
@propanoic acid@|@пропановая кислота@
@propel@|@стимулировать@
@propellant@|@движущая сила@
@propellent@|@движущий@
@propeller@|@двигательный@
@propelling@|@движущий@
@proper@|@надлежащий, подходящий@
@properdin@|@пропердин@
@properly@|@правильно@
@propertied@|@имеющий собственность@
@property@|@собственность@
@prophecy@|@пророчество@
@prophesy@|@предсказывать@
@prophet@|@пророк@
@prophetess@|@предсказательница@
@prophetic@|@пророческий@
@prophylactic@|@профилактический@
@prophylaxis@|@профилактика@
@propinquity@|@подобие@
@propitiate@|@умиротворять@
@propitiation@|@умиротворение@
@propitiatory@|@искупительный@
@propolis@|@прополис@
@propone@|@излагать@
@proponent@|@защитник@
@proportion@|@соотношение@
@proportional@|@пропорциональный@
@proportionate@|@соразмерный@
@proportioning@|@дозировка@
@proposal@|@предложение@
@proposer@|@автор предложения@
@proposition@|@утверждение@
@propound@|@ставить на обсуждение@
@propraetor@|@пропретор@
@proprietary@|@собственнический@
@proprietor@|@владелец@
@proprietress@|@собственница@
@propriety@|@пристойность@
@props@|@крепежный лесоматериал@
@propulsion@|@толчок@
@prorate@|@пропорциональная доля@
@prorogue@|@отсрочить@
@prosaic@|@прозаический@
@prosaism@|@прозаизм@
@proscenium@|@авансцена@
@proscribe@|@объявлять вне закона@
@proscription@|@запрещение@
@prose@|@проза@
@prosector@|@прозектор@
@prosecute@|@преследовать@
@prosecution@|@судебное преследование@
@prosecutor@|@обвинитель@
@proselyte@|@новообращенный@
@proselytize@|@обращать в свою веру@
@prosody@|@просодия@
@prosopopoeia@|@просопопея@
@prospect@|@изыскание@
@prospecting@|@поисковый@
@prospective@|@ожидаемый@
@prospector@|@изыскатель@
@prospectus@|@проспект@
@prosper@|@преуспевать@
@prosperity@|@процветание@
@prosperous@|@процветающий@
@prostate@|@простата@
@prostatectomy@|@простатэктомия@
@prostatism@|@простатизм@
@prostatitis@|@простатит@
@prosthesis@|@протез@
@prosthetic@|@протезный@
@prostitute@|@проститутка@
@prostitution@|@проституция@
@prostrate@|@изнеможенный@
@prostration@|@поверженное состояние@
@prostyle@|@простиль@
@prosy@|@прозаический@
@protactinium@|@протактиний@
@protagonist@|@поборник@
@protanopia@|@протанопия@
@protasis@|@протазис@
@protean@|@изменчивый@
@protease@|@протеаза@
@protect@|@защищать, охранять@
@protected@|@защищенный@
@protecting@|@защитный@
@protection@|@защита@
@protectionism@|@протекционизм@
@protective@|@охранный@
@protector@|@покровитель@
@protectorate@|@протекторат@
@protege@|@протеже@
@protein@|@белок@
@proterozoic era@|@протерозой@
@protest@|@протест@
@protestant@|@протестантский@
@protestantism@|@протестантство@
@proteus@|@протей@
@prothesis@|@протез@
@prothrombin@|@протромбин@
@protocol@|@протокол@
@proton@|@протон@
@protoplasm@|@протоплазма@
@protoplast@|@первый человек@
@prototype@|@прототип@
@protozoology@|@протозоология@
@protract@|@медлить@
@protracted@|@затяжной@
@protractile@|@способный выдвигаться@
@protraction@|@промедление@
@protractor@|@разгибательная мышца@
@protrude@|@торчать@
@protrusion@|@выступ@
@protrusive@|@выступающий@
@protuberance@|@выпуклость@
@protuberant@|@выпуклый@
@proud@|@гордый@
@proven@|@доказанный@
@provenance@|@происхождение@
@provender@|@корм@
@provenience@|@происхождение@
@proverb@|@пословица@
@proverbial@|@вошедший в пословицу@
@provide@|@давать, обеспечить@
@provided@|@обеспеченный@
