@Indonesian@|@English@
@keras spt batu@|@stony@
@kerat yg panjang@|@slit@
@kerbau@|@buffalo@
@kerbau@|@water buffalo@
@kerdil@|@scrubby@
@kerdil@|@dwarf, stunted; small-minded@
@kerek@|@pulley@
@kerekan@|@winch, windlass, block & tackle@
@kerelaan@|@alacrity, conciliate, grace@
@keremajaan@|@adolescence@
@kerempeng@|@emaciated, thin@
@keren@|@impressive, handsome (of man); dashing, well dressed@
@kerendahan@|@debasement@
@kerendahan hati@|@humility, modesty@
@kerenggangan hubungan@|@alienation@
@kerepotan@|@ado, inconvenience@
@keresahan@|@unrest@
@keresmian@|@ceremonial, state@
@keresmian yg tdk berguna@|@mummery@
@kereta@|@train, vehicle@
@kereta bayi@|@pram, perambulator@
@kereta bermotor bnyk tempat duduk open kap utk-@|@charabanc@
@kereta kuda beroda 2@|@trap@
@kereta kuda beroda 4@|@chaise@
@kereta kuda pengangkut org & barang@|@stage-coach@
@kereta kuda roda 2@|@hansom, hansomcab@
@kereta luncur (salju)@|@toboggan@
@kereta makan di KA@|@diner@
@kereta meriam@|@gun-carriage@
@kereta pos@|@mail coach@
@kereta roda 2 ditarik kuda (utk perang)@|@chariot@
@kereta roda 2 yg ditarik org@|@rickshaw@
@kereta roda 4 ditarik banyak kuda@|@coach@
@kereta salju@|@sledge@
@kereta salju dihela kuda@|@sleigh@
@kereta/meja kecil dorong@|@trolley@
@kereta-api@|@train@
@kerewelan@|@fuss@
@keriangan@|@glee, gaiety, rapture, merriment, buoyance@
@keriangan & keramahan@|@joviality@
@keributan@|@turmoil, uproar, hullabaloo, din, turbulence, flurry, rumpus, clamour@
@keributan yg membisingkan@|@hubbub@
@keributan yg tdk-@|@fuss@
@kericuhan@|@hurly-burly, commotion, tumult@
@kerik@|@meng-, scrape or shave off; meng-kan, frightening, horrifying@
@kerikil@|@gravel, shingle@
@kerikil@|@pebble, gravel (meng-i) cover with gravel@
@kerinduan@|@longing@
@kering@|@arid, dehydrate, barren@
@kering@|@dry@
@kering@|@dry (dry out) (kemarau) (- kerontang, - as a bone)@
@keringanan@|@remission@
@keringanan hukuman@|@commutation@
@keringat@|@perspire, lather@
@keringat@|@perspiration, sweat@
@keringat@|@(keringet) sweat/perspiration; ber-, (v); be -; -an, sweaty/perspiring@
@keripik@|@chip@
@keriput@|@wrinkle, wheater-beaten@
@kerisauan@|@suspense@
@kerisik@|@rustle@
@keriting@|@curl, curly@
@keriting @|@curly, kinky (hair)@
@keriting pd kartu bridge@|@club@
@kerja@|@clutch@
@kerja@|@work@
@kerja @|@-, be-, (v) work; (pe)-an, (n) work; memper-kan, hire; - sama, work together, co-operation@
@kerja keras@|@travail, sweat, grind, grindstone, toil@
@kerja keras pd awal usaha@|@spade work@
@kerja paksa@|@hard labour@
@kerja pocokan@|@char@
@kerjaan@|@berth@
@kerjakan@|@imperative@
@kerjasama@|@work together, co-operation@
@kerkenaan dgn perkawinan@|@conjugal@
@kerlingan@|@wink@
@kerlingan mata@|@cast@
@kernyit@|@twitch@
@kernyit@|@meng-kan, frown, furrow@
@kerongkongan@|@gullet@
@kertak@|@crackle@
@kertak gigi@|@gnash, clench@
@kertas@|@paper@
@kertas basah@|@pellet@
@kertas cetak yg sangat tipis@|@india paper@
@kertas digulung utk menyalakan lilin@|@spill@
@kertas dr kulit kambing@|@parchment@
@kertas kardus@|@pasteboard@
@kertas kecil2 berwarna2 ditaburkan pd pengantin@|@confetti@
@kertas kulit@|@parchment, vellum@
@kertas penyerap@|@blot@
@kertas timah@|@foil@
@kertas tipis@|@cellophane@
@keruan, karuan@|@known; - saja, of course, by all means; tdk -, make no sense, chaotic@
@kerucut@|@conic, cone@
@kerucut merah lalu lintas@|@bollard@
@kerugian@|@damage, loss@
@kerugian krn penyusutan@|@wastage@
@keruh@|@turbid, snore@
@keruh@|@turbid, muddy; disturbed; restless; meng-, (v) become -; ke-an, (adj.); unrest, disturbance@
@kerukunan@|@concord@
@kerumitan@|@intricacy@
@kerumun@|@ber-, swarm over, cluster around, mill about; assemble; -an, (n) group of@
@keruntuhan@|@perdition@
@kerusakan@|@injury, damage, detriment@
@kerusakan (akhlak)@|@debauchery@
@kerusakan besar@|@havoc@
@kerusuhan@|@turmoil, unrest, violence, commotion@
@kerut@|@crinkle, crease, ruffle@
@kerut@|@furrow, wrinkle (-an, contraction; wrinkling, creasing)@
@kerut dahi@|@furrow@
@kerutan@|@curl@
@kerutan dahi@|@scowl@
@kesabaran@|@endurance, equanimity, sufferance, patience, forbearance@
@kesadaran@|@sense, consciousness@
@kesadaran akan@|@awaken, cognizance@
@kesah@|@moan, sigh; ber-,meng-, (v)@
@kesakitan@|@smart@
@kesakitan wkt melahirkan@|@labour@
@kesaksian@|@evidence, evidence, testimony@
@kesaksian (ttg agama)@|@testimony@
@kesal@|@fretful, resentful, regret@
@kesal@|@fed up; dejected; piqued@
@kesalahan@|@amiss, offence, err, injury, oversight, fraud@
@kesalahan@|@aberration, error, mistake@
@kesalahan bodoh/lucu dlm bhs-@|@bull@
@kesalahan kecil@|@lapse@
@kesalahan penggunaan bhs/sopan-santun@|@solecism@
@kesalahan yg menggelikan@|@howler@
@kesalahan/kekurangan kecil@|@peccadillo@
@kesalahpahaman@|@misconception@
@kesalehan@|@piety@
@kesamaan@|@resemblance, conformity, monotony, likeness@
@kesamaan bunyi@|@unison@
@kesan@|@trail, spice@
@kesan@|@impression; make in impression@
@kesan baik@|@prepossession@
@kesanggupan@|@preparedness, competence@
@kesanggupan utk membayar hutang@|@solvency@
@kesangsian@|@suspicion, discredit, doubt@
@kesarjanaan@|@scholarship@
@kesatria@|@noble (caste), knight; acting with noble qualities@
@kesatriaan@|@knighthood@
@kesatuan@|@union, united, entity@
@kesatuan pesawat/kapal@|@squadron@
@kesayangan@|@pet@
@kese-@|@kick up a row@
@kesedakan@|@hiccup, hiccough@
@kesedapan@|@amenity, piquancy@
@kesederhanaan@|@humility, austerity, apostle, modesty@
@kesederhanaan dlm tingkah laku@|@temperance@
@kesediaan@|@alacrity, office, fellow-feeling, preparedness@
@kesediaan bekerja utk kesejahteraan masy@|@public spirit@
@kesedihan@|@depression, bitterness, misery, distress@
@kesedihan/penyelasan atas perbuatannya@|@penitence@
@keseganan@|@reluctance, deference, indisposition@
@kesegaran@|@exuberance, succulence, soundness@
@kesehatan@|@wel-being@
@kesehatan@|@health@
@keseimbangan@|@equilibrium, poise@
@kesejahteraan@|@weal, wel-being, welfare, security@
@kesek@|@rubbing; doormat@
@keselamatan@|@security@
@keselarasan@|@unison, unity@
@keseleo@|@be sprained@
@keseluruhan@|@agregat, aggregate@
@keseluruhan faktor2 yg membentuk kead natural-@|@konstitusi@
@kesemberonoan@|@temerity@
@kesempatan@|@chance@
@kesempatan@|@chance, luck@
@kesempitan@|@narrowness, congestion@
@kesemutan@|@asleep, pins & needles@
@kesenanga@|@amenity@
@kesenangan@|@lark, ease, pleasure, indulgence@
@kesenangan badaniah@|@voluptuous@
@kesenangan bicara@|@loquacity@
@kesenggangan@|@ease@
@kesengsaraan@|@suffering, hardship, distress@
@kesepakatan@|@understanding@
@kesepian@|@solitude, solitude, lonesome@
@keserakahan@|@greed, cupidity@
@keserasian@|@union@
@kesesakan@|@congestion@
@kesesatan@|@debauchery@
@kesesuaian@|@union, suitability@
@keset@|@mat, matt@
@kesetiaan@|@fidelity, devotion, faith@
@kesetiaan pd negara/tugas@|@allegiance@
@kesialan@|@contretemps, mischance@
@kesibukan@|@racket@
@kesibukan tdk menentu@|@fuss@
@kesimpulan@|@decide, deduction, finding, inference@
@kesleo@|@sprain@
@kesombongan@|@conceit, pride, boast@
@kesopanan@|@urbanity, affability, veneer, decency, modesty, civility@
@kesturi@|@musk@
@kesuburan@|@fecundity, exuberance, luxuriance@
@kesucian@|@sanctity, deity, holiness, chastity@
@kesudahan@|@upshot, inference@
@kesukaan@|@inclination, kick up a row, fancy, relish@
@kesukaan akan@|@partiality@
@kesukaan bergaul@|@sociability@
@kesukaan khusus@|@predilection@
@kesukaan melakukan sesuatu@|@gusto@
@kesukacitaan@|@glee@
@kesukaran@|@ill@
@kesukuan@|@tribal@
@kesulit-@|@knot@
@kesulitan@|@intricacy, adversity, strait, rub, row@
@kesulitan bsr@|@tribulation@
@kesulitan wkt melahirkan@|@travail@
@kesumat@|@feud@
@kesungguhan@|@earnestness@
@kesunyian@|@quietude, solitude, solitude, repose@
@kesuraman@|@gloom@
@kesurupan@|@trance@
@kesusahan@|@care, affliction, ill@
@kesustraan kuno@|@classic@
@ketaatan@|@obedience, observance, devotion@
@ketaatan menjalankan agama@|@piety@
@ketabahan@|@grit, fortitude, mettle@
@ketagihan@|@addict, given to@
@ketahanan@|@endurance@
@ketahuan@|@emerge, light, light@
@ketajaman@|@subtlety, keenness@
@ketakutan@|@dread of, aghast, appal, apprehension, consternation, fear@
@ketakutan+kekhawatiran@|@dread@
@ketam@|@crayfish@
@ketamakan@|@avarice, cupidity, rapacity@
@ketan@|@sticky or glutinous rice@
@ketangkasan@|@knack, agility, dexterity@
@ketapel@|@catapult, sling, catapult@
@ketat@|@stringent, tight, close@
@ketat@|@tight; (of top on bottle, clothes, ring, embrace, etc.) firm; binding; strict@
@ketawa@|@laugh (meng-I, meng-kan) laught at@
@ketdkadilan@|@iniquity, injustice@
@ketdkbebasan dr@|@liability@
@ketdklaziman@|@oddity@
@ketdkmenarikan@|@vapidity@
@ketdkpuasan@|@heart-burning@
@ketdksabaran@|@petulance@
@ketdksadaran@|@ignorance@
@ketdksengajaan@|@inadvertence@
@ketdksenonohan@|@infamy@
@ketdksesuaian@|@discrepancy@
@ketdksetiaan suami thd istri/sebaliknya@|@infidelity@
@ketdktahuan@|@ignorance@
@kete-@|@tip@
@ketegangan@|@tension, strain, constraint@
@ketegaran@|@contrariness@
@ketegaran hati@|@bigoted, bigotry@
@ketegasan@|@decision, firmness, rigour@
@keteguhan@|@persistent, fortitude, persistence@
@ketekunan@|@assiduity, tenacity, industry@
@ketel@|@boiler@
@ketelanjangan@|@nakedness@
@ketelitian@|@fidelity, nicety@
@ketemu scr kebetulan@|@turn up@
@keten-@|@order@
@ketenangan@|@quietude, sobriety, composure, placidity, self-possession, serenity, reserve, repose@
@ketenangan dlm menghadapi bahaya@|@sang-froid@
@ketenangan jiwa@|@equanimity@
@ketenaran@|@renown@
@ketepatan@|@fidelity, promptitude@
@ketepatan (wkt)@|@expedition@
@keterangan@|@evidence, evidence, pronouncement, intelligence@
@keterangan memiliki saham@|@security@
@keterangan pengganti@|@apposition@
@keterangan tambahan@|@side light@
@keterangan/gambaran ttg bangsa2@|@ethnography@
@keterangsangan@|@excitability@
@keteraturan@|@regularity@
@keterbacaan@|@legibility@
@keterlaluan@|@arrant, extravagance@
@keterlibatan@|@implication@
@keterlibatan seseorg@|@complicity@
@ketertiban@|@neatness, order@
@keterusterangan@|@directness@
@ketetapan@|@regularity, permanence, censistence@
@ketetapan hati@|@determination, earnestness@
@ketiak@|@armpit@
@ketidakberesan@|@amiss@
@ketidakjujuran@|@knavery@
@ketik@|@type; -an, typing; peng-, typist@
@ketika@|@moment@
@ketika@|@point in time, moment; when; se-, an instant, for a moment.@
@ketika berlangsung@|@pending@
@ketimang@|@buckle, clasp@
@ketimun@|@cucumber@
@ketimuran@|@oriental@
@ketinggalan@|@lag, astern, backward, miss, drop behind, behind, behidehand@
@ketinggalan barisan@|@straggle@
@ketinggalan jaman@|@obsolete@
@ketinggalan zaman@|@mould@
@ketinggian@|@altitude, elevation@
@ketinggian hati@|@pomposity@
@ketombe@|@scurf@
@ketombe@|@dandruff@
@ketrampilan@|@knack, dexterity, craft@
@ketua@|@principal, chief@
@ketua@|@chairman, leader@
@ketua juri@|@foreman@
@ketua kelas@|@prefektur, prefect@
@ketuk@|@ketok; knock, tap@
@ketukan@|@tap@
@ketulenan@|@genuineness@
@ketulusan@|@rectitude, veracity, sincerity, probity@
@keturunan@|@posterity, pedigree, progeny, offspring, extraction, birth, parentage, strain, race, line, lineage, house, breed@
@keturunan asli@|@thoroughbred@
@keturunan bangsawan@|@high-born@
@keturunan bangsawan (Romawi)@|@patrician@
@keturunan bangsawan yg masih muda@|@scion@
@keturunan pihak laki2@|@lineal@
@keulungan@|@supremacy@
@keunggulan@|@excellence, supremacy, superiority, pre-eminence@
@keuntungan@|@increment, fruit, boon, taking, stroke, interest, benefit@
@keuntungan yg diperoleh dr-@|@spoil@
@keuntungan/pendptan perusahaan@|@proceeds@
@keuskupan@|@diocese, bishopric, Holy See@
@kewajiban@|@obligation, onus, blame@
@kewajiban@|@duty, obligation@
@kewajiban moral@|@komitmen@
@kewalahan@|@at a loss what to do (because of a deluge of work, in the face of a superior enemy, etc) be snowed under@
@kewanitaan@|@womanhood@
@kewarasan@|@sanity@
@kewarganegaraan@|@citizenship@
@kewaspadaan@|@vigilance, guard@
@keyakinan@|@tenet, assurance, faith, trust, morale, hope, credit, conviction, confidence@
@keyakinan akan diri -@|@poise@
@keyakinan bhw sesuatu tlh ditakdirkan@|@fatalism@
@keyakinan mengorbankan diri sendiri@|@juggernaut@
@keyakinan yg salah@|@illusion@
@keyakinan/pdpt ttg agm yg berlwnan dgn ajaran@|@heresy@
@keyakinan/pendpt-@|@susceptibility@
@khalayak@|@the public@
@khalayak ramai@|@multitude@
@khalifah@|@caliph@
@khas@|@typical, peculiar@
@khas@|@special, exclusive, for private use; specific to s.t.@
@khasanah@|@treasure@
@khasiat@|@savour@
@khasiat@|@special quality/virtue/merit; peculiar property@
@khawatir@|@solicitious, anxiety, anxious, apprehensive, concern, solicitous@
@khawatir, kuatir@|@worried (cemas)@
@khawatir/takut akan@|@apprehend@
@khayal@|@phantom, figment, aerial, vision, head@
@khayal@|@imagination@
@khayalan@|@castle in the air, mirage, figment, illusive, illusory, fancy, mirage@
@khazanah@|@treasure; treasury; storage area for valuable object@
@khianat@|@perfidy@
@khianat@|@treason/betrayal; treacherous; ber- commit trea.; meng-, betray; pengk-, traitor@
@khidmat@|@solemn@
@khidmat@|@respect@
@khitan@|@circumcise@
@khitan@|@circumcision; ber-, be circumcised; -an, feast celebrating -@
@khotbah@|@sermon, exhortation@
@khotbah@|@sermon; ber-, preach, deliver -; meng-i, preach at, lecture s.o.@
@khusus@|@exclusive, particular, peculiar@
@khusus@|@apart, particular, separate, special@
@khusus@|@special; -nya, especially@
@khusus/kehati2an@|@delicate@
@khususnya@|@particularly@
@kiamat@|@doom@
@kiamat@|@doomsday, end of the world@
@kian@|@all the more; se-, so & so much (unnamed amount); as much as this@
@kias@|@simile/comparison/analogy; allusion/hint; meng-, allude to, hint @@; criticize; meng-kan, make analogy/comparison of@
@kiat@|@stiff; cramped (of neck, limbs, etc.) ber- be stiff, cramped (meng-kan) sprain s.t.@
@kibar@|@wave@
@kibar@|@ber-, wave, flutter, fly (flags, etc.); meng-kan, display, put out (flag, etc.)@
@kibas@|@meng-, wag (tail), sway to & fro, flap (ears, wings)@
@kibik (satuan volume)@|@cubic@
@kibul@|@(Jkt) lie; rearend, ass; ng-, tell a lie; bullshit@
@kicau@|@chirp, chirrup@
@Kidung Agung@|@Song of Solomon@
@kijang@|@roe, doe, deer@
@kijang@|@deer@
@kijang betina@|@hind@
@kijang/marmot/kelinci jantan@|@buck@
@kikir@|@niggardly, file, parsimonious, tight-fisted, stingy, penurious, miserly, mean@
@kikir@|@stingy, tightfisted; file, rasp; ber-, filed; coarse, wrinkled (of skin)@
@kikis@|@scraped; meng-, erode; make s.t. disappear bit by bit; peng-an, erosion; erasure; loss, disappearance@
@kikuk@|@ungainly, awkward, clumsy, clownish@
@kikuk@|@clumsy, awkward; ke-an, clumsiness, awkwardness@
@kilah@|@trick/deception/ruse/pretext; ber-, farfetched/spurious; deceitful/fraudulant; argue to defend o.s.@
@kilang@|@factory for processing / refining raw materials@
@kilap@|@glint, sheen, lustre, glitter@
@kilap@|@-, ber-. shine; mengk-, (v)@
@kilas@|@se-, -an, a glance; meng-, glance @@@
@kilat@|@flash@
@kilat@|@flash of lightning; shine, gleam, sheen; done in a flash; se-, in a flash; ber-, shine, glisten@
@kilau@|@luminousity, sheen, lustre, glitter, gloss, shimmer, brilliance@
@kilau@|@luster/reflected shine/gleam; ber-2an, sparkle/gleam (adj)@
@kinan@|@prospect@
@kincir@|@paddle-wheel@
@kincir angin@|@windmill@
@kini@|@now, nowadays (dewasa ini)@
@kios@|@kiosk@
@kipas@|@fan@
@kiprah@|@(Jv) gait, pace, progress@
@kir@|@chase@
@kira@|@surmise@
@kira@|@guess, reckon, suppose, estimate, perhaps, probably@
@kira2@|@circa, thereabouts@
@kira2 di mana@|@whereabouts@
@kiri@|@left; belok -, turn -@
@kirim@|@send, transmit@
@kirim@|@send, mail, deliver; meng-, (v) to send; peng-, sender; -an, delivery@
@kiriman@|@consignment@
@kiriman kilat@|@dispatch@
@kisah@|@tale@
@kisah@|@story/narrative (cerita); ber-, tell a -; peng-, narrator@
@Kisah Para Rasul@|@subtle@
@kisah perjalanan@|@yarn@
@kisar@|@rotation; (of the earth on its axis)@
@kisaran@|@gyration@
@kisaran gandum@|@mill@
@kisi2@|@grid, bar@
@kisik@|@whisper -an gossip@
@kismis@|@raisin, currant@
@kismis@|@raisin@
@kista@|@cyst@
@kisut@|@shrivel, shabby, crease, seam@
@kita@|@we (including person addressed), our, us; kami : not including person addressed@
@kitab@|@exercise-book, folder, notebook@
@kitkan@|@irritate@
@kkapal besar pengangkut barang@|@vessel@
@klimpungan@|@be disoriented, confused@
@kliping@|@scrap-book@
@kloset@|@toilet@
@kmdn@|@afterwards, subsequently, whereupon, thereafter, thereupon@
@kmdn hari@|@hereafter@
@knalpot@|@muffler@
@know the ~s:tahu seluk-beluknya@|@rope@
@KO@|@knock out@
@ko-@|@murmur@
@kocar-kacir@|@mess@
@koceh@|@ng-, meng-, talk nonsense@
@kocok@|@meng- shake, mix st. mix, stir, rubhard, incite@
@kocokan@|@whisk@
@kode pos@|@zip code@
@kode rahasia@|@chiper@
@kodi@|@score@
@kodok@|@frog@
@kodrat@|@God's will@
@kohesi@|@cohesion@
@kok@|@why, how come?@
@kokas@|@coke@
@koki@|@cook, chef@
@koki utama@|@chef@
@kokoh@|@staple@
@kokoh@|@(kukuh) sturdy, strong; firm, tenacious; bersikukuh, insist @
@kokpit@|@cockpit@
@kol@|@cabbage@
@kol@|@cabbage; minibus@
@kol bunga@|@cauliflower@
@kol kembang@|@cauliflower@
@kolam@|@pond, pool@
@kolam@|@pool@
@kolam di bawah air terjun@|@basin@
@kolega@|@colleague; (sejabat, colleague from work)@
@kolektor barang kuno@|@antiquary@
@koloni-@|@settlement@
@kolot@|@antiquated, conservative@
@komandan brigade@|@brigadier@
@komando@|@commando@
@kombinasi radio+gramafon@|@radiogram@
@kombinasi yg baik@|@blend@
@komedi@|@comic@
@komidi putar@|@merry-go-round@
@komisaris@|@commissioner@
@komisi@|@commission@
@komitmen@|@commitment/agreement@
@kompak@|@cohesive (of a group)@
@kompas@|@compass@
@komperensi@|@conference@
@kompleks perguruan tinggi@|@quadrangle@
@komplit@|@integrity@
@komplotan@|@intrigue, plot@
@komplotan raha-@|@scheme@
@komplotan rahasia@|@cabal@
@komponis@|@recital@
@kompor@|@stove, range@
@kompor@|@gas burner stove@
@konak@|@(sl) horny@
@kong@|@stay@
@kongres@|@congress@
@kongsi@|@company, partnership, share@
@kongsi/sekutu kerja yg tdk turut bekerja@|@sleeping partner@
@konotasi@|@connotation@
@konperensi@|@diet, convention@
@konser@|@performance@
@konsesi@|@concession, claim@
@konsumen@|@consumer@
@kontinyu@|@malar@
@kontrak@|@bond@
@konyol@|@absurd@
@konyol@|@foolish; inviting problems to o.s.; constant bad luck; incompetent@
@konyong@|@-, se-2, sudden, suddenly@
@kopel@|@semi-detached@
@kopeling@|@clutch@
@kopi@|@coffee@
@kopiah Turki dr kain lakan merah & berjambul jambu@|@fez@
@kopor@|@suitcase@
@kopor@|@suitcase, valise@
@kopor (kecil) tempat pakaian@|@valise@
@kopor bsr@|@trunk@
@kopor kecil@|@grip@
@kopor pakaian dr kulit@|@portmanteau@
@kopor utk menyimpan barang berharga@|@coffer@
@kopra@|@copra@
@kopral@|@corporal@
@kopral muda@|@lance-corporal@
@kor@|@fawn@
@koran@|@newspaper@
@koran picis-@|@rag@
@koran terbit/org bicara@|@muzzle@
@korban@|@victim, victim@
@korban@|@victim@
@korban@|@sacrifice; religious offering; victim(s); ber-, make sacrifice; meng-kan, - s.t.; peng-an, (Tak ada kasih tanpa -)@
@korban perang/kecelakaan@|@casualty@
@korden@|@upholster, upholstery, curtain, hangings, blind@
@korden (yg digantungkan)@|@drapery@
@korder/kain kursi yg berbunga2@|@chintz@
@kords@|@chord@
@koreng@|@sore, ulceration; scab (over a sore)@
@korset@|@stay@
@kortsleting@|@short circuit@
@kosen@|@balk@
@kosong@|@void, vacant, vacuous, devoid, nought, bare, blank@
@kosong@|@empty, void@
@kosong@|@empty; meng-kan, (v) empty s.t.@
@kost@|@room and board or just board; anak -, boarder; bapak -, landlord; ibu -, landlady; rumah -, boarding house@
@kota@|@city, town; ibu- capital.@
@kota pantai tu-@|@watering-place@
@kota pelabuhan@|@seaport@
@kota pertahanan@|@fortress@
@kota terpenting@|@metropolis@
@kota utk bekerja@|@commute@
@kotak@|@case@
@kotak@|@box@
@kotak 2 loh batu@|@Ark of Covenant@
@kotak bedak kecil yg dibawa dlm tas@|@compact@
@kotak dr karton@|@carton@
@kotak kecil logam utk tempat teh@|@canister@
@kotak kecil utk menyimpan perhiasan@|@casket@
@kotak pos di jln2@|@pillar-box@
@kotak tempat (daun) teh@|@caddy@
@kotak utk mengangkat bata/semen@|@hod@
@kotbah@|@discourse, homily@
@kotor@|@sordid, squalid, unsavoury, frowzy, nasty, draggled, grubby, filthy, slipshod, mucky, stain, profane, mess, mean, foul, corrupt@
@kotor@|@dirty/soiled; vile; gross (inc.,prof.); meng-i, contaminate s.t.@
@kotor krn jelaga@|@smutty@
@kotor/kasar bhsnya@|@ribald@
@kotor/rusak krn lama berada di toko@|@shop-soiled, shop-worn@
@kotoran@|@squalor, offal, rubbish, sewage, spot, litter@
@kotoran bijih besi@|@slag@
@kotoran burung laut utk pupuk@|@guano@
@kotoran menjijikkan@|@filth@
@kotoran yg-@|@scum@
@kotoran yg keluar dr tubuh@|@excrement@
@kotoran yg menjijikkan@|@muck@
@koyak@|@slit@
@koyak@|@torn, ripped; lacerated@
@koyak2@|@shred@
@koyok@|@plaster@
@kran, keran@|@tap, cock (water, gas)@
@krat@|@crate (of bottles, etc)@
@krayon@|@crayon@
@kremasi@|@cremation (meng-kan) cremate@
@kribo@|@frizzy (afro)@
@krikil@|@small stone; - sandungan, small problem, stumbling block@
@Kristus penebus/pembebas/penyelamat@|@Rendeemer@
@kritik@|@criticism, commentary@
@kritik pedas@|@stricture@
@krn@|@virtue, inasmuch as@
@krn ada pertentangan maksud@|@bull@
@krn banyak dipakai (berjerabai)@|@fray@
@krn itu@|@thence, thereupon@
@krn takut@|@cringe@
@krom@|@chromium@
@kronis@|@chronic@
@ksatria@|@knight@
@ksatria dgn menyentuhkan pedang pd bahunya@|@dub@
@ksatria penunggang kuda@|@cavalier@
@ksatria suatu neg@|@chivalry@
@ku catatan harian kapal@|@log@
@kuadrat@|@square@
@kuah@|@gravy, broth, thin sauce, thin dressing@
@kuah daging@|@grafy, broth@
@kuah selada terbuat dr telur@|@mayonnaise@
@kuah selada yg tdr dr minyak@|@salad dessing@
@kuak@|@croak@
@kuak@|@part (in hair); meng-, become open; ber-, open, give way@
@kuala@|@firth, estuary@
@kuali@|@crock@
@kuali bsr utk menyamak kulit/mencelup/mi-@|@vat@
@kuali utk menyimpan abu mayat@|@urn@
@kuas@|@small brush for painting, writing@
@kuas cukur@|@shaving-brush@
@kuasa@|@warrant@
@kuasa@|@power, might (meng-i, dominate, have control of, take over)@
@kuasa usaha@|@charge d'affaires@
@kuat@|@lusty, robust, vigorous, doughty, virulent, virile, vehement, cogent, sturdy, substantial, swing, hardy, keen, tight, wear, stout, stalwart, secure, serviceable, spanking, stiff, potent, intense, hearty, forceful@
@kuat@|@strong@
@kuat@|@strong, tough, resilient; memper-kan, strengthen s.t.; diper-, strengthened; ke-an, strength@
@kuatir@|@afraid, worry, worried@
@kuau@|@k.o. pheasant@
@kubah@|@dome, vault@
@kubah kecil@|@cupola@
@kubangan@|@pool@
@kubangan air di jln setelah hujan@|@puddle@
@kubis@|@cabbage@
@kubu@|@fort, stronghold@
@kubu@|@fortification, fortress, stockade; bunker, entrenchment; meng-i, fortify s.t.; per-an, fortification@
@kubu pertahanan@|@rampart@
@kubu/benteng pertahanan@|@blockhouse@
@kubur@|@grave/tomb; (per)-an, cemetery@
@kuburan@|@cemetery, grave, graveyard@
@kubus@|@cube@
@kucing@|@cat@
@kucur@|@gushing, pouring forth; meng-(kan/i), (v)@
@kuda@|@steed, gipsy@
@kuda@|@horse@
@kuda beban@|@pack-horse@
@kuda bertanduk 1@|@unicorn@
@kuda betina@|@mare, mare@
@kuda jantan@|@stallion@
@kuda jantan muda (4-5 thn)@|@colt@
@kuda kayu@|@hobbyhorse@
@kuda kecil@|@nag, pony@
@kuda lari perlahan@|@canter@
@kuda liar dr Amerika@|@mustang@
@kuda perwira AD@|@charger@
@kuda sewaan@|@hack@
@kuda tunggangan@|@mount@
@kuda tunggangan pendek kuat@|@cob@
@kuda yg diternakkan@|@stud@
@kuda2@|@easel, trestle, horse@
@kudis@|@scab, scabies@
@kuduk@|@nape@
@kudus@|@kudos@
@kue@|@icing@
@kue@|@cake (fried) (bolu, baked)@
@kue (pastel)@|@pastry@
@kue bolu@|@muffin@
@kue bolu yg sangat lembut@|@sponge-cake@
@kue dgn kismis utk Natal@|@plum-cake, plum-pudding@
@kue dr putih telur & gula@|@meringue@
@kue kering tipis keras@|@cracker@
@kue manis@|@trifle@
@kue pastel@|@patty@
@kue pastel berisi daging/buah2an@|@pie@
@kue pastel berisi manisan buah2an@|@mince pie@
@kue resoles@|@rissole@
@kue sebsr jari berisi susu berkulit gula@|@eclair@
@kue2@|@confectioner, confectionery@
@kue2 yg dibakar sekaligus@|@batch@
@kuil@|@temple, shrine@
@kuil@|@temple@
@kuitansi@|@receipt@
@kujur@|@stiff, rigid; se-, the entire (body)@
@kuku@|@talon, nail@
@kuku@|@nail@
@kuku@|@finger/toenail; claw, s.t. like a -; hoof@
@kuku hewan@|@claw@
@kuku/tapak kuda@|@hoof@
@kukuh@|@adamant, substantial, fast, steadfast, stalwart, secure@
@kukuh@|@sturdy, strong (house, etc)@
@kukur@|@rasp@
@kukuran@|@grater@
@kukus@|@steam, vapour (uap)@
@kukusan@|@steamer@
@kul2 dgn keras@|@pound@
@kulai@|@drooping, hanging down@
@kuli@|@navvy, coolie@
@kuli@|@laborer, coolie@
@kuli pelabuhan@|@stevedore@
@kuliah@|@lecture, discourse, course@
@kuliah@|@university lecture@
@kulit@|@leather, skin, paring, pod, peel@
@kulit@|@skin, leather@
@kulit@|@skin@
@kulit & rambut kepala@|@scalp@
@kulit ari@|@cuticle@
@kulit berkerak/keras@|@crusty@
@kulit berwarna@|@coloured@
@kulit bi-@|@chaff@
@kulit biji2an@|@hull, husk@
@kulit dr kulit anak kambing@|@kid@
@kulit halus dr biri2/kambing@|@chamois-leather@
@kulit halus utk menggilapkan@|@wash-leather@
@kulit halus utk sarung tangan@|@suede@
@kulit hewan berbulu@|@pelt@
@kulit hewan/org@|@hide@
@kulit kambing yg halus@|@morocco@
@kulit kendur yg spt kantung@|@pouch@
@kulit kentang@|@jacket@
@kulit kerang (dulu utk mata uang Afrika/Asia)@|@cowrie@
@kulit kura2@|@tortoise-shell@
@kulit penutup kaki@|@leggings@
