@English@|@Bambara@
@official@|@faama@
@oil@|@tulu@
@oil lamp@|@fitinè@
@ok@|@ayiwa@
@old@|@kò'rò@
@old age@|@cèkòròbaya@
@old person@|@mògòkòròba@
@old woman@|@musokòròba@
@older brother@|@korò@
@older person@|@mògòkòròba@
@oman@|@omani@
@on@|@sanfè@
@on the ground@|@duguma@
@one@|@kelen@
@one by one@|@kelen-kelen@
@one thousand@|@wa kelen@
@one-way ticket@|@taali dòròn@
@onion@|@jàba@
@onion sauce@|@jabaji@
@only@|@dama@
@open@|@dayèlè@
@opener@|@dayèlèlan@
@operate on@|@opere@
@operation@|@opereli@
@opinion@|@hakilinan@
@oppress@|@degun@
@or@|@walima@
@orange@|@lenburuba@
@orchard@|@jiriforo@
@ordinary@|@gansan@
@organisation@|@nyènabòli@
@organize@|@nyènabò@
@organizer@|@nyènabòbaa@
@ornament@|@masiri@
@orphan@|@fàntan@
@orthography@|@sèbèncogo@
@ostrich@|@kònòsogonin@
@otherwise@|@n'o tè@
@ouagadougou@|@wagadugu@
@our@|@an@
@outdoors@|@kènèma@
@outside@|@kènèma@
@outsider@|@siginfè@
@overtake@|@tèmè@
@own@|@bè ... fè@
@owner@|@ma@
@ox@|@misi@
@ox-plough@|@misidaba@
@oxygen@|@nigazi@
@packet@|@pake@
@pact@|@layidu@
@paddle@|@jufa@
@paddy field@|@maloforo@
@padlock@|@gogoro@
@page@|@gafefura@
@pagne@|@taafe@
@pain@|@dimi@
@paint@|@pèntiri@
@pakistan@|@pakisitan@
@palace@|@palè@
@palm@|@tègè@
@palm tree@|@ban@
@palm wine@|@banji@
@pane of glass@|@witiri@
@pants@|@kulusi@
@papaya@|@manje@
@paper@|@sèbèn@
@papers@|@sèbènw@
@parable@|@ntalen@
@paradise@|@alijènè@
@paraffin@|@peteròli@
@parakeet@|@solo@
@paralyse@|@jà@
@paralysed person@|@nabara@
@parasol@|@tilebènnan@
@parent@|@bangebaa@
@parents@|@bangebaw@
@paris@|@pari@
@parliament@|@sariyatabulon@
@particular@|@kèrènkèrènlen@
@partridge@|@wòlò@
@party@|@fèti@
@pass@|@tèmè@
@passenger@|@mobilikònòmògò@
@passer-by@|@tèmènbagatò@
@passion@|@jarabi@
@passover@|@tèmènkan@
@passport@|@taamasèbèn@
@past@|@tèmènen@
@pasta@|@makòròni@
@pastor@|@pasitèri@
@patch@|@bari@
@path@|@sira@
@patience@|@munyuli@
@patisserie@|@patiseri@
@paw@|@sen@
@pay@|@sara@
@pay attention@|@janto@
@peace@|@hèrè@
@peace only@|@hèrè dòròn@
@peanut@|@tiga@
@peanut butter@|@tigadègè@
@peanut field@|@tigaforo@
@peanut oil@|@tigatulu@
@peanut sauce@|@tigadègèna@
@peanut shell@|@tigafara@
@pebble@|@gòngòrò@
@peck@|@sogin@
@pedal@|@pedali@
@pedestrian@|@sennamògò@
@peel@|@wòrò@
@pen@|@biki, sèbènnikèlan@
@penalty@|@penaliti@
@pencil@|@kiriyòn@
@penknife@|@karilimuru@
@pepper@|@fyèfyè@
@percentage@|@kèmèsarada@
@percussion instrument@|@fòlifèn gosita@
@perfect@|@dafalen@
@perfume@|@latikòlòn@
@perhaps@|@lala@
@period@|@kuntaala@
@permission@|@labilali@
@permit@|@labila@
@permitted@|@dagalen@
@perseverance@|@munyuli@
@person@|@tigi@
@perspiration@|@wòsiji@
@perspire@|@wòsi@
@pesticide@|@bagaji@
@pestle@|@kolonkala@
@petrol@|@esansi@
@peul@|@fula@
@pharmacist@|@furafeerela@
@pharmacy@|@furafeereyòrò@
@phonetics@|@mankankalan@
@phonology@|@kannyèkalan@
@photo@|@ja@
@photographer@|@jatala@
@phrase@|@kumasen@
@physician@|@furakèla@
@pick@|@kari@
@pick up@|@tòmò@
@picture@|@ja@
@pierce@|@sògò@
@pig@|@lè@
@piglet@|@lèden@
@pile@|@sara@
@pile up@|@ton@
@pilgrim@|@hijiden@
@pilgrimmage@|@hiji@
@pill@|@furakisè@
@pillow@|@kunkòròdonnan@
@pilot@|@pankurunbolila@
@pineapple@|@jàbibi@
@pink@|@bilenman@
@pip@|@kolo@
@pity@|@hinè@
@place@|@sigiyòrò@
@place of worship@|@alabatoyòrò@
@plain@|@kènèba@
@plait@|@fugan@
@plan@|@fè'èrè@
@planet@|@tile nòfèdolo@
@plank@|@jirinin@
@plant@|@turu@
@plantain@|@baranda@
@plantation@|@jiriforo@
@plastic@|@manama@
@plastic bag@|@mana@
@plate@|@asèti, asiyèti@
@plateau@|@tintinba@
@play@|@fò, kòtèba@
@play at@|@bò@
@playing cards@|@marasi@
@pleasant@|@diya@
@pleasure@|@diyanye@
@plough@|@buluku@
@plug@|@kurantayòrò@
@plural marker@|@cayalan@
@pneumonia@|@disidimi@
@pocket@|@dufa@
@pocketknife@|@karilimuru@
@poem@|@poyi@
@point@|@bìnyè@
@point of view@|@hakilinan@
@poison@|@baga@
@poke@|@nyòni@
@police@|@polisi@
@police officer@|@polisi@
@police station@|@zandaramaso@
@policeman@|@zandarama@
@polio@|@senfagabana@
@poliomyelitis@|@senfagabana@
@polish@|@nùgu@
@polite@|@ladamunèn@
@political party@|@politikitòn@
@politician@|@politikimògò@
@politics@|@politiki@
@polygamist@|@musocamantigi@
@poor@|@bolokolon@
@poor person@|@sègènbaatò@
@pope@|@papa@
@population@|@jama@
@porcupine@|@bàla@
@pork@|@lèsogo@
@port@|@pòri@
@porter@|@donitala@
@portion@|@ta@
@portugal@|@pòritigali@
@position@|@jòyòrò@
@possess@|@be... fe@
@possessed by spirit@|@jinètò@
@possessions@|@bolofèn@
@post office@|@pòsiti, posu@
@post office box@|@batakikèsu@
@postposition@|@kòbila@
@pot@|@daga@
@potash@|@sègè@
@potato@|@kòmitèrè@
@pothole@|@dingèdingènin@
@potion@|@furaji@
@poultry@|@sokònòkònò@
@pound@|@cògòri@
@pounding@|@susuli@
@pour@|@suuru@
@pour out@|@bòn@
@poverty@|@faantanya@
@powder@|@mugu@
@power@|@sebaaya@
@powerful@|@barikama@
@powerlessness@|@barikantanya@
@praise@|@barama@
@praise singer@|@jeli@
@pray@|@deli@
@prayer@|@delili@
@prayer beads@|@kòlòsi@
@prayer mat@|@selidèbèn@
@preach@|@waajuli kè@
@preacher@|@waajulikèla@
@preaching@|@waajuli@
@predestination@|@nakan@
@prefer@|@fisaya@
@prefix@|@nyènòrò@
@pregnancy@|@kònòmaya@
@pregnant@|@kònòma@
@preparation@|@labènni@
@prepare@|@dilan@
@prepare oneself@|@labèn@
@prescription@|@furasansèbèn@
@present@|@mò@
@preserve@|@lasago@
@president@|@jamanatigi, peresidan@
@presidential election@|@jamanakuntigisigikalata@
@press@|@digi@
@pretty@|@cènyi@
@prevent@|@kènyè@
@price@|@da@
@prickle@|@jolo@
@pride@|@kuncèbaya@
@priest@|@murukalatigi@
@priesthood@|@sarakalasebaaya@
@primary school@|@dugumakalan@
@prime minister@|@minisirinyèmògò@
@prince@|@masaden@
@printers@|@gafedilanyòrò@
@prison@|@kaso@
@prisoner@|@kasolamògò@
@private sector@|@kènyèrèye@
@problem@|@baasi@
@proclamation@|@welewele@
@profit@|@tònò@
@program@|@porogaramu@
@progress@|@nyèfètaali@
@project@|@poroze@
@promise@|@layidu@
@pronoun@|@nònabila@
@pronunciation@|@fòcogo@
@proper noun@|@tògòjè@
@prophecy@|@kiraya@
@prophet@|@nabi@
@prosper@|@sabati@
@prosperity@|@nyèsuma@
@prostitute@|@sungurunba@
@prostitution@|@sungurunbaya@
@protect@|@tanga@
@protection@|@marali@
@protestant@|@porotèsitan@
@proud person@|@kuncèbaa@
@proverb@|@ntalen@
@province@|@màra@
@provoke@|@bila@
@prune@|@Gana@
@pruritus@|@farinyènyè@
@psalm@|@zaburu@
@public@|@foroba@
@public announcement@|@welewele@
@public school@|@forobalakòli@
@public sector worker@|@forobabaarakèla@
@public square@|@fèrè@
@publicity@|@gansilisèbèn@
@publish@|@gansi@
@pull@|@sama@
@pull down@|@bìn@
@pull out@|@labò@
@pump@|@pònpe, ponpu@
@punctuation mark@|@jòlan@
@puncture@|@sògò@
@punish@|@nyangi@
@pupil@|@lakòliden@
@puppy@|@wuluden@
@purchase price@|@sanda@
@pure@|@yèrèyèrè@
@purification@|@saniyali@
@purify@|@saniya@
@pursue@|@nògèn@
@push@|@digi@
@put into@|@don@
@put into practice@|@waleya@
@put to bed@|@lada@
@python@|@mininyan@
@quadrilateral@|@selekenaani@
@quadruped@|@sennaanimafèn@
@quantity@|@hakè@
@quarrel@|@kèlè@
@queen@|@masamuso@
@question@|@nyininkali@
@question mark@|@nyininkalitomi@
@questioner@|@nyininkalikèla@
@questionnaire@|@nyininkalisèbèn@
@quick@|@teli@
@quickly@|@joona@
@quietly@|@dògòdògònin@
@quinine@|@kinini@
@qur'an@|@kuranè@
@qur'anic school@|@morikalan@
@rabbit@|@sonsan@
@rabid@|@fatò@
@rabies@|@fa@
@race@|@nyògòndan@
@racism@|@siyawoloma@
@racist@|@siyawolomala@
@radio@|@arajo@
@radio station@|@arajoso@
@radio-cassette recorder@|@arajomanyeto@
@rag@|@finikolon@
@rags@|@fèèrè@
@railroad@|@nègèsira@
@railway@|@nègèsira@
@rain@|@san@
@rainy season@|@samiya@
@raise from the dead@|@lakunun@
@ram@|@sagajigi@
@rapid@|@teli@
@rapidity@|@teliya@
@rat@|@nyinè@
@ravine@|@folon@
@read@|@kalan@
@reading@|@kalanjè@
@real@|@sèbè@
@reason@|@kün@
@reasonable@|@fisa@
@rebel@|@murutilen@
@rebellion@|@murutili@
@rebuke@|@kòròfò@
@receive@|@sòrò@
@recently@|@kòsa in na@
@recreation@|@nyènajè@
@rectangle@|@selekenaani@
@red@|@bilenman@
@redeem@|@kunmabò@
@redeemer@|@kunmabòbaa@
@redemption@|@kunmabòli@
@reduce@|@dògòya@
@reflect@|@taasi@
@reflection@|@hakilijakabò@
@refuse@|@ban@
@region@|@màra@
@register@|@tógòwelekaye@
@registration@|@tògòsèbèn@
@regret@|@nimisa@
@regulations@|@tòn@
@rehydration salts@|@keneyaji@
@reinforce@|@sabati@
@rejoice@|@nyagali@
@rejoicing@|@nagali@
@religion@|@diinè@
@religious leader@|@diinnyèmògò@
@remain@|@to@
@remedy@|@saraka@
@remind@|@jigin@
@remove@|@bò@
@renew@|@kuraya@
@rent@|@luwanse@
@repair@|@dilan@
@repent@|@nimisa@
@repentance@|@nimisa@
@representative@|@lasigiden@
@reprimand@|@lagosi@
@reptile@|@fofofèn@
@request@|@delili@
@research@|@nyènyinini@
@resentment@|@mònè@
@reserve@|@maloya@
@resolution@|@nyaniya@
@respect@|@bonya@
@rest@|@lafiya@
@restaurant@|@dumunikèyòrò@
@resurrection@|@kununni@
@return@|@kòseginni@
@return ticket@|@taanikasegin@
@reveal oneself@|@jira@
@revelation@|@jirali@
@revision@|@seginkanni@
@rib@|@galakakolo@
@rice@|@malo@
@rice grower@|@malosènèna@
@rice plantation@|@maloforo@
@rich man@|@nafolotigi@
@rich person@|@baana@
@riches@|@nafolo@
@riddle@|@ntalen@
@ride@|@boli@
@right@|@kinin@
@right angle@|@selekemankan@
@righteous@|@tilennen@
@righteousness@|@tilennenya@
@ring@|@kasi@
@riot@|@balawu@
@rip@|@fara@
@ripe@|@mòlen@
@ripen@|@lamò@
@rise@|@funun@
@rise from the dead@|@kunun@
@risk@|@farati@
@river@|@baji, kò'@
@river bank@|@dankan@
@road@|@sira@
@road accident@|@sirakankasara@
@roadside@|@sirada@
@roar@|@gòròntò@
@roast@|@jeni@
@robber@|@binkannikèla@
@rock@|@fara@
@rocky@|@farama@
@role@|@jòyòrò@
@roll@|@kolonkolon@
@roll up@|@meleke@
@roof@|@bili@
@room@|@soden@
@rooster@|@dononkòrò@
@root@|@dili@
@rope@|@juru@
@roselle juice@|@dabilenni@
@rot@|@toli@
@roundabout@|@sirakunbèn@
@route@|@sira@
@rub@|@tereke@
@rubber@|@manama@
@rubbish@|@nyaman@
@rubbish tip@|@nyamanton@
@rude@|@malobali@
@ruin@|@tinyè@
@ruins@|@tomon@
@rule@|@tòn@
@ruler@|@tiiricilan@
@ruling@|@sariya@
@run@|@boli@
@run here and there@|@boli-boli@
@runner@|@bolikèla@
@running@|@boli@
@runway@|@pankurunjiginkènè@
@ruse@|@fèèrè@
@rush@|@girin@
@russian@|@irisi@
@rust@|@nson@
@rwanda@|@uruwanda@
@sabre@|@npan@
@sack@|@bòrò@
@sacrifice@|@sònni@
@sadden@|@nyènasisi@
@sadness@|@nenasisi@
@sahel region@|@sahelikungo@
@sailor@|@kurunbolila@
@saint@|@waliju@
@salary@|@sara@
@saliva@|@daji@
@salt@|@kògò, kòkò@
@salvation@|@kisili@
@same@|@kelen@
@sand@|@cèncèn@
@sand dune@|@cèncènkulu@
@sandal@|@sabara@
@sandwich@|@sandiwisi@
@sarakole@|@maraka@
@satan@|@sitanè@
@satchel@|@npalan@
@satisfaction@|@wàsa@
@satisfy@|@wasa@
@saturday@|@sibiri, sibiridon@
@sauce@|@na@
@saudi arabia@|@sawudiya@
@savannah@|@bintu@
@save@|@tila@
@saviour@|@kisibaa@
@say@|@fo@
@scab@|@fàra@
@scabbard@|@foron@
@scales@|@sumanikèlan@
@scare@|@lasiran@
@scatter@|@seri@
@school@|@kalanso, lakoli, lise@
@school bell@|@lakòlinègè@
@school teacher@|@lakòlikaramògò@
@science@|@dònniya@
@scissors@|@kèmèsu@
@scorpion@|@nkòsòn@
@scotland@|@ekòsi@
@scratch@|@siyèn@
@scream@|@kulo@
@screw@|@wisi@
@scrub@|@tereke@
@sculptor@|@jiridèsèla@
@sculpture@|@jiridèsè@
@sea@|@geji@
@search@|@nyini@
@seasoning@|@nafèn@
@seat@|@sigilan@
@second@|@filanan@
@secret@|@gundo@
@secretary@|@sèbènnikèla@
@section@|@sigida@
@see@|@yeli kè@
@see you@|@k'an bèn@
@see you around noon@|@k'an bèn tilefè@
@see you in the afternoon@|@k'an ben wulafè@
@see you in the morning@|@k'an ben sògòma@
@see you later@|@k'an bèn kòfè@
@see you soon@|@k'an ben sòòni@
@see you tomorrow@|@k'an bèn sinin@
@seed@|@si@
@seer@|@filèlikèla@
@segou@|@segu@
@seize@|@minè@
@self@|@yèrè@
@self control@|@yèrèminèli@
@self-protection@|@yèrètanga@
@sell@|@feere@
@seller@|@feerekèla@
@selling price@|@feereda@
@semantics@|@kòròkalan@
@semi-colon@|@tomi ni nkòri@
@send@|@ci@
@senegal@|@senegali@
@sense@|@kuntilenna@
@sentence@|@kumasen@
@separate@|@woloma@
@separate from@|@fara@
@september@|@sètanburukalo@
@serious@|@sèbè@
@sermon@|@waaju@
@serpent@|@sa@
@servant@|@jòn@
@sesame@|@bènè@
@sesame oil@|@bènètulu@
@set free@|@hòrònya@
@set right@|@tilen@
@seven@|@wolonwula@
@seventeen@|@tan ni wolonfila@
@seventh@|@wolonwulanan@
@seventy@|@bi wolonfila, biwolonfila@
@several@|@damadò@
@severe@|@seware@
@sew@|@kala@
@sewing machine@|@kalalikèlan@
@sex@|@cènimusoya@
@sexual intercourse@|@cènimusoya@
@shadow@|@ja@
@shake@|@firi-firi@
@shame@|@maloya@
@shameless@|@malobali@
@share@|@niyòrò@
@sharia@|@silamèsariya@
@shave@|@di@
@she doesn't have an elder bro@|@kòròcè t'a fè@
@she is going to the toilet@|@a bè taa ñègèn na@
@shea@|@sisun@
@shea butter@|@situlu@
@shea nut@|@kòlò@
@sheath@|@foron@
@sheep@|@saga@
@sheet@|@dara@
@shell@|@wòrò@
@shepherd@|@gènna@
@shield@|@nègèbènnan@
@shine@|@kènèbò@
@shirt@|@doloki, dulòki@
@shoe@|@samara@
@shoemaker@|@garankè@
@shoes@|@sabara@
@shop@|@butigi, butiki@
@shopping@|@sanni@
@short@|@surun@
@shorten@|@surunya@
@shoulder@|@kamakun@
@shout@|@kulo@
@shovel@|@pèlu@
@show@|@yira@
@shower area@|@nyègèn@
@shyness@|@malo@
@sibling@|@balima@
@sick person@|@banabaatò@
@sickle@|@wòlòsò@
@sickness@|@bana@
@siege@|@daga@
@sierra leone@|@siyera lewòni@
@sieve@|@teme@
@sift@|@tèntèn@
@sight@|@nyè@
@sign@|@taamasiyèn@
@signature@|@bolonò@
@signboard@|@pilaki@
@significance@|@kuntilenna@
@sikasso@|@sikaso@
@silly person@|@naloma@
@silver@|@warijè@
@similar@|@bònyògònko@
@simple@|@gansan@
@sin@|@hàkè@
@since@|@kabini@
@sincere@|@sèbè@
@sing@|@dònkili da@
@singapore@|@sèngapuri@
@singer@|@dònkilidala@
@single@|@cèganan, musoganan@
@sinless@|@jurumuntan@
@sinner@|@hakèkèla@
@sirop@|@siro@
@sister@|@balima, dògòmuso@
@sister older@|@kòròmuso@
@sit@|@sigi@
@six@|@wòòrò@
@sixteen@|@tan ni wòòrò@
@sixth@|@wòòrònan@
@sixty@|@bi wòòrò, biwòòrò@
@size@|@kundama@
@skeleton@|@kolojalan@
@sketch@|@tiyatiri@
@skin@|@wòrò@
@skin disease@|@kàba@
@skinning@|@wòròli@
@sky@|@san@
@sky-scraper@|@sojanba@
@slate@|@walannin@
@slaughterhouse@|@baganfagayòrò@
@slave@|@jònkè@
@slave master@|@jònkuntigi@
@slavery@|@jònya@
@sleep@|@sunògò@
@sleeping pill@|@sunògòfura@
@sleeping sickness@|@sunògòbana@
@slide@|@cèènè@
@slim@|@misèn@
@slip@|@ceene@
@slippers@|@muke@
@slow@|@suma@
@slowly@|@dòònin-dòònin@
@small@|@dògò@
@smallest@|@dògòmannin@
@smell@|@kasa@
@smile@|@yèlè@
@smoke@|@wusu@
@smooth@|@nùgu@
@snake@|@sa@
@sneeze@|@tiso@
@snore@|@gòròntò@
@snow@|@nèzi, niegei@
@snuffbox@|@npètè@
@so@|@o tuma@
@so that@|@hali@
@soak@|@nyigin@
@soap@|@safunè@
@soap powder@|@safunèmugu@
@soccer@|@ntolatan@
@socialism@|@sosiyalisimu@
@sock@|@susèti@
@soft@|@magan@
@soil@|@nògò@
@solder@|@sude@
@soldier@|@sòròdasi@
@solidity@|@girinya@
@solution@|@fura@
@somalia@|@somali@
@some@|@dòw@
@someone@|@mogo@
@son@|@denke@
@song@|@donkili@
@soninké@|@marakakan@
@soninke ethnic group@|@maraka@
@sonrhaï ethnic group@|@koroboro@
@sonrhaï language@|@koroborokan@
@soon@|@sooni@
@sore@|@joli@
@sorghum@|@nyo@
@sorrow@|@nyenasisi@
@sort@|@suguya@
@sotrama@|@sotarama@
@sotrama driver@|@sotaramabolila@
@soul@|@ni@
@sound@|@kan@
@soup@|@naji@
@sour@|@kumu@
@source@|@bununda@
@south@|@worodugu@
@south africa@|@afirikidisidi@
@southern@|@woroduguyanfan@
@sow@|@lemuso@
@sower@|@dannikela@
@spagetti@|@sipageti@
@spain@|@esipanyi@
@spare part@|@minen@
@sparkle@|@manamana@
@speak@|@kuma@
@speak to@|@kanto@
@spectacles@|@nuneti@
@speech-impaired person@|@bobo@
@speed@|@teliya@
@spell@|@kilisi@
@spend the day@|@tilen@
@spend time@|@ke@
@spicy@|@farin@
@spike@|@bìnye@
@spill@|@bon@
@spin@|@munu@
@spindle@|@jene@
@spine@|@jolo@
@spinning@|@paratali@
@spirit@|@ni@
@spit out@|@tu@
@spoil@|@tinye@
@sponge@|@josilan@
@spoon@|@kutu@
@sport@|@farikolonyenaje@
@spread@|@fense@
@sprinkle@|@seri-seri@
@spy@|@kolajebaa@
@square metre@|@meterekene@
@squat@|@sonsoro@
@staircase@|@yelenyelennan@
@stairs@|@yèlènyèlènnan@
@stake@|@bolo@
@stalk@|@kala@
@stallion@|@soke@
@stamp@|@tenburu@
@stand up@|@jo@
@standard language@|@kanje@
@standing@|@jolen@
@star@|@dolo@
@start@|@damine@
@start up@|@wuli@
@state@|@faso@
@state school@|@forobalakoli@
@statue@|@jirimogonin@
@stay@|@to@
@stay a long time@|@men@
@steal@|@sonya@
@steamboat@|@sisikurun@
@stem@|@kala@
@stereo@|@arajomanyeto@
@sterile@|@bangebali@
@stick@|@noro@
@stifle@|@degun@
@sting@|@ncon@
@stir@|@lamaga@
@stitch@|@kala@
@stock cube@|@najinin@
@stomach@|@konobara@
@stomach ache@|@konodimi@
@stone@|@gongoro@
@stone of fruit@|@kolo@
@stony@|@farama@
@stool@|@kurun, sigilan@
@stop@|@lajo@
@stork@|@baninkònò@
@story@|@maana@
@stove@|@furuno@
@straight@|@tilennen@
@straight line@|@ci tilennen@
@straighten@|@tilen@
@stranger@|@dunan@
@stratagem@|@fèèrè@
@stream@|@kò'@
@street@|@kare@
@strength@|@barika@
@strengthen@|@sabati@
@strengthening@|@sabatili@
@stretch@|@mòònòbò@
@stretch out@|@yankan@
@striker@|@bidonna@
@string@|@juru@
@string instrument@|@fòlifèn juruma@
@strip@|@wòrò@
@strong@|@fòròlen@
@struggle@|@kèlè@
@student@|@kalanden@
@study@|@kalan@
@stumble@|@talon@
@stump@|@gungurun@
@stupidity@|@hakiligoya@
@submit@|@kolo@
@subscription@|@bakurubasanni@
@subtraction@|@dòbòli@
@succeed@|@sabati@
@success@|@sanga@
@suck@|@min@
@sudan@|@sudan@
@sudanic region@|@sudankungo@
@suffering@|@ñèni@
@suffice@|@bo@
@sufficient@|@ñènama@
@suffix@|@kònòrò@
@sugar@|@sukaro@
@sugar cane@|@timikala@
@suicide@|@yèrèfaga@
@suit@|@minè@
@suitcase@|@walisi@
@summit@|@kuncè@
@sun@|@tile@
@sunday@|@bankari, kari@
@sunglasses@|@tilenuneti@
@sunset@|@tilebin@
@support@|@ntuloma@
@suppose@|@bisigi@
@sura@|@sura@
@surface@|@kene@
@surgeon@|@dògòtòròba@
@surname@|@jamu@
@surprise@|@bàla@
@surround@|@lamini@
@surrounding area@|@lamini@
@Susan has an elder sister@|@kòròmusoi bè Suzan fè@
@swallow@|@kunu@
@swarm of bees@|@didenkulu@
@swarm of locusts@|@ntònkulu@
@swear@|@kali@
@sweat@|@wòsiji@
@sweden@|@siwèdi@
@sweep@|@fura@
@sweeping@|@furali@
@sweet@|@takalagòmi@
@sweet potato@|@woso@
@sweetcorn@|@kàba@
@swell@|@funun@
@swim@|@nòn@
@swimmer@|@nònnikèla@
@swimming@|@nònni@
@swimming pool@|@pisini@
@switzerland@|@suwisi@
@sword@|@npan@
@syllable@|@kanñè@
@synagogue@|@Alabatoso@
@syria@|@siri@
@tabaski@|@seliba@
@table@|@tabali@
@table football@|@babi@
@table merchant@|@tabalitigi@
@tablet@|@furakisè@
@taboo@|@tana@
@tactic@|@feere@
@tail@|@kukala@
@taiwan@|@tayiwani@
@take@|@hòn@
@take away@|@bòsi@
@take care of@|@janto@
@tale@|@nsiirin@
@talisman@|@bàgan@
@tall@|@jamanjan@
@tamarind@|@ntomi@
@tamasheq@|@burudamè, tamasèkikan@
@tambourine@|@ntama@
@tap@|@worobinè@
@tap water@|@worobinèji@
@tarmac road@|@gudòròn@
@task@|@kèta@
@taste@|@nènè@
@tasty@|@di@
@taxes@|@nisòngò@
@taxi@|@takisi@
@taxi driver@|@takisibolila@
@tea@|@atayi@
@tea glass@|@teminwèrè@
@tea towel@|@jòsilan@
@teach@|@ladege@
@teacher@|@karamògò@
@teaching@|@lakalanni@
@teapot@|@baradaa@
@tear@|@fara@
@teat@|@sin@
@telephone@|@nègèjuru@
@telephone line@|@nègèjurusira@
@telescope@|@bonyalanba@
@television@|@tele@
@tell@|@lakali@
@temperature@|@goniyahakè@
@temple@|@alabatosoba@
@tempt@|@nègèn@
@tempter@|@kòròbòlikèla@
@ten@|@tan@
@tenant@|@luwanse@
@tent@|@finiso@
@tenth@|@tannan@
@termite@|@bubaga@
@termite mound@|@bubagaso@
@terrorist@|@terorisi@
@test@|@kòròbò@
@testicle@|@kili@
@testimony@|@seereya@
@testing@|@koroboli@
@tetanus@|@jangòyi@
@text@|@masalabolo@
@thank@|@tanu@
@thanks@|@foli, saha@
@that@|@o@
@the afternoon@|@wula@
@the morning@|@sògòma@
@the night@|@su@
@theatre@|@tiyatiri@
@theft@|@sonyali@
@their@|@u@
@theme@|@dakun@
@there@|@yen@
@therefore@|@o de kama@
@thermometer@|@gonitalan@
@these@|@ninnu@
@they@|@u@
@they are fine@|@tòòrò t'u la@
@thicken@|@fasa@
@thief@|@nson@
@thigh@|@woro@
@thin@|@fasa@
@thing@|@ko@
@things are well@|@u ka nyi dooni@
@things to do@|@ko ketaw@
@think@|@miiri@
@thinking@|@miirili@
@third@|@sabanan@
@thirst@|@minnogo@
@thirty@|@bi saba, bisaba@
@this@|@nin@
@this year@|@ñinan@
@thorn@|@mgòni@
@thought@|@miiri@
@thoughts@|@miirili@
@thousand@|@ba@
@thread@|@gaari@
@three@|@saba@
@thresh@|@gòsi@
@thriteen@|@tan ni saba@
@throne@|@masasigilan@
@throw-in@|@bololafili@
@thumb@|@bolokòni kunba@
@thunder@|@sanpèrènkan@
@thursday@|@alamisa@
@ticket@|@biye@
@ticket office@|@biyetayòrò@
@tie@|@siri@
@tilt@|@jèngèn@
@timbuktu@|@tumutu@
@time@|@tuma@
@timidity@|@maloya@
@tin@|@buwati@
@tire@|@segen@
@tiredness@|@sègèn@
@tithe@|@jaka@
@to@|@mà@
@to be directed towards@|@ñèsin@
@toad@|@ntori@
@tobacco@|@sira@
@today@|@bi@
@toe@|@senkòni@
@together@|@ñògòn fè@
@togo@|@togo@
@toilet@|@ñègèn@
@tomato@|@tamati@
@tomato paste@|@logoti@
@tomb@|@kaburu@
@tomorrow@|@sini@
@tone@|@kanhakè@
@tongue@|@nèn@
@too much@|@kojugu@
@tool@|@minèn@
@tooth@|@ñin@
@tooth decay@|@sumu@
@toothbrush@|@gese@
@torch@|@mòñòn@
@tortoise@|@koorokaara@
@total@|@kasabi@
@totem@|@tana@
@touch@|@maga@
@tourism@|@turisimu@
@tournament@|@ñògòndan@
@towards@|@ye@
@towel@|@jòsilan@
@town@|@duguba@
@town hall@|@meri@
@toy@|@tulonkèfèn@
@track@|@nò@
@trade@|@jago@
@trade language@|@jagokèkan@
@trader@|@jula@
@tradition@|@laada@
@traditional healer@|@farafindògòtòrò@
@train@|@tèrèn@
@train journey@|@tèrènnataama@
@train station@|@tèrèn gari@
@training@|@degeli@
@traitor@|@janfanci@
@transform@|@bayèlèma@
@transformation@|@bayelemali@
@translate@|@yelema@
@translation@|@bayelemali@
@translator@|@bayèlèmabaga@
@transplant@|@turu@
@transport costs@|@pase@
@travel@|@taama@
@travel bag@|@dugutaanpalan@
@traveller@|@taamaden@
@travelling companion@|@taamañògòn@
@treachery@|@janfa@
@treason@|@janfali@
@treasure@|@nafolo@
@treasurer@|@warimarabaa@
@treat@|@furakè@
@treatment@|@furakèli@
@tree@|@jiri@
@tremble@|@yèrèyèrè@
@trial@|@kòròbòli@
@triangle@|@kèrèsaba@
@tribe@|@siya@
@trick@|@lafili@
@trim@|@Gana@
@trip@|@talon@
@tropical country@|@funtenimajamana@
@trouble@|@kojugu@
@trousers@|@pantalòn@
@truck@|@kamiyòn@
@true@|@sèbè@
@trumpet@|@buru@
@trumpet call@|@burukan@
@trunk@|@wagande@
@trust@|@dannaya@
@truth@|@tìñè@
@try@|@lajè@
@try hard@|@jija@
@tse-tse fly@|@lèn@
@tuberculosis@|@sògòsògòninjè@
@tuesday@|@tarata@
@tunisia@|@tunizi@
@turban@|@jalamugu@
@turkey@|@kulokulo@
@turn@|@munu@
@turn around@|@munumunu@
@turn off@|@faga@
@turning@|@sirafara@
@tv@|@tele@
@twelve@|@tan ni fila@
@twenty@|@mugan@
@twilight@|@fitiri@
@twin@|@filanin@
@two@|@fila@
@two thousand@|@wa fila@
@type@|@sifa@
@tyre@|@pinè@
@udder@|@sin@
@uganda@|@uganda@
@ukraine@|@ukèrèni@
