@English@|@Slovak@
@my@|@môj@
@mysterious@|@tajomný, záhadný@
@mystery@|@zázrak@
@nail@|@nech@
@naive@|@naivný@
@name@|@meno@
@name-day@|@meniny@
@narrow@|@uzký@
@national@|@občan@
@naturally@|@pochopiteľne@
@nature@|@príroda@
@nausea@|@morská nemoc@
@near@|@blízko@
@nearest@|@najbližší@
@near-sighted@|@krátkozraký@
@neat@|@vkusný@
@necessary@|@nevyhnutný@
@neck@|@krk, šija@
@necktie@|@kravata@
@need@|@potrebovať@
@needle@|@ihla@
@neglect@|@zanedbať@
@neglectful@|@nedbajúci@
@negotiation@|@jednanie, rokovanie, vyjednávanie, zdolávanie@
@negotiator@|@sprostredkovateľ@
@neighbour@|@sused@
@neighbourhood@|@susedstvo@
@neither@|@vôbec@
@neither ... nor@|@ani ... ani@
@net@|@zarábať@
@Netherlands@|@Holandsko@
@never@|@nikdy@
@never before@|@ešte nikdy@
@new@|@nový@
@New Year's Eve@|@Silvester@
@newly@|@opäť@
@newspaper@|@noviny@
@next@|@ďalej, ďalší, ešte, nasledujúci@
@next Thursday@|@budúci štvrtok@
@next week@|@budúci týždeň@
@nice@|@milý, ohľaduplný, pozorný, príjemný@
@nickname@|@prezývka@
@niece@|@neter@
@night@|@noc@
@nightmare@|@hrôza, príšera, strašný sen@
@nine@|@deväť@
@nineteen@|@devätnásť@
@nineteenth@|@devätnásty@
@ninetieth@|@deväťdesiaty@
@ninety@|@deväťdesiat@
@ninth@|@deviaty@
@no more@|@nie viac@
@no one@|@nikto@
@no wonder@|@nečudo@
@nobody@|@nikoho, nikto@
@noiseless@|@nehlučný@
@none the less@|@predsa však@
@non-expert@|@neodborník@
@non-performance@|@nevykonanie@
@nonsense@|@hlúposť, nezmysel@
@noon@|@poludnie@
@normal@|@normálny@
@northern@|@severný@
@Norway@|@Nórsko@
@Norwegian@|@Nór, nórsky@
@nose@|@nos@
@not@|@nie@
@not at all@|@nijako, vôbec nie@
@not just yet@|@zatiaľ ešte nie@
@not long@|@nedlho@
@not only@|@nielen@
@notebook@|@zápisník@
@notebook computer@|@vreckový počítač, zápisnikový počítač@
@notepad@|@zápisník@
@nothing@|@nič@
@nothingness@|@ničotnosť@
@notice@|@hlásenie, oznam, poznámka, všimnúť si@
@notion@|@pojem@
@noun@|@substantívum@
@novel@|@neobvyklý@
@now@|@teraz@
@nowadays@|@v dnešnej dobe@
@nudný@|@boring@
@number@|@číslo@
@nurse@|@ošetrovateľka@
@nutt@|@orech@
@oak@|@dub@
@oats@|@ovos@
@object@|@predmet@
@oblivious@|@nedbajúci@
@observance@|@konanie@
@obstinate@|@tvrdohlavý@
@occupation@|@povolanie@
@occupied@|@obsadený@
@occur@|@udiaťsa, vyskytovať sa@
@ocean@|@oceán@
@October@|@október@
@odd@|@čudný@
@of@|@o, od, z@
@of course@|@pochopiteľne, samozrejme, zaiste@
@of this place@|@tunajší@
@offer@|@ponuka, ponúknuť, poskytovať@
@office@|@ministerstvo, úrad@
@often@|@často@
@old@|@starý@
@older@|@starší@
@oldest@|@najstarší@
@olive-oil@|@olivový olej@
@omission@|@nevykonanie@
@on@|@ďalej, na, pri, v@
@on a par@|@naroveň@
@on an equal footing with@|@naroveň@
@on credit@|@na dlh@
@on foot@|@peši, pešo@
@on the contrary@|@naopak@
@on the other hand@|@na druhej strane, naproti tomu@
@on the surface@|@navonok@
@once@|@raz@
@once again@|@opäť@
@once for all@|@raz navždy@
@once more@|@ešte raz@
@once upon a time@|@kedysi raz@
@one@|@jeden, niekto@
@one billion@|@miliarda@
@one hundred@|@sto@
@one hundred and one@|@sto jeden@
@one million@|@milón@
@one thousand@|@tisíc@
@one's own@|@svoj@
@onion@|@cibuľa@
@only@|@iba, jediný@
@open@|@otvoriť@
@open sandwich@|@chlieb s maslom@
@opening@|@otvorenie@
@operate@|@fungovať, operovať, operovať@
@operating system@|@systém obsluhy počítača@
@operation@|@transakcia@
@opinion@|@názor@
@opportunity@|@príležitosť@
@opposite@|@opačný@
@or@|@alebo@
@orange@|@pomaranč@
@orchestra@|@orchester@
@order@|@objednať, poriadok, povel@
@ordinary@|@zvyčajný@
@organization@|@organizácia@
@origin@|@počiatok@
@originally@|@pôvodne@
@OS@|@systém obsluhy počítača@
@other@|@iný@
@other way around@|@naopak@
@otherwise@|@ináč, inak@
@ought@|@mať povinnosť@
@ought to@|@mali@
@our@|@náš@
@out@|@von, vonku, výstup@
@out of sight@|@zíde z očí@
@out of work@|@nečinný, nezamestnaný@
@outcry@|@výkrik@
@outer wear@|@zvrchník@
@outside@|@mimo@
@outward@|@vonkajší@
@over@|@ponad@
@oversight@|@omyl@
@owe@|@byť dlžný@
@owl@|@sova@
@own@|@vlastniť, vlastný@
@pack@|@skladať, zbaliť@
@paid@|@platil@
@pain@|@bolesť@
@painful@|@bolestivý, nepríjemný@
@paint@|@maľovať@
@paint-brush@|@štetec@
@painting@|@maľba, pl. maľby@
@pamper@|@hýčkať, príliš hovieť, rozmaznávať@
@pan (frying-pan)@|@panvica, pekáč@
@pancake@|@palacinka@
@pander@|@hovieť@
@panic@|@panika@
@paper@|@papier, referát@
@papers@|@preukaz@
@paprika@|@paprika@
@parable@|@podobenstvo@
@paradise@|@raj@
@parcel@|@balík@
@parents@|@rodičia@
@parliament@|@parlament@
@parsley@|@petržlen@
@part@|@čast@
@party@|@oslava@
@passenger@|@cestujúci@
@passion@|@pašije, vášeň@
@passive@|@trpný@
@passport@|@pas@
@password@|@heslo@
@password protection@|@ochrana heslom@
@paste@|@zalepiť@
@pastor@|@pastier@
@pasty@|@piroh@
@path@|@chodníček@
@patience@|@trpezlivosť@
@patient@|@pacient@
@patrolman@|@strážnik@
@pattern@|@vzorka@
@pavement@|@chodník@
@pawn shop@|@záložňa, zastaváreň@
@pawnbroker@|@záložňa, zastaváreň@
@pay@|@dôchodok, plat, platiť@
@payment@|@platba@
@peach@|@broskyňa@
@pear@|@hruška@
@peas@|@hrach, krášok@
@peck@|@ďobať@
@pedagogy@|@pedagogika@
@pellet@|@brok, gulička, tabletka@
@pencil@|@ceruzka, tužka@
@penguin@|@tučniak@
@pension@|@dôchodok@
@pensive@|@zádumčivý@
@people@|@ľudia@
@perfect@|@dokonalý@
@perform@|@previesť, splniť@
@performance@|@vykonanie@
@perhaps@|@prípadne, vari@
@periodical@|@časopis@
@permanent@|@stály, trvalý@
@permanent address@|@bydlisko@
@permanently@|@neustále@
@person@|@osoba@
@personally@|@osobne@
@personnel manager@|@personálny riaditeľ@
@pet@|@domáce zviera@
@petrol@|@benzín@
@petulant@|@nedotklivý@
@Ph.D.@|@doktor filozófie@
@phone box@|@telefónna búdka@
@photographer@|@fotograf@
@picture@|@obraz@
@pictures@|@obrázky@
@pie@|@piroh@
@piece@|@kus@
@pig@|@prasa@
@pig-headed@|@tvrdohlavý@
@pije@|@he drinks, she drinks@
@pijeme@|@we drink@
@pijete@|@You drink@
@pijú@|@they drink@
@pile@|@hromada, kopa@
@pillar@|@rukoväť@
@pillow@|@vankúš@
@PIN (personal identity number)@|@osobné identifikačné číslo@
@pine@|@sosna@
@pipe@|@fajka, rúra@
@pirogue@|@piroh@
@pistol@|@pištol@
@pity@|@vina@
@pixel@|@prvok na tv obraze@
@place@|@miesto, umiestniť@
@plant@|@podnik@
@plastic@|@tvárny@
@play@|@hrať (sa)@
@player@|@hráč@
@please@|@páčiť sa (páči sa mi), prosím@
@pleased@|@potešený@
@pleasure@|@radosť, rozkoš@
@pledge@|@záväzok@
@plot@|@sprisahanie@
@plum brandy@|@slivovica@
@plumb@|@olovnica@
@pocket@|@vrecko@
@pocket computer@|@vreckový počítač@
@poem@|@báseň@
@point@|@bod, ukázať@
@point of view@|@stanovisko@
@poison@|@jed@
@polar bear@|@polárny medveď@
@police@|@polícia@
@policeman@|@policajt@
@policy@|@konanie@
@poor@|@chudobný, úbohý@
@poor person@|@chudák@
@poorly (be p.)@|@chatrný@
@pork schnitzel@|@bravčový rezeň@
@porter@|@vrátnik@
@position@|@postavenie@
@post@|@pošta@
@post (v.)@|@aktualizovať@
@post office@|@poštový úrad@
@postbox@|@poštová schránka@
@post-card@|@pohľadnica@
@poster@|@plagát@
@post-office@|@pošta@
@potatoes@|@zemiaky@
@powerless@|@bezmocný@
@pray@|@modliť sa, prosiť@
@preamble@|@predhovor@
@precise@|@presný@
@precisely!@|@práve!@
@precursor@|@podkmit, predchodca@
@preface@|@predhovor@
@preferably@|@najradšej, pokiaľ možno@
@prejudice@|@predsudok, zaujatosť@
@premise@|@predpoklad@
@prepare@|@pripraviť@
@present@|@poskytovať@
@present (n.)@|@dar, darček@
@press@|@naliehať, stlačiť, tlač@
@pressure@|@tlak@
@prestige@|@prestíž@
@presumptuous@|@drzý, trúfanlivý@
@pretty@|@pekný@
@price@|@cena@
@priceless@|@neoceniteľný@
@prickle@|@tŕň@
@pride@|@pýcha@
@priest@|@kňaz@
@print@|@písanie, tlač@
@prior to@|@pred@
@privacy@|@súkromný@
@private@|@súkromný@
@probability@|@pravdepodobnosť@
@probable@|@pravdepodobný@
@probably@|@hádam, pravdepodobne, prevdepodobne@
@problem@|@problém@
@procedure@|@konanie@
@proceeding@|@predošlý@
@producer@|@výrobca@
@product@|@súčin, tovar, výrobok@
@production@|@výroba@
@profit@|@úžitok, zisk@
@profound@|@hlboký@
@progenitor@|@predchodca@
@program@|@program@
@programme@|@program@
@prolong@|@predĺžiť@
@promise@|@sľúbiť@
@promise (n.)@|@sľub@
@promise (v.)@|@sľubiť@
@pronounce@|@vyslovovať@
@pronounciation@|@výslovnosť@
@proper@|@náležitý@
@proposal@|@návrh@
@protect@|@chrániť@
@protection@|@ochrana@
@proud@|@hrdý@
@psychology@|@psychológia@
@public@|@verejný@
@pull@|@ťahať@
@pupil@|@školák, žiak@
@pure@|@čistý@
@purse@|@peňaženka@
@push@|@odstrčiť, tlačiť@
@put@|@položiť@
@put in@|@vložiť dnu@
@put out@|@vyložiť von@
@pyjamas@|@pyžama@
@pyramid@|@ihlan@
@quadrangle@|@štvoruholník@
@quantity@|@množstvo@
@quarantine@|@karanténa@
@quarrel@|@hádať sa, hádka@
@quarter of hour@|@štvrť hodiny@
@question@|@otázka@
@questionnaire@|@dotazník@
@quick@|@rýchly@
@quickly@|@chytro, rýchlo@
@quiet@|@kľudný, pokojný, ticho@
@quiet!@|@čuš !@
@quilt@|@perina@
@quit@|@opustiť@
@quite@|@načisto, úplne@
@quite a lot@|@dosť veľa@
@quite such@|@až takú@
@radio@|@rádio@
@railway station@|@železničná stanica@
@rain@|@dážď, pršať@
@rainfall@|@lejak@
@rapacious@|@pažravý@
@rapid@|@bystrý, prudký, rýchly@
@rare@|@vzácny, zriedkavý, zvláštny@
@rash fellow@|@jašo@
@raspberry@|@malina@
@rather@|@radšej, skôr@
@raven@|@havran@
@ravenous@|@pažravý@
@ray@|@lúč, záblesk@
@razor@|@britva, holiaci strojček, žiletka@
@razor-blade@|@čepeľka, žiletka@
@reach@|@dosiahnuť@
@read@|@čítať@
@readiness@|@pohotovosť@
@really@|@naozaj, Skutočne, skutočnosti (v sk.), v skutočnosti@
@reason@|@dôvod, príčina@
@rebellion@|@vzbura@
@receive@|@dostať, obdržať, prijať@
@recently@|@nedávno@
@recipe@|@recept@
@red@|@červený@
@refrigerator@|@chladnička, ladnička@
@refuse@|@odmietnuť@
@regain@|@opäť dosiahnuť@
@regardful@|@pozorný@
@register@|@zoznam@
@registration@|@prihlásenie@
@regret@|@ľutovať@
@reindeer@|@sob@
@relationship@|@vzťah@
@relax@|@oddýchnuť si, uvoľniť (sa)@
@reliability@|@spoľahlivosť@
@reliable@|@dôveryhodný@
@reluctance@|@nechuť, neochota@
@reluctant@|@neochotný@
@remain@|@zostať, zvýšiť@
@remedy@|@tolerancia@
@remember@|@pamätať (si)@
@remote@|@odľahlý, vzdialený@
@removal@|@odstránenie, sťahovanie@
@rent@|@najať@
@report@|@hlásenie, referát, reportáž@
@request@|@prosba@
@research@|@výskum@
@resemble@|@podobať sa@
@reservation@|@zaistenie@
@resigned@|@rezignovaný@
@resistance@|@odolnosť, odpor@
@resolve@|@rozlúštiť@
@resource@|@zaistenie@
@rest@|@oddych, odpočívať, spať@
@retrieval@|@hľadanie@
@retry@|@zopakovať@
@return@|@navrát@
@revenge@|@pomsta@
@revenue@|@dôchodok@
@reversal@|@naopak@
@review@|@referát@
@rice@|@ryža@
@rich@|@bohatý@
@rich man@|@boháč@
@riddle@|@hádanka, šaráda@
@ride@|@riadiť@
@ridicule@|@smiať sa@
@rifle@|@puška@
@right@|@náležitý, pravý, správny@
@right (as in "ano hej" "aha right")@|@hej@
@right (to the r.)@|@doprava@
@ring@|@zvoniť@
@risk@|@nebezpečenstvo@
@rival@|@sok@
@river@|@rieka@
@road@|@cesta@
@roaster@|@ražeň@
@robustness@|@odolnosť@
@roe@|@srna@
@role@|@úloha@
@roll@|@kotúľať sa, valiť sa@
@Roman@|@rímsky@
@roof@|@strecha@
@room@|@izba, miestnosť@
@round@|@okolo@
@rude@|@hrubý@
@ruin@|@zbúrať, zničiť@
@ruler@|@pravítko@
@run@|@utekať@
@running expenses@|@bežné výdavky@
@Russian@|@Rus, rusky@
@rustle@|@šelest@
@rye@|@raž, žito@
@sabre@|@šabľa@
@sack@|@mech@
@sad@|@smutný@
@safe@|@bezpečný@
@safety@|@bezpečnosť@
@safety-pin@|@zatvárací špendlík@
@sage@|@mudrc@
@sail@|@plachta@
@salad@|@šalát@
@salary@|@plat@
@sale@|@predaj@
@saliva@|@slina@
@salmon@|@losos@
@saloon@|@herňa, výčap@
@salt@|@soľ, soliť@
@salt water@|@morská voda@
@same@|@rovnaký@
@sample@|@vzorka@
@sanity@|@duševné zdravie, zdravý rozum@
@satchel@|@taška@
@sateless@|@nenásytný@
@Saturday@|@sobota@
@sauce@|@omáčka@
@sauerkraut@|@kyslá kapusta@
@sausage@|@klobása, párok@
@savage@|@divoch@
@say@|@povedať@
@scabies@|@svrab@
@scald@|@opariť@
@scape-goat@|@obetný baránok@
@scar@|@jazva@
@scare@|@strach@
@scarecrow@|@strašiak, strašidlo@
@scared@|@vyľakaný@
@scarf@|@šál, šatka@
@schedule@|@program, schéma, súpis@
@scholar@|@vzeldanec@
@scholarly@|@učený@
@school@|@škola@
@school year@|@školský rok@
@scimitar@|@šabľa, zakrivená šabľa@
@scone@|@čajový koláčik@
@scrapbook@|@zápisník@
@scream@|@kričať@
@screw@|@skrutka@
@script@|@písmo@
@scuttle@|@uhliak@
@sea@|@jazero, more@
@Sea@|@morská@
@seafood@|@morské ryby@
@seal@|@pečať, tuleň@
@seal up@|@zalepiť@
@search@|@hľadanie@
@second@|@druhý, sekunda@
@secret@|@tajný, tajomstvo@
@secretary@|@minister@
@see@|@chápať, vidieť@
@See you on Monday@|@dovidenia v pondelok@
@see you tomorrow@|@dovidenia zajtra@
@see you tonight@|@dovidenia dnes večer@
@seed@|@počiatok@
@seed-cake@|@koláč@
@seek@|@hľadať, pokúšať sa@
@seem@|@pôsobiť, zdať sa@
@seeress@|@veštkyňa@
@segregation@|@vylúčenie@
@seize@|@uchopiť, zabaviť, zmocniť sa@
@self@|@sám, seba, sebe@
@self confidence@|@sebadôvera@
@self-confident@|@sebavedomý@
@self-improvement@|@zlepšenie sám seba@
@self-preservation@|@sebazáchova@
@sell@|@predať@
@seminar@|@porada@
@send@|@poslať@
@sensational@|@vzrušujúci@
@sense@|@zmysel@
@sensitive@|@citový, háklivý, jemný@
@sentence@|@veta@
@sentimental@|@citový@
@separation@|@rozlúčenie, vylúčenie@
@serial@|@sériový@
@serious@|@seriózny, vážny@
@seriously@|@vážne@
@set@|@dať, nastaviť, položiť@
@setback@|@nezdar@
@settle@|@dohodnúť sa@
@settler@|@farmár@
@seven@|@sedem@
@seventeen@|@sedemnásť@
@seventeenth@|@sedemásty@
@seventh@|@siedmy@
@seventy@|@sedemdesiat@
@seventyth@|@sedemdesiaty@
@sever@|@oddeliť, prerušiť@
@several@|@niekoľko@
@several times@|@niekoľko ráz, niekoľkokrát, viackrát@
@shabby@|@chatrný@
@shade@|@tieň@
@shadow@|@tieň, tieniť@
@shaft@|@drievko@
@shake@|@triasť@
@shape@|@tvar@
@share (to)@|@podielať sa (na)@
@sharp@|@krížik, ostražitý@
@shave@|@oholiť sa@
@shaver@|@holiaci strojček@
@she@|@ona@
@she can@|@môže@
@she does@|@robí@
@she forgets@|@zabudne@
@she goes@|@ide, ona ide@
@she has@|@ona má@
@she is@|@ona je@
@she knows@|@ona vie@
@she lives@|@býva@
@she makes@|@robí@
@she must@|@musí@
@she sees@|@vidí@
@she wants@|@chce@
@she works@|@pracuje@
@sheep@|@ovca@
@shelf@|@polica@
@shell@|@mušľa@
@shepherd@|@pastier@
@shine@|@jas, svietiť, žiariť@
@shiny@|@jasný, lesklý@
@ship@|@loď@
@shirt@|@košeľa@
@shit@|@hovno@
@shithead@|@feťák@
@shock@|@náraz@
@shoe@|@topánka@
@shoes@|@obuv, topánky@
@shoot@|@strieľať@
@shop@|@obchod@
@shopping@|@nákup@
@short@|@krátky@
@short story@|@novela@
@shortly@|@čoskoro@
@short-sighted@|@krátkozraký@
@should@|@mali@
@shoulder@|@rameno@
@shoulders@|@plecia@
@shout@|@kričať@
@show@|@ukázať@
@shower@|@sprcha@
@shrew@|@potvora@
@shrewd@|@obozretný@
@shriek@|@výkrik@
@shrimp@|@kreveta, morský rak@
@shut up!@|@čuš !, čuš!@
@shy@|@nesmelý@
@side@|@strana@
@sigh@|@vzdych, vzdychať, zatúžiť (v.)@
@sign@|@div, podpísať, zázrak@
@silence@|@mlčanie, ticho, umlčať@
@silly@|@pochabý@
@silver@|@striebro@
@similar@|@podobný@
@simile@|@podobenstvo, prirovnanie@
@simple@|@jednoducho, jednoduchý@
@simply@|@proste@
@sin@|@hriech@
@since@|@od, odvtedy, pretože@
@single@|@slobodný@
@sink@|@umývadlo@
@sinner@|@hriešnik@
@sister@|@sestra@
@sister-in-law@|@švagriná@
@situation@|@situácia, zamestnanie@
@six@|@šesť@
@sixteen@|@šestnásť@
@sixteenth@|@šestnásty@
@sixth@|@šiesty@
@sixty@|@šesťdesiat@
@sixtyth@|@šesťdesiaty@
@size@|@veľkosť@
@skating@|@korčuľovanie@
@sketch@|@skeč, výkres@
@sketch-book@|@náčrtník@
@skewer@|@bodec@
@skiing@|@lyžovanie@
@skimpiness@|@lakomosť@
@skirt@|@sukňa@
@skittish@|@rozmarný@
@sky@|@nebo@
@slap@|@facka@
@slasher@|@britva, meč@
@sleazy@|@lacný@
@sleep@|@spánok, spať, vyspať sa@
@sleeping room@|@spálňa@
@sleeplessness@|@nespavosť@
@sleeve@|@obal, púzdro, rukáv@
@slide-rule@|@pravítko@
@slight@|@neúcta@
@slim@|@štíhly@
@slipper@|@papuča@
@slippery@|@háklivý@
@Slovak (adj.)@|@slovenský@
@Slovak (female person)@|@Slovenka@
@Slovak (male person)@|@Slovák@
@Slovak language@|@slovenčina@
@Slovakia@|@Slovensko@
@Slovakia (in S.)@|@Slovensku (na S.)@
@slow@|@pomalý@
@small@|@malý, ticho@
@small lake@|@jazierko@
@smaller@|@menší@
@smart@|@chytrácky@
@smile@|@usmiať sa, usmievať sa@
@smile (n.)@|@úsmev@
@smirk@|@usmievať sa@
@smoke@|@fajčiť@
@smoker@|@fajčiar@
@smuggle@|@pašovať@
@smuggling@|@pašovanie@
@snatch@|@chmatnúť@
@sneer@|@usmievať sa@
@snivel@|@fňukanie, fňukať@
@snob@|@domýšľavec, snob@
@snow@|@sneh@
@so@|@potom, tak, teda@
@so far@|@zatiaľ@
@so many@|@tak veľa@
@soap@|@mydlo@
@sober@|@triezvy@
@society@|@spoločnosť@
@sock@|@ponožka@
@socks@|@ponožky@
@sofa@|@pohovka@
@soft@|@jemný@
@software@|@program@
@soldier@|@vojak@
@solicitor@|@právnik@
@solid@|@masívny, pevný@
@solitary@|@opustený@
@solution@|@riešenie@
@solve@|@riešiť@
@some@|@nejaký@
@somehow@|@nejako@
@someone@|@niekto@
@something@|@niečo@
@sometimes@|@niekedy, občas@
@somewhere@|@niekde@
@somewhere else@|@inam@
@son@|@syn@
@song@|@pieseň@
@son-in-law@|@zať@
@sonny@|@synáčik@
@soon@|@čoskoro@
@sooner@|@skôr@
@sorcerer@|@čarodejnik, strigôň@
@sorrow@|@strasť@
@sorry@|@ľutovať@
@soul@|@duša@
@soulful@|@citový@
@sound@|@náležitý, zvuk@
@soup@|@polievka@
@soup-plate@|@hloboký tanier@
@sour@|@kyslý, trpký@
@sour cream@|@smotana@
@source@|@prameň@
@southern@|@južný@
@soy@|@sójová omáčka@
@spacious@|@priestorný@
@Spanish@|@španielsky@
@sparkover@|@prieraz@
@speak@|@hovoriť, vyslovovať@
@special@|@špeciálny, zvláštny@
@specialist@|@odborník, špecialista@
@specify@|@určiť@
@speck@|@smietka@
@spectre@|@strašidlo, zjavenie@
@speed@|@rýchlosť@
@spelling@|@písanie, pravopis@
@spend the night@|@prenocovať@
@spending@|@výdavky@
@spider@|@pavúk@
@spike@|@bodec@
@spirit@|@duša@
@spirited@|@duchaplný@
@spit@|@ražeň@
@splash@|@nastriekať, ostriekať@
@splendid@|@výborne@
@splinter@|@trieska@
@spoil@|@hýčkať@
@spook@|@strašidlo@
@spoon@|@lyžica@
@spread@|@rozširovať, rozťahovať@
@spreadsheet@|@pracovný hárok@
@spring@|@jar, prameň@
@spring-time@|@jarné obdobie@
@sprocket@|@zub kolesa@
@spur@|@bodec, osteň@
@sq. (square)@|@nám.@
@square@|@námestie@
@squeeze@|@stisk, stisnúť, zovrieť@
@squelch@|@umlčať@
@squirrel@|@veverica, veverička@
@stability@|@stálosť@
@staff@|@palica@
@stagger@|@omráčiť@
@staircase@|@schodisko@
@stalk@|@stonka@
@stamp@|@poštová známka@
@stand@|@požičiavať, stáť@
@standby@|@pohotovosť@
@standpoint@|@stanovisko@
@stand-up@|@trvanlivosť@
@star@|@hviezda@
@stare@|@zízať@
@start@|@počiatok@
@starter (food)@|@predjedlo@
@starvation@|@hladovanie, smrť hladom@
@starve@|@hladovať, umierať hladom@
@statement@|@povel@
@statue@|@socha@
@stave off@|@zmariť@
@stay@|@pobyt@
@steadiness@|@spoľahlivosť@
@steady@|@stabilný, stály@
@steal@|@kradnúť@
@steel@|@meč, oceľ@
@steep@|@strmý@
@stem@|@stonka@
@step@|@krok@
@step by step@|@krok za krokom@
@sterile@|@sterilný@
@stewardess@|@letuška@
@stick over@|@zalepiť@
@sticker@|@lepidlo, osteň@
@sticky@|@mazľavý@
@stiff@|@meravý, tuhý@
@stiletto@|@bodec, malá dýka@
@stiletto heel@|@ihlovitý podpätok@
@still@|@avšak, ešte, ešte stále, kľudný, pokojný, stále, ticho, tichý@
@sting@|@bodec@
@stitch@|@steh@
@stomach@|@brucho, žalúdok@
@stone@|@kameň@
@stop@|@zastaviť@
@storage facilities@|@skladové hospodárstvo, sklady@
@storm@|@lejak@
@story@|@príbeh@
@story plot@|@dej@
@stove@|@kachle@
@str. (street)@|@ul.@
@straight@|@počestný, priamo, priamy, rovný@
@straight on@|@rovno ďalej@
@strange@|@cudzí, čudný@
@strawberry@|@jahoda@
@stray@|@zabudnutý@
@stream@|@prúd@
@street@|@ulica, ulička@
@street vendor@|@pouličný predavač@
@strength@|@sila@
@stretch@|@napnúť@
@strict@|@presný, prísny@
@strike@|@radiť@
@strong@|@silný@
@struggle@|@boj, bojovať@
@student@|@študent@
@studied@|@učený@
@study@|@študovať, výskum@
@stun@|@omráčiť@
@stupid@|@hlúpy, sprostý@
@stupidity@|@hlúposť, sprostosť@
@style@|@vkus@
@stylish@|@vkusný@
@subject@|@predmet@
@such@|@taký, takýto@
@sudden@|@náhly, nepredvídaný, znenazdajky@
@suddenly@|@náhle, odrazu, zrazu@
@suffer@|@trpieť@
@sugar@|@cukor@
@suit@|@oblek@
@suitcase@|@kufor@
@sullen@|@chmúrny@
@sum@|@suma@
@summer@|@leto@
@summer time@|@letný čas@
@sun@|@slnce, slnko@
@sunbathe@|@opaľovať sa@
@sunburnt@|@opálený@
@Sunday@|@nedeľa@
@sunshine@|@slnečný svit@
@superstition@|@povera@
@superstitious@|@poverčivý@
@supplicate@|@naliehať@
@supply@|@podporovať, zásobovať, zdroj@
@suppose@|@domnievať sa, predpokladať@
@supposition@|@predpoklad@
@sure@|@iste, istý@
@surface@|@hladina, povrch@
@surfing (the internet)@|@hľadať (na internete)@
@surgical@|@chirurgický@
@surname@|@priezvisko@
@surprise@|@prekvapenie, prekvapiť@
@surroundings@|@prostredie@
@suspect@|@podozierať@
@suspicion@|@podozrenie@
@suspicious@|@podozrivý@
@swan@|@labuť@
@sweater@|@sveter@
@Sweden@|@Švédsko@
@Swedish (adj.)@|@švédsky@
@Swedish (female person)@|@Švédka@
@Swedish (male person)@|@Švéd@
@sweet@|@milovaný, sladký@
@sweetheart@|@miláčik, milenka@
@swing@|@hojdať, kolísať, mávať, otáčať@
@Switzerland@|@Švajčiarsko@
@sword@|@dýka, kord, meč, šabľa@
@sword cut@|@rana mečom@
@sword-play@|@šerm@
@swordsman@|@šermiar@
@syllable@|@vyslovovať@
@systematic@|@systematický@
@tabasco@|@papriková omáčka@
@table@|@stôl@
@tacky@|@lacný@
@tact@|@vkus@
@tail@|@chvost@
@take@|@zobrať@
@take care@|@starať sa@
@take for granted@|@predpokladať@
@take pictures@|@fotografovať@
@talk@|@hovoriť@
@tall@|@vysoký@
@tan@|@opáliť sa, trieslo@
@tan (to t.)@|@opaľovať sa@
@tape@|@páska@
@tap-room@|@výčap@
@tarry@|@oneskoriť sa@
@task@|@úloha@
@taste@|@vkus@
@tasteful@|@vkusný@
@tasteless@|@nevkusný@
@tasty@|@chutný@
@tattoo@|@tetovanie@
@tattoo (v.)@|@tetovať@
@tawdry@|@nevkusný@
@tax@|@daň@
@tax expense@|@daňové výdavky@
@taxi@|@taxi@
@tea@|@čaj@
@teacake@|@čajový koláčik@
@teach@|@učiť@
@teacher@|@učiteľ@
@team-work@|@spolupráca@
@tear@|@slza@
@tea-room@|@cukráreň@
@tease@|@doberať si@
@tea-table@|@stolík@
@technical@|@technický@
@teeth@|@zuby@
@television set@|@televízor@
@tell@|@povedať, rozprávať@
@tell (imperative)@|@povedz(te)@
@temporary@|@dočasný@
@tempt@|@lákať, pokúšať@
@ten@|@desať@
@tender@|@háklivý, nežný, pastier@
@tentacle@|@chápadlo@
@tenth@|@desiaty@
@tention@|@napätie@
@terminate@|@ukončiť@
@territory@|@oblasť, územie@
@terror@|@strach@
@text@|@text@
@than@|@než@
@thank@|@ďakovať@
@thank you@|@ďakujem (vám)@
@thankless@|@nevďačný@
@thanks for@|@ďakuje za@
@that@|@ktorý, onen, tamten, že@
@that is why@|@preto@
@the .. the@|@čím ... tým@
@the same@|@ten istý@
@theatre@|@divadlo@
@their@|@ich@
@them@|@ich, im@
@then@|@potom@
@there@|@no tak, tam@
@thereby@|@tým@
@therefore@|@preto@
@these@|@tieto, títo@
@these two@|@títo dvaja@
@they@|@oni@
@they are@|@oni sú, ony sú@
@they can@|@môžu@
@they do@|@robia@
@they eat@|@jedia@
@they forget@|@zabudnú@
@they go@|@idú@
@they have@|@májú, oni majú, ony majú@
@they know@|@oni vedia, ony vedia@
@they live@|@bývajú@
@they make@|@robia@
@they must@|@musia@
@they must not@|@nesmú@
@they see@|@vidia@
@they want@|@chcú@
@they work@|@pracujú, robia@
@thigh@|@stehno@
@thin@|@chudý, tenký@
@thing@|@vec@
@think@|@mieniť, myslieť@
@third@|@tretí@
@thirst@|@smäd@
@thirsty@|@smädný@
@thirteen@|@trinásť@
@thirteenth@|@trinásty@
@thirtieth@|@tridsiaty@
@thirty@|@tridsať@
