@English@|@Somali@
@dryness of the throat@|@jidiinqallal, kawrax@
@duck@|@bolobolo, booloboolo@
@dune@|@burco@
@duplicating machine@|@badiye@
@dusk@|@fiidnimo@
@dust@|@boodh, boor, bootaan, fidh, habaas, mirif, siiso@
@dust storm@|@leexo@
@dwarf@|@guuyo@
@dye@|@asal, guduudi, sabbakh, sabbikh@
@eagle@|@gorgor@
@ear@|@dheg@
@earlobe@|@dacal@
@early evening@|@cishe@
@early morning@|@hiir@
@earrings@|@dhego@
@earth@|@burco, koon@
@ease@|@sahal@
@easing@|@fududeyn@
@east@|@bari@
@easy work@|@laarri@
@easy-going person@|@nastahnaan@
@eat@|@cun, jidiimo, quudo@
@eat breakfast@|@quraaco@
@eating@|@quudasho@
@eavesdrop on someone@|@kuurgal@
@eavesdropping@|@kuurgal@
@economize@|@tashiil@
@economy@|@dhaqaale, dhaqaalo, iqtisaad, kaydsi@
@ecstacy@|@jidbo@
@edge@|@cirif, dacal, geftin, hareer, looli, looli, qurqur, serji@
@edge (1)@|@caarad, cidhif, cidhif@
@editorial@|@dhambaal@
@educate@|@jaahilbixi, rabbee@
@education@|@galtibbax, rabbeyn, tacliin, tacliin, waxbarasho@
@effect@|@saamays@
@effort@|@istiil, tabcid@
@egg@|@beed, ugax, ukhan, ukun@
@Egyptians@|@masaari@
@eight@|@siddeed@
@eighteen@|@siddeed iyo toban@
@eighth@|@siddeedaad@
@eightieth@|@siddeetanaad@
@eighty@|@siddeetan@
@elbow@|@ogaden ciqil, xusul@
@elder brother@|@abboowe, boowe@
@elders@|@cuquul, cuquule, gargeyr, maqaawiir@
@eldest son@|@ugaas@
@elect@|@gaado@
@election@|@dorrad, intikhaab@
@electric light@|@nal@
@electricity@|@jac, koronto@
@elegance@|@mardaaddi, shoob, xarrago@
@element@|@curiye@
@elephant@|@maroodi@
@elevator@|@koruqaade@
@eleven@|@koob iyo toban, koobiyotoban@
@elimination competition@|@isreebid@
@eloquence@|@aftahmo, ciraab@
@eloquent person@|@aftahan@
@embarrass@|@fagaaree, jiciiree@
@embarrassment@|@ilfashaq, islayaab, jaciir@
@embassy@|@safaarad@
@embezzlement@|@xatooyo@
@emblem@|@calaamo@
@embroider@|@daabac@
@emergence@|@caadbax@
@emergency assistance@|@birmad@
@emergency force@|@gurmad@
@emigrate@|@haajir, haayir@
@emptiness@|@eber, hungo, marasho, marnaan, marnaasho@
@empty@|@daleel, hunqee, madhi@
@empty country@|@hannas@
@empty field@|@barxad@
@encircle@|@jitee@
@encite@|@guubaabi@
@enclose@|@jitee@
@enclose with a brushwood fence@|@ood@
@enclosure for stock@|@albaab, xero@
@encounter@|@muqaabalo@
@encourage@|@caraadi, dhiirigeli, dhiirri, guubaabi, guubaabi@
@encouragement@|@dhiirrin@
@encyclopedia@|@qaamuus@
@end@|@aakhir, dabaadi, dabayaaqo, khatin, laaso@
@ending@|@dhambeys@
@endure@|@abaad@
@enemy@|@cadaawe, cadaw, cadow, col@
@energy@|@nashaaddo, shidaal@
@englightenment@|@dhaayo@
@English language@|@ingiriis@
@Englishman@|@ingiriis@
@enjoy@|@led@
@enjoyment@|@bogaad, raaxaysasho@
@enlarge@|@nud, weynee@
@enlighten@|@jaahilbixi@
@enough@|@bes@
@enquire@|@haybi@
@enquiry@|@hayb@
@enrollment@|@qorid@
@enslaving@|@gumeysasho@
@ensue@|@dhexmar@
@enter@|@gal, gel@
@entertain@|@cayaari, maaweeli, madaddaali, sooryee@
@entertain a child@|@dheeldheeli@
@entertainment@|@maaweelo@
@enthusiasm@|@hawood, nashaaddo@
@entrails@|@lid@
@entrance@|@albaab, albaab, illinka, irrid@
@entreat@|@bari@
@entrust@|@dhiibo@
@entry@|@gelid@
@envelope@|@bukhshad, buqshad@
@envy@|@kuuni@
@epoch@|@sabaan, waa, xilli@
@equal@|@eyni, iskummid, iskummid, qayr@
@equality@|@gudboonaan@
@equalization@|@filaysasho, filaysi@
@equate@|@isbarbardhig@
@equator@|@dhulbar@
@equip@|@qalabee@
@equipment@|@gash, gesh, qalab, yeel, yeel@
@equity@|@xaq@
@era@|@casri, sabaan, seben, waa@
@eradicate@|@ciribtir@
@eradication@|@ciribtir@
@erase@|@masax@
@erasing@|@tirtirid@
@err@|@gaf@
@error@|@meelkadhac@
@escape@|@baxsasho, baxso, carar, qax@
@escape narrowly@|@dago@
@essence@|@nas@
@establish@|@aasaas@
@esteem@|@ciseyn, xushmad@
@estimate the value of@|@qaddar@
@ethics@|@anshax@
@Ethiopian@|@xabashi@
@Europe@|@yurub@
@European@|@yurub@
@European person@|@faranji, ferenji@
@evacuate@|@daadguree, qaxi@
@evacuation@|@qax@
@evaluate@|@qiimee@
@evaporation@|@oomaarbaxsi@
@evening@|@caweysin, fiid, gabbalgaab@
@evening meal@|@fiidimo@
@evenness@|@cuddoonaan@
@every@|@kasta@
@everything@|@wax kasta@
@Everything will be all right@|@Wax waliba way hagaagi doonaan@
@evil@|@baaddil, baadil, shar, xumaan, xumaan, xumaato, xumi, xumi@
@evil person@|@khasiis@
@exactness@|@hubaal@
@examination@|@imtixaan, qaadaadhig@
@examine@|@baar, fiirfiiri, imtixaan, qaadaadhig@
@example@|@balki, bilmatal, masal, misaal, tusaale@
@excellence@|@baxsanaan, wacnaan@
@except@|@maahane@
@excess@|@talaxtag@
@exchange@|@beddel, beddelo, dhaafsasho, dhaafso, geddiso@
@exchange (1)@|@dhaafsad, dhaafsi, doorsi, rogrogo, talantaalli, talantaalli@
@excitement@|@soos@
@excrements@|@haar, xaar@
@excuse@|@afeef, baraar, cudurdaar, marmarsiinyo@
@excuses@|@baarrimasho@
@executive@|@guddoomiye@
@exercise@|@laylis@
@exercises (grammar)@|@icraab@
@exhibition@|@bandhig, macrad@
@exhilaration@|@arwaax@
@exist@|@bax, gir@
@existence@|@jiraal, jiritaan, jirniin@
@exit@|@irrid@
@expand@|@baah, bulaal@
@expansion@|@baah@
@expect@|@dhowr, filo, jarree, meehaalo, quudarree, shinso@
@expect (1)@|@awaal, awaal, bidaal, bidaal, bidaal, doorbid@
@expectance@|@dhawrid@
@expectation@|@filasho, jarraysimo, meehaalad, sugaal, yididdiilo, yididdiilo@
@expectation (1)@|@filad, hididdiilo, miihallad, quuddarro, shinsasho@
@expectation (2)@|@awaal@
@expel from the body@|@jiiro@
@expenditure@|@kharash@
@expense@|@kharaj, qaaraamo@
@expensiveness@|@qaali, qaaliga@
@experience@|@khibrad, khibro, toodoobid, waaya-arag@
@experienced person@|@mujarrab@
@experiment@|@sharrib, tijaab, tijaabi@
@expert@|@caarif, farsamayaqaan, khaasiyo, khabiir, ogeys@
@explain@|@macnee, micneey, sharax, tafsiir@
@explain in detail@|@tifaftir@
@explaining@|@fasirid@
@explanation@|@faahfaahin, falanqo, fasir, tafaasiir, tifaftir, tifaftir@
@explanation (1)@|@afeefasho@
@explode@|@qarxi@
@exploding@|@qarxin@
@exploitation@|@iskudulnoolaan@
@explosion@|@qarax, qarxad, qarxasho@
@exporter@|@dhoofiye@
@exporting@|@dhoofin@
@expose@|@ceebee@
@exposure@|@ceebeeyn@
@extinguish@|@bakhtii@
@extra@|@saayid, talaxtag@
@extravagance@|@baatul@
@eye@|@il, indo@
@eye disease@|@cagaarshow@
@eyeball@|@gurux@
@eyebrow@|@diil@
@eyebrows@|@sunnayaal@
@eyes@|@indho@
@fabric@|@kharqad, maro@
@face@|@fool, jaah, jaah, jabhad, jeeso, weji@
@face towards@|@jeediyey@
@facist@|@fashiiste@
@factory@|@warshad, wershed@
@fail@|@ilduuf, waay@
@fail to do@|@gab@
@fail to get@|@hanqaaran@
@fail to get what one expects@|@qad@
@fail to give someone expects@|@qadi@
@failure@|@hadaf, ilduuf, nasiibdarro@
@failure to find something@|@hanqaaran@
@failure to fulfill a promise@|@ballandarro@
@faith@|@ictiqaad, millad, qaneecaad, qaneecaad@
@faithlessness@|@iimaandarro@
@fall@|@dhac, kuf, nitaaqo@
@fall over@|@barriqo@
@falling face-down@|@dug@
@falling star@|@jibin@
@fame@|@caan, caannimo, magacadheerid, sumcad@
@familiar environment@|@baro@
@family@|@dhalyo, qoys, raas, xaas@
@family household@|@reer@
@family quarrel@|@colguri@
@fan@|@marwaxo@
@fare@|@nooli@
@farewell@|@wadaac@
@farm@|@Beer, beero@
@farmers@|@beeraley@
@fascination@|@xiiso@
@fasting@|@hamuumanaan@
@fat@|@cadiin@
@fat of the meat@|@darab@
@fat she-camel@|@gool@
@fat tailed sheep@|@lax@
@fate@|@qadan@
@father@|@aaba, aabba, aabbe, aba, abbo, adoo, aw@
@father's heir@|@ugaas@
@fatigue@|@curuq, daal, dhacsaal, diif, noog@
@fatness@|@cayil, karaar@
@fatten@|@cayili, naaxi@
@fatty piece of meat@|@lud@
@favor@|@fadli, ixsaan, macruuf, shafeeco, xurmo@
@favoritism@|@eexaysi@
@favour@|@gallad@
@fear@|@baqasho, baqdin, baqo, cabsasho, cabsi, cabso@
@fear (1)@|@kurbood@
@feast@|@balashi, karan@
@feces of newborns@|@mal@
@feed@|@nafaqee, quudi, soor@
@feed a baby@|@hab@
@feed and entertain@|@martiqaad@
@feel@|@toodoob@
@feel a sudden pain@|@kaar@
@feel anxious@|@ciilcun@
@feel awkward@|@qalood@
@feel dizzy@|@daandaan@
@feel drowsy@|@lulmood@
@feel emotion@|@qiiroon@
@feel fatigue@|@curuq@
@feel for something one cannot@|@haabo@
@feel full@|@dhereg@
@feel lonely@|@cidlood@
@feeling@|@dareen, dareensad, lubbi, lubbi, toodoobid@
@feeling bad@|@qoonsimaad@
@feelings@|@shucuur@
@feet@|@manjo@
@fellowship@|@jaalnimo@
@felon@|@daallin@
@female@|@dheddig@
@female slave@|@biddad@
@femaleness@|@dheddignimo@
@fence@|@daarad, deyd, deyr, heeraar@
@fenced yard@|@daash@
@fermented juice@|@dhiinto@
@fertile land@|@bacrin@
@festival@|@damaashaad, mahaarjan, mahrajaan, mahrajaan@
@festivity@|@dheelaas@
@fetch for self@|@doono@
@feudalism@|@dhulgoosi@
@fever@|@qandho@
@few@|@yar@
@fewer@|@ka yar@
@fewest@|@ugu yar@
@fiancee@|@alkun@
@fiasco@|@qanbarac@
@fidget@|@kuurkuurso@
@fidgeting@|@kuurkuursasho, riiqriiqsi@
@field@|@ban, garoon, xag@
@fifteen@|@shan iyo toban@
@fifth@|@shanaad@
@fifthieth@|@kontonaad@
@fifty@|@konton@
@fight@|@dagaalan, dagaallan, dirir, jilibdhig@
@fight playfully@|@hurdan@
@figure@|@dir, muug@
@fill@|@kiis, shammir@
@fill to the brim@|@jilee@
@fill up@|@cabbee, kiis@
@film@|@filim, filin@
@filter@|@miir@
@filth@|@dhusuq@
@finance@|@maal@
@find fault@|@ilaaq@
@fine@|@cisaaro, cisaaro, ganaax, kallifaad, kallifaad, tacsiir@
@finery@|@xarrago@
@finger@|@far@
@finger tip@|@ciddikujoog@
@fingernail@|@ciddi@
@fingers@|@faro/@
@finish@|@bog, bogo, duji, idlaw, khatin, laaso, marnoow@
@finishing@|@sammaad@
@Finland@|@finland@
@fire@|@dab, oog@
@firewood@|@jabo, shidaal, xaabo@
@firing@|@qarxin@
@first@|@horaad, koowaad, kowaad@
@first born@|@curad@
@first glimmer of light@|@kaah@
@first month of the Gu season@|@fushade@
@first-born son@|@ugaas@
@fish@|@jillaabo, kallumayso, kallumayso, kaluun, mallaay, sharookhm@
@fish (1)@|@foolxun, guduudo, jillaab, qafish, silqo, sumaan@
@fish (2)@|@kalluumo@
@fisherman@|@baddhac, kalluunle@
@fishermen@|@kalluumaysato@
@fishhook@|@jillaab@
@fishing@|@dhammaad, jillaab, jillaabasho@
@five@|@shan@
@fix@|@dhiddib@
@flag@|@bandiirad, calan@
@flame@|@belbel, halow, holac, holoc, olol@
@flash@|@big, birbir, hillaac@
@flashing@|@bilig, libqin@
@flask@|@buraashad@
@flat@|@canjeero@
@flat rock@|@sallax@
@flatter@|@sab@
@flea@|@boodo@
@flee@|@baqad@
@flee from danger@|@baqo@
@flesh-and-blood@|@insi@
@flicker@|@birbir@
@flier@|@duule@
@flight@|@dulitaan, duulimaad, qax@
@float@|@sabbee@
@flock of sheep@|@ido@
@flood@|@daad@
@floor@|@dabaq@
@flour@|@budo, bur, daqiiq, gashiisho@
@flow of water@|@daad@
@flow out of the ground@|@muus@
@flower@|@fiid, ubax@
@fly@|@diqsi, duqsi, haad, heehaab, lal@
@foal@|@qayl@
@fog@|@carceero, ciiryaamo@
@fold@|@duub, laab@
@fold in a dress@|@gol@
@fold many times@|@laalaab@
@follow@|@dabaggal, raac@
@follow ignorantly@|@gurdanraac@
@follower@|@raacsane@
@following@|@dabaggal, taabac, xigeen@
@food@|@cuno, cunto, dheef, nafac, nafci, oon, quud, soor@
@food (1)@|@cunno, cuno, dhuuni, gasiin, gesiin, irsaaq, oomati@
@food and hospitality for guest@|@martiqaad, martisoor@
@food supplies for a journey@|@jidmar@
@fool@|@axmaq, caaq, face, nacas, safiih@
@foolery@|@jeesjees@
@fooling@|@dheeldheel@
@foolishness@|@nacasnimo@
@foot@|@cag, cumaacun, lug, majin, ogaden ciqil, ogaden ciqil@
@footprint@|@raad@
@footprints@|@janqaad, raad@
@for@|@u@
@for (distance)@|@u@
@for (duration)@|@u@
@for the sake of@|@aawadeed, aawadiis@
@forbid@|@maanic@
@force@|@dirqi, hawaan, khasab, khasab, muquuri, qasab, sallid@
@force (1)@|@tabar, xoog@
@ford (a river)@|@dabbaan@
@forearm@|@curcur, ogaden ciqil@
@forefinger@|@murugsato@
@forehead@|@biriir, food, gebi, jaah, jaah@
@foreign land@|@qurbe, qurbo@
@foreign lands@|@doolaalo@
@foreigner@|@ajnebi, dool, galti, qariib@
@foreigners@|@aqraab@
@foreleg@|@jeeni@
@foreskin@|@buryo, qolof@
@foresse@|@maleewaal@
@foresseing@|@maleewaalid@
@forest@|@deegaan, gaaroodi, hawd, hawd, hinni, juq, juq, kayn, xir@
@forest (1)@|@duud, hirrig@
@foretelling@|@maleewaalid@
@forget@|@haf, helman, hilmaan, illaaw, illoow, sahwi@
@forgetfulness@|@illow@
@forgetting@|@halmaan, illow@
@forgive@|@masaamax, saamax@
@fork@|@kalabbayr@
@fork in a road@|@kalabbayr@
@fork in the road@|@isgoyska@
@form@|@foom, tatab@
@fortieth@|@afartanaad@
@fortune@|@qadan@
@forty@|@afartan@
@forward push@|@hanboorri@
@found@|@gundhigo@
@foundation@|@gundho, unnug@
@four@|@afar@
@fourteen@|@afar iyo toban@
@fourth@|@afaraad, afraad@
@fourth child@|@afarran@
@fox@|@dawaco@
@fracture@|@jabniin@
@fragment@|@jajab@
@fragmentation@|@jajabnaan@
@fragments@|@burbur, jaabo@
@frankincense@|@foox@
@frankness@|@badheedh, daacad@
@fraud@|@khayaano, khayaano, khiyaanad, khiyaanadlow, khiyaane@
@fraudulent@|@khiyaanadlow@
@free@|@bilaash, fur, xor@
@freedom@|@ikhtiyaar, xornimo, xorriyad@
@freedom seekers@|@gobannimadoon@
@freeze@|@barafood, kag@
@frequency@|@firikuwansi@
@frequent@|@gaafo@
@fresh air@|@naacaw@
@fresh growth of grass@|@naq@
@fresh meat@|@dubaax@
@friction@|@ixkuxoqid@
@Friday@|@jamce, jimce@
@friend@|@rafiiq, saaxiib@
@friendship@|@jaalnimo, jaalnimo, rafiiqnimo, rafiiqnimo, saaxiibnimo, waal@
@fright@|@hinfiriir, jeefaaf, naxdin@
@frighten@|@cabsigeli, cabsii, has, kurbee@
@frightening@|@hasid@
@frog@|@rah@
@from@|@ka@
@from (origin)@|@ka@
@front@|@hor, horay, qaabbil@
@frontier@|@xad@
@fruit@|@midho, miro@
@fruit of cactus@|@tin@
@fruits@|@khudaar, khudrad, khudro@
@frustration@|@qatooyo@
@frwon@|@huruuf@
@fry@|@shiil@
@fuel@|@fuyuul, shidaal@
@fulfill@|@caaji, fuli@
@fulfillment@|@fulin@
@full@|@muul@
@full moon@|@caddo@
@fullness@|@buux, dhereg, dheregsanaan, kafuufo, waafi@
@full-stop@|@joogsad@
@full-term baby@|@dhammays@
@fun@|@jeesjees, manqax@
@furniture@|@saabaan, saamaan@
@future@|@aayatiin, aayo, mustaqbal@
@gagging@|@laqanyo@
@gain@|@macaash@
@gamble@|@khamaar@
@game@|@bardooddan, cayaar@
@game animals@|@ugaadh, ugaar@
@garage@|@garaash, geeresh@
@garden@|@Beer, bustaan@
@garlic@|@toon@
@gas@|@gaas@
@gasp@|@haftood, hinraaq@
@gather@|@dhiib, ururi@
@gather up@|@gurubso@
@gatherine@|@mahaarjan@
@gathering@|@mahrajaan@
@gaze@|@arkid, jeedaali, jeeqaaq@
@gazed-out@|@xaaluf@
@gazelle@|@awlkii, eelo@
@geenery@|@laac@
@gelded camel@|@korodh@
@general@|@jeneraal@
@generation@|@waaye@
@generosity@|@deeq, sikhinnimo@
@generous person@|@sikhi@
@geography@|@juqraafi@
@geometry@|@jimeteri@
@germ@|@jeermi@
@gestation period@|@sid@
@get@|@hel@
@get accustomed to@|@caadeyso@
@get better@|@caafimaad, ladnaw@
@get excited@|@welwel@
@get fat@|@cayil@
@get hot@|@kululow@
@get lost@|@dhun@
@get married@|@guurso, meherso@
@get on top of@|@fuul@
@get sick@|@jirro@
@get started@|@bilaabo@
@get to the bottom of a matter@|@jibakeen@
@get to the bottom of a problem@|@jibaggaar@
@get up@|@kac@
@get up early@|@hiireyso@
@getting lost@|@anbasho@
@getting married@|@guursad@
@getting strength for something@|@tabaraysasho@
@gibberish@|@deelqaaf@
@gift@|@diiqo, hadaayad, hado, hayaayad, hibo, hoo, siin@
@gift (1)@|@faxdi, hadiyad@
@giraffe@|@geri@
@girl@|@cadrad, gabadh, gabar, inan@
@girlhood@|@gabarnimo@
@girls@|@gabdho, hablo@
@give@|@dhiib, hur, sellin, sii@
@give a decision@|@guddoomi@
@give a speech@|@baan@
@give advice to@|@caqliceli@
@give as a gift@|@hibee@
@give back@|@dab@
@give birth@|@dhal, ummul@
@give chance@|@sarrif@
@give existence@|@jirsii@
@give extra@|@buraddee@
@give leave@|@fasax@
@give light@|@if, iftiin, nuur@
@give medical treatment@|@daaweyn@
@give medicine@|@daawee@
@give news@|@warran@
@give off a smell of cooking@|@sanuun@
@give off smoke@|@qiiqaab@
@give permission@|@idan@
@give pleasure@|@raawis@
@give thanks@|@mahdi@
@give trouble@|@shiidaad@
@give up@|@caalgas@
@give victory@|@libee@
@giver of good advice@|@naseex@
@giving a gift of charity@|@hidin@
@giving up@|@caloolduubasho@
@glance@|@daymo, dey, dhugasho, dhugo, dhugo, ollog@
@gland@|@qanjir@
@glass@|@galaas, galaas, muraayad@
@glasses@|@indhaggashi@
@glitter@|@halalaac@
@gloom@|@qulub@
@glory@|@muuno@
@glutton@|@qaaley@
@gnaw@|@ruug@
@go@|@tag, teg@
@go after@|@dabasoco@
@go after something to get it@|@higso@
@go around@|@kalah@
@go around the edge@|@afmeer@
@go bad@|@faad@
@go fishing@|@kallumayso@
@go for a walk@|@mushaax@
@go home@|@hooyo@
@go home for the night@|@hoyo@
@go in single file@|@isdabajoog@
@go out@|@bax@
@go somewhere@|@aad-@
@go straight ahead@|@hagaag@
@go to and for@|@laablaabo@
@go to bed@|@seexo@
@go to each other@|@isutag@
@go to sleep@|@hurud@
@go together@|@raac@
@go towards@|@jaho@
@goal@|@faad, toogo@
@goat@|@ari, eri, ri'ari@
@goats and sheep@|@ari@
@God@|@alla, allah, alle, bend, eebbe, ilaah, waaq@
@going@|@bixid, tegid, tegis@
@going home@|@hooyasho@
@gold@|@dahab@
@good (thing)@|@dhurwaa@
@good afternoon@|@Galab wanaagsan@
@good day@|@Maalin wanaagsan@
@good deed@|@shafeeco@
@good evening@|@Habeen wanaagsan@
@good fortune@|@cawo, khayr, sareedo@
@good health@|@fayo, fayoobi@
@good heartedness@|@caloolsami@
@good housewife@|@gaari@
@good luck@|@sanac@
@good manners@|@anshax, edeb, ikhyaarnimo, shalaabad@
@good morning@|@Subax wanaagsan@
@good news@|@abshir@
@good order@|@habsami@
@good person@|@fariid@
@good prediction@|@saad@
@good thing@|@naruuro, salaax@
@goodbye@|@Nabad gelyo, Nabadeey@
@good-health@|@jarreero@
@goodness@|@caaqibo, caaqibo, samaan, sami, samo, toolmoonaan, wanaag@
@goodness (1)@|@khayr, wanaagsanaan@
@goods@|@agab@
@goose@|@shimbir badeed@
@gossip@|@dhegbas@
@government@|@dawlad, talis, xukuumad@
@governmental@|@dawli@
@governor@|@barasaab@
@grace@|@xurmo@
@graceful walk@|@laafyo@
@graduation@|@qalinjebin@
@graft@|@laaluush@
@grain@|@badar@
@grain-measure@|@kiil@
@gram@|@garaamme@
@grammar@|@naxwe@
@grandfather@|@abkoow, awoowe, awow@
@grandmother@|@abooto, ayeeyo, macooyo@
@grapes@|@canab@
@grasp@|@dab, taab@
@grass@|@caws, dhabcan, geedo@
@gratitude@|@gallad, gallad, shugri@
@grave@|@bud, qabri@
@gray@|@beey, bey@
@gray hair@|@cirro@
@graze@|@daaq@
@grazed-out@|@xaaluf@
@grazing@|@daaqa@
@grazing area@|@daaqsin@
@great beauty@|@quruxsami@
@great effort@|@fantatiir, hagarbax@
@greatness@|@weynaan@
@greed@|@kamiin@
@green@|@akhdar, cagaar@
@green grass@|@cagaar@
@greenery@|@laac@
@greet@|@baaq, bariidi, nabdaadi, nabdayso, salaan@
@greeting@|@baaq, bariido, nabdaad, nabdaadi, salaan@
@grief@|@ciil, ciilcun, hinaayo@
@grievance@|@walbahaar@
@grill@|@halaammacoodi@
@grind@|@budee@
@groan@|@jibaad@
@grocery store@|@daaska baadka@
@groin@|@sarac@
@groping@|@haabasho@
@groping about@|@haabhaabasho, haabhaabo@
@group@|@cuur, hormo, tarab, tarabtarab@
@group of four@|@afarran@
@group of people@|@firqo@
@group of students@|@ardo@
@group of wells@|@daw@
@grow@|@kor@
@grow fat@|@naax@
@grow green@|@naqayso@
@grow old@|@gaboob@
@grow sideways@|@faalal@
@growl@|@gunuus, gurxan@
@gruge@|@hiijo@
@grumble@|@gunuunuc, gunuus@
@grumbling@|@gunuunuc@
@grunt@|@guux@
@guard@|@ilaal, ilaali, saan@
@guess@|@awaal, bidaal@
@guest@|@marti@
@guests@|@marti, socoto, socoto@
@guidance@|@hanuun@
@guide@|@horkace@
@guide a blind person@|@had@
@guile@|@xeel, xeelad, xeelo@
@guinea-fowl@|@digiiran@
@guitar@|@kaman@
@gulf@|@badyaro, khaliij@
@gullet@|@jiddin@
@gum@|@cirrid, xabag@
@gush@|@butaaco@
@gymnastics@|@jinaastiko@
@haad@|@insecure place@
@haajir@|@imigrate@
@haayir@|@imigrate@
@haggard appearance@|@jaynaf@
@hail@|@baraf@
@hair@|@gas, timo@
@half@|@badh, bar, nus@
@half of day@|@gelin@
@half of night@|@gelin@
@halt@|@hogo, hogo, hoji, hoji, sheel@
@halter@|@jaar, jare, jiide@
@halva (sweet made from sugar)@|@xalwad@
@halve@|@bar@
@hammer@|@burris, cuddad@
@hand@|@gacan@
@handbag@|@gunnad@
@handle@|@siddo@
@handle of shield@|@mayalka@
@handshake@|@midigsaar@
@handwoven bag@|@dambiil@
@handwoven mat@|@derin, dermo@
@hang@|@laalaco, laallaad@
@hang down from@|@isasur@
@hang up@|@laallaadi@
@happiness@|@farax, farxad, mustareex, naallo, riyaaq@
@harass@|@cadaadin@
@harassment@|@cadaadis@
@hardness@|@adayg, adkaan, qalleyf@
@hardship@|@eedid, eel, ilxumo, leelleel, silic@
@hard-working@|@hawlkar@
@hard-workingness@|@hawlkarnimo@
@harm@|@ajar, ajar, godob, waxyeel, waxyeellee, waxyeello, xumi, xumi, xumi@
@harm (1)@|@hargaamo, khasaaro, xumaan@
@hashish@|@hashish, xashiish@
@haste@|@degdegid, degdegsiinyo, degdegsiinyo@
@hasty action@|@karkabad@
@hat@|@koofiyad@
@hate@|@nac@
@hatred@|@nac, nac, nacayb, nacdiir, nebcaan@
@have@|@hay, hay, hayso, qab@
@have a cold@|@hargab@
@have a dry throat@|@jiniinqallal@
@have a family@|@xaas@
@have a khat-chewing session@|@qayil@
@have a nightmare@|@sas@
@have a rest@|@naso@
@have a stiff neck@|@barkadhac@
@have breakfast@|@hamuuntiro@
@have confidence@|@kalsoon@
@have evening meal@|@cashee@
@have fun@|@istareex, tumo@
@have in mind@|@maami@
@have lunch@|@qadee@
@have many offspring@|@farcan@
@Have you any bleeding?@|@Miyuu dhiig kaa yimi?@
@Have you any diarrhoea?@|@Miyuu shuban ku hayaa?@
@Have you any pain?@|@Miyuu xanuun ku hayaa?@
@Have you ever had an operation@|@Miyaa marna lagu qalay?@
@Have you had an accident?@|@Ma shil baa kugu dhacay?@
@Have you vomited blood?@|@Miyaad dhiig matagtay?@
@Have you vomited?@|@Miyaad matagtay?@
@having little capacity@|@cuqdad@
@having patience@|@dulyeelasho@
@hawk@|@dafo, huf@
@haze@|@carceero@
@he@|@isaga, uu@
@he came@|@yimi, yimid@
@he comes@|@yimaadaa@
@he is coming@|@imaneyaa@
@he is not@|@aha@
@he is saying@|@oraneyaa@
@he knew@|@yiqiin@
@he knows@|@yahay, yahay, yaqaan@
@he said@|@hadlay, yidhi, yiri@
@he says@|@yiraahdaa@
@he was@|@imanayey@
@head@|@kur, madax, maqaddin, sarreeye@
@head cold@|@hargab@
@head of a household@|@abbaanwarre@
@headband@|@cigaal@
@headship@|@madaxnimo@
@heal@|@bogso, caafimaadi, caafimaadi, kaban@
@healing@|@bogsasho@
@health@|@caafiyad, cafimaad, jarreero, ladnaansho, sixo@
@health (1)@|@ladnaan@
@hearing@|@maqalka@
@heart@|@hiyi, hiyi, laab, qalbi, wab, wadna, wadne@
@heart attack@|@wadnegariir@
@hearth@|@danbaysaal@
@heat@|@danbaysaal, danbaysaal, kul, kulayl, kulayli, kuleel, kululaan@
@heat conductor@|@kulgudbiye@
@heat of the day@|@harsimo@
@heat up@|@kululow@
@heaven@|@janno@
@heavy@|@culus@
@heavy bleeding@|@honog@
@heel@|@cedhib, cirib, heelad@
@heifer@|@dabuula@
@height@|@dherer, joog@
@heir@|@dhaxle@
@hell@|@cadaab, jahannamo, naar@
@hello@|@Haye, Iska warran, Ma nabad baa?, Mahaa la sheegay@
@help@|@adeegso, daryeel, gargaar, macaawino, miciin@
@help (1)@|@caawi, caawimo, kalkaal, mucaawino, saacid, waxtar@
@help (2)@|@itataabee, itataabo, midiidin, midiidin, taakulee, taakulee, tagaabo@
@help (3)@|@hinaaso, taageer, taageero@
@help another to be patient@|@samri@
@helping@|@caaqibee@
@hen@|@digaagad, dooro, dooro, jiddu duuri, luki@
@hepatitis@|@beer xanuun@
@her@|@ay, iyada@
@herd@|@wagan@
@here@|@halkan@
@herritage@|@hidde@
@hers@|@iyadale@
@herself@|@is@
@hesitate@|@walaac@
@hesitation@|@jigo, laballaabow, tallan@
@hesitation from fear@|@habrasho@
@hiccough@|@higgo@
@hiccup@|@qiixdheer@
@hidden thing@|@cillanaad@
@hide@|@gabbo, kaay, maado, maldah, qari, qarso@
@hide behind something@|@hullo@
@hide oneself@|@dhuumo@
@high blood pressure@|@dhiig kar@
@high ground@|@jiir@
@high mountain@|@qar@
@high-caste person@|@aji@
@high-status person@|@lafti@
@hilarity@|@manqax@
@hill@|@burshaan, curcur@
@hillock@|@kood@
@him@|@isaga, uu@
@himself@|@is@
@hinder@|@daahi@
@hint@|@guudmar@
@hip@|@bacudo, lug, sin@
@hippopotamus@|@jeer@
@hire@|@ijaaro, kiree, kireysasho@
@his@|@isagale@
@history@|@taariikh@
@hit@|@dhab, dharbaax, dhaw, jugee, makal@
@hitting@|@jaf@
@hobble@|@dabar@
@hold@|@qab@
@hold a festival@|@damaashaad@
@hold divergent opinions@|@ikhtilaaf@
