@English@|@Vietnamese@
@hopscotch@|@nhäy lò cò@
@horn@|@sØng@
@horny@|@Ç¶ng c«n@
@horrible@|@kinh khûng@
@horror@|@kinh dÎ@
@horse (Chinese)@|@mã@
@hot@|@nóng@
@hot air balloon@|@khinh khí cÀu@
@hot tempered@|@nóng nÄy@
@hotel@|@khách sån@
@hot-headed@|@nóng tính@
@hour@|@gi©@
@house@|@nhà@
@how strange!@|@rõ lå@
@however@|@tuy nhiên@
@huge@|@l§n@
@huge clay water jar@|@lu@
@huggable@|@mÛm mïm@
@humanitarian aid@|@viŒn tr® nhân Çåo@
@humanity@|@nhân Çåo@
@humanize@|@hi‹n nhân@
@humiliation@|@nhøc@
@hundred@|@træm@
@hundry@|@Ç†i@
@Hungary@|@Hung Gia L®i@
@hungry@|@Çói@
@hunt a fugitive@|@truy nã@
@hurried up@|@v¶i vã@
@hurry up someone@|@hÓi thúc@
@husband@|@chÒng@
@husband of mother's sister@|@dÜ®ng@
@husband or darling (as called by wife or lover)@|@anh@
@I@|@tôi@
@ice (frozen water surface)@|@bæng Çá@
@identical@|@tåc (giÓng nhÜ tåc)@
@identify@|@nhÆn diŒn@
@ie. The)@|@các@
@ill@|@bÎnh@
@ill-reputed@|@mang ti‰ng@
@illusion@|@äo änh@
@imaginary@|@giä tÜªng@
@imiate@|@b¡t chÜ§c@
@immediate@|@liŠn, ngay lÆp tÙc@
@immortal@|@bÃt tº@
@impatient@|@nóng lòng, nóng nÄy, nóng näy@
@impeach@|@truÃt ph‰@
@impede@|@cän trª, ngæn cän@
@impend@|@cÆn bi‰n@
@impersonate@|@måo nhÆn@
@implement@|@áp døng, thi hành@
@implementation@|@áp døng@
@implicate@|@liên løy@
@implication@|@ám chÌ@
@implicit@|@m¥c thÎ@
@implore@|@kêu g†i, låy løc, næn nÌ@
@imply (v)@|@ám chÌ@
@import@|@nhÆp cäng@
@import tax@|@thu‰ nhÆp cäng (cänh)@
@important summary@|@y‰u lÜ®c@
@imported good@|@hàng ngoåi hoá@
@impose@|@áp Ç¥t@
@impound (v)@|@tÎch thu@
@impregnanted@|@thø thai@
@impression@|@Ãn tÜ®ng, cäm tÜªng@
@imprisoned@|@ª tù@
@impudent@|@táo båo@
@impulsive@|@bÓc ÇÒng@
@impute@|@gán cho@
@in@|@trong@
@in a hurry@|@hÓi hä, v¶i@
@in a state of pregnancy@|@bøng mang då chºa@
@in a sudden@|@bÃt thÀn@
@in absentia@|@khi‰m diŒn@
@in arms@|@bÒng; b‰@
@in debt@|@m¡c n®, thi‰u n®@
@in order to@|@hÀu@
@in progress@|@Çang@
@in public@|@công c¶ng@
@in reference to@|@chi‰u@
@in the end@|@chung cu¶c@
@in the mood@|@hÙng@
@in the name of@|@nhân danh@
@inanity@|@vô duyên@
@inaptitude@|@bÃt tài, dª@
@inasmuch as@|@bªi vì@
@inattention@|@lÖ Çãng@
@inborn@|@thiên bÄm@
@inbound@|@hÜ§ng n¶i@
@inclined@|@thiên vŠ@
@income tax@|@thu‰ l®i tÙc@
@incomplete@|@bÃt thành, dang dª@
@inconsistent@|@bÃt nhÃt@
@inconvenient@|@bÃt tiŒn@
@incorrect@|@trÆt@
@increase@|@tæng@
@incumbent@|@tåi chÙc@
@independence@|@Ç¶c lÆp@
@independent@|@Ç¶c lÆp@
@indicate@|@chÌ dÅn, cho bi‰t@
@indication@|@chÌ dÃu@
@indifferent@|@dºng dÜng@
@individual@|@cá nhân@
@individualism@|@chû nghïa cá nhân@
@industrialist@|@kÏ nghŒ gia@
@industry@|@kÏ nghŒ@
@inept@|@bÃt tài@
@inferior@|@y‰u kém@
@inferior complex@|@t¿ ti m¥c cäm@
@infiltrate agent into an organization@|@lÒng ngÜ©i@
@inflate@|@th°i phÒng@
@influx@|@Ç° xô vào, làn sóng ngÜ©i vào@
@inform@|@thông báo@
@informant@|@ÇiŠm chÌ viên@
@inhabit@|@ª@
@inheritance@|@gia tài@
@inheritance tax@|@thu‰ thØa k‰@
@inhuman@|@tàn nhÅn@
@inhumane@|@bÃt nhân@
@initial@|@tiên khªi@
@-in-law@|@r‹@
@innate@|@thiên bÄm@
@inner thought@|@lòng@
@insensitive@|@vô tình@
@insert@|@Çút@
@inside@|@trong@
@insider@|@ngÜ©i n¢m vùng, ngÜ©i trong cu¶c@
@insider work@|@n¶i công@
@insistent@|@khæng khæng@
@insolvent@|@v« n®@
@install@|@thi‰t k‰@
@instantenous@|@tÙc th©i@
@institute@|@viŒn@
@institute (v)@|@áp ch‰, áp døng@
@institutionalize@|@cho ngÜ©i vào viŒn thÀn kinh, cÖ ch‰ hóa@
@instring@|@trong câu@
@instruct@|@bäo@
@instruction@|@chÌ dÅn@
@insurance@|@bäo hi‹m@
@intact@|@nguyên vËn, y nguyên@
@intake@|@nhÆn ÇÖn, nhÆp liŒu, thu vào@
@intend@|@ÇÎnh@
@intention@|@chû tâm, š ÇÎnh@
@inter-@|@liên@
@inter-agency@|@liên cÖ quan@
@intercity@|@liên tÌnh@
@intercontinental@|@liên løc ÇÎa@
@inter-department@|@liên sª@
@interesting@|@ng¶@
@intermediate@|@trung cÃp@
@internal@|@n¶i tåi@
@internal affair@|@n¶i b¶@
@internal situation@|@n¶i tình@
@international@|@quÓc t‰@
@interpretor@|@thông dÎch viên@
@interrogate@|@thÄm vÃn@
@interrogate (v)@|@tra@
@interrogate and torture@|@tra khäo@
@interrogator@|@thÄm vÃn viên@
@interrupt (a conversation)@|@c¡t ngang@
@interstate@|@liên ti‹u bang@
@intervene (v)@|@can@
@interview@|@phÕng vÃn@
@intestine@|@ru¶t@
@into tiny bits@|@nát tan@
@intuitive@|@tr¿c giác@
@invariable@|@bÃt bi‰n@
@invent (v)@|@ch‰@
@invisible@|@vô hình@
@inward@|@nhÆp@
@inwardly@|@thÀm kín@
@Iraq@|@Ba TÜ@
@iris@|@ngÜÖi@
@iron (v)@|@là@
@ironically@|@tr§ trêu@
@is@|@là@
@island@|@Çäo@
@isolate@|@cô lÆp@
@issue@|@chuyŒn, s¿ viŒc, vÃn ÇŠ, vø@
@issued@|@ÇÜ®c công bÓ@
@it@|@nó@
@Italy@|@Ý ñåi L®i@
@jack fruit@|@mít@
@Japan@|@Nh¿t, NhÆt@
@Japanese@|@ti‰ng NhÆt, Nh¿t@
@jar@|@l†@
@jealous@|@phân bì@
@jelly@|@thåch@
@jet plane@|@phän l¿c cÖ@
@jewelry@|@kim hoàn@
@job@|@nghŠ, nghŠ nghiŒp@
@jobless@|@vô nghŠ nghiŒp@
@join a feast@|@d¿ tiŒc@
@join a government@|@tham chính@
@join an organization@|@nhÆp h¶i@
@journalist@|@kš giä@
@journey@|@hành trình@
@Judaism@|@Çåo Do Thái@
@judge@|@phán Çoán, quan tòa, thÄm phán@
@judicial@|@tÜ pháp@
@Judo@|@nhu Çåo@
@jukebox@|@máy b¶ dïa nhåc@
@jump (v)@|@nhäy@
@jurisdiction@|@thÄm quyŠn@
@juror@|@bÒi thÄm@
@jury@|@bÒi thÄm Çoàn@
@just in time@|@h»u th©i@
@justice@|@công lš@
@justifiable@|@chính Çáng@
@justify@|@biŒn minh@
@kangaroo@|@Çåi thº@
@keep@|@gi»@
@keep reminding@|@d¥n dò@
@kick@|@Çá@
@kick one off the premises@|@tÓng c°@
@kiss (slang)@|@mi@
@knee (v)@|@quì, quÿ@
@knit@|@Çan@
@know@|@bi‰t@
@knowledge@|@ki‰n thÙc@
@knowledgeable@|@thông thái@
@Korea@|@ñåi Hàn@
@Korean@|@ti‰ng ñåi Hàn@
@kowtow@|@cung kính@
@kowtow (v)@|@låy løc@
@kowtow and kiss up to@|@qøy løy@
@labor@|@lao Ç¶ng@
@labor (v)@|@làm løng@
@laborous@|@n¥ng nh†c, nh†c nh¢n@
@laborous pregnancy and painful delivery@|@mang n¥ng ÇÈ Çau@
@lack@|@thi‰u, thi‰u thÓn@
@ladder@|@thang@
@ladylike@|@Çài các, y‹u ÇiŒu@
@lake@|@hÒ@
@lance)@|@phóng@
@landing@|@Çáp xuÓng@
@landscape@|@phong cänh@
@language@|@ti‰ng@
@Laos@|@Lào; Lèo@
@large (clothes)@|@thùng thình@
@large entourage@|@tiŠn hô hÆu ûng@
@last words before death@|@trÓi træng@
@late@|@mu¶n; mu¶n màng@
@late at  night@|@khuya@
@lathe@|@máy tiŒn, tiŒn@
@Latin@|@ti‰ng La-Tinh@
@latter@|@cái sau, ngÜ©i sau@
@launch@|@phóng@
@laundry shop@|@tiŒm gi¥t ûi@
@lavish@|@phóng túng@
@lavish (feast)@|@thÎnh soån@
@law violation@|@phåm pháp@
@lazy@|@bi‰ng, lÜ©i; lÜ©i bi‰ng@
@lazy person@|@Çåi lãn@
@lead@|@chÌ Çåo@
@lead (metal)@|@chì@
@leader@|@thû lãnh@
@leaf@|@lá@
@lean on@|@d¿a@
@learn@|@h†c, thø giáo, thø huÃn@
@learn by watching without approval@|@h†c lóm@
@leeway@|@trØ hao@
@leftover@|@thØa@
@leg@|@c£ng, chân@
@legend had it ....@|@tøc truyŠn@
@leisure@|@thänh thÖi, vui chÖi@
@leisurely@|@tà tà, thong thä, thÜ thä, thûng th£ng@
@lemon@|@chanh@
@lemon grass@|@sä@
@lengthy@|@dài giòng@
@lenitive@|@làm mŠm Çi (y dÜ®c), thuÓc trÎ bón@
@-less@|@bÃt ..., vô@
@lessen@|@giäm@
@lesser@|@giäm@
@lesson@|@bài h†c@
@let go (v)@|@buông, thä@
@letter@|@mÅu t¿, thÖ, thÜ@
@levee@|@Çê@
@level@|@nÃc@
@leviathan@|@thûy quái@
@liaison@|@liên låc viên, tÜ tình@
@liberal@|@cÃp ti‰n@
@liberate@|@giäi phóng@
@liberation@|@giäi phóng@
@library@|@thÜ viŒn@
@lie (v)@|@dÓi@
@lie down@|@n¢m@
@lieutenant@|@trung úy@
@lieutenant colonel@|@trung tá@
@lieutenant general@|@trung tÜ§ng@
@life@|@Ç©i@
@life science@|@vån vÆt h†c@
@lift (v)@|@nhÃc@
@light (not heavy)@|@nhË@
@light infantry@|@khinh binh@
@light science@|@quang h†c@
@lightly@|@khë@
@like (v)@|@häo, thích@
@lime@|@chanh@
@limitless@|@thä cºa (slang)@
@line@|@hàng@
@lingerie@|@quÀn áo lót phø n»@
@linguist@|@ngôn ng» gia, ngÜ©i thåo nhiŠu ngôn ng»@
@list@|@danh sách@
@list (v)@|@liŒt kê@
@listen@|@nghe@
@listen attentively@|@l¡ng nghe@
@listener@|@thính giä@
@little@|@nhÕ@
@little by little@|@l¡t nh¡t@
@live@|@lÜu trú, sinh sÓng@
@live (n)@|@sÓng@
@live (v)@|@ª@
@live in seclusion@|@Än dÆt@
@liver@|@gan@
@living room@|@phòng khách@
@lizard (small@|@thåch sùng@
@load@|@thÒ@
@local authority@|@trÙc chánh@
@locate@|@tìm ra@
@lock@|@khóa@
@logic@|@lš luÆn@
@logistics operation (military)@|@hÆu cÀn@
@loincloth@|@khÓ@
@lonely@|@cô ÇÖn, ÇÖn Ç¶c, hiu quånh@
@long@|@dài@
@long distance@|@viÍn liên@
@long jump@|@nhäy xa@
@long lasting@|@bŠn, triŠn miên@
@Long live@|@Muôn næm@
@long time@|@lâu, muôn thÜª@
@longevity@|@trÜ©ng sinh, trÜ©ng th†@
@longingly@|@thi‰t tha@
@longshoreman@|@th® b‰n tàu@
@longwise@|@d†c theo chiŠu dài@
@look@|@diŒn måo@
@look (v)@|@ngó, nhòm@
@look at@|@ng¡m nghía@
@looking down@|@thi‹u não@
@loosened@|@long, lung lanh@
@lose a battle@|@thÃt trÆn@
@lose chastity@|@thÃt ti‰t@
@lose life@|@thiŒt mång@
@lose something that already does not belong to one@|@cûa Thiên trä ñÎa@
@lose the road@|@låc ÇÜ©ng@
@lose virginity@|@thÃt thân@
@lose voice@|@låc gi†ng@
@loss@|@n¥ng nŠ, thiŒt thòi@
@loss (vs gain)@|@l‡@
@lost (the road)@|@låc@
@love@|@thÜÖng yêu, tình, tình, tình trÜ©ng, tình yêu, yêu@
@love affair@|@ân ái, chim chu¶t@
@love nest@|@t° uyên ÜÖng@
@lover@|@ngÜ©i tình, tình nhân@
@low@|@thÃp@
@low life people@|@hå cÃp@
@Lower@|@hå@
@lower court@|@tòa sÖ thÄm@
@loyal@|@trung thành@
@luck@|@may@
@lucky@|@may, may m¡n@
@lunar eclipse@|@nguyŒt th¿c@
@lung@|@ph°i@
@luring religion@|@Çåo dø@
@lust@|@ham@
@lust after@|@thèm@
@lychee (fruit)@|@väi@
@lying@|@giä dÓi@
@machine@|@máy@
@machinery@|@máy móc@
@macro@|@Çåi vi@
@macro economics@|@kinh t‰ Çåi vi@
@mad@|@phÅn n¶@
@maestro@|@nhåc trÜªng@
@magnificient@|@tuyŒt v©i@
@mail@|@thÜ tØ@
@main@|@chánh, chính, chû y‰u@
@maintenance@|@bäo trì@
@major Central town@|@Hu‰@
@major political party@|@chính Çäng@
@majority@|@Ça sÓ@
@make@|@làm, làm@
@make a living@|@Ç¶ nhÆt, làm æn@
@make fun at@|@châm ch†c@
@make love@|@làm tình, mây mÜa@
@make love (v) (slang)@|@bŠ@
@make trouble@|@sinh s¿@
@make up something (v)@|@ch‰@
@makeshift@|@tåm b®@
@malice@|@ác š, Ç¶c ác@
@malicious@|@Ç¶c ác@
@malicious intent@|@dã tâm@
@malicious trick@|@Ç¶c k‰@
@manage@|@xoay sª@
@management by objectives@|@quän trÎ theo chÌ tiêu@
@mandarin@|@quan@
@mandate@|@b¡t bu¶c@
@mane@|@b©m@
@mankind@|@nhân loåi@
@manner@|@cung cách@
@man's four pleasures- eat@|@tÙ khoái@
@manual@|@b¢ng tay@
@manuever@|@vÆn hành@
@many times@|@nhiŠu khi@
@marginal propensity to consume@|@khuynh hÜ§ng tiêu thø biên t‰@
@marginal propensity to save@|@khuynh hÜ§ng ti‰t kiŒm biên t‰@
@marine@|@thûy quân løc chi‰n@
@maritime@|@hàng häi@
@mark (v)@|@Ãn@
@market@|@ch®, thÎ trÜ©ng@
@marketing@|@ti‰p thÎ@
@marketplace@|@thÜÖng trÜ©ng@
@marshy town in South Vietnam@|@ñÒng Tháp MÜ©i@
@martial art@|@quyŠn cÜ§c, võ thuÆt@
@martial art flying through air@|@khinh công@
@martial law@|@thi‰t quân luÆt@
@mask@|@m¥t nå@
@masturbate@|@thû dâm@
@match against something for compatibility@|@ÇÓi chi‰u@
@materialism@|@chû nghïa duy vÆt@
@maternal@|@ngoåi@
@maternal grand parents@|@ông bà ngoåi@
@maternal grandma@|@bà ngoåi@
@maternal love@|@tình mÅu tº@
@matter@|@s¿ viŒc, vø@
@matter of@|@chuyŒn@
@mattress@|@nŒm@
@mature@|@chín ch¡n, l§n tu°i@
@maximum@|@tÓi Ça@
@mayor@|@thÎ trÜªng, tÌnh trÜªng@
@me@|@tôi@
@mean@|@d»@
@meaning@|@š, š nghïa@
@meaningful@|@š nghïa@
@meaningless@|@vô nghïa@
@means@|@phÜÖng tiŒn@
@meat@|@thÎt@
@mechanical engineer@|@kÏ sÜ cÖ khí@
@mediate@|@hòa giäi@
@meditate@|@thiŠn@
@medium (level)@|@trung@
@meeting@|@h¶i h†p@
@melody@|@cung ÇiŒu@
@melon@|@dÜa@
@melted@|@tan@
@member@|@h¶i viên@
@memorial monument@|@Çài tÜªng niŒm@
@memorize something very well@|@nhÆp tâm@
@memory@|@k› niŒm@
@men@|@nhân@
@mend (v)@|@hàn g¡n@
@mend clothes@|@vá@
@menstrual@|@kinh nguyŒt@
@mentality@|@tâm hÒn@
@menu@|@th¿c ÇÖn@
@merchandise@|@hàng, hàng hóa@
@messenger@|@tÓng væn thÜ@
@metal@|@kim khí, kim loåi, s¡t@
@method@|@cách, lŠ lÓi@
@meticulous@|@c¥n kë@
@micro@|@ti‹u vi@
@micro economics@|@kinh t‰ ti‹u vi@
@microfiche@|@vi phim@
@microphone@|@vi âm@
@middle daughter@|@thÙ n»@
@Middle East@|@Trung ñông@
@middle son@|@thÙ nam@
@military aid@|@viŒn tr® quân s¿@
@military law@|@quân luÆt@
@military tribunal@|@tòa án quân s¿ m¥t trÆn@
@mind battle@|@ÇÃu trí@
@mindless@|@vô tri@
@mine@|@mÕ@
@Ming@|@Minh@
@minimum@|@tÓi thi‹u@
@Minister@|@B¶ TrÜªng, T°ng TrÜªng@
@minister (government)@|@t°ng trÜªng@
@ministry (governmental)@|@b¶, b¶ sª@
@mink@|@áo lông@
@minor detail@|@ti‹u ti‰t@
@minority@|@thi‹u sÓ@
@minority tribal race in Vietnam@|@Mán@
@miracle drug@|@thÀn dÜ®c@
@mired@|@lÀy@
@mirror@|@kính, ki‰ng@
@miscall@|@kêu lÀm tên@
@miscellaneous@|@linh tinh@
@miserable@|@khÓn cùng, khÓn kh°, måt rŒp, thäm thÜÖng@
@misfortune@|@bÃt hånh@
@misinformation@|@tin vÎt (slang)@
@misnomer@|@tên áp døng sai@
@Miss@|@cô@
@miss (v)@|@nh§@
@missing@|@mÃt tích@
@mission@|@sÙ mång@
@mist@|@sÜÖng@
@mistaken@|@l¶n, lÀm@
@mistress (slang)@|@thÙ phòng@
@misty eyed@|@dÍ xúc Ç¶ng@
@miter@|@mÛ cao cûa linh møc Công giáo@
@mix (v)@|@tr¶n@
@mobilization (military)@|@t°ng Ç¶ng viên@
@mock@|@châm ch†c@
@molar tooth@|@ræng hàm@
@mold@|@Çúc@
@Mom@|@m®@
@momentum@|@tr§n@
@money@|@båc, ÇÒng tiŠn, tiŠn, tiŠn båc, tiŠn tŒ@
@money-based@|@ngân bän vÎ@
@monitor (v)@|@giám sát@
@monitor lizard@|@kÿ Çà@
@monk (Buddhist)@|@sÜ@
@monologue@|@Ç¶c thoåi@
@monster@|@qu›@
@moon@|@nguyŒt, træng@
@moral@|@Çåo ÇÙc@
@Moscow@|@Måc TÜ Khoa@
@mosquito@|@mu‡i@
@mosquito net@|@màn@
@mother@|@mË@
@mother's brother@|@cÆu@
@mother's sister@|@dì@
@motivate@|@vÆn døng@
@motive@|@nguyên Ç¶ng l¿c@
@motorcade@|@tiŠn hô hÆu ûng@
@mount (v)@|@lên@
@mountain goat@|@sÖn dÜÖng@
@mouse@|@chu¶t@
@mouse (small)@|@chu¶t nh¡t@
@move@|@Ç¶ng ÇÆy, Ç¶ng tác@
@moved by@|@Ç¶ng lòng@
@movement@|@chuy‹n Ç¶ng, di chuy‹n@
@much@|@l¡m@
@multi@|@Ça@
@multi-form@|@Ça dång@
@multiply (v)@|@nhân@
@mundane@|@tÀm thÜ©ng@
@museum@|@bäo tàng viŒn, viŒn bäo tàng@
@music@|@nhåc@
@music in background or accompanying@|@nhåc ÇŒm@
@music theory@|@nhåc lš@
@musical instrument@|@nhåc cø@
@musical instrument such as guitar@|@Ç©n; Çàn@
@musician@|@nhåc sï@
@Muslim@|@Çåo HÒi@
@must@|@phäi@
@mute@|@câm@
@mutual@|@liên Ç§i@
@mutual effort@|@ÇÒng sÙc@
@myopia@|@cÆn thÎ@
@myopic@|@cÆn thÎ@
@n)@|@bÅy@
@nag@|@läi nhäi, mè nheo@
@nail@|@Çinh, móng@
@naive@|@dåi, kh©@
@naked@|@truÒng@
@nameless@|@vô danh@
@narrow-minded@|@nhÕ m†n@
@national anthem (no lyrics)@|@quÓc thiŠu@
@national antheme@|@quÓc ca@
@national flag@|@quÓc kÿ@
@natural disaster@|@thiên tai@
@naturalized (citizenship)@|@nhÆp tÎch@
@nature@|@thiên nhiên@
@nature of a person@|@tính tình@
@navigator (ship@|@tài công@
@navy@|@thûy binh@
@near@|@cÆn, gÀn@
@Near East@|@CÆn ñông@
@near-sighted@|@cÆn thÎ@
@necessitate@|@Çòi hÕi@
@neck@|@c°@
@need (v)@|@cÀn@
@needle and thread@|@kim chÌ@
@negative impression@|@ác cäm@
@negligent@|@lÖ ÇÍnh@
@negotiate@|@m¥c cä, thÜÖng thäo@
@net@|@vá@
@neutral@|@trung lÆp@
@neutralize effects@|@hóa giäi@
@nevertheless@|@tuy nhiên@
@news@|@tin tÙc@
@newspaper@|@báo@
@newspaper report@|@phóng s¿@
@Nguyen Dynasty (last dynasty of Viet Nam)@|@NguyÍn@
@night@|@Çêm, tÓi@
@nine@|@chín@
@no@|@không@
@no admittance@|@cÃm vào@
@no choice@|@bÃt khä kháng@
@no doubt@|@có chÙ@
@no effect@|@vô thÜªng vô phåt@
@no other way@|@bÃt khä kháng@
@no wonder@|@hèn chi, thäo nào@
@nod@|@gÆt ÇÀu@
@noddle dish@|@bún@
@noddles@|@bún@
@nomad@|@du møc@
@non-profit@|@bÃt vø l®i@
@non-sense@|@lãng xËc@
@non-stop@|@liŠn liŠn@
@noodles (Chinese)@|@mì@
@North Atlantic Treaty Organization (NATO)@|@Minh Ð§c B¡c ñåi Tây DÜÖng@
@Northern)@|@cù@
@Norway@|@Na Uy@
@nose@|@mÛi@
@nostalgia@|@tình hoài hÜÖng@
@not@|@ch£ng phäi@
@not heard from nor seen@|@vô âm biŒt tín@
@not only@|@không nh»ng@
@not yet@|@chÜa@
@notebook@|@vª@
@nothing special about (person)@|@vô danh ti‹u tÓt@
@nothingness@|@cái ch‰t, trång thái vô h»u, xÌu@
@notice@|@thông tÜ, y‰t thÎ@
@notify@|@thông báo, thông báo (v)@
@notorious@|@n°i ti‰ng xÃu@
@notwithstanding@|@dù là, m¥c dÀu, tuy nhiên@
@novation@|@hoán n®, n® m§i thay n® cÛ@
@novel@|@ti‹u thuy‰t@
@nude@|@ª truÒng, cªi truÒng@
@nudge@|@Ç¶ng ÇÆy@
@null@|@không@
@number@|@sÓ@
@nut (hardware)@|@Óc@
@nutritious@|@b°@
@oasis@|@Óc Çäo@
@obedient@|@ngoan ngoãn@
@obituary@|@cáo phó@
@obiturary@|@cáp phó@
@object@|@vÆt@
@oblation@|@cúng dÜ©ng ThÜ®ng ñ‰@
@obligation@|@b°n phÆn, nghïa vø@
@obliterate@|@phá bÕ, tàn phá, xóa bÕ@
@oblivion@|@lãng quên@
@obloquy@|@tai ti‰ng@
@obscurity@|@không n°i ti‰ng, m© ám, mÆp m©@
@observe@|@quan sát@
@obvious@|@chình ình, hi‹n nhiên, l¶ liÍu@
@obviously@|@hi‹n nhiên@
@occupy@|@ª, sÓng@
@ocean@|@b‹@
@odd (vs even)@|@lÈ@
@of@|@cûa@
@of bold nature@|@båo tính@
@of course@|@có chÙ@
@office equipment@|@døng cø væn phòng@
@official@|@chánh thÙc, chính thÙc@
@official matter or business@|@công vø@
@official vehicle@|@công xa@
@officially@|@chánh thÙc, chính thÙc@
@offsite@|@bên ngoài@
@often@|@nhiŠu khi@
@often hang from wall and ceiling)@|@thåch sùng@
@oil@|@dÀu, dÀu@
@old@|@cÛ, già@
@old person@|@cø@
@older brother taking over household for parents@|@quyŠn huynh th‰ phø@
@oldest child (Northern)@|@cä@
@on behalf of@|@thay m¥t@
@on the defense@|@thû c£ng@
@once@|@m¶t lÀn@
@one of a kind@|@Ç¶c nhÃt vô nhÎ@
@one's last words before death@|@træn trÓi@
@onion@|@hành@
@onion (green)@|@hành ta@
@onion (white or yellow)@|@hành cû, hành tây@
@onion and cilantro@|@hành ngò@
@only study what guessed to be in the test@|@h†c tû@
@onsite@|@tåi ch‡@
@open (v)@|@mª@
@open a road after removing obstacles@|@khai thông@
@open eyes wide@|@tr®n m¡t@
@open eyes wide as if dead@|@tr®n trØng@
@open fire@|@khai hÕa@
@open mind@|@cªi mª@
@opened palm length-between thumb and middle finger@|@tÃc@
@opening (of an essay)@|@ÇÀu bài@
@opening a meeting@|@khai måc@
@operate@|@vÆn hành@
@oppress@|@áp bÙc@
@optimistic@|@låc quan@
@option@|@ch†n l¿a@
@orange@|@cam@
@orangutan@|@dã nhân@
@orbit@|@quÏ Çåo@
@order@|@thÙ t¿, trÆt t¿@
@orderly@|@trÆt t¿@
@ordinary@|@tÀm thÜ©ng@
@organization@|@h¶i Çoàn@
@organize a meeting@|@nhóm h†p@
@origin@|@c¶i nguÒn, nguyên thûy@
@origin (person)@|@xuÃt thân@
@original@|@nguyên thûy@
@original work (literature)@|@nguyên tác@
@orthopedics@|@chÌnh hình@
@out of place@|@låc lõng@
@out of tune@|@låc ÇiŒu@
@outbound@|@hÜ§ng ngoåi@
@outfit@|@y phøc@
@outline@|@dàn bài@
@outlook@|@viÍn änh@
@outside the family@|@ngoåi t¶c@
@outskirt@|@ngoåi ô@
@outward@|@xuÃt@
@over here@|@Ç¢ng này@
@over there@|@Ç¢ng kia@
@overeating causes pain (greed does not pay)@|@tham th¿c c¿c thân@
@overly optimistic@|@chû quan@
@owl@|@cú@
@owner@|@chû, chû nhân@
@owner or head of gambling parlor@|@chû xòng@
@packing house@|@nÖi gói hàng bán sÌ@
@packsaddle@|@yên ng¿a thÒ@
@paddle a boat@|@chèo thuyŠn@
@painting@|@tranh, tranh vë@
@pair@|@c¥p, Çôi@
@palace@|@cung ÇiŒn@
@palace-confined@|@cÃm cung@
@pale@|@tái, tái (mÀu)@
@pale (color)@|@nhåt@
@palm reader@|@thÀy bói@
@palm reading@|@bói@
@panic@|@cuÓng cuÒng, hoäng@
@panther@|@báo@
@pants@|@quÀn@
@paper@|@giÃy@
@paperwork@|@giÃy t©@
@para@|@bán (không hoàn toàn)@
@parachute@|@dù@
@parachute (v)@|@nhäy dù@
@paradise on earth@|@ÇÎa Çàng, thiên Çàng hå gi§i@
@parallel@|@song song@
@paramedic@|@cÙu cÃp@
@paramilitary@|@bán quân s¿@
@parternal love@|@tình phø tº@
@partiality@|@thiên vÎ@
@participate@|@d¿, tham d¿, tham gia@
@partying@|@vui chÖi@
@pass an exam@|@Ç‡@
@pass the test@|@ÇÆu@
@passive@|@thø Ç¶ng@
@pastime@|@tiêu khi‹n@
@patch (v)@|@chám@
@paternal@|@n¶i@
@paternal grand parents@|@ông bà n¶i@
@paternal grandma@|@bà n¶i@
@pawn@|@cÀm ÇÒ@
@pawn shop@|@tiŒm cÀm ÇÒ@
@pay@|@Çóng tiŠn@
@pay (v)@|@trä@
@pay attention@|@Ç‹ š@
@peace@|@hòa bình, thái bình@
@peace treaty@|@hòa Ü§c@
@pear@|@lê@
@peasant@|@tá ÇiŠn@
@pendelum@|@quä l¡c@
@penis@|@cu, dái, dÜÖng vÆt@
@people@|@công chúng, ngÜ©i, nhân gian@
@pepper@|@tiêu@
@perfectible@|@có th‹ trª nên toàn mÏ, khä toàn mÏ@
@perfecto@|@xì gà c« trung hai ÇÀu dËp@
@perfidy@|@bÃt tín@
@perforate@|@ch†c lûng l‡@
@perfumery@|@hãng làm nÜ§c hoa, thuÆt làm nÜ§c hoa@
@perfunctory@|@làm lÃy lŒ@
@peril@|@hi‹m nguy@
@perimeter@|@chu vi, vòng bên ngoài@
@period of time@|@giai Çoån@
@periodontics@|@nha khoa chuyên vŠ l®i và nÜ§u@
@perjure@|@khai láo@
@perjury@|@man khai@
@permeate@|@thÃm@
@persecute@|@Çàn áp@
@persevere@|@bŠn chí, kiên trì@
@persistent@|@khæng khæng@
@person@|@ngÜ©i@
@person with high local knowledge@|@th° công@
@persona@|@vai trò thû@
@personable@|@ÇËp gái, Çi‹n trai@
@personal@|@cá nhân@
@personal business@|@tÜ vø@
@personality@|@tính@
@personate@|@thû vai trò@
@personnel@|@nhân viên@
@perspire@|@toát mÒ hôi@
@persuade@|@khuy‰n phøc@
@pertain@|@liên quan Ç‰n, thu¶c vŠ@
@pessimistic@|@bi quan, y‰m th‰@
@petition@|@ÇÖn, ÇÖn xin, thÌnh nguyŒn thÜ@
@petitioner@|@ngÜ©i thÌnh nguyŒn@
@pets@|@gia súc@
@petty@|@tÀm phào@
@pharmaceutical company or institute@|@viŒn bào ch‰@
@phoenix@|@phøng, phÜ®ng@
@physical desire@|@nhøc døc@
@physical disability@|@tàn tÆt@
