@Old Norse@|@English@
@stóðhross@|@mare, stud_horse@
@stǫðva@|@stop (v)@
@stofa@|@sitting_room@
@stokkr@|@log, plank@
@støkkva@|@spring (v), drive, snap (v)@
@stǫng@|@staff, pole@
@stórmenska@|@generosity@
@stórr@|@great, huge@
@stórráðr@|@daring, ambitious, haughty@
@stórum@|@hugely@
@strá@|@strew (v)@
@stráa@|@strew (v)@
@straumr@|@stream, current@
@strengja@|@fasten (v)@
@strengr@|@scroll, rope@
@stríðr@|@severe@
@strjúka@|@rub (v), stroke (v)@
@strǫnd@|@strand, beach@
@stundar@|@quite@
@stundi@|@groan (v)@
@styðja@|@rest (v)@
@styggr@|@shy@
@stynja@|@moan (v)@
@stynr@|@moaning, groan@
@styra@|@direct (v), rule (v), swing (v)@
@styri@|@helm@
@styrkr@|@assistance, strength@
@styrktarmaðr@|@benefactor, supporter@
@suðr@|@southward@
@suðrmaðr@|@southerner@
@sumar@|@summer@
@sund@|@sound, strait@
@sundr@|@asunder@
@sút@|@winter, sorrow@
@svala@|@swallow@
@svanr@|@sea_bird@
@svar@|@answer@
@svara@|@answer (v)@
@svarðlauss@|@grassless@
@svartr@|@black@
@sváss@|@beloved, sweet@
@svefn@|@sleep@
@svefnhús@|@sleeping_room@
@sveigja@|@bend (v)@
@sveimun@|@flitting@
@sveinbarn@|@boy@
@sveinn@|@lad, boy, servant@
@sveinstauli@|@urchin, boy@
@sveipa@|@sweep (v), swing (v), wrap (v), encircle (v)@
@sveit@|@community, district@
@sveiti@|@sweat@
@sveitungr@|@follower@
@svelga@|@swallow (v)@
@svell@|@ice@
@svella@|@swell (v)@
@sverð@|@sword@
@svíða@|@singe (v), burn (v)@
@svigi@|@switch@
@svik@|@treason@
@svíkja@|@betray (v)@
@svima@|@swim (v)@
@svinnr@|@wise, swift@
@svipan@|@swing, blow@
@svipting@|@struggle@
@svívirðing@|@disgrace@
@syn@|@sight@
@syna@|@exist (v), show (v)@
@synja@|@refuse (v), deny (v)@
@syrgja@|@sorrow (v), weep (v)@
@sysla@|@business@
@systir@|@sister@
@systrungr@|@cousin@
@taka@|@elect (v), undertake (v), touch (v), capture (v)@
@tákna@|@signify (v), mean (v)@
@tal@|@talk, reckoning@
@tala@|@converse (v), account, speech, talk (v), talk@
@tálma@|@hinder (v)@
@tár@|@tear@
@taufr@|@talismans, charms@
@taumr@|@bridle, rein@
@teitr@|@merry@
@telja@|@say (v), enumerate (v), count (v), consider (v)@
@tengsl@|@ropes@
@teygja@|@entice (v)@
@þaðan@|@thence@
@þagall@|@silent@
@þak@|@thatch, roof@
@þakka@|@thank (v)@
@þan@|@than@
@þangat@|@thither@
@þannig@|@thither@
@þar@|@since, although, there@
@þarfr@|@useful, necessary@
@þegja@|@Be silent (v)@
@þegn@|@servant@
@þeir@|@they@
@þekja@|@thatch, roof@
@þekkja@|@recognize (v), notice (v)@
@þengill@|@king, lord@
@þessi@|@this@
@þiggja@|@receive (v)@
@þilja@|@planking, deck@
@þing@|@assembly@
@þinghá@|@assembly_district@
@þingvǫllr@|@assembly_field@
@þjá@|@enslave (v)@
@þjó@|@thigh@
@þjóð@|@people, nation, race@
@þjóðann@|@ruler, prince@
@þjóna@|@serve (v)@
@þjónustumaðr@|@servant@
@þjóta@|@rush (v)@
@þó@|@nevertheless@
@þófi@|@felt@
@þǫgn@|@silence@
@þoka@|@fog, mist@
@þǫkk@|@thanks@
@þola@|@suffer (v), endure (v), tolerate (v)@
@þora@|@dare (v)@
@þrá@|@obstinacy, persistence@
@þræll@|@thrall, slave@
@þræta@|@deny (v), argue (v)@
@þrausk@|@rummaging@
@þreifa@|@grope (v)@
@þrek@|@strength, fortitude@
@þreklauss@|@pithless@
@þreyja@|@desire (v)@
@þreyta@|@contend (v)@
@þriði@|@third@
@þriðjungr@|@riding@
@þrífa@|@grasp (v)@
@þrír@|@three@
@þrjóta@|@fail (v)@
@þróask@|@grow (v), increase (v)@
@þrǫmr@|@edge@
@þrøngva@|@push (v), press (v)@
@þróttigr@|@mighty, strong@
@þróttlauss@|@pithless@
@þrúðugr@|@doughty, strong@
@þrumði@|@lie (v), welter (v), thunder (v)@
@þrymja@|@welter (v), lie (v), resound (v), thunder (v)@
@þungr@|@difficult, heavy@
@þurðr@|@diminution@
@þurfa@|@need (v), require (v)@
@þurr@|@dry@
@þurs@|@giant, ogre@
@þúsund@|@thousand@
@þvá@|@wash (v)@
@þvengr@|@thong, lace@
@þverr@|@athwart@
@þverra@|@diminish (v)@
@þvertré@|@cross_beam@
@þykkja@|@seem (v)@
@þykkr@|@thick@
@þylja@|@recite (v)@
@þyrstr@|@thirsty@
@þytr@|@howling@
@tíð@|@time@
@tíða@|@desire (v)@
@tíðendi@|@tidings, news@
@tíðr@|@happening, usual@
@til@|@to@
@tilgørð@|@provocation, merit@
@tilkall@|@claim@
@tilkváma@|@importance, consequence@
@tillit@|@glance, look@
@tilskipan@|@arrangement@
@tími@|@occasion, time@
@títt@|@quickly@
@tívar@|@gods@
@tjá@|@help (v), avail (v)@
@tjald@|@tent, canopy, pavilion@
@tjalda@|@pitch (v)@
@tólf@|@twelve@
@tólfti@|@twelfth@
@tolla@|@adhere (v)@
@tǫnn@|@tooth@
@torf@|@turf@
@torsóttr@|@difficult@
@trauðla@|@hardly@
@trauðr@|@reluctant, unwilling@
@traust@|@protection, support, confidence@
@trautt@|@scarcely@
@tré@|@tree, log, beam@
@tregr@|@reluctant@
@trémaðr@|@scarecrow@
@trjóna@|@pole@
@troða@|@tread (v), walk (v)@
@tróða@|@pole@
@trog@|@trough@
@trǫll@|@troll@
@tros@|@droppings@
@trú@|@religion, faith@
@trúa@|@believe (v), troth@
@trúliga@|@truly, thoroughly@
@trúr@|@safe, trusty@
@tryggr@|@true, trusty, safe@
@tún@|@enclosure, dwelling@
@tungl@|@moon@
@tunglskin@|@moonlight@
@tuttugu@|@twenty@
@tveir@|@two@
@tvennr@|@twofold@
@tyna@|@perish (v), forget (v), lose (v)@
@ugga@|@fear (v)@
@ulfr@|@wolf@
@umbúð@|@preparation@
@umbúningr@|@outfit@
@umgjǫrð@|@scabbard@
@umráð@|@patronage, help@
@umrœða@|@discussion, talk@
@umsjá@|@care@
@umskipti@|@change@
@umsysla@|@assistance@
@una@|@enjoy (v)@
@und@|@wound@
@undarliga@|@strangely, wondrously@
@undarligr@|@strange, wondrous@
@undirfǫrull@|@underhand, false@
@undirmaðr@|@underling@
@undr@|@marvel@
@undrask@|@Be astonished at (v)@
@ungmenni@|@youth@
@ungr@|@young@
@unna@|@allow (v), grant (v)@
@unnr@|@wave@
@uppdyri@|@lintel@
@upphaf@|@beginning@
@upphiminn@|@heaven@
@uppreist@|@success@
@uppréttr@|@erect@
@uppruni@|@origin@
@uppstertr@|@elated@
@úr@|@drizzle@
@útan@|@externally, beyond@
@útanlands@|@abroad@
@úti@|@unsheltered@
@útibúr@|@shed, outhouse@
@útlægr@|@exiled, outlawed@
@útlagi@|@outlaw@
@útlendr@|@foreign@
@uxi@|@ox@
@váðir@|@clothes@
@vængr@|@wing@
@vænn@|@handsome, likely, beautiful@
@vænta@|@expect (v)@
@væta@|@wet (v)@
@vætr@|@nothing@
@vætta@|@hope (v)@
@vættfang@|@battlefield@
@vagga@|@cradle@
@vagnkarl@|@carter@
@vágr@|@bay, wave@
@vaka@|@vigil, Be awake (v), watch (v)@
@vakti@|@waken (v), rouse (v)@
@válað@|@destitution, poverty@
@vald@|@power, control@
@valda@|@wield (v), cause (v)@
@valdyr@|@wolf@
@valslǫngva@|@war_sling@
@ván@|@expectation, hope, probability@
@vandi@|@obligation, accustom (v), habit, train (v)@
@vandliga@|@completely, carefully@
@vándr@|@wicked, obliging, evil, difficult, bad@
@vandræði@|@trouble, difficulty@
@vani@|@custom, usage@
@vanmátta@|@sore@
@vanr@|@lacking, accustomed@
@vansi@|@harm, shame@
@vanta@|@Be lacking  (v)@
@vápn@|@weapon@
@vápna@|@arm (v)@
@vápnlauss@|@weaponless@
@vár@|@spring@
@vara@|@warn (v)@
@vára@|@Become spring (v)@
@varða@|@Guard against (v), cairn, watch (v)@
@varði@|@defend (v), protect (v), invest (v), cairn@
@varðmaðr@|@watcher@
@varðveita@|@preserve (v)@
@varðveizla@|@keeping@
@várkunn@|@excuse@
@varmr@|@warm@
@varnaðr@|@goods, warning@
@varnan@|@warning@
@varningr@|@wares, cargo@
@varr@|@aware@
@várr@|@our@
@vart@|@scantily, scarcely@
@vaskr@|@brave, gallant@
@vatn@|@water_way, water, lake@
@vátr@|@wet@
@váttr@|@witness@
@vaxa@|@grow (v), increase (v)@
@vé@|@banner@
@veðr@|@weather, storm, wind@
@vefja@|@entangle (v), wrap (v)@
@vefr@|@weaving@
@vega@|@kill (v), weigh (v), lift (v), smite (v)@
@veggr@|@wall@
@vegr@|@way, dimension, journey, road, honor, direction@
@veiðimaðr@|@huntsman@
@veiðr@|@hunting@
@veifa@|@wave (v), swing (v)@
@veina@|@wail (v)@
@veita@|@yield (v), pay (v), give (v), grant (v), help (v)@
@veizla@|@banquet, feast@
@vekja@|@waken (v), rouse (v)@
@vel@|@gladly, easily, well, readily@
@vél@|@artifice@
@vella@|@boil (v)@
@venja@|@train (v), accustom (v)@
@venna@|@probable@
@ver@|@sea@
@vér@|@we@
@verð@|@price, worth@
@verða@|@change (v), happen (v), become (v), Take place (v)@
@verðr@|@fitting, worth@
@verja@|@invest (v), protect (v), defend (v)@
@verk@|@deed@
@verkmaðr@|@laborer@
@verma@|@heat (v)@
@verǫld@|@world@
@verpa@|@throw (v)@
@verr@|@man, worse, husband@
@verri@|@worse@
@verst@|@worst@
@verstr@|@worst@
@vesall@|@miserable, wretched@
@vesalligr@|@mean_looking@
@vestr@|@westward@
@vetr@|@winter@
@véurr@|@protector@
@við@|@towards, to, beside@
@viða@|@widely@
@viðara@|@farther@
@viðfǫng@|@supplies@
@víðir@|@sea@
@viðr@|@beam, wide, tree, wood, forest@
@viðreign@|@encounter, dealings@
@viðrtaka@|@defence, reception@
@viðskipti@|@dealings@
@viðtaka@|@reception@
@víf@|@wife, woman@
@víg@|@fight, battle@
@vígaferli@|@manslaughters@
@vígamaðr@|@fighter@
@vígja@|@hallow (v)@
@vika@|@week@
@víkja@|@turn (v)@
@vilðarmaðr@|@favorite@
@vili@|@will, desire, disposition@
@vilja@|@intend (v), wish (v), Be willing (v)@
@villhyggjandi@|@bewildered@
@villieldr@|@flame, wild_fire@
@villr@|@erring@
@villtr@|@astray, foolish@
@vín@|@wine@
@vinátta@|@friendship@
@vínber@|@grape@
@vinda@|@twist (v), wind (v), turn (v)@
@vindr@|@wind@
@vinna@|@accomplish (v), win (v), conquer (v), work (v)@
@vinr@|@friend, leader, patron@
@vinsæld@|@popularity@
@vinsæll@|@popular@
@vinstri@|@left@
@vínviðr@|@grape_vine@
@virða@|@esteem (v), estimate (v)@
@virðar@|@men@
@virðing@|@honor, reputation, respect@
@virðuligr@|@honorable, magnificent@
@virki@|@stronghold@
@vísa@|@stanza, direct (v), show (v), guide (v), verse@
@vísi@|@prince, leader@
@vísindakona@|@prophetess@
@víss@|@certain, wise@
@vist@|@employment, service@
@vit@|@wits, wit@
@vita@|@understand (v), Know of (v), see (v)@
@vitaðr@|@ascertained@
@vítishorn@|@sconce_horn@
@vitja@|@visit (v)@
@vitni@|@witness@
@vitr@|@wise@
@vizkumunr@|@understanding@
@vǫllr@|@plain, ground, field@
@vǫlva@|@prophetess@
@vǫrð@|@wife@
@vǫrðr@|@guard, watch@
@vǫrn@|@defence@
@vǫxtr@|@stature, form, growth@
@ybogi@|@yew_bow@
@yfir@|@at, above, across@
@yfirbœtr@|@compensation@
@yfirbragð@|@demeanor, appearance@
@yfirmaðr@|@chieftain, leader@
@ykkarr@|@your@
@yla@|@howl (v)@
@ymiss@|@various@
@ymist@|@variously@
@ymja@|@groan (v)@
@ymr@|@groaning@
@yrkja@|@work (v)@
@yxen@|@oxen@

