@English@|@Chuvash@
@town of Alikovo@|@Elëk@
@town of Yadrin@|@Jetërne@
@trace@|@jär@
@tractor@|@traktor@
@train@|@pojezd, pujäs@
@tramp@|@tab-@
@transgressions@|@paräm@
@travel@|@kaj, kaj, pyr@
@traveller@|@shulshüren@
@tree@|@ïyväç, jyv's, jyväsh@
@tree-trunk@|@vol'@
@tribe@|@j'wx@
@trolley bus@|@avtobus@
@troops@|@shar@
@trouble@|@šot@
@trousers@|@jäum@
@trumpet@|@p'r'x@
@trust@|@šan-, žen-@
@trust financial@|@trest@
@truth@|@chän, tërëslëx@
@try@|@sänav@
@tsar@|@padishah, pasha@
@Tuesday@|@ytlarikun@
@tulip@|@tiul'pan@
@turkey@|@k'urka@
@turn@|@kukär@
@twain@|@mäshär@
@twentieth@|@shirëmmësh@
@twenty@|@shirëm@
@twig@|@turat@
@two@|@ik, ikë, ikkä, ikkë, ikke'@
@two at a time@|@iksherën@
@udder@|@silä@
@Ukraine@|@Ukraina@
@underclothes@|@trusy@
@understanding@|@än, as@
@unemplojment@|@ëshsërlëh@
@unexpectedly@|@änsärtran@
@ungenerous@|@hytä@
@unit@|@paj@
@unite@|@xoš-@
@unpleasant smell@|@käusek@
@unsubstantial@|@sühe@
@until@|@uncchen@
@until tomorrow@|@yrancchen@
@up to now@|@halicchen@
@upper@|@pošä@
@upper dialect of Chuvash@|@vir'jal@
@upper part@|@si, sije@
@upper rib@|@aj'k@
@upwards@|@shülelle@
@urinate@|@shär@
@urine@|@šak, shäk@
@use up@|@pëter@
@useful@|@usällä@
@valley@|@lapam, var@
@variegated@|@ola@
@various@|@täurläu, tërlëren@
@vat@|@chan, pichëke@
@vein@|@tymar@
@very@|@chi, pitë, shalt@
@very good@|@chi lajäh@
@very green@|@jem-jeshël@
@very young@|@shap-shamräk@
@village@|@ial, jal@
@vinegar@|@uksus@
@visible@|@shutä@
@vocal cords@|@sasä chëlëhë@
@vodka@|@ereh@
@voice@|@sasä@
@Volga river@|@Atäl@
@voluntarily@|@irëkkën@
@wagon@|@pavuska@
@wagtail@|@p'urž'gan@
@waist@|@piläk, pilëk@
@walking stick@|@altuj@
@wall@|@stena@
@war@|@värçä, värshä@
@wares@|@tavar@
@warm@|@äshä@
@warrior@|@olbut@
@wart@|@šäygäyl, šayklay@
@water@|@shyv, syv@
@water sprite@|@vutäsh@
@wave@|@hum, xom@
@way@|@sol@
@we@|@e-bär, epir@
@we ourselves@|@hamär@
@wealth@|@pujanläh@
@wealthy@|@pujan@
@weather@|@çantaläk, san-/sav'n-tal'k@
@weave@|@päudäur-@
@Wednesday@|@junkun@
@weed@|@shum, shum, shum-kuräk, som@
@weedy@|@shumlä@
@week@|@erne@
@weft@|@ura@
@well@|@tutä@
@wet@|@jëpe@
@what@|@mäun, mën@
@what is to be done@|@tumalli@
@what sort of@|@jeple@
@what sort of a@|@jeplesker@
@what sort of person?@|@mësker@
@what?@|@mën@
@whatever@|@kirek mën@
@wheat@|@tulä@
@wheel hoop@|@tog'n@
@when@|@häçan, häshan@
@whence@|@äshtan@
@where@|@äçta, äshta@
@wherever@|@kirek äshta@
@whether@|@-shi@
@whetstone@|@jägev, päwlev@
@whey@|@säuve@
@whinny@|@këshen@
@whirlwind@|@koz'rga@
@white@|@churä, shur, shurä, šor'@
@white copper@|@šawvaws, šos, šus@
@who@|@kam@
@Who is this One?@|@Kam-shi ku@
@whoever@|@kirek kam@
@wide@|@sarlaka@
@widow@|@tätäh@
@width@|@sarlakash, urläsh@
@wife@|@aräm@
@wild animal@|@kaj'k@
@wild bird@|@kajäk@
@wild dog@|@kërt jytti@
@will@|@irëk@
@willow@|@häva, jämra, x'uva@
@wind@|@çil, pär, shil, sil@
@wind round@|@p'ur-@
@window@|@chüreche, kantäk, täwnäw@
@window blind@|@surban@
@windpipe@|@tip pyr@
@windstorm@|@täväl@
@wine@|@erex@
@wing@|@çunat, sonat@
@winter@|@hël, hëlle, xäl, xël@
@with@|@-na, -ne, -pa@
@with one form@|@për tëslë@
@with pleasure@|@havassän@
@witness@|@tyn@
@wolf@|@kashkär, kašk'r, pirä@
@woman@|@hër, xëraräm@
@woman's plait@|@sivät, sütä@
@wonderful@|@tonsax@
@wood@|@värman@
@wooden board@|@käle@
@woodgoblin@|@arshuri@
@wool@|@çäm, s'um@
@word@|@sämax@
@wordless@|@chän-sär@
@work brigade@|@brigada@
@worked leather@|@s'ran@
@worker@|@ëshleken, rabochi@
@working man@|@ësh shynni@
@world@|@tënche@
@worm@|@'wman, amän, xurt@
@wormwood@|@ar'm@
@worry@|@šohaš@
@wrestle@|@käreš-@
@wriggler@|@järgän@
@written language@|@shyruläh@
@year@|@çul, shul, shultaläk, sol@
@yellow@|@sarä@
@yellow of a horse@|@süren@
@yellow pepper@|@sarä päräsh@
@yesterday@|@änäräk, äner, ëher, ëner@
@yield@|@kür@
@you@|@esë@
@you (plural)@|@esir@
@you (sing)@|@esë@
@you don't say!@|@i-mën, im@
@you yourself@|@hävah, hu@
@you yourselves@|@hävär@
@young@|@çamräk, shamräk@
@young lamb@|@pod'ak, putä@
@young of a wild animal@|@anž'k@
@young of birds and animals@|@s'uv'ur, sur'@
@young of camel@|@kölyök@
@younger brother@|@šall-am@
@your@|@sanän@
@your (genitive of esir 'you')@|@sirën@
@zadacha@|@task@

