@English@|@Khmer@
@to bring down@|@dra:p@
@to bring up@|@raär@
@to bristle@|@cra:ñ@
@to brush@|@cra:s@
@to bubble up@|@bhal@
@to burn@|@taw@
@to burn to ashes@|@sus@
@to burst@|@dä:h@
@to bury@|@kap, kap'@
@to buy@|@diñ@
@to calculate@|@gwar@
@to capture with a snare@|@da:k'@
@to care for@|@da:m, da:m'@
@to carry@|@drang@
@to carry with a yoke@|@rek@
@to catch fire@|@chä:h@
@to catch fish@|@rut@
@to change@|@phla:s, phla:s', plas@
@to choke@|@'al, 'uäl@
@to chop@|@ka:p, ka:p', kap@
@to chuckle@|@k'yk@
@to claim@|@da:r@
@to clean@|@jämrah@
@to clean with liquid@|@lup@
@to clear land@|@chka:, chka:, chka:r@
@to close@|@dòp@
@to clothe@|@pämba:k'@
@to coat with pitch@|@bar@
@to comb@|@sä-säh@
@to comb hair@|@sit@
@to come@|@mak, mok, wyk@
@to come into being@|@ka@
@to come to the end of@|@phut@
@to compare@|@phdym@
@to complain about@|@thä'uñ@
@to continue steadily@|@rot@
@to contract slightly@|@naäc@
@to cook@|@sngaor@
@to cook in steam@|@säm'uh@
@to cough@|@kä'ò:k@
@to count@|@ka:ñ'@
@to cover@|@'op, sliäk@
@to cover over@|@lup@
@to crave for@|@'ädeng, 'deng, deng@
@to crawl@|@lwan@
@to creep in all directions@|@räwa:m@
@to croak@|@päng'ur@
@to cross@|@lang@
@to cry out@|@sre:k@
@to curse@|@phta:s@
@to cut@|@ciär@
@to cut close@|@ke:l@
@to cut trail@|@tra:j@
@to cut up@|@crälä:h@
@to dance@|@ra:m@
@to dangle@|@säntu:n@
@to decay@|@bruk@
@to defecate@|@juh@
@to desire@|@'a:c, daäng@
@to deviate@|@che:w@
@to dig@|@ji:k, jjak@
@to dim@|@'a:p'@
@to diminish@|@riäw@
@to dip up@|@t'ang@
@to distort the truth@|@bha, bhar@
@to divide@|@ne:k@
@to do@|@dhwaä@
@to do often@|@re:ng@
@to do up hair in a knot@|@puäng@
@to drain@|@hu:r, raoh, sämrä:ng, srak'@
@to draw back suddenly@|@noc@
@to draw out@|@hu:t, jy:t, ta:ng@
@to draw together@|@ruäñ@
@to draw water@|@tu:ng@
@to dress@|@te:ng@
@to drill@|@pängwyk@
@to drink@|@phik@
@to drip@|@ha:m, käkla:k', tok, tok@
@to drive out@|@päñcä:r@
@to drop@|@jruh@
@to dry up@|@rä:ng@
@to dry with a towel@|@ju:t@
@to eat@|@chi:, cja, n'a:m, n'a:m, s'i:@
@to eject@|@cruäc@
@to embrace@|@'aup@
@to emit a flash@|@phlä:k@
@to encircle@|@jum@
@to encounter@|@cuän, juän@
@to end@|@pämphut@
@to endure@|@dhan, dhan'@
@to enjoy@|@saoj, swej@
@to enlarge@|@ka:l', kal'@
@to enter@|@cu:l@
@to entrust to@|@phje@
@to erect@|@sra:ng@
@to eschew@|@vä:h, weh@
@to exceed@|@sal@
@to excite@|@sämraäp@
@to exercise@|@ha:t'@
@to exist@|@ros@
@to explode@|@phduh@
@to extend@|@pänla:j@
@to extinguish@|@roc@
@to fall@|@huk, huk, la:k', lyk, ric@
@to fall avidly on food@|@huär@
@to fall down@|@tol, twal@
@to fall from a height@|@rälam@
@to fall into@|@längjang, längleng@
@to fall into a hole@|@phung@
@to fasten securely@|@ga:t@
@to fatten up@|@pämp'an@
@to fear@|@kaot, takut, thkot@
@to feed@|@ciñcym@
@to feel@|@bal@
@to feel dread@|@spaäm@
@to feel one's way@|@ra:w@
@to fight@|@jal@
@to file past@|@he:@
@to filter@|@craoh, trang@
@to flatten@|@sämp'a:t@
@to float@|@p'aäng, pänte:t, phe:l, sa:t'@
@to flow@|@r'il@
@to fly@|@haär, pänghaoh@
@to foam@|@bäbuh@
@to fold up@|@kaäñ@
@to fold wings@|@sämlap@
@to follow@|@ta:p, toj@
@to follow the contour@|@caom@
@to forget@|@bhlä:c, wlac@
@to frighten@|@pängda:l@
@to gallop@|@bängryt@
@to get bold@|@chak, käñchok@
@to get taller@|@luät@
@to gird@|@wa:n'@
@to give@|@'aoj, prägal'@
@to give a leap@|@'aät@
@to give back@|@sang@
@to give birth@|@pängket@
@to give support@|@ba:m, wa:m@
@to glance at smth occasionally@|@rämil@
@to go along with@|@bram@
@to go backwards@|@hòk@
@to go beyond@|@cer, cjar@
@to go down@|@cuh@
@to go in@|@sämlo:p@
@to go on foot@|@taär@
@to go past@|@huäs@
@to go round@|@wa:t, wat@
@to go to@|@taw@
@to go too far@|@jrul@
@to go without@|@tam@
@to grind@|@pas@
@to group together@|@pu:r@
@to grow@|@tuh@
@to grow light@|@bra:ng@
@to hang@|@sämjung@
@to hang down@|@ja:r, jaol, jul, jur, räja:k, ska:k, sräjam@
@to hang loosely@|@pej@
@to hang on@|@bräjung@
@to harden@|@praäng, pring, ryng@
@to haul@|@'u:s, säntaong@
@to have a bad taste@|@ch'aäm@
@to have a long conical end@|@lu:n'@
@to have a muscular spasm@|@na:k'@
@to have gone all the way@|@rähu:t@
@to heal@|@sah@
@to heap@|@bu:n@
@to heat up@|@'a:l@
@to hiccup@|@t'aäk@
@to hiss@|@huäc@
@to hit@|@da:n@
@to hit with fist@|@tap'@
@to hold@|@drong@
@to hold in@|@ngam@
@to hold up@|@rang@
@to hook sth.@|@ka:w@
@to horrify@|@räm'a@
@to hurl over@|@we:ng@
@to imitate@|@tra:p'@
@to impale@|@jang'@
@to increase@|@cem@
@to indicate@|@taw@
@to induce vomiting@|@sla:ng, sleng@
@to inform@|@cäcä:h, phtiäng, pra:p', ptyng@
@to inscribe@|@sarsä:r@
@to instruct@|@prädaw@
@to introduce@|@päñcu:l@
@to invoke@|@päpuäl@
@to join@|@so:m@
@to join force@|@muät, mut, mwat@
@to jump up@|@sduh@
@to jut@|@duj@
@to kill@|@phsjat, sämla:p'@
@to knock@|@'adah, 'dah, dal', dhgak'@
@to knock into@|@cämbap'@
@to knock over@|@kämbap'@
@to knot@|@chwa:k'@
@to know@|@cä:h@
@to lack@|@'it@
@to last as long as@|@da:n, da:n', dan@
@to laugh@|@saäc@
@to lead by the halter@|@tyk@
@to lean on@|@ja:r@
@to lean one's back@|@ph'e:k@
@to leave@|@caol@
@to let dangle@|@bjuär@
@to let go@|@le:ng@
@to let rice stand for a time@|@ngam@
@to levitate@|@haoh@
@to lie in a hole@|@tak'@
@to lie on the surface@|@saä@
@to lie prone@|@baop@
@to lift@|@saäj@
@to light@|@'uj@
@to limp@|@khnaäc@
@to load@|@phduk@
@to look at@|@maäk@
@to lose@|@pa:t, pat@
@to lose one's way@|@wängwä:ng@
@to love@|@snguän, sngwan@
@to lower oneself@|@lut@
@to madden@|@bängwak'@
@to make a hole@|@lung@
@to make a long search@|@swe:ng@
@to make a statement@|@chlej@
@to make oneself heard@|@pänly:@
@to make ready@|@präta:p', triäm@
@to mass@|@raom@
@to meet by chance@|@prädah@
@to mix@|@la:j, n'a:m, ra:j@
@to mix colors in painting@|@räpa:j@
@to move@|@rä:, raä, raäm@
@to move around@|@wi, wi:@
@to move closer@|@päng'e:p@
@to move over@|@rämliäk@
@to move with extreme slowness@|@maäl@
@to name@|@haw@
@to nod@|@ngak', ngaok@
@to notch@|@kan'@
@to observe@|@rämga:l@
@to occur@|@rätup@
@to of easy virtue@|@caäk@
@to ooze@|@bre:l@
@to open@|@pek, ra:@
@to open mouth wide@|@ha:@
@to open out@|@ri:k@
@to open part-way@|@haäp@
@to open up@|@paäk@
@to oppose@|@das'@
@to oppose one another@|@präda:ng'@
@to order@|@rap', riäp@
@to overflow@|@ha:c, her, hiär, lha:c, räha:c@
@to overlap@|@präjuäs@
@to part@|@ra:@
@to pass the hand over@|@pu:t@
@to pass through@|@lyh@
@to pause@|@sra:k@
@to peck@|@cyk@
@to peel@|@sdaoh, so:k@
@to penetrate@|@ruk@
@to perforate@|@ta:p'@
@to pick@|@pä:h, pä:h, raäs@
@to pierce@|@caoh, dhla:j, rähaok@
@to pile up@|@gar@
@to pinch@|@pic@
@to place over@|@gang@
@to plait@|@jal@
@to plant@|@päntuh@
@to plow@|@bhjuär@
@to pluck strings@|@tä:ng, ting@
@to plunder@|@ryp@
@to pole a boat@|@tol@
@to pounce back@|@pla:t@
@to pounce upon@|@sänggrup@
@to pound@|@puk@
@to pound lightly@|@jram, jrum@
@to pour@|@jaor@
@to pour out@|@sit@
@to preach@|@tra:s'@
@to predict@|@da:j@
@to press@|@], biät, cuc, ryt@
@to probe@|@sdang@
@to proceed slowly@|@gruj@
@to produce@|@pänja@
@to pronounce@|@pu:l@
@to prop oneself@|@cärat, crat'@
@to protect from above@|@prak'@
@to pry up@|@gas, gos@
@to pull@|@da:ñ@
@to pull out@|@khje:ng, tak, tok@
@to pull wood from fire@|@rämnga:c@
@to punt@|@taol@
@to purify@|@sa@
@to push@|@ran'@
@to push on@|@präthuj@
@to push out the lips@|@pu:n@
@to put down@|@ru:t, ru:t, ta:k, tak@
@to put on sth.@|@ba:k', wa:k, wak@
@to put up a front@|@ngängaäl@
@to raise@|@ga:s', haät, kaoh, kaoh, kaol, laäk, sa:ng, sang'@
@to raise in a cloud@|@ph'aong@
@to raise oneself slightly@|@phaät@
@to rake@|@ca:ng, ca:ng'@
@to range@|@ra:t@
@to reach@|@tal@
@to reach hand out to take sth@|@lu:k@
@to refine@|@s'it@
@to reflect@|@päñca:ng@
@to remain behind@|@sal'@
@to repeat@|@da:m, da:m, duän, sa:m@
@to repeat rapidly@|@dändä:ñ@
@to ring@|@ba:t', bat@
@to rise@|@'ol, hur@
@to rise in mass@|@thgaol@
@to rise to the surface@|@he:p@
@to rise up suddenly@|@phul, phur@
@to roast@|@cä'a:l, ch'a:l@
@to roast over fire@|@'ong@
@to roll@|@rämiäl, riäl@
@to roof@|@prok@
@to rotate@|@be:ng@
@to rub@|@ni:@
@to run after@|@dä:ñ, tä:ñ@
@to run amok@|@kämraol@
@to run at full speed@|@draol@
@to salute@|@sämbo:h@
@to say@|@sräti:@
@to say something@|@sti:@
@to scatter@|@raoj, sa:j, sa:j, sa:p@
@to scoop out@|@tong@
@to scrape@|@'a:n, pa:r@
@to scratch@|@la:k'@
@to see@|@ghaän@
@to seek@|@rak@
@to seek shade@|@srop@
@to send@|@praä@
@to separate@|@jah, lah, we:k, wek@
@to set above@|@gong@
@to sew@|@tä:r@
@to shackle@|@dhli:ng@
@to shake@|@rang'@
@to sharpen@|@sämliäng@
@to shave@|@kaor@
@to shield@|@rang@
@to shoot@|@pa:n, pan@
@to shove@|@jhu:s@
@to show@|@pängha:n@
@to shrink@|@roñ@
@to shut@|@dhmä:c@
@to sicken@|@paäm@
@to sieve smth.@|@re:ng@
@to signal@|@paoj, paoj, poj@
@to sing@|@crjang@
@to sink@|@haong@
@to sink in@|@jat@
@to sink slowly@|@srim@
@to sit down@|@'änggwaj@
@to slice@|@cit, cjat@
@to slide@|@ru:t@
@to slide along on one's belly@|@lu:n@
@to slip through a passage@|@phlu:c, plu:c@
@to smell good@|@dämham, dändum, dhum@
@to smell smth.@|@sro:ng@
@to smile@|@nänym@
@to smoke@|@ch'aär, pänghuj@
@to smooth out@|@wa:c@
@to smother@|@thap'@
@to soak up@|@jra:p@
@to solve@|@sra:j@
@to sort@|@res@
@to sow seeds@|@wrah, wroh@
@to space@|@ruh@
@to speak@|@tra:s, tras@
@to spew up from the earth@|@phus@
@to spill@|@ra:c@
@to spin@|@wat@
@to splash@|@bra:c@
@to split@|@cäruh, dla:j@
@to spread@|@bra:t, dä:l, ra:l, rända:l, ruäj@
@to spread out@|@ha:l, kah, ra:l, ral, skah, wi:@
@to spread out sideways@|@ka:ng@
@to spring aside@|@sda:@
@to sprinkle@|@pämbram, praoh bram, roj@
@to sprinkle ritually@|@wram@
@to sprinkle with fingers@|@praoh@
@to squeeze@|@ga:p, ga:p'@
@to stand@|@jhar@
@to stand straight up@|@chkaj@
@to stand up@|@jet, jhar@
@to stare at@|@slyng@
@to start@|@ph'aäl@
@to start involuntary@|@baät@
@to steam@|@cämhuj@
@to step@|@biär@
@to step back@|@taj, thaj@
@to step on@|@ja:n'@
@to step over@|@wa:n@
@to stew@|@sla@
@to stick into@|@päñcol@
@to stick together@|@phsa:r@
@to sting@|@dä:c@
@to stir@|@wyk@
@to stoop@|@'on@
@to stop short@|@dac'@
@to stop up@|@cuk@
@to strain@|@pryng@
@to strengthen@|@ph'ap@
@to stretch@|@da:l@
@to stretch out the limbs@|@cämda:ñ@
@to strike@|@gòk, rah@
@to strip@|@pändaoh@
@to study@|@riän@
@to suck@|@ja:p, jäñjap, jäñjap, paw@
@to suffer@|@rej@
@to support@|@da:j, dej, dòl@
@to support from below@|@dra@
@to surround@|@ghum?@
@to swallow@|@'ak, hu:p, sru:p@
@to sweep outward@|@de:k@
@to swell@|@bang, haäm, hal', p'aong, paong@
@to swell up@|@bang'@
@to swim@|@he:l@
@to take@|@kaoj@
@to take a seat@|@'ängguj@
@to take away@|@sak@
@to take shelter@|@jrak@
@to tatoo@|@sa:k'@
@to tear@|@he:k@
@to tear up@|@paoc@
@to tell@|@baol, sa:@
@to thick and slimy@|@'ä:k@
@to thin out as by spreading@|@p'a:t@
@to think@|@nyk, reh, rih@
@to think about@|@nyk@
@to think of@|@nak, rälyk, rälyk, rlik@
@to threaten@|@jänla@
@to throw away@|@gräwe:ng@
@to tie@|@gah, gaoh@
@to tip@|@dao@
@to touch@|@wap@
@to translate@|@pänle:@
@to transplant rice@|@sdu:c@
@to trespass@|@kämlong@
@to try@|@sa:k@
@to tumble@|@räla:k'@
@to tune@|@criäng@
@to turn@|@lung, pe:r, per, wej, wel, wiäl, wiäl, wyng@
@to turn and look towards@|@miang@
@to turn aside@|@nga:k@
@to turn back@|@pängwe:r@
@to turn down@|@jrä:@
@to turn upside down@|@phdi:ng@
@to twist@|@gräwi:, muäl@
@to twist into rope@|@wa:ñ, wä:ñ@
@to undo@|@ruh, tänloh@
@to urge@|@par@
@to urge on@|@ran@
@to vaunt@|@'uät@
@to vomit@|@k'uät@
@to wade away@|@raoj@
@to walk@|@ter@
@to walk along a line@|@siär@
@to watch@|@cam@
@to water@|@sran', srang, srong@
@to waver@|@prähe:l@
@to wear@|@sämjä:h@
@to wear down@|@ryl@
@to weave@|@'ändo:ng, re:ng, ta:ñ, tañ@
@to weep@|@jam@
@to weight@|@dngan, ngan, thlyng@
@to whip@|@thbä:c@
@to win@|@jhnah@
@to wink@|@rämbä:c@
@to withdraw@|@raoc, srak@
@to wrap oneself up@|@täntap'@
@to yawn@|@snga:p@
@to yield before@|@kaon@
@to yoke@|@dym@
@tobacco@|@thnamchok@
@today@|@thnaineh@
@toddy-palm tree@|@tännot, tnaot, tungnot@
@toe@|@mära:m, mra:m@
@tofile@|@ru:s@
@tomato@|@benbah@
@tomorrow@|@s'aek, sä'e:k, sä'ek@
@tongue@|@'änta:t, andat@
@tooth@|@dhmä:ñ, thmeñ@
@top@|@du:r, khbang@
@top of the head@|@pändu:l@
@torrential@|@rämhuk@
@tortoise@|@'äntaäk, 'äntek@
@toss sideways@|@gräleng@
@touch upon repeatedly@|@cram@
@tough@|@swet, swit@
@towards@|@chbaoh@
@towel@|@kuhnsaing@
@tower@|@bom@
@trace@|@sna:p'@
@traditional@|@brä:ng@
@train@|@ha:t', roht ploeng@
@trample@|@pen@
@trap@|@'änggap'@
@traverse@|@chlang, känlang@
@treasury@|@gla:ng, glang@
@tree@|@dänla, gä'a:ng, gä'ang, khmon, khmwan, ljong, ljong, lwä:, lwe, lwiäng, phcik, phcik, phcik, phcyk, phcyk, phcyk, phnaw, phnaw, phniäw, phniäw, phtiäk, phtjak, pnaw, pnaw, ra:ng', ra:ng', ra:ng', ra:ng', räjon, räjong, räka:, rämcä:k, rämcä:k, rämcjak, rämcjak, rämmtuäl, rämtä:l, rämtyl, rka:, rwjang, thnga:n', thnga:n', thnga:n', tra:c, tra:c, träpe:k, träpek@
@tree (1)@|@rämtä:ng, rämteng, rämtjal, rämtjang, rämtwal, rämtwal, ränga:l, sängha:r, sängha:r, sängke:, sängkha:r, sängkha:r, sby, sby, sby, swi:, swi:, swi:@
@tree (10)@|@dräme:ng, drämu:ng, drämwang, grägar, grägjar@
@tree (2)@|@rngeng, sängke, sma:c', sma:c', sma:c', smac, smac, smac, sna:j, sna:j, sno, sungna:j, sungna:j@
@tree (3)@|@snao, snuäl, snuäl srälaw, snuäl srälaw, snwal, snwal, snwal, srämoc, trälaw, trälaw, trällaw, trällaw@
@tree (4)@|@staw, tä'ao, tä'or, thku, thku:, thku:w, träsek@
@tree (5)@|@jhli:k, jljak, jräniäng, tängkao, tängkao, tängko, tängko, träsä:k@
@tree (6)@|@'änggrang, 'änggrang, 'ängka:ñ, gänggrong, gänggrong, mäkkañ, sämla:ñ@
@tree (7)@|@bnaw, bon, bra:l, jräñang, pruks, winaw, won@
@tree (8)@|@bra:l, bri:ng, ce:ng, prjal, wra:l, wreng, wrjang@
@tree (9)@|@cämpak, cämpak', cämpok, dhnang', dnang, drämeng@
@tree branch@|@'ängran'@
@tree growing in swampy areas@|@tras, tras'@
@tree leaves@|@slak, slik@
@tree-branch@|@mek@
@tremble@|@grun, wic@
@trench@|@prälaoh, präloh@
@trunk@|@taäm@
@trust@|@phnaä@
@trust in@|@'a:ng@
@truth@|@phaptruv@
@tuck in@|@ctam@
@tulle@|@spaj@
@tumble head first@|@di:ng@
@turbid@|@kräkar@
@turn aside from@|@wa:ng@
@turn away from@|@ciäs, jiäs@
@turtle@|@kända:j, kändha:j@
@twenty@|@bhaj, m'phei, mbhej@
@twist@|@bä:n@
@twist threads together@|@dhluñ@
@two@|@bi:r, pii, wer, wjar@
@unbroken@|@phla:ng@
@uncastrated animal@|@chma:t'@
@uncle@|@ma:@
@undergrowth@|@snap@
@undersized of cows@|@'ämbe:, 'ämpä:h@
@understand@|@yu-all@
@uneven@|@gra:t@
@unload@|@pändao@
@unlucky@|@cängrej@
@unmixed@|@träsus@
@untie@|@taoh@
@untrue@|@phä:h@
@unusual@|@pälek@
@upper garment@|@'a:w, jaw, jo@
@upright@|@trang'@
@urine@|@naom@
@uterus@|@spu:n@
@vagina@|@grò:m@
@valley@|@chrolon, wa:l@
@value@|@thla:j, thlaj, tlaj@
@very black@|@jung, nu:ng@
@very close@|@sä:ñ@
@very fine@|@suäng@
@very sharp@|@räla:m, räle:m@
@very weak and timid@|@kämbrò:j@
@village@|@gra:m, gra:ma, phumi@
@village pond@|@träba:ng', träwa:ng, träwang@
@vine@|@'änggañ@
@vinegar@|@tukkhmeh@
@violent@|@gälgul@
@virgin@|@krämum@
@voice@|@samlen@
@void@|@dä:@
@vulture@|@thmat, tma:t, tmat@
@wagon@|@rädä:h@
@wait@|@'ang, ca:m@
@wait upon@|@ga:l, ga:l'@
@walk carefully@|@suä, suär@
@walk gingerly and watchfully@|@'ämbiär@
@wall@|@choñchamn, phdah@
@walled town@|@wiäng, wjang@
@want@|@p'ang', pang@
@warbler@|@bräbä:c, präwac@
@watchful@|@rämbej@
@water@|@dik, dyk, tuhk, tuk@
@water plant@|@pr, pri:@
@water rush used for mat-making@|@bhlang, wlang, wlong@
@waterfall@|@dänla:k'@
@water-leech@|@jleng@
@water-lily@|@brälit, prälit@
@water-plant@|@cok@
@we@|@jaäng, jeng, yoeng, yon@
@wear crosswise over shoulder@|@sba:j@
@weather@|@akas@
@week@|@atit, atity@
@weight in the mind@|@jäñjyng@
@weightless@|@sra:l@
@welcome@|@sohm swaakohm@
@well@|@'äntong, 'äntwang@
@well-groomed@|@s'a:t@
@west@|@khaang leit@
@wet@|@saäm, sem@
@what@|@away, mah, maha, maoh, thi:@
@what ... is this@|@... nih ch'muah ei@
@what is your occupation@|@niak twoe gaa ei@
@what time is it@|@eileuv nih maong pohnmaan@
@what's your name@|@niak ch'muah eh@
@where are you from@|@niak mao pii prateh naa@
@where is a...@|@... neuv ai naa@
@where is my room?@|@bun dtoop knhom nuw eh nah@
@where is the bar?@|@bah louk srah nuw eh nah@
@where is the beach@|@chneh samuth nuw eh nah@
@where is the toilet@|@bantohp tuhk neuv ai naa@
@Where's the toilet?@|@Ter bantub tek nov ti na?@
@which is narrow@|@cäm'ja:t@
@which is steep@|@coat@
@which is unkind@|@kämna:c@
@whirl@|@wa:t@
@whirlpool@|@'änglang'@
@white@|@'so, putih, slekslamn, so@
@white hot@|@gägul@
@who hastens@|@känran@
@who is squat-build@|@kändha:@
@who sews tree-leaves@|@tä:r@
@who stuffs@|@käñcrok@
@wicker-word basket@|@kanñjrä:ng, khjeng@
@wide apart from each other@|@la:s@
@wild@|@wraj@
@wild dog@|@chke: brej, cke vraj@
@wild ox@|@dänsaong, längsong@
@wild ox domesticated@|@thmur, tmur@
@willowy@|@cämliäw@
@wilted@|@räno:m, slaom@
@wind@|@khyol@
@winded@|@hat'@
@window@|@ban'uach, päng'uäc@
@wine@|@sratompamnbaychu@
@wing@|@karhor@
@wink by way of signaling@|@mic@
@winter@|@roduvttochak@
@wish@|@cang, cang'@
@with@|@da:ng', dang, dong, drong, ji-mooay@
@with very dark skin@|@kämwrk@
@wobble@|@ghlä:ng@
@wolf@|@vonsunokh@
@woman@|@phoriya@
@wood@|@jhaä, jhe@
@wooden bell@|@trätaok@
@wooden rollers for moving logs@|@ränä:l@
@woodpecker@|@träsä:s, träses@
@wool@|@romsatkhloh, romsatvkhloh@
@word@|@pak, paky@
@world@|@lok@
@worm@|@dankuv@
@worn out@|@hä:w@
@woven@|@räpe:ng@
@woven basket@|@tro:k@
@woven basket coated with resin@|@gruh@
@wrapped up@|@käñcaop, käñcop@
@wrench out@|@tak@
@year@|@ayu, chna:m, chna:m, chnam@
@year of dog@|@co@
@year of hare@|@thaoh, thoh@
@year of monkey@|@wak, wawk, wok@
@year of ox@|@chlu:w, claw, clow@
@year of snake@|@msa:n'@
@yellow@|@luan@
@yelp@|@brus@
@yes (female)@|@jaa@
@yes (male)@|@baat@
@Yes; I understand@|@Baht; kynum yuall, Cha; kynum yuall@
@yesterday@|@msil, msilmiñ@
@yoke@|@nym@
@you@|@bawng, lowk, mi, niak@
@you (plural)@|@awh lowk@
@you are welcome@|@awt ei te@
@You are welcome@|@Munh I tay@
@you too@|@Nayette caw ahn chjun die@
@young@|@naikmen@
@young man of marriageable age@|@käml'aoh, kämlaoh@
@younger aunt@|@mi:ng@
@youngster@|@cämdang'@
@zero@|@sown@

