@Hawaiian@|@English@
@laiki@|@rice@
@laiki loloa@|@rice (long grain)@
@laila@|@there (always used with preposition - i, ma, etc.)@
@laila@|@there@
@laina@|@line@
@laina@|@line@
@lakeke@|@jacket@
@laki@|@lucky@
@lako@|@wealth@
@lakou@|@they@
@lakou@|@they@
@lákou@|@They@
@lâkou@|@they (three or more of them)@
@lala@|@diagonal@
@lâlâ@|@branch@
@lâlani@|@to line up@
@lälau@|@seize, grab, pick@
@lalo@|@Down, under, below, beneath, underneath@
@lama@|@rum@
@lama kuhikuhi@|@beacon@
@lana@|@float@
@lanahu@|@coal@
@länahu@|@coal@
@lanai@|@balcony@
@lânai@|@veranda@
@lanakila@|@to have victory@
@lanalana@|@spider@
@lanalana@|@spider@
@lani@|@heaven, regal, royal, sky@
@lapa`au@|@heal@
@lapalapa@|@boil@
@lapule@|@Sunday@
@Lâpule@|@Sunday@
@lau@|@leaf; sweet potato stem slip@
@lau@|@leaf, sheet@
@lau `ai `ia Polû@|@Greens@
@lau [`ai `ia]@|@greens@
@lau hala@|@Pandanus leaf@
@lau lau@|@Traditional Hawaiian dish@
@lau nahele@|@greenery@
@laua@|@they@
@láua@|@They@
@lâua@|@they (two of them), they (two people)@
@laua`e@|@Microsorium solopendria (lauae fern)@
@laua`e@|@maile-scented fern@
@laukona@|@heartless@
@laulä@|@broad, wide@
@laulä@|@wide, broad@
@laulau@|@meat bundled in leaves@
@launa@|@socialize@
@lauoho@|@hair@
@lauoho@|@hair (head)@
@lauoho o pele@|@Pele's hair@
@lawa@|@enough@
@lawai`a@|@fisherman@
@lawai`a@|@fisherman@
@lawe@|@accept, acquire@
@lawe@|@take@
@lawe mai@|@bring@
@lawelawe@|@to handle@
@laweleka@|@mail carrier@
@Le`ahi@|@Diamond Head@
@le`ale`a@|@pleasure, glad, happy@
@le`ale`a@|@fun@
@lehe@|@lip@
@leho@|@cowrie shell@
@lehu@|@ash@
@lehu@|@ash@
@lehuli`u@|@White-hot@
@lei@|@Necklace, Garland@
@lei@|@garland, wreath@
@lei@|@necklace (flower, leaf, shell, ivory, or feather)@
@Leiko!@|@Let go!@
@leiwili@|@a kind of lei@
@leka@|@letter@
@lêkiô@|@radio@
@lêkô@|@watercress@
@lekuke@|@lettuce@
@lele@|@to fly, fly@
@lemu@|@buttocks@
@lena@|@yellow@
@Lenalena@|@Yellow@
@leo@|@voice@
@lepo@|@dirt, dirty@
@lewa@|@atmosphere@
@lewa@|@sky, heaven@
@lewa@|@air@
@li kama`a@|@shoelace@
@li`ili`i@|@small@
@li'i@|@small@
@lihikai@|@area close to beach@
@lihilihi@|@eyelashes@
@like@|@similar to@
@like (pu)@|@alike@
@like me@|@as@
@liko@|@bud@
@lima@|@arm@
@lima@|@five, hand, arm@
@lima@|@arm [anat.]@
@lima kuhikuhi@|@hand@
@lima ulu@|@green thumb@
@limalima@|@to handle@
@limu@|@seaweed@
@limu@|@algae@
@lio@|@horse@
@liona@|@lion@
@lo`ihi@|@long@
@lô`ihi@|@tall@
@lo'i@|@Irrigated terrace@
@loa@|@long@
@loa@|@big, great, large, long@
@loa`a@|@wealth@
@loa`a@|@earn@
@loa`a@|@possessed@
@loa`a@|@acquire@
@Local version of "goose bumps"@|@chicken skin@
@loco moco@|@Favorite local dish@
@lohe@|@hear@
@lohe pone@|@attentive@
@lohi@|@slow@
@loio@|@lawyer@
@lökahi@|@harmony@
@loke@|@rose@
@loke lau@|@green rose@
@loke lau@|@Green rose@
@loko@|@Lake, innards, among, between, in@
@loko `ino@|@heartless@
@lokomaika'i@|@Good will@
@lole@|@dress@
@lole@|@clothes@
@lole`au`au@|@swim clothes@
@loli@|@change (transform)@
@loli@|@changed@
@lolo@|@idiot@
@lolo@|@numb@
@lôlô@|@dumb@
@lolo [po`o]@|@brain@
@lolo uila@|@computer@
@loloa@|@Long@
@lolohi@|@dull (stupid)@
@loloiahili@|@procrastinate, daudle, dillydally@
@lomi@|@rub softly between fingers@
@lomilomi@|@massage@
@lomilomi@|@massage (Hawai'ian style)@
@Lono@|@Deity (God) of agriculture@
@lou@|@hand pole for picking fruit@
@lû`au@|@taro tops@
@lu'au@|@Hawaiian feast@
@lü'au@|@Hawaiian feast@
@lua@|@two, crater, toilet, well@
@lua `ai@|@Salad@
@Lua mau hola `umi-kúmá-lima@|@Three fifteen@
@Lua mau hola á me hapahá@|@A quarter past three@
@lua`i@|@vomit@
@lua'i@|@to vomit@
@luahine@|@old woman@
@luhi@|@tired@
@luhi@|@weary@
@Lukau!@|@Look out!@
@lulu lima@|@handshake@
@lumi@|@Room@
@lumi ho`omaha@|@Restrooms@
@lumi kuke@|@kitchen@
@lumi moe@|@bedroom@
@lumiho`okipa@|@living room@
@lumikuke@|@kitchen@
@luna@|@Up, above@
@luna ho`omalu@|@chairman@
@luna ho`oponopono@|@administrator, editor@
@luna`olelo@|@apostle@
@ma@|@in, at, to, toward@
@ma@|@at@
@mâ@|@and others@
@ma hea i ka inu lama?@|@where is the bar?@
@ma hea kahakai?@|@where is the beach?@
@ma hea ko'u lumi?@|@Where is my room?@
@ma ka`ao`ao@|@aside@
@ma laila@|@then@
@ma leila@|@there always@
@ma`a@|@used to@
@ma`a@|@accustomed@
@ma`aka@|@big@
@ma`alahi@|@easy@
@ma`alahi@|@simple@
@ma`alea@|@cunning@
@ma`alili@|@cool after being hot@
@ma`ama`a@|@accustomed@
@ma`ane`i@|@always@
@ma`e`ele@|@numb@
@ma`ema`e@|@clean, pure@
@ma`ema`e@|@clean@
@ma`ema`e `ole@|@unclean@
@ma`i@|@sick/ill, sick, ill@
@ma`i hohola@|@heart attack@
@ma`ima`i@|@ailing@
@mâ`ona@|@full of food@
@ma`u@|@damp@
@ma'i@|@painful@
@ma'o hau hele@|@Native yellow hibiscus@
@ma'oma'o@|@green@
@mae@|@wilt@
@maha`oi@|@bold@
@Mahalo@|@Thank you, gratitude, Thanks@
@mahalo@|@admiration, praise, esteem, regards, respects@
@mahalo@|@thanks, gratitude@
@Mahalo iâ `oe!@|@Thank you@
@Mahalo nui@|@Thank you very much, thank you@
@mahalo nui loa@|@Thank you very much, Thanks so very much@
@Mahalo!@|@Thanks!@
@mahana@|@warm@
@mahele@|@deal (apportion), act (theatre)@
@mâhele@|@part@
@mahi@|@cultivate@
@mahikô@|@sugar plantation@
@mahimahi@|@dolphin fish@
@mahimahi@|@dolphinfish@
@mahina@|@moon@
@mahina@|@Month, moon@
@mahina, malama@|@moon@
@mahope@|@after@
@mahope@|@afterward@
@mahope iho@|@afterward@
@mai@|@don't do something, at, beside, by, here, hither@
@mai p' mai ia'u ma laila!@|@Don't touch me there!@
@mai p'mai ia'u ma laila@|@Don't touch me there!@
@mai`a@|@banana@
@mai`ao@|@toenail@
@maiâ@|@from@
@Maika`i@|@Good, Fine, nice, okay@
@maika`i@|@beautiful@
@maika`i `ole@|@bad@
@Maika`i `ole@|@Bad, Not well@
@maika`i a`e@|@best@
@Maika`i nô@|@Very well@
@maika`i`u`i@|@pretty@
@Maika'i@|@I'm fine@
@maile@|@A native vine, fragrant vine@
@maine@|@mine@
@majority@|@hapanui@
@maka@|@face, eye@
@maka@|@eye@
@mâkâ@|@marker@
@maka `ula`ula@|@Pink eye@
@maka polû@|@Blue eyes@
@maka uli@|@Black eye@
@maka uli@|@black eye@
@maka waiu@|@nipple@
@maka`ainana@|@citizen@
@maka`ala@|@alert@
@mâka`i@|@police officer@
@mâka`ika`i@|@tour@
@maka`u@|@afraid@
@maka`u@|@fear@
@maka'u@|@to fear@
@makaaniani@|@eyeglasses@
@makaaniani@|@eyeglasses@
@makaaniani@|@glasses@
@makahehi@|@attractive (looking)@
@makahiki@|@Year@
@makai@|@Toward the ocean, On the seaside@
@makai@|@on the seaside, seaward@
@makaiauli@|@kind of `opihi@
@makalahi@|@awake@
@makamaka@|@friend@
@makana@|@gift@
@makani@|@wind@
@makapo@|@blind@
@makapô@|@blind@
@makau@|@fishhook@
@Makau au i ke kaua@|@I am afraid of the war@
@makauhunowai wahine@|@mother-in-law@
@makaukau@|@able@
@makaukau@|@ability@
@mâkaukau@|@good at it@
@makauli`i@|@economical@
@make@|@deadly@
@make@|@dead, die, death, to die@
@make [loa]@|@dead@
@make loa@|@death@
@mâkeke@|@market@
@makeke mawaho o ke kânâwai@|@Black market@
@makemake@|@want@
@makemake@|@like, be willing to, wish@
@makemake@|@want, desire, like@
@makewai@|@thirsty@
@makika@|@mosquito@
@makili@|@cracked@
@mâkini@|@machine@
@makole@|@red-eyed@
@mâkole@|@Red-eyed@
@mäkolukolu@|@thick@
@makona@|@cruel, mean@
@makou@|@we (plural, exclusive)@
@mâkou@|@we (they and I), us, we@
@mäkou@|@we@
@maku`e@|@purple@
@makua@|@parent (any relative of parent's generation)@
@makua@|@Parent@
@makua@|@adult, full-grown, mature, senior, older@
@makua@|@plant stalk (main)@
@makua [kane]@|@father@
@Makua káne@|@Father@
@Makuahine@|@Mother, aunt@
@makuahine@|@aunt, mother@
@makuahunoai kane@|@father-in-law@
@makuakane@|@uncle@
@makuakâne@|@father@
@mâla@|@garden@
@malaki@|@March (month)@
@malaki@|@March@
@malama@|@keeper@
@malama@|@fidelity@
@malama@|@care@
@malama@|@to take care of, tend, attend, preserve, protect@
@malama@|@preservation@
@malama@|@support@
@malama@|@caretaker@
@malama@|@loyalty@
@malama@|@To take care of, moon@
@mâlama@|@keep, care about, take care of@
@mälama@|@To take care of@
@malamalama@|@enlightenment@
@male `ana@|@wedding@
@malia [paha]@|@perhaps@
@mâlie@|@calm, sunny, quiet, tranquil@
@malihini@|@tourist@
@malihini@|@unfamiliar@
@malihini@|@for the first time@
@malihini@|@stranger, foreigner, newcomer@
@malihini@|@rare@
@malihini@|@Stranger, caller, visitor@
@malihini@|@introduced@
@malihini@|@newcomer (one unfamiliar with a place or custom)@
@malihini@|@unusual@
@malihini@|@company@
@malihini@|@guest@
@malihini@|@of foreign origin@
@malihini kipa@|@guest@
@malihini mâka`ika`i@|@tourist@
@maliu@|@attention@
@malo`o@|@dry@
@malu@|@shade@
@malu@|@shadow@
@maluhia@|@peace@
@maluhiluhi@|@weary@
@mâluhiluhi@|@tired@
@maluna@|@aboard, above@
@mama@|@to chew@
@mâmâ@|@mommy@
@mämä@|@mother@
@Mamake wau e kú`ai i...@|@I would like to buy...@
@mamao@|@Far, distant@
@mamua aku@|@ahead@
@mamua aku nei@|@ago@
@mana@|@divine power, ability@
@mana`o@|@think, thought@
@mana`o@|@meaning@
@mana`o@|@signify, mean@
@mana`o ulu wale@|@fancy@
@mana`ona`o@|@heartsick@
@mana'o@|@to think@
@manakâ@|@boring@
@manako@|@mango@
@manakô@|@mango@
@manamana@|@hand@
@manamana lima@|@finger@
@manamana lima@|@finger@
@manamana wawae@|@toe@
@manamanalima@|@finger@
@manapua@|@local Chinese pork cake@
@manauea@|@seaweed@
@manawa@|@age, chance@
@manawa@|@while, time@
@manawa@|@time@
@manawa pokole@|@awhile@
@mane`o@|@itch@
@manea o ka manamana wawae@|@toenail@
@manini@|@small@
@mano@|@shark@
@manô@|@shark@
@mano kihikihi@|@hammerhead shark@
@manoa@|@abundant@
@manu@|@bird@
@manu@|@bird@
@manu `ula`ula@|@red bird@
@maopopo@|@understand, clear@
@Maopopo ia'u 'ole@|@I don't understand@
@maopopo loa@|@certain (positive)@
@mau@|@constant, permanent, sustained@
@mau@|@continual@
@mau`u@|@grass@
@maua@|@we (dual exclusive)@
@mâua@|@we (he and I), us, we@
@mäua@|@we@
@mauka@|@Toward the mountains, upland@
@mauka@|@inland, upland, towards the mountain@
@mauna@|@Mountain@
@mauna@|@mountain@
@mawaena@|@among@
@me@|@with@
@me ka `ae`ole@|@involuntary@
@Me ke keiki hemolele e@|@With the holy child@
@me(he)@|@as@
@mea@|@thing, blushing, red@
@mea `ai@|@food@
@mea `ai momona@|@Dessert@
@mea `ono@|@cake@
@mea `ono mo`a ole@|@batter (cooking)@
@mea haumia@|@abomination@
@mea himeni@|@musician (singer)@
@mea ho`okani pila@|@musician (player)@
@mea inu@|@Beverage, drink@
@mea kakua@|@author@
@mea lanakila@|@champion@
@mea make@|@weapon@
@mea pepehi kanaka@|@weapon@
@mea ulu@|@Vegetable@
@mea wa`uniu@|@coconut grater@
@mea wehe kini@|@can opener@
@mea`ino@|@abomination@
@mea-kaua@|@weapon@
@meainu@|@drink@
@meakanu@|@plant@
@mei@|@May@
@mei@|@May (month)@
@mein@|@Chinese noodles@
@mekala@|@medal@
@mele@|@poem, poetry@
@mele@|@to sing, to chant@
@mele@|@Song, sing@
@mele@|@song, anthem, chant, vocal music@
@Mele Kalikimaka!@|@Merry Christmas!@
@Mele na `anela haleluia@|@With the heaven's beauty@
@Mele na `anela haleluia@|@The angels sing hallelujah@
@Melemele@|@Yellow@
@meli@|@bee@
@meli@|@honey@
@Menehune@|@Legendary race of small people@
@mihi@|@apologize@
@mikana@|@papaya@
@miki`ala@|@alert@
@miki`ao@|@claw@
@miki`ao@|@fingernail@
@mile@|@mile@
@milimili@|@beloved, loved@
@miliona@|@one million@
@mimihi@|@apologize@
@minamina@|@economical@
@minuke@|@minute@
@mo`a@|@cooked@
@mô`î@|@king@
@mô`î@|@queen@
@mo`o@|@lizard@
@mo`olelo@|@journal@
@mo`olelo@|@story@
@mo`olelo@|@legend@
@mo`olelo@|@myth@
@mo`opuna@|@grandchildren, grandchild@
@moa@|@chicken, fowl@
@moa kane@|@cock@
@moa wahine@|@hen@
@moana@|@ocean@
@moana@|@sea@
@moana@|@Ocean, sea@
@moe@|@lie down, bed, to sleep@
@moe lepo@|@dead@
@Moe me ka maluhia lani@|@Sleep in heavenly peace@
@moe'uhane@|@to dream@
@moena@|@mat@
@môhala@|@open flower@
@moi@|@Threadfish@
@moku@|@cut, island, boat, ship, to cut@
@moku@|@boat@
@Moku ka hi`u@|@Cut off the tail@
@Moku ke po`o@|@Cut off my head@
@mokulele@|@island@
@mokulele@|@airplane@
@mokuna@|@chapter@
@mole@|@tap root@
@Moloka'i Hoe@|@Annual Moloka'i to O'ahu race@
@momona@|@sweet-tasting, fat@
@moni@|@money@
@moonlight@|@malamalama o ka mahina@
@movie theatre@|@haleki`i`oni`oni@
@mu@|@bug@
@mû@|@termite@
@mu`umu`u@|@Hawaiian-style dress@
@mua@|@before, ahead, formerly, previously@
@mua@|@early@
@mülea@|@bitter@
@muliloa@|@last born child@
@Muliwai `Ula`ula@|@Red River@
@mümü@|@dull@
@musubi@|@Japanese rice ball@
@na@|@belonging to, that@
@nâ@|@intestines@
@na `olua@|@yours@
@na `oukou@|@yours@
@nâ mea a pau@|@all@
@ná pea ápau@|@All@
@ná po`oleka@|@Stamps@
@nä pua no'eau@|@The skillful@
@Nâ Waiho`olu`u@|@Colors@
@na`au@|@beautiful@
@na`ina`i@|@little@
@na`ina`i@|@small@
@na'au@|@intestines@
@naha@|@smash, cracked, torn@
@nahae@|@rip@
@nahaha@|@broken (to bits as a shipwreck)@
@naheka@|@snake@
@nahele nani@|@Beautiful forest@
@nahenahe@|@sweet, gentle, soft, tender@
@nahinei@|@Yesterday@
@naho@|@eye socket@
@nahu@|@to bite@
@nahu kuakoko@|@labor pains (childbirth)@
@nai`a@|@dolphin@
@naka@|@cracked@
@nâki`i@|@tie@
@nakulu@|@echo@
@nalu@|@to form waves@
@nalu@|@wavy (as wood grain)@
@nalu@|@wave, surf, full of waves@
@nalu@|@Wave, disappeared@
@nana@|@attention@
@näna@|@his, hers, its, by him, by her, by it@
@nânâ@|@look, observe@
@nânahu@|@charcoal@
@nanea@|@surf@
@nani@|@pretty, beautiful@
@nani@|@beautiful, enjoy, pretty@
@Nani ka `ili `ula`ula Hawai`i@|@Brown Hawaiian skin is beauty@
@naonao@|@ant@
@nau@|@yours@
@naue@|@to march@
@naueue@|@earthquake@
@naupaka kahakai@|@A spreading succulent shrub@
@nawali@|@ailing@
@nehinei@|@yesterday@
@nei@|@this@
@nematoda@|@Nematoda (parasitic invertebra@
@nênê@|@goose@
@nënë@|@goose native to Hawai'i@
@nî`oi@|@chili pepper@
@niele@|@curious, inquisitive@
@nîele@|@interrogate@
@nïele@|@To be inquisitive@
@niho@|@tooth@
@niho@|@tooth@
@niho hu`i@|@toothache@
@niho palaoa@|@whale tooth@
@nihoniho@|@serrated@
@ninau@|@ask (question)@
@nînau@|@ask, ask a question@
@nïnau@|@question@
@ninini@|@pour@
@nîoi@|@Red pepper@
@nïoi@|@pepper@
@niu@|@coconut@
@niu@|@coconut@
@no@|@belonging to@
@nô@|@absolutely, genuinly, indeed, really, truly@
@no `olua@|@yours@
@no `oukou@|@yours@
@No ________ mai au.@|@I am from ________.@
@No hea mai `oe?@|@Where are you from?@
@no ia mea@|@therefore@
@no ka 'oi@|@phrase used after a noun@
@No ke aha?@|@Why?@
@no laila@|@therefore@
@no`eau@|@cleverly done@
@no`i@|@ask (request)@
@no`ono`o@|@think, think up@
@No... mai au@|@I am from...@
@noe@|@mist, fog@
@noe@|@fog@
@noe `ula@|@Pink mist@
@nohae@|@rip@
@nohea@|@pretty@
@nohea@|@handsome@
@noho@|@chair@
@noho@|@chair, live@
@noho@|@live (inhabit), live@
@noho@|@sit, to sit@
@noho `opi`opi@|@folding chair@
@Noho au i ___________.@|@I live in ________.@
@noho hana `ole@|@to loaf@
@noho paipai@|@rocking chair@
@noi@|@request@
@nokekula@|@swan@
@nonoi@|@ask (request)@
@nou@|@yours@
@nou@|@to throw@
@nowemapa@|@November@
@nowemapa@|@November@
@nuha@|@pouty@
@nui@|@volume (quantity)@
@nui@|@a lot, big, plenty, great, large@
@nui loa@|@A lot, very much@
@nui loa@|@larger@
@nui`ino@|@abundant@
@nuku@|@beak@
@nünü@|@pigeon@
@nunui@|@huge@
@nûpepa@|@newspaper@
@o@|@yes@
@o@|@of, by, from, since@
@O (insert name) ko'u inoa@|@My name is (insert name)@
@O ka paikini ia i keia wa@|@Such is the fashion now@
@o`u@|@my (possessed object, plural)@
@o'o@|@old@
@ôhelo `ele`ele@|@Blackberry@
@Okole Maluna!@|@cheers!@
@ola@|@alive, healthy@
@ola@|@healthy, generic toast, life, be alive, live@
@ola@|@live (to be alive), to live@
@ola loa@|@cured@
@ole@|@lacking@
@oli@|@chant (not danced to) esp. with prolonged phrases@
@oli@|@to chant thus@
@olo@|@hill@
@omo@|@to suck@
@onaona@|@fragrant@
@onaona@|@good-smelling, nutty@
@one@|@sand@
@one@|@sand@
@one hânau@|@birthplace@
@one hänau@|@birthplace (poetic)@
@Oni na kahu hipa e@|@The shepherds come@
@ono@|@The large mackerel-type fish, six@
@ono ka`ai@|@appetite@
@pa@|@arena, pearl shell, wall, enclosure, pen@
@pâ@|@fence, plate, sheet, slab@
@pä@|@wall@
@pâ mea`ai@|@plate lunch@
@pa`a@|@Closed, firm, pair@
@pa`a kama`a@|@shoes (pair)@
@pa`a luhi@|@weary@
@pa`akai@|@Salt@
@pa`akikî@|@difficult@
@pa`ani@|@play (recreation)@
@pâ`ani@|@play@
@pa`i@|@print@
@pa`i ana@|@edition@
@pa`i puna@|@White wash@
@pa`i[pa`i]@|@clap@
@pâ`ina@|@meal@
@pa`ipa`ilima@|@applause@
@pa`u ahi@|@ash@
@pae@|@for a plane to land@
@paha@|@maybe@
@pahi@|@knife@
@pahi pelu@|@penknife@
@pahi`umi`umi@|@razor@
@pahoa@|@dagger@
@pahoehoe@|@smooth lava rock@
@pähoehoe@|@Smooth@
@pahu@|@case (container)@
@pahu@|@drum@
@pahu holoholona@|@cage@
@pahu manu@|@cage@
@pahu pa@|@cupboard@
@pahuhau@|@ice box@
@pahuleka@|@address@
@pai@|@pie@
@paia@|@wall (of house)@
@paia@|@wall@
@pâiki@|@purse@
@paikikala@|@bicycle@
@paikikala@|@bicycle@
@paikikalo@|@bicycle@
@paila@|@boil@
@paila@|@pile (a heap), pile@
@pailaka@|@pilot@
@pâilina@|@graveyard@
@paina@|@pine (as in tree)@
@paio@|@argue@
@paipai@|@support@
@paipai@|@encourage@
@paipala@|@bible@
@paipu@|@pipe@
@pâisi@|@purse@
@paka@|@tobacco@
@paka@|@park (recreation area)@
@páka@|@Parking@
@pâka@|@park@
@pakahi@|@apiece, each@
@pakalaki@|@unlucky@
@pakali@|@battery (electric)@
@pakalölö@|@Marijuana@
@pakaukau@|@table@
@pâkaukau@|@table@
@Pake@|@Chinese@
@pake@|@Slang for Chinese@
@Páké@|@Chinese@
@pakeke@|@bucket@
@pâkeke@|@bucket@
@pakû@|@for the contents of something@
@paku`i@|@add@
@pala@|@ripe@
@palaho@|@rotten@
@palahu@|@rotten@
@palai@|@fry@
@palaki@|@brush@
@palaki hino@|@toothbrush@
@palama@|@plum@
@palaoa@|@whale@
@palaoa@|@loaf (bread)@
@palaoa@|@Bread@
@palaoa ho`owali`ia@|@dough@
@palaoa huluhulu@|@barley@
@palaoa maka@|@flour@
@palaoa maka@|@flour@
@palaoa palai@|@pancake@
@palapala `áina@|@Map@
@palapala ho`ápono@|@Passport@
@palapala ho`opi`i@|@claim@
@Palaunu@|@Brown@
@pali@|@Cliff@
@Palini@|@French@
@palolo@|@clay@
@palula@|@sweet potato greens@
@pâlule@|@shirt@
@palupalu@|@tender (of meat)@
@palupalu@|@soft@
@pâma@|@palm@
@pana@|@to shoot@
@pana [`iole]@|@bow (weapon)@
@panaká@|@Bank@
@pani wai@|@dam@
@panini@|@cactus@
@Paniolo@|@Cowboy@
@papa@|@class@
@papa@|@class@
@pâpâ@|@daddy@
@papa `ele`ele@|@blackboard@
@papa `ele`ele@|@Blackboard@
@papa [la`au]@|@board (lumber)@
@pâpa`a@|@charred@
@papa`aina@|@dining table@
@pâpa`u@|@shallow@
@papahele@|@floor@
@papahele@|@floor@
@papaia@|@papaya@
@papaia@|@papaya@
@papakole@|@hip, buttocks@
@papakole@|@buttocks@
@papalina@|@cheek@
@papälina@|@cheek@
@papamanawa@|@schedule@
@papaua@|@clam@
@papi`o@|@arch@
@papipi@|@cactus@
@pau@|@completed, used up, finished, ready, through@
@pau@|@all@
@pau hana@|@Work is done@
@pauaho@|@weary@
@pauloa@|@all@
@pe`a@|@unclean@
@pe`ahi@|@fan@
@pe`elua@|@catepillar@
@pea@|@bear (ursine)@
@pea@|@bear@
@pea@|@pear@
@pehea `oe@|@how do you do?@
@Pehea `oe?@|@How are you?@
@Pehea?@|@How?@
@pehu@|@to swell@
@peki@|@pace, move along by the side@
@pêkona@|@bacon@
@pekunia@|@petunia@
@Pela paha@|@Maybe@
@Pele@|@Volcano goddess@
@Pelekane@|@English@
@pelena@|@bread@
@peni@|@pen@
@peni kila@|@pen (stylus)@
@penikaka@|@pencil@
@penikala@|@pencil@
@peo@|@vagina@
@pepa@|@Pepper, paper@
@pepa@|@paper@
@pepa hale@|@wallpaper@
@pepa haleu@|@toilet paper@
@pepa kope@|@carbon paper (copy)@
@pepa po`oleka@|@Postcard@
@pepe@|@baby@
@pêpê@|@baby@
@pepehi@|@beat, strike@
@pepeiao@|@ear@
@pepeiao@|@ear@
@pepeiao@|@ear@
@pepeluali@|@February@
@pepeluali@|@February@
@pï@|@pea@
@pi apa@|@ABCs, alphabet, spelling@
@pi`i@|@ascend@
@pi`ina@|@incline@
@pi`o@|@arch@
@pi`oloke@|@agitated@
@pi'i@|@to climb@
@pia@|@Beer, ale@
@piano@|@piano@
@piha@|@full@
@piha lima@|@handful@
@piha makahiki@|@anniversary@
@piha=`ekelo@|@mynah bird@
@pihi@|@button@
@pihi@|@button@
@pihoihoi@|@agitated@
@pika@|@pizza@
@pika pua@|@pitcher flower@
@pîkake@|@peacock@
@piki@|@peach@
@pikiniki@|@picnic@
@pila@|@voilin, fiddle@
@pila@|@fiddle, voilin@
@pila@|@bill (currency)@
@pila@|@fiddle@
@pila ho`okani@|@music (instrumental)@
@pila ho'okani@|@music@
@pila kiko`o@|@check, cheque (bank)@
@pilau@|@bad@
@pilau@|@addled, rotten@
@pîlau@|@stench@
@pili@|@adjacent@
@pili ho`oipoipo@|@love affair@
@pilialoha@|@friendship@
@pilikia@|@Trouble, Trouble of any kind, hassle@
@pilikia@|@accident, affliction, difficulty, tragedy, lack@
@pine@|@pine@
@pine@|@pine-tree@
@pinika@|@vinegar@
@pio@|@out@
@pipi@|@cattle@
@pipi@|@cow@
@pipi kane@|@bull@
@pipi käne@|@bull@
@pipi kaula@|@Beef jerky@
@pipi kauö@|@ox@
@pipi laho@|@bull@
@pipi wahine@|@cow@
@pipipi@|@General name for small mollusk, sea snails@
@pîwa@|@fever@
@pïwai@|@duck@
@pô@|@night@
@po`ae`ae@|@armpit (axilla)@
@po`ae`ae@|@axilla [anat.]@
@po`aha@|@Thursday@
@pó`ahá@|@Thursday@
@po`ai@|@circle@
@po`akahi@|@Monday@
@pó`akahi@|@Monday@
@po`akolu@|@Wednesday@
@pó`akolu@|@Wednesday@
@po`alima@|@Friday@
@pó`alima@|@Friday@
@po`alima hemolele@|@Good Friday@
@pó`alua@|@Tuesday@
@po`aono@|@Saturday@
@pó`aono@|@Saturday@
@po`e@|@people@
@Po`e máka`ika`i `ike@|@Tourist Information@
@pô`ele`ele@|@dark@
@po`i@|@break@
@po`ino@|@damage@
@po`ipu@|@attack@
@po`o@|@head, pate@
@po`o@|@head@
@po`o `ula`ula@|@red hair@
@po`o pa`akiki@|@headstrong@
@po`opo`o@|@sunken@
@Po'alua@|@Tuesday@
@po'ohiwi@|@shoulder@
@po'tagee@|@Slang for Portuguese@
@poepoe@|@round@
@poepoe@|@circumcise@
@poha@|@bang (explosion)@
@pohai@|@circle@
@pôhaku@|@stone, rock@
@pohaku waiki@|@bullet@
@pohihihi@|@mystery@
@pohihihi@|@confusing@
@poho@|@case (container)@
@poho@|@damage@
@poho@|@damage@
@poho@|@chalk@
@poho@|@chalk@
@pohô@|@wasted@
@poho lima@|@handful@
@poi@|@staff of life from taro@
@poina@|@forget@
@poka@|@bullet@
@poka pahu@|@bomb@
@poke@|@to cut crosswise into pieces@
@poko@|@cutworm@
@pókole@|@Short@
@pôkole@|@short@
@pola@|@cup@
@pola@|@bowl@
@poloka@|@frog@
@pololei@|@Straight, correct@
@pololei@|@alright@
@pololei@|@accurate, alright@
@pôloli@|@hungry@
@polu@|@blue@
@Polû@|@Blue@
@poluea@|@sea@
@poma@|@apple@
@Pomaika'i! Maika'i Pomaika'i!@|@good luck@
@pona@|@eye socket@
@Poni@|@Purple@
@poni@|@annoint, purple@
@pono@|@Correct, need, exact, proper, right@
@pono@|@accurate@
@ponolawai`a@|@fishing supplies@
@popoki@|@cat@
@pôpoki@|@cat@
@pöpoli@|@hunger@
@popolo@|@[a] plant with great healing powers@
@Pôpolohua@|@Purple@
@popopo@|@rotten@
@popopo@|@rotten@
@pópule@|@Sunday@
@post office@|@haleleka@
@pouli@|@eclipse@
@pouli@|@dark@
@poupou@|@short and husky@
@pu@|@conch shell@
@pu@|@bugle@
@pu`a`i@|@Adam's apple@
@pu`ali@|@army@
@pû`ali@|@to have a groove@
@pû`alikoa@|@military@
@pu`e@|@hill of dirt for planting uala@
@pu`e@|@attack@
@pû`iwa@|@startled@
@pû`olo@|@package@
@pu`u@|@Hill@
@pu`u@|@Adam's apple, bug, bump@
@pu`ulu@|@army@
@pu`uwai@|@heart@
@pu`uwai@|@heart@
@pu'u@|@Any kind of protuberance@
@pua@|@flower@
@pua@|@flower, bloom, arrow@
@pua male@|@Stephanotis floribunda (Madagascar jasmine)@
@pua`a@|@pig, hog, swine@
@puaaloalo@|@hibiscus@
@puahala@|@cut hala fruit@
@puakenikeni@|@fragrant orange flower@
@puamale@|@stephanotis@
@puamêlia@|@plumeria@
@pueo@|@owl@
@pûhala@|@hala tree@
@puhi@|@eel@
@puhi@|@smoke, eel@
@puhi pä@|@to blow@
